gene_id	chisq	pvalue	adj_pvalue	PgS	oRG	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
GTF2I	56.3461275618845	6.89636078352995e-11	9.03423262642423e-09	0.561538461538462	0.404705882352941	-0.15683257918552	chr7:74735492:+_vs_chr7:74749451:+	-0.918099547511312	chr7:74698999:+;chr7:74735492:+;chr7:74744789:+;chr7:74749451:+;chr7:74758817:+;chr7:74760692:+	proximal	TRUE
HEY1	46.3424242424242	8.64709911026914e-11	1.0518578417706e-08	0.4	0.854166666666667	0.454166666666667	chr8:79764925:-_vs_chr8:79764013:-	1.59166666666667	chr8:79764013:-;chr8:79764925:-;chr8:79765086:-	distal	TRUE
SMC4	68.393661760596	2.46491825923848e-10	2.69108884199497e-08	0.493230174081238	0.40282131661442	-0.0904088574668178	chr3:160414516:+_vs_chr3:160431190:+	-0.211543164587919	chr3:160411935:+;chr3:160412058:+;chr3:160412339:+;chr3:160413571:+;chr3:160414412:+;chr3:160414516:+;chr3:160416412:+;chr3:160430650:+;chr3:160431099:+;chr3:160431190:+;chr3:160431821:+;chr3:160434937:+	proximal	TRUE
PCNT	40.0087114337568	2.52832774350672e-10	2.69108884199497e-08	0	0.947368421052632	0.947368421052632	chr21:46357133:+_vs_chr21:46363573:+	1.89473684210526	chr21:46357133:+;chr21:46363573:+	distal	TRUE
EXOC1	43.7926259592926	3.09422648334426e-10	2.8560401103605e-08	0.0416666666666667	0.648648648648649	0.606981981981982	chr4:55883916:+_vs_chr4:55899821:+	1.53603603603604	chr4:55883916:+;chr4:55899821:+;chr4:55905018:+	distal	TRUE
RBBP4	43.7650653970833	3.13716093909914e-10	2.8560401103605e-08	0.448529411764706	0.475757575757576	0.0272281639928699	chr1:32680505:+_vs_chr1:32680653:+	0.491666666666667	chr1:32680505:+;chr1:32680653:+;chr1:32686211:+	distal	TRUE
FUBP1	53.1143012461694	3.18642173205223e-10	2.8560401103605e-08	0.423376623376623	0.397202797202797	-0.0261738261738262	chr1:77964286:-_vs_chr1:77962777:-	-0.547452547452547	chr1:77948419:-;chr1:77948654:-;chr1:77948929:-;chr1:77962777:-;chr1:77962913:-;chr1:77964286:-	proximal	TRUE
ITFG1	43.4253532858184	3.71795686301783e-10	3.13967155932558e-08	0.5	0.558139534883721	0.0581395348837209	chr16:47154598:-_vs_chr16:47154387:-	1.22480620155039	chr16:47154387:-;chr16:47154598:-;chr16:47155394:-	distal	TRUE
CCT5	43.3443735827664	3.8715855986986e-10	3.13967155932558e-08	0.841269841269841	0.641975308641975	-0.199294532627866	chr5:10264926:+_vs_chr5:10265080:+	-0.656966490299824	chr5:10258499:+;chr5:10264926:+;chr5:10265080:+	proximal	TRUE
SUMO1	44.92737884064	9.58742536852706e-10	7.42153881936436e-08	0.670289855072464	0.445333333333333	-0.22495652173913	chr2:202206592:-_vs_chr2:202206182:-	-0.52095652173913	chr2:202206182:-;chr2:202206486:-;chr2:202206592:-;chr2:202206776:-	proximal	TRUE
EMC10	41.2224264705882	1.11857169781708e-09	8.28229391905427e-08	0.375	0.509803921568627	0.134803921568627	chr19:50482968:+_vs_chr19:50483351:+	1.31127450980392	chr19:50482968:+;chr19:50483351:+;chr19:50483394:+	distal	TRUE
SLC39A6	44.4445086421463	1.21424973766314e-09	8.6057766997635e-08	0.420289855072464	0.325814536340852	-0.0944753187316117	chr18:36109164:-_vs_chr18:36109094:-	-0.519777705132396	chr18:36108531:-;chr18:36109094:-;chr18:36109164:-;chr18:36122053:-	proximal	TRUE
VPS35	40.9258528669866	1.29737034392383e-09	8.6057766997635e-08	0.0555555555555556	0.627906976744186	0.57235142118863	chr16:46660469:-_vs_chr16:46659789:-	1.40956072351421	chr16:46659677:-;chr16:46659789:-;chr16:46660469:-	distal	TRUE
HNRNPA1	44.2833450257156	1.31385903813183e-09	8.6057766997635e-08	0.497311827956989	0.524503847711624	0.0271920197546348	chr12:54284881:+_vs_chr12:54285246:+	0.262636695018226	chr12:54284578:+;chr12:54284881:+;chr12:54285246:+;chr12:54287087:+	distal	TRUE
CTNNA1	47.1987027134086	1.38629477041071e-09	8.74392590373865e-08	0.545454545454545	0.63562091503268	0.0901663695781343	chr5:138917816:+_vs_chr5:138934712:+	0.638443256090315	chr5:138917816:+;chr5:138934327:+;chr5:138934631:+;chr5:138934712:+;chr5:138935032:+	distal	TRUE
GPBP1	46.9209595388788	1.58382817483177e-09	9.33737873158462e-08	0.125	0.392405063291139	0.267405063291139	chr5:57231158:+_vs_chr5:57263247:+	0.583465189873418	chr5:57176333:+;chr5:57231158:+;chr5:57247110:+;chr5:57263085:+;chr5:57263247:+	distal	TRUE
RBMX	46.9127957707912	1.59004100537847e-09	9.33737873158462e-08	0.1953125	0.371875	0.1765625	chrX:136874047:-_vs_chrX:136873461:-	0.455714285714286	chrX:136869192:-;chrX:136869410:-;chrX:136873461:-;chrX:136873958:-;chrX:136874047:-	distal	TRUE
RDH11	43.8152985074627	1.65186559747015e-09	9.37709037497221e-08	0	0.562189054726368	0.562189054726368	chr14:67677556:-_vs_chr14:67677318:-	1.34328358208955	chr14:67676792:-;chr14:67676860:-;chr14:67677318:-;chr14:67677556:-	distal	TRUE
PPP1R12A	43.2534958855996	2.17413729620236e-09	1.19437284368794e-07	0.54320987654321	0.598870056497175	0.0556601799539652	chr12:79809864:-_vs_chr12:79797300:-	0.898932831136221	chr12:79797300:-;chr12:79809864:-;chr12:79820856:-;chr12:79822120:-	distal	TRUE
FAM171B	39.6287656529517	2.48154912035229e-09	1.31708650624625e-07	0.288461538461538	0.36	0.0715384615384616	chr2:186763335:+_vs_chr2:186763772:+	0.936923076923077	chr2:186761766:+;chr2:186763335:+;chr2:186763772:+	distal	TRUE
UBE2V2	45.9256319181639	2.55219346483419e-09	1.31708650624625e-07	0.661016949152542	0.526315789473684	-0.134701159678858	chr8:48061491:+_vs_chr8:48061569:+	-0.742343146000595	chr8:48060924:+;chr8:48061162:+;chr8:48061491:+;chr8:48061569:+;chr8:48062610:+	proximal	TRUE
CUL1	42.1193650793651	3.7848066375949e-09	1.89574285406592e-07	0.572769953051643	0.511737089201878	-0.0610328638497651	chr7:148798029:+_vs_chr7:148801017:+	-0.788732394366197	chr7:148759579:+;chr7:148798029:+;chr7:148801017:+;chr7:148801110:+	proximal	TRUE
KCTD3	38.2687747035573	4.89825238397402e-09	2.38334965997364e-07	0.0714285714285714	0.681818181818182	0.61038961038961	chr1:215611920:+_vs_chr1:215620421:+	1.35064935064935	chr1:215611920:+;chr1:215620421:+;chr1:215620477:+	distal	TRUE
ZNF146	33.7147228422619	6.38158685010858e-09	3.01884511270414e-07	0	0.875	0.875	chr19:36237643:+_vs_chr19:36237912:+	1.75	chr19:36237643:+;chr19:36237912:+	distal	TRUE
HSP90AA1	54.0269027120719	6.82106492557606e-09	3.13953339682595e-07	0.462908011869436	0.562206572769953	0.0992985609005169	chr14:102084473:-_vs_chr14:102083061:-	0.188761650018807	chr14:102081050:-;chr14:102083061:-;chr14:102083823:-;chr14:102083909:-;chr14:102084473:-;chr14:102084781:-;chr14:102084841:-;chr14:102084921:-;chr14:102085388:-	distal	FALSE
SMARCA5	46.4548152922346	7.33775234962469e-09	3.25790179579143e-07	0.279487179487179	0.305333333333333	0.0258461538461539	chr4:143543971:+_vs_chr4:143550064:+	0.330769230769231	chr4:143528017:+;chr4:143543538:+;chr4:143543971:+;chr4:143548058:+;chr4:143550064:+;chr4:143554372:+	distal	TRUE
PRKRA	37.427194636497	7.46084380715594e-09	3.25790179579143e-07	0.432432432432432	0.744186046511628	0.311753614079195	chr2:178431792:-_vs_chr2:178431544:-	0.998114393463231	chr2:178431418:-;chr2:178431544:-;chr2:178431792:-	distal	TRUE
TPM2	33.1386431623932	8.5816139605259e-09	3.6536221436939e-07	0.972222222222222	0.285714285714286	-0.686507936507937	chr9:35682926:-_vs_chr9:35682008:-	-1.37301587301587	chr9:35682008:-;chr9:35682926:-	proximal	TRUE
GNB1	32.9753671994205	9.33339491766655e-09	3.77709713645277e-07	0.964285714285714	0.153846153846154	-0.81043956043956	chr1:1786749:-_vs_chr1:1785290:-	-1.62087912087912	chr1:1785290:-;chr1:1786749:-	proximal	TRUE
NASP	53.2888861212928	9.48156808303327e-09	3.77709713645277e-07	0.707335329341317	0.601027397260274	-0.106307932081043	chr1:45615364:+_vs_chr1:45618247:+	-0.448363546878845	chr1:45607443:+;chr1:45607505:+;chr1:45608126:+;chr1:45608306:+;chr1:45613202:+;chr1:45614180:+;chr1:45615364:+;chr1:45618247:+;chr1:45618891:+	proximal	TRUE
CSDE1	45.895735337537	9.5370039264515e-09	3.77709713645277e-07	0.350769230769231	0.448421052631579	0.0976518218623482	chr1:114717997:-_vs_chr1:114717665:-	-0.311336032388664	chr1:114716916:-;chr1:114717292:-;chr1:114717665:-;chr1:114717997:-;chr1:114725240:-;chr1:114733736:-	proximal	TRUE
SPTLC1	36.6363636363636	1.10793611173156e-08	4.28821635972467e-07	0.227272727272727	0.9	0.672727272727273	chr9:92059203:-_vs_chr9:92031147:-	1.34545454545455	chr9:92031147:-;chr9:92031347:-;chr9:92059203:-	distal	TRUE
AP2M1	32.5520539747513	1.16042429568313e-08	4.39156127899639e-07	0.842105263157895	1	0.157894736842105	chr3:184183301:+_vs_chr3:184184091:+	0.315789473684211	chr3:184183301:+;chr3:184184091:+	distal	TRUE
NT5C3A	36.4974345125574	1.18763446912496e-08	4.39682934982565e-07	0.267857142857143	0.91304347826087	0.645186335403727	chr7:33014496:-_vs_chr7:33014130:-	1.29037267080745	chr7:33014130:-;chr7:33014389:-;chr7:33014496:-	distal	TRUE
PNISR	42.2432617497881	1.48528366099186e-08	5.38178313759393e-07	0.32	0.694444444444444	0.374444444444444	chr6:99410500:-_vs_chr6:99401446:-	0.755555555555556	chr6:99400821:-;chr6:99401446:-;chr6:99401599:-;chr6:99402574:-;chr6:99410500:-	distal	TRUE
CCNG1	39.2339544513458	1.54846119661152e-08	5.49381128714463e-07	0.564102564102564	0.696581196581196	0.132478632478632	chr5:163444414:+_vs_chr5:163444608:+	0.602564102564103	chr5:163444279:+;chr5:163444414:+;chr5:163444608:+;chr5:163445016:+	distal	TRUE
MALAT1	46.8994289757486	1.95957494938025e-08	6.81052273223382e-07	0.675531914893617	0.600478468899522	-0.0750534459940954	chr11:65499910:+_vs_chr11:65502913:+	-0.162094064949608	chr11:65499599:+;chr11:65499910:+;chr11:65500223:+;chr11:65501332:+;chr11:65501966:+;chr11:65502913:+;chr11:65502988:+	proximal	FALSE
FNBP1L	46.6789592317866	2.16829242927559e-08	7.38520401411266e-07	0.280864197530864	0.482078853046595	0.201214655515731	chr1:93523489:+_vs_chr1:93530804:+	0.563918757467145	chr1:93523489:+;chr1:93530804:+;chr1:93530882:+;chr1:93551176:+;chr1:93552649:+;chr1:93553107:+;chr1:93554661:+	distal	TRUE
HDAC2	41.3185671496568	2.30903880035347e-08	7.62076820799774e-07	0.492248062015504	0.578846153846154	0.0865980918306499	chr6:113958337:-_vs_chr6:113940768:-	0.308765652951699	chr6:113940717:-;chr6:113940768:-;chr6:113941015:-;chr6:113943369:-;chr6:113958337:-	distal	TRUE
CTNNBIP1	31.2005910916998	2.32695212457946e-08	7.62076820799774e-07	0.0833333333333333	0.842105263157895	0.758771929824561	chr1:9850160:-_vs_chr1:9848302:-	1.51754385964912	chr1:9848302:-;chr1:9850160:-	distal	TRUE
ABHD17B	34	4.13993771878517e-08	1.33024791228135e-06	0.75	0	-0.75	chr9:71866615:-_vs_chr9:71865563:-	-1.5	chr9:71865301:-;chr9:71865563:-;chr9:71866615:-	proximal	TRUE
SEPTIN2	42.6879918087578	4.27412260987019e-08	1.34000946721069e-06	0.417821782178218	0.615436241610738	0.19761445943252	chr2:241351994:+_vs_chr2:241354027:+	0.433118479633198	chr2:241337788:+;chr2:241351994:+;chr2:241352555:+;chr2:241353497:+;chr2:241353736:+;chr2:241354027:+	distal	TRUE
GABPB1	29.9967602040816	4.3276876510034e-08	1.34000946721069e-06	1	0	-1	chr15:50277934:-_vs_chr15:50277257:-	-2	chr15:50277257:-;chr15:50277934:-	proximal	TRUE
TPR	44.6834361182767	5.40937579173467e-08	1.64502981666503e-06	0.647435897435897	0.439252336448598	-0.208183560987299	chr1:186363420:-_vs_chr1:186350298:-	-0.544572250179727	chr1:186313826:-;chr1:186350298:-;chr1:186351411:-;chr1:186355500:-;chr1:186359936:-;chr1:186360828:-;chr1:186363420:-	proximal	TRUE
SECISBP2	36.5338010204082	5.77440542349428e-08	1.7252302519668e-06	0.458333333333333	0.630952380952381	0.172619047619048	chr9:89338529:+_vs_chr9:89358175:+	-0.892857142857143	chr9:89334706:+;chr9:89338529:+;chr9:89358175:+;chr9:89359642:+	proximal	TRUE
DDX5	32.7071766809217	7.90181439607093e-08	2.32013619250152e-06	0.884105960264901	0.729545454545455	-0.154560505719446	chr17:64502479:-_vs_chr17:64499620:-	-0.309121011438892	chr17:64499620:-;chr17:64499822:-;chr17:64502479:-	proximal	TRUE
PON2	38.6342904990839	8.28959088546405e-08	2.39274123355005e-06	0.605263157894737	0.865927419354839	0.260664261460102	chr7:95432486:-_vs_chr7:95404862:-	0.527376910016978	chr7:95404862:-;chr7:95405094:-;chr7:95412397:-;chr7:95413312:-;chr7:95432486:-	distal	TRUE
CCNI	38.2771453786181	9.82318168082772e-08	2.78814640040827e-06	0.451612903225806	0.450636942675159	-0.000975960550647248	chr4:77048001:-_vs_chr4:77047509:-	0.271556742688857	chr4:77047155:-;chr4:77047509:-;chr4:77047662:-;chr4:77048001:-;chr4:77048082:-	distal	TRUE
F2R	35.2233527916392	1.09280965261536e-07	3.05090957115403e-06	0.633333333333333	0.387596899224806	-0.245736434108527	chr5:76733535:+_vs_chr5:76734959:+	-1.04883720930233	chr5:76733535:+;chr5:76734135:+;chr5:76734959:+;chr5:76735509:+	proximal	TRUE
ROCK1	31.9868421052632	1.13277978465006e-07	3.11149027945008e-06	0	0.618421052631579	0.618421052631579	chr18:21070555:-_vs_chr18:21015456:-	1.36842105263158	chr18:20979916:-;chr18:21015456:-;chr18:21070555:-	distal	TRUE
IP6K2	27.8487431248301	1.31179257515726e-07	3.54463067764359e-06	0.347826086956522	0.920634920634921	0.572808833678399	chr3:48693764:-_vs_chr3:48693448:-	1.1456176673568	chr3:48693448:-;chr3:48693764:-	distal	TRUE
CKAP2	42.708445254964	1.33209843434639e-07	3.54463067764359e-06	0.540880503144654	0.240740740740741	-0.300139762403913	chr13:52468337:+_vs_chr13:52476627:+	-0.445193171608266	chr13:52461298:+;chr13:52462462:+;chr13:52468337:+;chr13:52473992:+;chr13:52474084:+;chr13:52476350:+;chr13:52476627:+	proximal	TRUE
CENPV	31.2850305081699	1.60894775478899e-07	4.21544311754715e-06	0.849264705882353	0.985169491525424	0.135904785643071	chr17:16348324:-_vs_chr17:16342537:-	0.271809571286142	chr17:16342537:-;chr17:16348150:-;chr17:16348324:-	distal	TRUE
PDIA6	37.1867008401833	1.64861489081918e-07	4.25392599858342e-06	0.580769230769231	0.589285714285714	0.00851648351648349	chr2:10788704:-_vs_chr2:10783391:-	-0.314468864468864	chr2:10783391:-;chr2:10783855:-;chr2:10788704:-;chr2:10790782:-;chr2:10791907:-	proximal	TRUE
CD2BP2	27.3099296536797	1.73319079770155e-07	4.40540884848619e-06	0.8125	0.181818181818182	-0.630681818181818	chr16:30352847:-_vs_chr16:30350773:-	-1.26136363636364	chr16:30350773:-;chr16:30352847:-	proximal	TRUE
NCAM1	34.090698448838	1.89573607056501e-07	4.74770371790032e-06	0.286821705426357	0.409090909090909	0.122269203664553	chr11:113275627:+_vs_chr11:113276748:+	0.699260042283298	chr11:113275423:+;chr11:113275627:+;chr11:113275701:+;chr11:113276748:+	distal	TRUE
TPP2	26.7856973140496	2.2731353880716e-07	5.61036168968975e-06	0	1	1	chr13:102645825:+_vs_chr13:102676396:+	2	chr13:102645825:+;chr13:102676396:+	distal	TRUE
ACBD5	33.5979667434318	2.4087062027004e-07	5.86003809028399e-06	0.401960784313725	0.28042328042328	-0.121537503890445	chr10:27231749:-_vs_chr10:27196598:-	-0.686741363211951	chr10:27195217:-;chr10:27196598:-;chr10:27197012:-;chr10:27231749:-	proximal	TRUE
UBXN4	33.5363402763432	2.48192725483652e-07	5.95312973941775e-06	0.333333333333333	0.687074829931973	0.353741496598639	chr2:135748886:+_vs_chr2:135770658:+	0.829493087557604	chr2:135748886:+;chr2:135769811:+;chr2:135770658:+;chr2:135782799:+	distal	TRUE
PITPNB	26.5568278388278	2.55898708702521e-07	6.05271529056103e-06	1	0.192307692307692	-0.807692307692308	chr22:27853354:-_vs_chr22:27851674:-	-1.61538461538462	chr22:27851674:-;chr22:27853354:-	proximal	TRUE
TRIM27	30.3145879009736	2.61379111124125e-07	6.09765241430665e-06	0.813953488372093	0.416666666666667	-0.397286821705426	chr6:28903842:-_vs_chr6:28903002:-	-0.837984496124031	chr6:28903002:-;chr6:28903842:-;chr6:28921954:-	proximal	TRUE
TAOK3	33.3831765232975	2.6736761764302e-07	6.15306828170355e-06	0.694444444444444	0.354838709677419	-0.339605734767025	chr12:118177204:-_vs_chr12:118162014:-	-1.05376344086022	chr12:118160206:-;chr12:118162014:-;chr12:118172628:-;chr12:118177204:-	proximal	TRUE
PTTG1IP	30.1490363295241	2.83935662551185e-07	6.4472324443289e-06	0.933333333333333	0.522727272727273	-0.410606060606061	chr21:44850621:-_vs_chr21:44849585:-	-1.09242424242424	chr21:44849585:-;chr21:44850621:-;chr21:44851588:-	proximal	TRUE
VAPB	26.1526485594238	3.15464112154222e-07	7.06888661840316e-06	0.19047619047619	0.911764705882353	0.721288515406162	chr20:58444322:+_vs_chr20:58445526:+	1.44257703081232	chr20:58444322:+;chr20:58445526:+	distal	TRUE
RPS19	25.9761893292549	3.45654316081271e-07	7.64479610761565e-06	0.0389344262295082	0.00223964165733483	-0.0366947845721734	chr19:41871416:+_vs_chr19:41872925:+	-0.0733895691443467	chr19:41871416:+;chr19:41872925:+	proximal	FALSE
ENSA	25.7381584373261	3.91018818711141e-07	8.53724420852657e-06	0.48780487804878	0.908045977011494	0.420241098962714	chr1:150625131:-_vs_chr1:150622150:-	0.840482197925428	chr1:150622150:-;chr1:150625131:-	distal	TRUE
SGCE	25.4287974859096	4.59014730698731e-07	9.8949631187334e-06	0.571428571428571	1	0.428571428571429	chr7:94653634:-_vs_chr7:94585243:-	0.857142857142857	chr7:94585243:-;chr7:94653634:-	distal	TRUE
GLO1	29.1076976075717	4.77907420686407e-07	1.01734542178619e-05	0.841463414634146	0.950381679389313	0.108918264755167	chr6:38682010:-_vs_chr6:38676135:-	0.257773226587228	chr6:38675945:-;chr6:38676135:-;chr6:38682010:-	distal	TRUE
PDCD5	25.2354884371136	5.07399035549211e-07	1.06455301487853e-05	0.390243902439024	0.892857142857143	0.502613240418119	chr19:32586929:+_vs_chr19:32587425:+	1.00522648083624	chr19:32586929:+;chr19:32587425:+	distal	TRUE
MTHFD1	25.211884469697	5.13647015178302e-07	1.06455301487853e-05	0.2	0.938775510204082	0.738775510204082	chr14:64448262:+_vs_chr14:64460005:+	1.47755102040816	chr14:64448262:+;chr14:64460005:+	distal	TRUE
TMPO	42.0050356056895	5.18836760040622e-07	1.06455301487853e-05	0.465201465201465	0.564814814814815	0.0996133496133496	chr12:98535629:+_vs_chr12:98547951:+	0.465811965811966	chr12:98527918:+;chr12:98532845:+;chr12:98535629:+;chr12:98545063:+;chr12:98547951:+;chr12:98549706:+;chr12:98550312:+;chr12:98550351:+	distal	TRUE
AFF4	25.1591002747253	5.2789955389897e-07	1.07025350034517e-05	0.923076923076923	0	-0.923076923076923	chr5:132896713:-_vs_chr5:132896402:-	-1.84615384615385	chr5:132896402:-;chr5:132896713:-	proximal	TRUE
NOL7	31.9141666666667	5.4560475801594e-07	1.0931351798837e-05	0.322222222222222	0.488888888888889	0.166666666666667	chr6:13620895:+_vs_chr6:13621572:+	0.86	chr6:13620808:+;chr6:13620895:+;chr6:13621572:+;chr6:13621662:+	distal	TRUE
TMEM47	28.7478604344964	5.72112482456395e-07	1.13291576467819e-05	0.0714285714285714	0.724489795918367	0.653061224489796	chrX:34629250:-_vs_chrX:34627088:-	1.30612244897959	chrX:34627088:-;chrX:34629095:-;chrX:34629250:-	distal	TRUE
TRA2B	36.9729138651483	6.0648324466612e-07	1.18717352375449e-05	0.611111111111111	0.746067415730337	0.134956304619226	chr3:185917328:-_vs_chr3:185916744:-	0.361059092800666	chr3:185916744:-;chr3:185917124:-;chr3:185917328:-;chr3:185922057:-;chr3:185931624:-;chr3:185931745:-	distal	TRUE
BCLAF1	34.3097888953152	6.43750726282922e-07	1.23508614179076e-05	0.371951219512195	0.710365853658537	0.338414634146342	chr6:136278359:-_vs_chr6:136261275:-	0.548780487804878	chr6:136261275:-;chr6:136272002:-;chr6:136276045:-;chr6:136276439:-;chr6:136278359:-	distal	TRUE
PARP1	34.3041604498018	6.45464865645202e-07	1.23508614179076e-05	0.424180327868852	0.337748344370861	-0.0864319834979915	chr1:226361003:-_vs_chr1:226360691:-	-0.278091412441646	chr1:226360691:-;chr1:226361003:-;chr1:226379623:-;chr1:226388689:-;chr1:226390419:-	proximal	TRUE
TCEA2	24.4704755060486	7.54573111680677e-07	1.42782001021355e-05	0.56	1	0.44	chr20:64071198:+_vs_chr20:64072347:+	0.88	chr20:64071198:+;chr20:64072347:+	distal	TRUE
RNF20	31.1942415026834	7.73643778352539e-07	1.44781907091689e-05	0.65	0.472868217054264	-0.177131782945737	chr9:101552714:+_vs_chr9:101554757:+	-0.993023255813954	chr9:101552562:+;chr9:101552714:+;chr9:101554757:+;chr9:101563344:+	proximal	TRUE
MFSD11	24.0655381944444	9.31118549322296e-07	1.70060287087248e-05	1	0	-1	chr17:76778725:+_vs_chr17:76779284:+	-2	chr17:76778725:+;chr17:76779284:+	proximal	TRUE
USP40	24.0655381944444	9.31118549322296e-07	1.70060287087248e-05	0	1	1	chr2:233519630:-_vs_chr2:233476487:-	2	chr2:233476487:-;chr2:233519630:-	distal	TRUE
SRRM2	33.5109785357656	9.3867686354676e-07	1.70060287087248e-05	0.369791666666667	0.399769585253456	0.0299779185867896	chr16:2758536:+_vs_chr16:2771408:+	0.217069892473118	chr16:2757819:+;chr16:2758536:+;chr16:2759032:+;chr16:2760492:+;chr16:2771408:+	distal	TRUE
ATAD2	23.9574996665333	9.84858999006087e-07	1.76548934242881e-05	0	0.823529411764706	0.823529411764706	chr8:123370969:-_vs_chr8:123325283:-	1.64705882352941	chr8:123325283:-;chr8:123370969:-	distal	TRUE
PRRC2B	23.7190519323672	1.11473537041658e-06	1.97749409981192e-05	0	0.857142857142857	0.857142857142857	chr9:131473602:+_vs_chr9:131496532:+	1.71428571428571	chr9:131473602:+;chr9:131496532:+	distal	TRUE
PSME3IP1	27.3262032085561	1.16463642141429e-06	2.04471734605004e-05	0.119047619047619	0.80952380952381	0.69047619047619	chr16:57153736:-_vs_chr16:57152468:-	1.38095238095238	chr16:57152468:-;chr16:57153533:-;chr16:57153736:-	distal	TRUE
PGRMC2	30.3118203309693	1.18657610591592e-06	2.06197868201511e-05	0.621212121212121	0.304964539007092	-0.316247582205029	chr4:128270140:-_vs_chr4:128269298:-	-0.636847195357834	chr4:128269250:-;chr4:128269298:-;chr4:128270140:-;chr4:128270748:-	proximal	TRUE
XRCC1	23.5601621685606	1.21068314131175e-06	2.08022357913692e-05	0.515151515151515	0.916666666666667	0.401515151515151	chr19:43552856:-_vs_chr19:43543311:-	0.803030303030303	chr19:43543311:-;chr19:43552856:-	distal	TRUE
VPS29	30.251937978464	1.22150533126067e-06	2.08022357913692e-05	0.434343434343434	0.687943262411348	0.253599828067913	chr12:110496377:-_vs_chr12:110491624:-	0.486137975499678	chr12:110491582:-;chr12:110491624:-;chr12:110491923:-;chr12:110496377:-	distal	TRUE
SCRN1	29.8503703360236	1.4837786282244e-06	2.50185643947144e-05	0.540740740740741	0.401041666666667	-0.139699074074074	chr7:29923016:-_vs_chr7:29920109:-	-0.530555555555556	chr7:29920109:-;chr7:29920259:-;chr7:29923016:-;chr7:29923891:-	proximal	TRUE
