gene_id	chisq	pvalue	adj_pvalue	ExDp	ExMU	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
RPL15	45.0984815570077	1.30870376936107e-07	1.42186815412347e-05	0.652643879637745	0.576516634050881	0.0761272455868639	chr3:23919552:+_vs_chr3:23920772:+	0.223746533322128	chr3:23919320:+;chr3:23919552:+;chr3:23919656:+;chr3:23919783:+;chr3:23919961:+;chr3:23920585:+;chr3:23920772:+;chr3:23920847:+	distal	TRUE
TERF2IP	33.0923828433748	3.07935094610756e-07	3.15975622081148e-05	0.469483568075117	0.536130536130536	-0.0666469680554188	chr16:75656801:+_vs_chr16:75657432:+	-0.308677238254703	chr16:75654357:+;chr16:75656326:+;chr16:75656801:+;chr16:75657432:+	proximal	TRUE
EEF1A1	40.6254280249521	3.43164984751583e-07	3.33592487808512e-05	0.972064008679143	0.972709119147992	-0.000645110468849186	chr6:73517595:-_vs_chr6:73517515:-	0.0372681280705558	chr6:73517515:-;chr6:73517595:-;chr6:73517711:-;chr6:73518513:-;chr6:73519012:-;chr6:73519090:-;chr6:73519918:-	distal	FALSE
ANK2	40.2383238614468	4.08935657251605e-07	3.63859778401745e-05	0.36	0.465608465608466	-0.105608465608466	chr4:113238732:+_vs_chr4:113336669:+	-0.377142857142857	chr4:113238732:+;chr4:113336669:+;chr4:113341882:+;chr4:113353496:+;chr4:113353763:+;chr4:113354864:+;chr4:113383732:+	proximal	TRUE
ITSN1	42.5154041041182	4.13700885026348e-07	3.63859778401745e-05	0.409468438538206	0.276422764227642	0.133045674310564	chr21:33797451:+_vs_chr21:33837369:+	0.266118358858007	chr21:33772324:+;chr21:33774850:+;chr21:33794454:+;chr21:33797451:+;chr21:33818349:+;chr21:33837369:+;chr21:33838494:+;chr21:33899868:+	distal	TRUE
NELL2	34.8667038035509	4.94761368435518e-07	3.97898762695696e-05	0.77662037037037	0.737823439878234	0.038796930492136	chr12:44508540:-_vs_chr12:44508428:-	-0.129693049213597	chr12:44508281:-;chr12:44508428:-;chr12:44508540:-;chr12:44508873:-;chr12:44665440:-	proximal	FALSE
TPR	32.1014734945362	4.9819906091555e-07	3.97898762695696e-05	0.712121212121212	0.319444444444444	0.392676767676768	chr1:186359936:-_vs_chr1:186338063:-	0.825757575757576	chr1:186338063:-;chr1:186355500:-;chr1:186359936:-;chr1:186363420:-	distal	TRUE
SMARCA5	34.7590684483542	5.20593438069329e-07	3.97898762695696e-05	0.655405405405405	0.442857142857143	0.212548262548263	chr4:143544781:+_vs_chr4:143550064:+	0.55945945945946	chr4:143528017:+;chr4:143543538:+;chr4:143543971:+;chr4:143544781:+;chr4:143550064:+	distal	TRUE
DDX5	28.8162640298708	5.52876042625098e-07	3.97898762695696e-05	0.390243902439024	0.433962264150943	-0.043718361711919	chr17:64502479:-_vs_chr17:64499620:-	-0.310354348826507	chr17:64498254:-;chr17:64499620:-;chr17:64502479:-	proximal	TRUE
ARMCX5-GPRASP2	28.7902389705882	5.60117370335035e-07	3.97898762695696e-05	0.764705882352941	0.2125	0.552205882352941	chrX:102639488:+_vs_chrX:102901662:+	1.10441176470588	chrX:102639488:+;chrX:102641716:+;chrX:102901662:+	distal	TRUE
WARS1	28.7010875118916	5.85649847429257e-07	4.00627877111791e-05	0.634615384615385	0.365853658536585	0.268761726078799	chr14:100334477:-_vs_chr14:100334326:-	1.0609756097561	chr14:100333790:-;chr14:100334326:-;chr14:100334477:-	distal	TRUE
FADS2	24.4576197696235	7.59624877779506e-07	5.01081124735267e-05	0.470588235294118	0.951219512195122	-0.480631276901004	chr11:61864229:+_vs_chr11:61867354:+	-0.961262553802009	chr11:61864229:+;chr11:61867354:+	proximal	TRUE
CNN3	36.0735705188546	9.18163089572473e-07	5.7325865353276e-05	0.28	0.627745664739884	-0.347745664739884	chr1:94897502:-_vs_chr1:94896957:-	-0.642389210019268	chr1:94896957:-;chr1:94897208:-;chr1:94897406:-;chr1:94897502:-;chr1:94897617:-;chr1:94901708:-	proximal	TRUE
PLEKHG4B	24.0655381944444	9.31118549322296e-07	5.7325865353276e-05	1	0	1	chr5:157099:+_vs_chr5:163307:+	2	chr5:157099:+;chr5:163307:+	distal	TRUE
SYT4	44.7855466274368	1.0108643936649e-06	6.02279527451315e-05	0.520325203252032	0.59676970203286	-0.0764444987808275	chr18:43273789:-_vs_chr18:43267892:-	-0.36939910752491	chr18:43267892:-;chr18:43268254:-;chr18:43268373:-;chr18:43268761:-;chr18:43268931:-;chr18:43269513:-;chr18:43269980:-;chr18:43273593:-;chr18:43273789:-;chr18:43274193:-	proximal	TRUE
CDK11B	38.0157666894509	1.11541627313114e-06	6.43804330147877e-05	0.515503875968992	0.505167958656331	0.0103359173126615	chr1:1641068:-_vs_chr1:1635226:-	-0.348837209302326	chr1:1635226:-;chr1:1635587:-;chr1:1638503:-;chr1:1641068:-;chr1:1649576:-;chr1:1649608:-;chr1:1652491:-	proximal	TRUE
GRSF1	33.0332818073466	1.17588492544337e-06	6.58139229483004e-05	0.869047619047619	0.411290322580645	0.457757296466974	chr4:70820653:-_vs_chr4:70819531:-	0.78110599078341	chr4:70819531:-;chr4:70819774:-;chr4:70820653:-;chr4:70820709:-;chr4:70827867:-	distal	TRUE
GSDME	26.7955047955048	1.51855338336275e-06	8.24931793844412e-05	0.851351351351351	0.380952380952381	0.47039897039897	chr7:24707279:-_vs_chr7:24698357:-	0.940797940797941	chr7:24698357:-;chr7:24698521:-;chr7:24707279:-	distal	TRUE
TCEAL4	31.9151307825722	1.99104422381363e-06	0.000104566963153112	0.76953125	0.557339449541284	0.212191800458716	chrX:103586720:+_vs_chrX:103587712:+	0.454845183486239	chrX:103586720:+;chrX:103586891:+;chrX:103587063:+;chrX:103587518:+;chrX:103587712:+	distal	TRUE
CPE	26.2069638756018	2.03812164239959e-06	0.000104566963153112	0.883177570093458	0.583333333333333	0.299844236760125	chr4:165495647:+_vs_chr4:165498177:+	0.599688473520249	chr4:165495647:+;chr4:165497756:+;chr4:165498177:+	distal	TRUE
LDLRAD3	21.1541029750164	4.23792968363675e-06	0.000211552868261542	0	1	-1	chr11:36099569:+_vs_chr11:36231324:+	-2	chr11:36099569:+;chr11:36231324:+	proximal	TRUE
UBR5	24.5199856665074	4.73753863116336e-06	0.000230267403082535	0.5	0.2	0.3	chr8:102326601:-_vs_chr8:102311326:-	0.932307692307693	chr8:102293955:-;chr8:102311326:-;chr8:102326601:-	distal	TRUE
KIAA0319	20.8908284697758	4.862170395354e-06	0.000230267403082535	0.153846153846154	1	-0.846153846153846	chr6:24582282:-_vs_chr6:24551463:-	-1.69230769230769	chr6:24551463:-;chr6:24582282:-	proximal	TRUE
MEF2C	55.7059992613469	5.27526766427231e-06	0.000243585484397774	0.263888888888889	0.340403819520373	-0.0765149306314843	chr5:88823843:-_vs_chr5:88721929:-	-0.251497315159025	chr5:88718241:-;chr5:88719204:-;chr5:88719762:-;chr5:88719966:-;chr5:88720192:-;chr5:88720251:-;chr5:88720825:-;chr5:88721054:-;chr5:88721653:-;chr5:88721776:-;chr5:88721929:-;chr5:88721967:-;chr5:88722056:-;chr5:88722432:-;chr5:88731797:-;chr5:88803025:-;chr5:88803551:-;chr5:88823843:-	proximal	TRUE
CCT8	24.2176265092932	5.5107311161435e-06	0.000247834795554851	0.761682242990654	0.79595015576324	-0.0342679127725859	chr21:29063484:-_vs_chr21:29061272:-	-0.277258566978193	chr21:29056326:-;chr21:29061272:-;chr21:29063484:-	proximal	TRUE
REV3L	20.6081196581197	5.63565858868638e-06	0.000247834795554851	0	0.923076923076923	-0.923076923076923	chr6:111405483:-_vs_chr6:111380056:-	-1.84615384615385	chr6:111380056:-;chr6:111405483:-	proximal	TRUE
KLHL7	26.8643484848485	6.28573788792054e-06	0.00026999436927882	0.681818181818182	0.466666666666667	0.215151515151515	chr7:23126468:+_vs_chr7:23174518:+	0.69	chr7:23126468:+;chr7:23174518:+;chr7:23175304:+;chr7:23175421:+	distal	TRUE
GIGYF2	31.7712698270941	6.59412008676807e-06	0.000276803177278651	0.313725490196078	0.459615384615385	-0.145889894419306	chr2:232791139:+_vs_chr2:232845768:+	-0.451357466063348	chr2:232791139:+;chr2:232817024:+;chr2:232819928:+;chr2:232819982:+;chr2:232844559:+;chr2:232845768:+	proximal	TRUE
MAP2	56.6075554446978	7.14344143269393e-06	0.000293198585026349	0.474718196457327	0.411378312179915	0.0633398842774114	chr2:209730502:+_vs_chr2:209734112:+	0.121634573494816	chr2:209580099:+;chr2:209692830:+;chr2:209692958:+;chr2:209693272:+;chr2:209693437:+;chr2:209693544:+;chr2:209693923:+;chr2:209694036:+;chr2:209694505:+;chr2:209695067:+;chr2:209695108:+;chr2:209696647:+;chr2:209696704:+;chr2:209725730:+;chr2:209729898:+;chr2:209730502:+;chr2:209730895:+;chr2:209733900:+;chr2:209734112:+	distal	FALSE
SYNCRIP	28.6059455494671	9.39882697652493e-06	0.000377383335340034	0.61	0.470779220779221	0.139220779220779	chr6:85640447:-_vs_chr6:85612587:-	0.583896103896104	chr6:85611320:-;chr6:85612587:-;chr6:85618847:-;chr6:85618899:-;chr6:85640447:-	distal	TRUE
KLHL32	25.6564025448236	1.12552214140193e-05	0.000442306254291354	0.474358974358974	0.311111111111111	0.163247863247863	chr6:97114743:+_vs_chr6:97140017:+	0.646153846153846	chr6:97114743:+;chr6:97140017:+;chr6:97140397:+;chr6:97140753:+	distal	TRUE
EXT2	19.1346973572037	1.21810187383526e-05	0.000468715450202858	0.823529411764706	0.0869565217391304	0.736572890025575	chr11:44244929:+_vs_chr11:44245425:+	1.47314578005115	chr11:44244929:+;chr11:44245425:+	distal	TRUE
TMEM50A	22.438055197967	1.34164686888999e-05	0.000505718727926492	0.323170731707317	0.234806629834254	0.088364101873063	chr1:25360982:+_vs_chr1:25362253:+	0.281296321250505	chr1:25360982:+;chr1:25362253:+;chr1:25362361:+	distal	TRUE
PAICS	22.3405870445344	1.40865020251659e-05	0.00052035538480963	0.368421052631579	0.692307692307692	-0.323886639676113	chr4:56450674:+_vs_chr4:56459542:+	-1.08906882591093	chr4:56450674:+;chr4:56459542:+;chr4:56459648:+	proximal	TRUE
TUSC3	22.2365014055712	1.48390149154981e-05	0.00053740510880245	0.691860465116279	0.516483516483517	0.175376948632763	chr8:15764486:+_vs_chr8:15764594:+	0.402121134679274	chr8:15764486:+;chr8:15764594:+;chr8:15764650:+	distal	TRUE
SF3B1	22.0721278999989	1.61101032779317e-05	0.00056486328499923	0.261904761904762	0.5	-0.238095238095238	chr2:197408481:-_vs_chr2:197405105:-	-0.502611367127496	chr2:197391980:-;chr2:197405105:-;chr2:197408481:-	proximal	TRUE
CLIP1	22.0599057923959	1.62088544152459e-05	0.00056486328499923	0.41025641025641	0.261194029850746	0.149062380405664	chr12:122341223:-_vs_chr12:122341087:-	0.761576731725985	chr12:122340982:-;chr12:122341087:-;chr12:122341223:-	distal	TRUE
LIMCH1	24.825801066409	1.67910963449217e-05	0.000574317684242043	0.625	0.72310405643739	-0.0981040564373897	chr4:41646280:+_vs_chr4:41661485:+	-0.491402116402116	chr4:41619372:+;chr4:41646280:+;chr4:41661485:+;chr4:41662924:+	proximal	TRUE
ABI2	27.2536574933457	1.76641866918916e-05	0.000593195505816795	0.355263157894737	0.607954545454545	-0.252691387559809	chr2:203427508:+_vs_chr2:203427582:+	-0.651913875598086	chr2:203427456:+;chr2:203427508:+;chr2:203427582:+;chr2:203428590:+;chr2:203429607:+	proximal	TRUE
GHITM	18.3463636363636	1.84170160120765e-05	0.000601610694346288	1	0.259259259259259	0.740740740740741	chr10:84152547:+_vs_chr10:84153120:+	1.48148148148148	chr10:84152547:+;chr10:84153120:+	distal	TRUE
SEMA3C	27.1467241353823	1.85662206701345e-05	0.000601610694346288	0.402439024390244	0.495098039215686	-0.0926590148254424	chr7:80743984:-_vs_chr7:80742538:-	-0.542802486848398	chr7:80742538:-;chr7:80743984:-;chr7:80744049:-;chr7:80744367:-;chr7:80744420:-	proximal	TRUE
HSPA5	26.7901762277024	2.1918027885415e-05	0.000697975819040715	0.72972972972973	0.529585798816568	0.200143930913162	chr9:125236992:-_vs_chr9:125236247:-	0.40628498320806	chr9:125236247:-;chr9:125236755:-;chr9:125236815:-;chr9:125236992:-;chr9:125240207:-	distal	TRUE
HDAC2	26.6285776297766	2.3629123534222e-05	0.000739711714706917	0.603618421052632	0.649539877300613	-0.0459214562479818	chr6:113958739:-_vs_chr6:113943369:-	-0.206974491443332	chr6:113940717:-;chr6:113941015:-;chr6:113943369:-;chr6:113945368:-;chr6:113958739:-	proximal	TRUE
RPL22	26.4889418871887	2.52142280874854e-05	0.000776177987959758	0.282692307692308	0.348599137931034	-0.0659068302387268	chr1:6186615:-_vs_chr1:6185119:-	-0.284781167108753	chr1:6185020:-;chr1:6185119:-;chr1:6186042:-;chr1:6186218:-;chr1:6186615:-	proximal	TRUE
PLPPR5	17.5143741707209	2.85143728696074e-05	0.000849532078524139	0	0.736842105263158	-0.736842105263158	chr1:98892807:-_vs_chr1:98892368:-	-1.47368421052632	chr1:98892368:-;chr1:98892807:-	proximal	TRUE
SRGAP1	20.930016902133	2.85170486564681e-05	0.000849532078524139	0.34375	0.235849056603774	0.107900943396226	chr12:64142719:+_vs_chr12:64147019:+	0.514740566037736	chr12:64042972:+;chr12:64142719:+;chr12:64147019:+	distal	TRUE
SRI	20.7331506769566	3.14668691554017e-05	0.000909715296293894	0.513513513513514	0.273504273504274	0.24000924000924	chr7:88206289:-_vs_chr7:88205851:-	0.743127743127743	chr7:88205115:-;chr7:88205851:-;chr7:88206289:-	distal	TRUE
TUBB2B	20.7296275309195	3.15223491948074e-05	0.000909715296293894	0.0420991926182238	0.0841913991520291	-0.0420922065338053	chr6:3224496:-_vs_chr6:3224264:-	-0.0841844130676107	chr6:3224264:-;chr6:3224403:-;chr6:3224496:-	proximal	FALSE
AASDHPPT	17.0665954099622	3.60915865900832e-05	0.00102555631433667	0.228571428571429	0.681818181818182	-0.453246753246753	chr11:106091462:+_vs_chr11:106098695:+	-0.906493506493506	chr11:106091462:+;chr11:106098695:+	proximal	TRUE
SH3BGRL	20.3188382768362	3.87097466422005e-05	0.00108328639466885	0.1875	0.779661016949153	-0.592161016949153	chrX:81297520:+_vs_chrX:81298547:+	-1.18432203389831	chrX:81297520:+;chrX:81297584:+;chrX:81298547:+	proximal	TRUE
GARS1	16.8420807879073	4.06224797624918e-05	0.00111984656897496	0.133333333333333	0.8125	-0.679166666666667	chr7:30633941:+_vs_chr7:30634033:+	-1.35833333333333	chr7:30633941:+;chr7:30634033:+	proximal	TRUE
TMEM59	20.1059039912841	4.30584528986149e-05	0.0011695435662315	0.234848484848485	0.38785046728972	-0.153001982441235	chr1:54032015:-_vs_chr1:54031676:-	-0.671056357972246	chr1:54030397:-;chr1:54031676:-;chr1:54032015:-	proximal	TRUE
SEC62	25.076510381173	4.85587673920373e-05	0.00129590404142726	0.50625	0.551724137931034	-0.0454741379310345	chr3:169982785:+_vs_chr3:169982895:+	0.387068965517241	chr3:169982743:+;chr3:169982785:+;chr3:169982895:+;chr3:169992967:+;chr3:169994158:+	distal	TRUE
TMEM30A	16.4787037037037	4.91996117909135e-05	0.00129590404142726	0.333333333333333	0.92	-0.586666666666667	chr6:75253626:-_vs_chr6:75252924:-	-1.17333333333333	chr6:75252924:-;chr6:75253626:-	proximal	TRUE
TTC13	19.8143696581197	4.98154774993693e-05	0.00129590404142726	0.270833333333333	0.884615384615385	-0.613782051282051	chr1:230906593:-_vs_chr1:230906243:-	-1.2275641025641	chr1:230906243:-;chr1:230906564:-;chr1:230906593:-	proximal	TRUE
EIF3J	27.2484956549465	5.10250791459124e-05	0.00130259236871513	0.294117647058824	0.651020408163265	-0.356902761104442	chr15:44557578:+_vs_chr15:44562089:+	-0.845738295318127	chr15:44551499:+;chr15:44557578:+;chr15:44560321:+;chr15:44561631:+;chr15:44561702:+;chr15:44562089:+	proximal	TRUE
PAPOLA	22.4937958665638	5.1483076836061e-05	0.00130259236871513	0.373333333333333	0.482905982905983	-0.10957264957265	chr14:96556333:+_vs_chr14:96556405:+	-0.418974358974359	chr14:96532696:+;chr14:96547917:+;chr14:96556333:+;chr14:96556405:+	proximal	TRUE
ZNF644	19.6174306734578	5.49704199373764e-05	0.00137203196789641	0.3	0.483870967741935	-0.183870967741936	chr1:90939787:-_vs_chr1:90915860:-	-0.890322580645161	chr1:90915860:-;chr1:90939787:-;chr1:90940396:-	proximal	TRUE
OSBPL8	24.7445012297987	5.66244943076151e-05	0.0013944725464822	0.478260869565217	0.378289473684211	0.0999713958810069	chr12:76356694:-_vs_chr12:76355335:-	0.518878718535469	chr12:76355335:-;chr12:76356633:-;chr12:76356694:-;chr12:76390583:-;chr12:76399941:-	distal	TRUE
SRPK2	29.0447010925921	5.96632651611999e-05	0.00144997435200969	0.307017543859649	0.385869565217391	-0.0788520213577422	chr7:105143286:-_vs_chr7:105133033:-	-0.232101994115724	chr7:105116376:-;chr7:105117537:-;chr7:105133033:-;chr7:105142445:-;chr7:105143132:-;chr7:105143197:-;chr7:105143286:-	proximal	TRUE
GTF3A	19.4198654765187	6.06777952458831e-05	0.00145547906258631	0.634615384615385	0.779569892473118	-0.144954507857734	chr13:27435181:+_vs_chr13:27435688:+	-0.666666666666667	chr13:27429957:+;chr13:27435181:+;chr13:27435688:+	proximal	TRUE
MKKS	19.3645262983242	6.23801682779193e-05	0.00146030676876932	0.642857142857143	0.646341463414634	-0.00348432055749126	chr20:10413545:-_vs_chr20:10405184:-	-0.89198606271777	chr20:10405184:-;chr20:10413545:-;chr20:10413708:-	proximal	TRUE
KDM1A	22.0905892557055	6.24603328277078e-05	0.00146030676876932	0.133333333333333	0.465116279069767	-0.331782945736434	chr1:23055165:+_vs_chr1:23072168:+	-0.583720930232558	chr1:23055165:+;chr1:23071272:+;chr1:23072168:+;chr1:23083686:+	proximal	TRUE
NASP	24.4778750739871	6.40545665092953e-05	0.00146183848634256	0.455555555555556	0.708791208791209	-0.253235653235653	chr1:45613202:+_vs_chr1:45615364:+	-0.463980463980464	chr1:45608306:+;chr1:45613202:+;chr1:45614180:+;chr1:45615364:+;chr1:45618247:+	proximal	TRUE
MORN4	15.9667224080268	6.44657708662226e-05	0.00146183848634256	0.0769230769230769	0.826086956521739	-0.749163879598662	chr10:97619396:-_vs_chr10:97614551:-	-1.49832775919732	chr10:97614551:-;chr10:97619396:-	proximal	TRUE
SUN1	19.2853182623004	6.49002468219221e-05	0.00146183848634256	0.367647058823529	0.625	-0.257352941176471	chr7:845517:+_vs_chr7:874899:+	-0.808823529411765	chr7:843812:+;chr7:845517:+;chr7:874899:+	proximal	TRUE
CNDP2	15.9214782284097	6.60252009653821e-05	0.001469259592567	0.0909090909090909	0.638297872340426	-0.547388781431335	chr18:74520496:+_vs_chr18:74521125:+	-1.09477756286267	chr18:74520496:+;chr18:74521125:+	proximal	TRUE
GTF2IP1	19.0368300614236	7.34860452208777e-05	0.00161581816098763	0.210526315789474	0.674418604651163	-0.463892288861689	chr7:75210568:-_vs_chr7:75196613:-	-0.927784577723378	chr7:75196613:-;chr7:75201121:-;chr7:75210568:-	proximal	TRUE
WASH8P	15.6794028340081	7.5036882880609e-05	0.00163050732565276	0	0.844444444444444	-0.844444444444444	chr12:16557:-_vs_chr12:14519:-	-1.68888888888889	chr12:14519:-;chr12:16557:-	proximal	TRUE
TMEM150C	18.7298674662869	8.56763499967633e-05	0.00184004905167467	0.25	0.136986301369863	0.113013698630137	chr4:82484570:-_vs_chr4:82483957:-	0.536203522504892	chr4:82483783:-;chr4:82483957:-;chr4:82484570:-	distal	TRUE
EIF1	21.3091009626889	9.08067865255372e-05	0.00191771419091943	0.581424936386768	0.608732157850546	-0.0273072214637773	chr17:41690999:+_vs_chr17:41691644:+	-0.145759224719749	chr17:41689941:+;chr17:41690999:+;chr17:41691644:+;chr17:41692668:+	proximal	FALSE
ZFR	23.7085585323851	9.13691655662749e-05	0.00191771419091943	0.450892857142857	0.496987951807229	-0.0460950946643717	chr5:32404030:-_vs_chr5:32397219:-	-0.486876075731497	chr5:32388486:-;chr5:32395232:-;chr5:32397219:-;chr5:32404030:-;chr5:32406855:-	proximal	TRUE
NOP56	23.6487483015407	9.39238171573056e-05	0.00194370704665369	0.663793103448276	0.488	0.175793103448276	chr20:2658039:+_vs_chr20:2658391:+	0.506068965517241	chr20:2657155:+;chr20:2657960:+;chr20:2658039:+;chr20:2658266:+;chr20:2658391:+	distal	TRUE
OGA	23.6220740588795	9.50858907063858e-05	0.00194370704665369	0.35	0.31043956043956	0.0395604395604396	chr10:101800363:-_vs_chr10:101799277:-	0.517032967032967	chr10:101784450:-;chr10:101786015:-;chr10:101799218:-;chr10:101799277:-;chr10:101800363:-	distal	TRUE
MACF1	29.9554878418503	9.67615664851421e-05	0.00194370704665369	0.250965250965251	0.308641975308642	-0.057676724343391	chr1:39284395:+_vs_chr1:39285142:+	0.228228228228228	chr1:39284395:+;chr1:39285142:+;chr1:39285360:+;chr1:39368309:+;chr1:39429270:+;chr1:39435668:+;chr1:39441254:+;chr1:39486985:+	distal	TRUE
C12orf43	21.1751402798494	9.68170266876772e-05	0.00194370704665369	0.456140350877193	0.42962962962963	0.0265107212475633	chr12:121003194:-_vs_chr12:121003015:-	-0.748538011695906	chr12:121003015:-;chr12:121003194:-;chr12:121004223:-;chr12:121004371:-	proximal	TRUE
RAN	21.058759344651	0.000102359140565097	0.00203287454434123	0.338235294117647	0.168300653594771	0.169934640522876	chr12:130876281:+_vs_chr12:130877678:+	0.377450980392157	chr12:130876281:+;chr12:130877306:+;chr12:130877346:+;chr12:130877678:+	distal	TRUE
SMARCC1	18.3228875291375	0.000105011177134843	0.00206335791668144	0.65	0.384615384615385	0.265384615384615	chr3:47701280:-_vs_chr3:47689396:-	1.16153846153846	chr3:47635294:-;chr3:47689396:-;chr3:47701280:-	distal	TRUE
NEXMIF	14.8836419753086	0.000114350288609929	0.00220058682095697	0	0.666666666666667	-0.666666666666667	chrX:74743405:-_vs_chrX:74742967:-	-1.33333333333333	chrX:74742967:-;chrX:74743405:-	proximal	TRUE
CDC42	23.2093576073612	0.000114996286086214	0.00220058682095697	0.282958199356913	0.358349900596421	-0.0753917012395083	chr1:22090127:+_vs_chr1:22091599:+	-0.152768277793049	chr1:22090127:+;chr1:22090807:+;chr1:22091599:+;chr1:22092414:+;chr1:22092943:+	proximal	FALSE
TLE5	18.1312764381661	0.000115569529849933	0.00220058682095697	0.788461538461538	0.354545454545455	0.433916083916084	chr19:3053159:-_vs_chr19:3052910:-	0.867832167832168	chr19:3052910:-;chr19:3053062:-;chr19:3053159:-	distal	TRUE
SRRT	18.0629914529915	0.000119583495137206	0.00223633834670945	0.589285714285714	0.657142857142857	-0.0678571428571428	chr7:100882651:+_vs_chr7:100884837:+	-0.657142857142857	chr7:100882651:+;chr7:100884837:+;chr7:100888661:+	proximal	TRUE
