gene_id	chisq	pvalue	adj_pvalue	PgG2M	vRG	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
RBM25	36.9413561553654	1.85211312847377e-07	5.24148015358078e-06	0.75	0.450892857142857	0.299107142857143	chr14:73101179:+_vs_chr14:73111711:+	0.696428571428571	chr14:73101179:+;chr14:73106259:+;chr14:73107849:+;chr14:73110926:+;chr14:73111711:+	distal	TRUE
AZIN2	26.7856973140496	2.2731353880716e-07	6.22545788539609e-06	0	1	-1	chr1:33120394:+_vs_chr1:33120526:+	-2	chr1:33120394:+;chr1:33120526:+	proximal	TRUE
PAPOLA	35.26999316473	4.08834571725499e-07	1.08468922310921e-05	0.631578947368421	0.517857142857143	0.113721804511278	chr14:96534618:+_vs_chr14:96547917:+	0.949248120300752	chr14:96532696:+;chr14:96534618:+;chr14:96542884:+;chr14:96547917:+;chr14:96556405:+	distal	TRUE
PRPF6	25.5234375	4.37041520839826e-07	1.12438863997882e-05	0.958333333333333	0.233333333333333	0.725	chr20:63984997:+_vs_chr20:64033097:+	1.45	chr20:63984997:+;chr20:64033097:+	distal	TRUE
PLPP5	25.4042490118577	4.64893028052448e-07	1.16086523769567e-05	1	0.0416666666666667	0.958333333333333	chr8:38266982:-_vs_chr8:38263509:-	1.91666666666667	chr8:38263509:-;chr8:38266982:-	distal	TRUE
HNRNPU	37.3188035901548	5.16961974957812e-07	1.25400204782624e-05	0.351162790697674	0.445689655172414	-0.0945268644747393	chr1:244858777:-_vs_chr1:244855993:-	-0.366880513231756	chr1:244853388:-;chr1:244854436:-;chr1:244855993:-;chr1:244856592:-;chr1:244858777:-;chr1:244862694:-	proximal	TRUE
GUSBP3	25.1334977324263	5.34954762954729e-07	1.26160164930157e-05	1	0	1	chr5:70480997:-_vs_chr5:70480373:-	2	chr5:70480373:-;chr5:70480997:-	distal	TRUE
EEF1A1	28.7897266793573	5.60260860319986e-07	1.28557154165316e-05	0.970786516853933	0.984892992026857	-0.0141064751729243	chr6:73517595:-_vs_chr6:73517515:-	-0.0537439824223079	chr6:73517515:-;chr6:73517595:-;chr6:73519012:-	proximal	FALSE
MFAP4	24.4323629586787	7.69648722762685e-07	1.71955727796189e-05	0.0526315789473684	1	-0.947368421052632	chr17:19383662:-_vs_chr17:19383459:-	-1.89473684210526	chr17:19383459:-;chr17:19383662:-	proximal	TRUE
NR2E1	24.3305814296697	8.11405848900947e-07	1.76636811722283e-05	0.55	0.974025974025974	-0.424025974025974	chr6:108188237:+_vs_chr6:108188790:+	-0.848051948051948	chr6:108188237:+;chr6:108188790:+	proximal	TRUE
IQCC	24.1238132807364	9.03362553870657e-07	1.91738702059047e-05	0	1	-1	chr1:32208454:+_vs_chr1:32208680:+	-2	chr1:32208454:+;chr1:32208680:+	proximal	TRUE
CCDC50	27.0645219198791	1.32743644598639e-06	2.71816751037647e-05	0.5625	0.314285714285714	0.248214285714286	chr3:191369975:+_vs_chr3:191380863:+	1.06071428571429	chr3:191369975:+;chr3:191380863:+;chr3:191392150:+	distal	TRUE
TTC14	23.3582199355226	1.34467650690002e-06	2.71816751037647e-05	0.923076923076923	0	0.923076923076923	chr3:180608761:+_vs_chr3:180609065:+	1.84615384615385	chr3:180608761:+;chr3:180609065:+	distal	TRUE
ZNF48	23.1430609225939	1.50384910670794e-06	2.96922765487219e-05	1	0	1	chr16:30399237:+_vs_chr16:30399396:+	2	chr16:30399237:+;chr16:30399396:+	distal	TRUE
PABPC1	29.5053966317437	1.75351739640223e-06	3.3834915216943e-05	0.536082474226804	0.672683513838748	-0.136601039611944	chr8:100703295:-_vs_chr8:100703118:-	-0.471137742379694	chr8:100702930:-;chr8:100703118:-;chr8:100703295:-;chr8:100718160:-	proximal	TRUE
ACTR3	26.1916264090177	2.05381153760995e-06	3.87485776762411e-05	0.192307692307692	0.717948717948718	-0.525641025641026	chr2:113957876:+_vs_chr2:113958257:+	-1.05128205128205	chr2:113957876:+;chr2:113958184:+;chr2:113958257:+	proximal	TRUE
RPL15	29.0352119401843	2.20159842647984e-06	3.97955003813967e-05	0.210401891252955	0.382905982905983	-0.172504091653028	chr3:23919552:+_vs_chr3:23920847:+	-0.355664666302964	chr3:23919552:+;chr3:23919783:+;chr3:23920772:+;chr3:23920847:+	proximal	TRUE
CCT5	26.0513365848205	2.20304890215035e-06	3.97955003813967e-05	0.731884057971014	0.892241379310345	-0.16035732133933	chr5:10258499:+_vs_chr5:10265080:+	-0.320714642678661	chr5:10258499:+;chr5:10264926:+;chr5:10265080:+	proximal	TRUE
ZC3H14	22.1318735827664	2.54548085554231e-06	4.50231926324046e-05	1	0	1	chr14:88574767:+_vs_chr14:88613509:+	2	chr14:88574767:+;chr14:88613509:+	distal	TRUE
FTSJ1	22.0644260789715	2.63650744959043e-06	4.56815270347403e-05	1	0	1	chrX:48486299:+_vs_chrX:48486345:+	2	chrX:48486299:+;chrX:48486345:+	distal	TRUE
ILF3	25.1727272727273	3.41831220380658e-06	5.80429412206357e-05	0.1875	0.6	-0.4125	chr19:10681104:+_vs_chr19:10683493:+	-0.831818181818182	chr19:10681104:+;chr19:10683493:+;chr19:10689844:+	proximal	TRUE
CBX5	27.7986836572552	4.0031365367301e-06	6.66404494055657e-05	0.649122807017544	0.463768115942029	0.185354691075515	chr12:54240386:-_vs_chr12:54230946:-	0.54233409610984	chr12:54230946:-;chr12:54240386:-;chr12:54240997:-;chr12:54241769:-	distal	TRUE
ADD1	21.2144156918351	4.10664109807605e-06	6.70488133128186e-05	0.903225806451613	0.314285714285714	0.588940092165899	chr4:2926047:+_vs_chr4:2930062:+	1.1778801843318	chr4:2926047:+;chr4:2930062:+	distal	TRUE
PIAS2	21.1062679203913	4.34504575004365e-06	6.96027139959822e-05	1	0	1	chr18:46818351:-_vs_chr18:46812091:-	2	chr18:46812091:-;chr18:46818351:-	distal	TRUE
ARID4B	24.5993289798437	4.55327187544059e-06	7.15875522638715e-05	0.0588235294117647	0.670454545454545	-0.611631016042781	chr1:235246444:-_vs_chr1:235220428:-	-1.22326203208556	chr1:235220428:-;chr1:235229237:-;chr1:235246444:-	proximal	TRUE
KIF5B	20.8132287289916	5.06320265019803e-06	7.81574372730568e-05	0	0.80952380952381	-0.80952380952381	chr10:32033846:-_vs_chr10:32022200:-	-1.61904761904762	chr10:32022200:-;chr10:32033846:-	proximal	TRUE
TAOK3	24.2543859649123	5.41037050382151e-06	8.2025081388294e-05	0.75	0.289473684210526	0.460526315789474	chr12:118172628:-_vs_chr12:118150591:-	1.32894736842105	chr12:118150591:-;chr12:118172628:-;chr12:118177204:-	distal	TRUE
SURF6	20.1410337913834	7.1936671307617e-06	0.000107147778842398	0	1	-1	chr9:133331167:-_vs_chr9:133331010:-	-2	chr9:133331010:-;chr9:133331167:-	proximal	TRUE
H3-3B	25.9714107339067	9.66976778137417e-06	0.000141545393903218	0.441919191919192	0.539719626168224	-0.0978004342490325	chr17:75778250:-_vs_chr17:75776434:-	-0.213820447465307	chr17:75776434:-;chr17:75777459:-;chr17:75778023:-;chr17:75778250:-	proximal	TRUE
TSN	19.3542353479853	1.08578157266122e-05	0.0001562421279982	0	0.769230769230769	-0.769230769230769	chr2:121765791:+_vs_chr2:121767293:+	-1.53846153846154	chr2:121765791:+;chr2:121767293:+	proximal	TRUE
EZR	30.4128588530694	1.22302258545634e-05	0.000173057695842072	0.258823529411765	0.44453125	-0.185707720588235	chr6:158783582:-_vs_chr6:158770869:-	-0.414751838235294	chr6:158765748:-;chr6:158766193:-;chr6:158766556:-;chr6:158770869:-;chr6:158775200:-;chr6:158783582:-	proximal	TRUE
PHIP	27.9850938026277	1.25599962318047e-05	0.000174810439357413	0.791666666666667	0.34375	0.447916666666667	chr6:78990885:-_vs_chr6:78945395:-	0.842948717948718	chr6:78945395:-;chr6:78946763:-;chr6:78982887:-;chr6:78990885:-;chr6:79015746:-	distal	TRUE
ARL6IP1	25.3125341959962	1.32831379493974e-05	0.000181893292242555	0.583908045977012	0.715762273901809	-0.131854227924797	chr16:18793259:-_vs_chr16:18791667:-	-0.388612670408982	chr16:18791667:-;chr16:18792616:-;chr16:18793259:-;chr16:18795473:-	proximal	TRUE
SPOP	22.2306844225293	1.48822368894619e-05	0.000200172520046825	0.625	0.266233766233766	0.358766233766234	chr17:49599986:-_vs_chr17:49599482:-	1.23051948051948	chr17:49599284:-;chr17:49599482:-;chr17:49599986:-	distal	TRUE
SPECC1L	18.7261904761905	1.50895657043543e-05	0.000200172520046825	0.923076923076923	0	0.923076923076923	chr22:24330405:+_vs_chr22:24334540:+	1.84615384615385	chr22:24330405:+;chr22:24334540:+	distal	TRUE
CCNG1	22.1263840523803	1.56789418999399e-05	0.000204791102662292	0.919354838709677	0.428571428571429	0.490783410138249	chr5:163444279:+_vs_chr5:163445016:+	0.981566820276498	chr5:163444279:+;chr5:163444608:+;chr5:163445016:+	distal	TRUE
TRIM59-IFT80	18.4846212121212	1.71280822725329e-05	0.00022032942196031	0.0625	1	-0.9375	chr3:160438520:-_vs_chr3:160438253:-	-1.875	chr3:160438253:-;chr3:160438520:-	proximal	TRUE
FAM13B	18.3659977175602	1.82282005969675e-05	0.000230981228460081	1	0.153846153846154	0.846153846153846	chr5:137958808:-_vs_chr5:137948988:-	1.69230769230769	chr5:137948988:-;chr5:137958808:-	distal	TRUE
TRA2B	26.9583249126353	2.02683112763712e-05	0.000253055827553516	0.606481481481482	0.420940170940171	0.185541310541311	chr3:185931624:-_vs_chr3:185917328:-	0.391737891737892	chr3:185916744:-;chr3:185917124:-;chr3:185917328:-;chr3:185922057:-;chr3:185931624:-	distal	TRUE
LBR	21.42424145861	2.22733262147496e-05	0.000274058752990179	0.0531914893617021	0.425	-0.371808510638298	chr1:225419345:-_vs_chr1:225401502:-	-0.743617021276596	chr1:225401502:-;chr1:225412293:-;chr1:225419345:-	proximal	TRUE
NAP1L1	24.0785606060606	2.40541338057231e-05	0.000291742280015127	0.59047619047619	0.398809523809524	0.191666666666667	chr12:76047596:-_vs_chr12:76046174:-	0.639285714285714	chr12:76046174:-;chr12:76047596:-;chr12:76049566:-;chr12:76056132:-	distal	TRUE
NOA1	17.5079665432607	2.86106332587692e-05	0.000342118699108381	1	0.153846153846154	0.846153846153846	chr4:56968492:-_vs_chr4:56963350:-	1.69230769230769	chr4:56963350:-;chr4:56968492:-	distal	TRUE
CLIC4	17.08984375	3.56524544615822e-05	0.000420401858859491	0.9375	0.0833333333333333	0.854166666666667	chr1:24842021:+_vs_chr1:24844321:+	1.70833333333333	chr1:24842021:+;chr1:24844321:+	distal	TRUE
BNIP3	16.3695242162201	5.21165027951719e-05	0.000606122066754808	1	0.344827586206897	0.655172413793103	chr10:131968375:-_vs_chr10:131967686:-	1.31034482758621	chr10:131967686:-;chr10:131968375:-	distal	TRUE
RTF1	19.6683146720954	5.35895036736806e-05	0.000608461942509349	0.5	0.391304347826087	0.108695652173913	chr15:41452949:+_vs_chr15:41475761:+	0.83695652173913	chr15:41452949:+;chr15:41475761:+;chr15:41476475:+	distal	TRUE
HNRNPH3	22.3807604546521	5.43503505911979e-05	0.000608461942509349	0.55026455026455	0.570707070707071	-0.0204425204425205	chr10:68342271:+_vs_chr10:68343193:+	0.501443001443001	chr10:68341301:+;chr10:68341788:+;chr10:68342271:+;chr10:68343193:+	distal	TRUE
OSER1	16.2859003831418	5.44677357252185e-05	0.000608461942509349	0.689655172413793	0	0.689655172413793	chr20:44196912:-_vs_chr20:44195939:-	1.37931034482759	chr20:44195939:-;chr20:44196912:-	distal	TRUE
SERF2	19.5618647938792	5.65190732609341e-05	0.000623177833747183	0.125	0.0466666666666667	0.0783333333333333	chr15:43794562:+_vs_chr15:43796001:+	0.165	chr15:43794043:+;chr15:43794562:+;chr15:43796001:+	distal	FALSE
TPR	19.2045021645022	6.75764450088868e-05	0.000735543612981345	0.261904761904762	0.72	-0.458095238095238	chr1:186360828:-_vs_chr1:186313826:-	-0.916190476190476	chr1:186313826:-;chr1:186355500:-;chr1:186360828:-	proximal	TRUE
TOPORS	15.8278679337232	6.93731969650634e-05	0.000745542331940997	0.666666666666667	0	0.666666666666667	chr9:32542849:-_vs_chr9:32542658:-	1.33333333333333	chr9:32542658:-;chr9:32542849:-	distal	TRUE
UGDH	15.7047624024526	7.40375216398084e-05	0.000785723198402467	0.214285714285714	0.91304347826087	-0.698757763975155	chr4:39499414:-_vs_chr4:39498755:-	-1.39751552795031	chr4:39498755:-;chr4:39499414:-	proximal	TRUE
LEMD2	15.4311166774402	8.5567658280653e-05	0.0008968758256824	0	0.764705882352941	-0.764705882352941	chr6:33771398:-_vs_chr6:33771217:-	-1.52941176470588	chr6:33771217:-;chr6:33771398:-	proximal	TRUE
MRPS30	17.8778068909648	0.000131184812638604	0.00135824275524604	0.527777777777778	0.447368421052632	0.0804093567251463	chr5:44815181:+_vs_chr5:44815311:+	1.08479532163743	chr5:44815181:+;chr5:44815311:+;chr5:44815499:+	distal	TRUE
DHX15	14.5648148148148	0.000135419685129609	0.00138519653825347	0.375	0.916666666666667	-0.541666666666667	chr4:24539851:-_vs_chr4:24527475:-	-1.08333333333333	chr4:24527475:-;chr4:24539851:-	proximal	TRUE
AKIRIN2	17.6848264729621	0.000144473676510953	0.00146021608759285	0.602040816326531	0.476190476190476	0.125850340136054	chr6:87675298:-_vs_chr6:87674926:-	0.605442176870748	chr6:87674860:-;chr6:87674926:-;chr6:87675298:-	distal	TRUE
HEY1	14.3587542087542	0.000151075615394801	0.0015089787937669	1	0.259259259259259	0.740740740740741	chr8:79765086:-_vs_chr8:79764013:-	1.48148148148148	chr8:79764013:-;chr8:79765086:-	distal	TRUE
CCNL2	14.307060634171	0.000155281352608266	0.00153295195772578	0.909090909090909	0.0714285714285714	0.837662337662338	chr1:1387335:-_vs_chr1:1385711:-	1.67532467532468	chr1:1385711:-;chr1:1387335:-	distal	TRUE
CUL1	14.2241997708174	0.000162270234041268	0.0015835336632303	1	0.32	0.68	chr7:148797999:+_vs_chr7:148801017:+	1.36	chr7:148797999:+;chr7:148801017:+	distal	TRUE
NAE1	17.4046345811052	0.000166200230185554	0.00160345449349472	0.95	0.575	0.375	chr16:66816644:-_vs_chr16:66802878:-	0.85	chr16:66802878:-;chr16:66816644:-;chr16:66816993:-	distal	TRUE
FBXO5	13.9554080960331	0.000187198351039828	0.00178574606778443	0.837837837837838	0.333333333333333	0.504504504504504	chr6:152971182:-_vs_chr6:152970535:-	1.00900900900901	chr6:152970535:-;chr6:152971182:-	distal	TRUE
PCNX4	13.8857142857143	0.000194269498897417	0.00182898355448019	0.857142857142857	0	0.857142857142857	chr14:60124691:+_vs_chr14:60134812:+	1.71428571428571	chr14:60124691:+;chr14:60134812:+	distal	TRUE
PEA15	17.0743891618892	0.000196039462258772	0.00182898355448019	0.836363636363636	0.947916666666667	-0.11155303030303	chr1:160214819:+_vs_chr1:160215372:+	-0.298484848484848	chr1:160214639:+;chr1:160214819:+;chr1:160215372:+	proximal	TRUE
ERP44	13.6841357937406	0.000216273770188554	0.00199583077054437	0	0.75	-0.75	chr9:99982494:-_vs_chr9:99982143:-	-1.5	chr9:99982143:-;chr9:99982494:-	proximal	TRUE
CAPRIN1	13.4387351778656	0.000246481744198563	0.00225013979381268	1	0.260869565217391	0.739130434782609	chr11:34100493:+_vs_chr11:34101141:+	1.47826086956522	chr11:34100493:+;chr11:34101141:+	distal	TRUE
KPNB1	13.3222049559039	0.00026228157503839	0.00235526720258336	1	0.72972972972973	0.27027027027027	chr17:47680640:+_vs_chr17:47682697:+	0.540540540540541	chr17:47680640:+;chr17:47682697:+	distal	TRUE
HSP90AB1	16.4825667816841	0.000263545800053498	0.00235526720258336	0.597402597402597	0.433333333333333	0.164069264069264	chr6:44250447:+_vs_chr6:44253883:+	0.328138528138528	chr6:44250447:+;chr6:44251139:+;chr6:44253883:+	distal	TRUE
KCTD3	13.2823232323232	0.000267920283682492	0.00236942000881704	0	0.785714285714286	-0.785714285714286	chr1:215620322:+_vs_chr1:215620421:+	-1.57142857142857	chr1:215620322:+;chr1:215620421:+	proximal	TRUE
CSNK1D	13.1625	0.000285607579858702	0.0024997810853185	1	0.1875	0.8125	chr17:82252473:-_vs_chr17:82242672:-	1.625	chr17:82242672:-;chr17:82252473:-	distal	TRUE
LMNB1	18.8840024836808	0.000288919993018971	0.0024997810853185	0.60233918128655	0.645161290322581	-0.0428221090360309	chr5:126832738:+_vs_chr5:126837014:+	-0.311827956989247	chr5:126818978:+;chr5:126832738:+;chr5:126836770:+;chr5:126837014:+	proximal	TRUE
PAFAH1B1	16.2809829059829	0.000291493907475302	0.0024997810853185	0.732142857142857	0.523809523809524	0.208333333333333	chr17:2667027:+_vs_chr17:2672918:+	0.797619047619048	chr17:2667027:+;chr17:2672918:+;chr17:2681910:+	distal	TRUE
SMARCA5	23.3091106080325	0.000294589443263011	0.00250106437330296	0.483720930232558	0.545238095238095	-0.0615171650055372	chr4:143550064:+_vs_chr4:143553414:+	-0.362956810631229	chr4:143526458:+;chr4:143528017:+;chr4:143543538:+;chr4:143543971:+;chr4:143550064:+;chr4:143553414:+	proximal	TRUE
RAB14	13.0689075630252	0.00030023819184266	0.00252378440469721	0.928571428571429	0.222222222222222	0.706349206349206	chr9:121180677:-_vs_chr9:121179290:-	1.41269841269841	chr9:121179290:-;chr9:121180677:-	distal	TRUE
FDFT1	18.7432088708169	0.000308941020401441	0.002571479669812	0.6	0.664160401002506	-0.0641604010025063	chr8:11838667:+_vs_chr8:11839298:+	-0.372932330827068	chr8:11824416:+;chr8:11838667:+;chr8:11838962:+;chr8:11839298:+	proximal	TRUE
NEDD4L	16.1412051125989	0.000312594868299692	0.00257663148724697	0.5	0.575471698113208	-0.0754716981132075	chr18:58245507:+_vs_chr18:58341097:+	-1.0377358490566	chr18:58045470:+;chr18:58245507:+;chr18:58341097:+	proximal	TRUE
TERF2IP	15.9788677834686	0.000339025954443491	0.00272277655062268	0.526315789473684	0.170886075949367	0.355429713524317	chr16:75656326:+_vs_chr16:75657432:+	0.710859427048634	chr16:75656326:+;chr16:75656801:+;chr16:75657432:+	distal	TRUE
EWSR1	12.8368262916357	0.000339863577677438	0.00272277655062268	0.282608695652174	0.615384615384615	-0.332775919732442	chr22:29300336:+_vs_chr22:29300519:+	-0.665551839464883	chr22:29300336:+;chr22:29300519:+	proximal	TRUE
PIK3R2	12.8363715277778	0.000339946188888109	0.00272277655062268	0	0.75	-0.75	chr19:18168509:+_vs_chr19:18170229:+	-1.5	chr19:18168509:+;chr19:18170229:+	proximal	TRUE
VCAN	18.3145539906103	0.000378794138015747	0.00300557217920906	0.666666666666667	0.55868544600939	0.107981220657277	chr5:83537169:+_vs_chr5:83580635:+	-0.915492957746479	chr5:83519909:+;chr5:83520452:+;chr5:83537169:+;chr5:83580635:+	proximal	TRUE
CALM1	15.6681108187134	0.000396016211523641	0.00311312744058863	0.763157894736842	0.76	0.00315789473684214	chr14:90405213:+_vs_chr14:90405610:+	0.443157894736842	chr14:90403939:+;chr14:90405213:+;chr14:90405610:+	distal	TRUE
SNRPD1	12.5127654655413	0.00040418089809858	0.00314816130720821	0.375	0.0491803278688525	0.325819672131148	chr18:21629235:+_vs_chr18:21630223:+	0.651639344262295	chr18:21629235:+;chr18:21630223:+	distal	TRUE
NRG1	18.0476767676768	0.000430002224113706	0.00331883534793215	0.555555555555555	0.419191919191919	0.136363636363636	chr8:32595981:+_vs_chr8:32743222:+	0.833333333333333	chr8:32595981:+;chr8:32743055:+;chr8:32743222:+;chr8:32764469:+	distal	TRUE
ARPC5	12.35643000518	0.000439470242616504	0.00336135347731002	0.36	0.833333333333333	-0.473333333333333	chr1:183627339:-_vs_chr1:183626197:-	-0.946666666666667	chr1:183626197:-;chr1:183627339:-	proximal	TRUE
TP53BP2	15.37494049003	0.000458536691212406	0.00344901782372586	0.323529411764706	0.565217391304348	-0.241687979539642	chr1:223810474:-_vs_chr1:223802738:-	-1.06649616368286	chr1:223780088:-;chr1:223802738:-;chr1:223810474:-	proximal	TRUE
