gene_id	chisq	pvalue	adj_pvalue	PgG2M	PgS	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
ZEB1	36.8661163522013	9.87698853201747e-09	6.5473285969664e-07	0.3375	0.283018867924528	0.0544811320754717	chr10:31520822:+_vs_chr10:31527051:+	0.841981132075472	chr10:31520822:+;chr10:31527051:+;chr10:31527413:+	distal	TRUE
ESCO2	36.8165688053806	1.01247349437625e-08	6.5473285969664e-07	0.868421052631579	0.275862068965517	0.592558983666062	chr8:27787987:+_vs_chr8:27804903:+	1.34119782214156	chr8:27777154:+;chr8:27787987:+;chr8:27804903:+	distal	TRUE
MCL1	32.2922631048387	1.32640427125886e-08	7.72675051501593e-07	0.0967741935483871	0.84375	-0.746975806451613	chr1:150575962:-_vs_chr1:150574558:-	-1.49395161290323	chr1:150574558:-;chr1:150575962:-	proximal	TRUE
NCAM1	32.195683104774	1.39400138157504e-08	7.72675051501593e-07	1	0.0571428571428571	0.942857142857143	chr11:113275627:+_vs_chr11:113275701:+	1.88571428571429	chr11:113275627:+;chr11:113275701:+	distal	TRUE
SMC4	59.7427584910819	2.51461175746843e-08	1.30089248253034e-06	0.455917874396135	0.484042553191489	-0.0281246787953541	chr3:160416288:+_vs_chr3:160431821:+	-0.18609312365094	chr3:160411935:+;chr3:160412058:+;chr3:160412339:+;chr3:160413571:+;chr3:160414412:+;chr3:160414516:+;chr3:160416288:+;chr3:160416412:+;chr3:160430650:+;chr3:160431190:+;chr3:160431821:+;chr3:160432420:+;chr3:160434937:+	proximal	FALSE
SQLE	33.3976877343821	5.59479598203028e-08	2.71347605128468e-06	0.5	0.896551724137931	-0.396551724137931	chr8:125003203:+_vs_chr8:125022272:+	-0.793103448275862	chr8:125003203:+;chr8:125019601:+;chr8:125022272:+	proximal	TRUE
RETREG2	29.0329901351122	7.11561470114617e-08	3.11303971830632e-06	1	0	1	chr2:219183492:+_vs_chr2:219183726:+	2	chr2:219183492:+;chr2:219183726:+	distal	TRUE
MAP1B	38.9245491945033	7.22096841875177e-08	3.11303971830632e-06	0.320610687022901	0.123983739837398	0.196626947185502	chr5:72195109:+_vs_chr5:72195578:+	0.379258983429529	chr5:72195109:+;chr5:72195305:+;chr5:72195449:+;chr5:72195578:+;chr5:72207044:+	distal	TRUE
ABHD3	27.8755555555556	1.2937394003461e-07	5.28390407720303e-06	0	1	-1	chr18:21666005:-_vs_chr18:21650901:-	-2	chr18:21650901:-;chr18:21666005:-	proximal	TRUE
H2AZ2	34.6361930700936	1.45407677851098e-07	5.64181790062259e-06	0.38768115942029	0.324958123953099	0.062723035467191	chr7:44834232:-_vs_chr7:44831571:-	0.298284902774743	chr7:44831571:-;chr7:44833221:-;chr7:44834232:-;chr7:44834309:-	distal	TRUE
NCOR1	33.7530478414866	2.23384850803758e-07	7.94378747841144e-06	0.623188405797101	0.257575757575758	0.365612648221344	chr17:16137369:-_vs_chr17:16126082:-	0.800395256916996	chr17:16126082:-;chr17:16126177:-;chr17:16137369:-;chr17:16149453:-	distal	TRUE
ATP6V1B2	26.8036593947924	2.25210469748778e-07	7.94378747841144e-06	0.111111111111111	0.904761904761905	-0.793650793650794	chr8:20220526:+_vs_chr8:20221674:+	-1.58730158730159	chr8:20220526:+;chr8:20221674:+	proximal	TRUE
PDIA6	35.947122846337	2.96708720901606e-07	1.00106942356368e-05	0.642045454545455	0.580769230769231	0.0612762237762239	chr2:10783855:-_vs_chr2:10783391:-	-0.68951048951049	chr2:10783391:-;chr2:10783855:-;chr2:10788704:-;chr2:10790782:-;chr2:10791907:-	proximal	TRUE
NCAPD2	26.1333333333333	3.18635546284691e-07	1.03025493298717e-05	1	0	1	chr12:6521822:+_vs_chr12:6531955:+	2	chr12:6521822:+;chr12:6531955:+	distal	TRUE
HNRNPA1	29.6522491250743	3.63995416094065e-07	1.12984177155598e-05	0.716300940438871	0.734860883797054	-0.0185599433581826	chr12:54284578:+_vs_chr12:54284881:+	-0.122339142882063	chr12:54284578:+;chr12:54284881:+;chr12:54285246:+	proximal	FALSE
NASP	37.7183356117567	4.29812665568815e-07	1.27662535666154e-05	0.515384615384615	0.77972972972973	-0.264345114345114	chr1:45614180:+_vs_chr1:45618247:+	-0.62006237006237	chr1:45607443:+;chr1:45608306:+;chr1:45613202:+;chr1:45614180:+;chr1:45615364:+;chr1:45618247:+	proximal	TRUE
SFPQ	37.6471714571456	4.4418665760131e-07	1.27662535666154e-05	0.321428571428571	0.4171875	-0.0957589285714285	chr1:35188011:-_vs_chr1:35183600:-	-0.373883928571429	chr1:35176380:-;chr1:35183600:-;chr1:35183944:-;chr1:35184129:-;chr1:35188011:-;chr1:35189013:-	proximal	TRUE
AZI2	28.5633116883117	6.27416122526274e-07	1.73883896814425e-05	0.647058823529412	0.607142857142857	0.0399159663865547	chr3:28340403:-_vs_chr3:28323664:-	1.09873949579832	chr3:28323539:-;chr3:28323664:-;chr3:28340403:-	distal	TRUE
WASH8P	24.4323629586787	7.69648722762685e-07	2.05947382366843e-05	1	0.0714285714285714	0.928571428571429	chr12:16557:-_vs_chr12:14519:-	1.85714285714286	chr12:14519:-;chr12:16557:-	distal	TRUE
PRC1	24.1762133796026	8.79113866445821e-07	2.25796248210657e-05	0.676470588235294	0.234375	0.442095588235294	chr15:90976709:-_vs_chr15:90966040:-	0.884191176470588	chr15:90966040:-;chr15:90976709:-	distal	TRUE
GMPS	27.7878959276018	9.24559930175679e-07	2.25796248210657e-05	0.384615384615385	0.691666666666667	-0.307051282051282	chr3:155916043:+_vs_chr3:155937713:+	-1.28589743589744	chr3:155914547:+;chr3:155916043:+;chr3:155937713:+	proximal	TRUE
TAOK3	24.0655381944444	9.31118549322296e-07	2.25796248210657e-05	1	0	1	chr12:118162014:-_vs_chr12:118150591:-	2	chr12:118150591:-;chr12:118162014:-	distal	TRUE
SRRM2	30.5937261521564	1.03507098517056e-06	2.43398510452229e-05	0.347222222222222	0.173809523809524	0.173412698412698	chr16:2758536:+_vs_chr16:2771408:+	0.371428571428571	chr16:2758536:+;chr16:2759032:+;chr16:2760492:+;chr16:2771408:+	distal	TRUE
MORF4L1	30.4776536142558	1.09496169996862e-06	2.45893615058765e-05	0.671957671957672	0.714611872146119	-0.0426542001884469	chr15:78897216:+_vs_chr15:78897733:+	-0.6176342683192	chr15:78891014:+;chr15:78891571:+;chr15:78897216:+;chr15:78897733:+	proximal	TRUE
OSER1	23.7288820315221	1.1090562534867e-06	2.45893615058765e-05	0.689655172413793	0	0.689655172413793	chr20:44196912:-_vs_chr20:44195939:-	1.37931034482759	chr20:44195939:-;chr20:44196912:-	distal	TRUE
SEPTIN11	27.3532843539185	1.1489728633975e-06	2.47667483887906e-05	0.509259259259259	0.242063492063492	0.267195767195767	chr4:77028696:+_vs_chr4:77030836:+	0.727513227513228	chr4:77028696:+;chr4:77030836:+;chr4:77035654:+	distal	TRUE
MXI1	23.5931328781513	1.19011482533632e-06	2.49573250737677e-05	0.933333333333333	0	0.933333333333333	chr10:110285432:+_vs_chr10:110286092:+	1.86666666666667	chr10:110285432:+;chr10:110286092:+	distal	TRUE
CKAP2	42.2374398775596	1.22213705258141e-06	2.49573250737677e-05	0.447794117647059	0.575	-0.127205882352941	chr13:52468337:+_vs_chr13:52476350:+	-0.230946291560102	chr13:52460972:+;chr13:52461298:+;chr13:52462462:+;chr13:52465344:+;chr13:52468337:+;chr13:52473992:+;chr13:52474084:+;chr13:52476350:+;chr13:52476627:+	proximal	TRUE
EXT2	23.1401465311005	1.50613010978767e-06	2.99681273126982e-05	0	0.916666666666667	-0.916666666666667	chr11:44244929:+_vs_chr11:44245425:+	-1.83333333333333	chr11:44244929:+;chr11:44245425:+	proximal	TRUE
CCP110	22.7998621323529	1.79778601917823e-06	3.48770487720576e-05	1	0.15	0.85	chr16:19540701:+_vs_chr16:19540786:+	1.7	chr16:19540701:+;chr16:19540786:+	distal	TRUE
SGCB	26.1538364589635	2.09298720138319e-06	3.96136114213013e-05	0.666666666666667	0.855263157894737	-0.18859649122807	chr4:52023696:-_vs_chr4:52023010:-	-0.504385964912281	chr4:52022924:-;chr4:52023010:-;chr4:52023696:-	proximal	TRUE
SCRN1	25.8695652173913	2.41265535803035e-06	4.45766799483702e-05	0.5	0.555555555555556	-0.0555555555555556	chr7:29920259:-_vs_chr7:29920109:-	-1.22222222222222	chr7:29920109:-;chr7:29920259:-;chr7:29923891:-	proximal	TRUE
LUC7L2	25.7781998910675	2.52542814929579e-06	4.48930259977462e-05	0.514285714285714	0.569444444444444	-0.0551587301587302	chr7:139419147:+_vs_chr7:139423136:+	-0.613492063492064	chr7:139409614:+;chr7:139419147:+;chr7:139423136:+	proximal	TRUE
DEPDC1	22.1318735827664	2.54548085554231e-06	4.48930259977462e-05	0	1	-1	chr1:68477830:-_vs_chr1:68475582:-	-2	chr1:68475582:-;chr1:68477830:-	proximal	TRUE
RABEPK	22.0644260789715	2.63650744959043e-06	4.54651062418261e-05	0	1	-1	chr9:125222388:+_vs_chr9:125234058:+	-2	chr9:125222388:+;chr9:125234058:+	proximal	TRUE
UBAC1	21.7197115384615	3.15532398859329e-06	5.32289438075737e-05	0	0.909090909090909	-0.909090909090909	chr9:135953681:-_vs_chr9:135932969:-	-1.81818181818182	chr9:135932969:-;chr9:135953681:-	proximal	TRUE
SUMO1	24.9649637127578	3.79251239901046e-06	6.26168004602578e-05	0.522727272727273	0.642857142857143	-0.12012987012987	chr2:202206486:-_vs_chr2:202206182:-	-1.01623376623377	chr2:202206182:-;chr2:202206486:-;chr2:202206776:-	proximal	TRUE
ING5	21.1541029750164	4.23792968363675e-06	6.85131965521274e-05	0	1	-1	chr2:241698603:+_vs_chr2:241712056:+	-2	chr2:241698603:+;chr2:241712056:+	proximal	TRUE
ASRGL1	24.4070884281411	5.01265815319099e-06	7.79878284632168e-05	0.736842105263158	0.466666666666667	0.270175438596491	chr11:62392607:+_vs_chr11:62393409:+	1.27017543859649	chr11:62357090:+;chr11:62392607:+;chr11:62393409:+	distal	TRUE
CENPU	24.3825882352941	5.07444135135091e-06	7.79878284632168e-05	0.235294117647059	0.775	-0.539705882352941	chr4:184717150:-_vs_chr4:184695002:-	-1.07941176470588	chr4:184695002:-;chr4:184697770:-;chr4:184717150:-	proximal	TRUE
CARHSP1	20.7898124161636	5.12548872631966e-06	7.79878284632168e-05	0.492957746478873	0.1375	0.355457746478873	chr16:8854913:-_vs_chr16:8852947:-	0.710915492957747	chr16:8852947:-;chr16:8854913:-	distal	TRUE
F2R	20.4548388532764	6.10549972450556e-06	9.11128420426215e-05	0	0.888888888888889	-0.888888888888889	chr5:76733535:+_vs_chr5:76734959:+	-1.77777777777778	chr5:76733535:+;chr5:76734959:+	proximal	TRUE
SRSF3	29.384922560798	6.52884271287834e-06	9.47487150467395e-05	0.484732824427481	0.598880597014925	-0.114147772587444	chr6:36602293:+_vs_chr6:36602784:+	-0.31867380653982	chr6:36600198:+;chr6:36602293:+;chr6:36602784:+;chr6:36602935:+;chr6:36603429:+	proximal	TRUE
NAP1L1	26.7653521486114	6.59333841820095e-06	9.47487150467395e-05	0.59047619047619	0.333333333333333	0.257142857142857	chr12:76049566:-_vs_chr12:76046174:-	0.738095238095238	chr12:76046174:-;chr12:76047596:-;chr12:76049566:-;chr12:76056132:-	distal	TRUE
TMPO	29.2521563412454	6.94744234202494e-06	9.79348367275628e-05	0.619402985074627	0.481182795698925	0.138220189375702	chr12:98535629:+_vs_chr12:98547951:+	0.544535387578238	chr12:98527918:+;chr12:98535629:+;chr12:98545063:+;chr12:98547951:+;chr12:98550312:+	distal	TRUE
KCTD3	20.1666666666667	7.09790833090828e-06	9.79348367275628e-05	1	0	1	chr1:215611920:+_vs_chr1:215620322:+	2	chr1:215611920:+;chr1:215620322:+	distal	TRUE
KRIT1	20.1410337913834	7.1936671307617e-06	9.79348367275628e-05	1	0	1	chr7:92214611:-_vs_chr7:92200743:-	2	chr7:92200743:-;chr7:92214611:-	distal	TRUE
PPP1CC	19.7216525305895	8.9580620471971e-06	0.000119322451310593	0.166666666666667	0.806451612903226	-0.639784946236559	chr12:110719905:-_vs_chr12:110719811:-	-1.27956989247312	chr12:110719811:-;chr12:110719905:-	proximal	TRUE
MKI67	35.4832054722738	9.07219668469716e-06	0.000119322451310593	0.409795918367347	0.439110070257611	-0.0293141518902643	chr10:128111953:-_vs_chr10:128101344:-	-0.269789227166276	chr10:128097892:-;chr10:128101344:-;chr10:128101604:-;chr10:128109018:-;chr10:128111953:-;chr10:128115328:-;chr10:128115641:-;chr10:128119264:-	proximal	TRUE
MFAP4	19.6446935595568	9.32619506093739e-06	0.00012061878945479	0.0526315789473684	0.916666666666667	-0.864035087719298	chr17:19383662:-_vs_chr17:19383459:-	-1.7280701754386	chr17:19383459:-;chr17:19383662:-	proximal	TRUE
SRSF10	25.8990054050441	1.00132374894883e-05	0.000126307377704214	0.243589743589744	0.489711934156379	-0.246122190566635	chr1:23970820:-_vs_chr1:23970528:-	-0.65622032288699	chr1:23966445:-;chr1:23970528:-;chr1:23970820:-;chr1:23978115:-	proximal	TRUE
HP1BP3	28.453744027887	1.00915688371923e-05	0.000126307377704214	0.542857142857143	0.34375	0.199107142857143	chr1:20773587:-_vs_chr1:20767585:-	0.464285714285714	chr1:20742682:-;chr1:20767585:-;chr1:20770933:-;chr1:20773587:-;chr1:20776600:-	distal	TRUE
PDIA3	22.9620392510715	1.03242028745002e-05	0.000127167959216066	0.696969696969697	0.588709677419355	0.108260019550342	chr15:43771182:+_vs_chr15:43771540:+	0.742424242424242	chr15:43769565:+;chr15:43771182:+;chr15:43771540:+	distal	TRUE
SEPTIN7	25.780827027257	1.06001661575429e-05	0.000128527014660208	0.381720430107527	0.41712204007286	-0.0354016099653329	chr7:35882569:+_vs_chr7:35898297:+	0.39806980433633	chr7:35882569:+;chr7:35898297:+;chr7:35903104:+;chr7:35905307:+	distal	TRUE
ANP32E	25.6706787849013	1.11780571895668e-05	0.000133448805832367	0.361581920903955	0.584362139917695	-0.222780219013741	chr1:150230595:-_vs_chr1:150220378:-	-0.477924251935551	chr1:150220378:-;chr1:150226613:-;chr1:150226735:-;chr1:150230595:-	proximal	TRUE
RBM10	18.7869807771593	1.46161471316211e-05	0.0001697420236234	0.714285714285714	0.0606060606060606	0.653679653679654	chrX:47185107:+_vs_chrX:47186813:+	1.30735930735931	chrX:47185107:+;chrX:47186813:+	distal	TRUE
CBX5	25.1083633027905	1.46555613179997e-05	0.0001697420236234	0.649122807017544	0.395061728395062	0.254061078622482	chr12:54241769:-_vs_chr12:54230946:-	0.570175438596491	chr12:54230946:-;chr12:54240386:-;chr12:54240997:-;chr12:54241769:-	distal	TRUE
AFF4	18.7261904761905	1.50895657043543e-05	0.000172198573332043	0	0.923076923076923	-0.923076923076923	chr5:132896713:-_vs_chr5:132896402:-	-1.84615384615385	chr5:132896402:-;chr5:132896713:-	proximal	TRUE
ZC3H14	18.6474025974026	1.57261370181899e-05	0.000176862062697324	0.933333333333333	0	0.933333333333333	chr14:88611888:+_vs_chr14:88613509:+	1.86666666666667	chr14:88611888:+;chr14:88613509:+	distal	TRUE
PIK3R2	18.5414857609711	1.66246158794517e-05	0.00018429574174935	0.142857142857143	1	-0.857142857142857	chr19:18168509:+_vs_chr19:18170058:+	-1.71428571428571	chr19:18168509:+;chr19:18170058:+	proximal	TRUE
DNAJC7	18.109892274546	2.08515333182641e-05	0.000227898448661591	1	0.210526315789474	0.789473684210526	chr17:41983564:-_vs_chr17:41976452:-	1.57894736842105	chr17:41976452:-;chr17:41983564:-	distal	TRUE
UTP11	18.0628162202381	2.13735013522861e-05	0.000230358847907972	1	0.407407407407407	0.592592592592593	chr1:38019350:+_vs_chr1:38023803:+	1.18518518518519	chr1:38019350:+;chr1:38023803:+	distal	TRUE
TPM4	21.2932415011459	2.3781068129528e-05	0.000252796011897448	0.678571428571429	0.621323529411765	0.0572478991596639	chr19:16102357:+_vs_chr19:16103005:+	0.644957983193277	chr19:16102197:+;chr19:16102357:+;chr19:16103005:+	distal	TRUE
SF3B2	17.7381346153846	2.53493618885387e-05	0.000264210697787182	0.535714285714286	1	-0.464285714285714	chr11:66054327:+_vs_chr11:66058867:+	-0.928571428571429	chr11:66054327:+;chr11:66058867:+	proximal	TRUE
PDCL3	17.7221216283716	2.55636407740136e-05	0.000264210697787182	0.0833333333333333	1	-0.916666666666667	chr2:100576565:+_vs_chr2:100576735:+	-1.83333333333333	chr2:100576565:+;chr2:100576735:+	proximal	TRUE
MRPS5	17.6989966555184	2.58763054533838e-05	0.000264210697787182	0	0.851851851851852	-0.851851851851852	chr2:95109948:-_vs_chr2:95087207:-	-1.7037037037037	chr2:95087207:-;chr2:95109948:-	proximal	TRUE
TTC3	28.6628395966852	2.69997375062313e-05	0.000272101250712149	0.739130434782609	0.424137931034483	0.314992503748126	chr21:37153179:+_vs_chr21:37182916:+	0.633433283358321	chr21:37095368:+;chr21:37129034:+;chr21:37153179:+;chr21:37160839:+;chr21:37165784:+;chr21:37182916:+	distal	TRUE
GTF2I	17.5143741707209	2.85143728696074e-05	0.000282884191280824	0	0.772727272727273	-0.772727272727273	chr7:74744941:+_vs_chr7:74749451:+	-1.54545454545455	chr7:74744941:+;chr7:74749451:+	proximal	TRUE
TOP2A	42.345365544255	2.91298774042722e-05	0.000282884191280824	0.506410256410256	0.452	0.0544102564102565	chr17:40407613:-_vs_chr17:40398613:-	0.156	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398613:-;chr17:40398773:-;chr17:40398903:-;chr17:40399966:-;chr17:40400281:-;chr17:40407613:-;chr17:40411173:-;chr17:40413206:-;chr17:40416033:-;chr17:40416855:-	distal	FALSE
FLOT1	17.4715909090909	2.91633186887447e-05	0.000282884191280824	0.390243902439024	0	0.390243902439024	chr6:30727830:-_vs_chr6:30727713:-	0.780487804878049	chr6:30727713:-;chr6:30727830:-	distal	TRUE
RPL3	17.4237161842055	2.99071075552603e-05	0.000286517474850395	0.919667590027701	0.972468043264503	-0.0528004532368026	chr22:39312956:-_vs_chr22:39312884:-	-0.105600906473605	chr22:39312884:-;chr22:39312956:-	proximal	FALSE
DYNC1I2	20.6787634408602	3.23343081236246e-05	0.000305992964682106	0.256410256410256	0.615384615384615	-0.358974358974359	chr2:171725949:+_vs_chr2:171748411:+	-0.782051282051282	chr2:171725691:+;chr2:171725949:+;chr2:171748411:+	proximal	TRUE
BCLAF1	23.2837977296182	3.52396092207181e-05	0.000328070039826847	0.543859649122807	0.452991452991453	0.0908681961313541	chr6:136278359:-_vs_chr6:136276045:-	0.836707152496626	chr6:136272002:-;chr6:136276045:-;chr6:136276439:-;chr6:136278359:-	distal	TRUE
SNRPG	17.0973010413027	3.55127362699164e-05	0.000328070039826847	0.5	0.161073825503356	0.338926174496644	chr2:70281504:-_vs_chr2:70281373:-	0.677852348993289	chr2:70281373:-;chr2:70281504:-	distal	TRUE
GAS2L3	16.8055555555556	4.14118884265783e-05	0.000378066181400291	1	0.166666666666667	0.833333333333333	chr12:100618492:+_vs_chr12:100624835:+	1.66666666666667	chr12:100618492:+;chr12:100624835:+	distal	TRUE
SUPT7L	16.7359203296703	4.29598788929493e-05	0.000387637976987543	0	0.866666666666667	-0.866666666666667	chr2:27653070:-_vs_chr2:27652266:-	-1.73333333333333	chr2:27652266:-;chr2:27653070:-	proximal	TRUE
ZBED5	16.6103468899522	4.58999304061876e-05	0.000409406275806914	0.214285714285714	1	-0.785714285714286	chr11:10852879:-_vs_chr11:10852797:-	-1.57142857142857	chr11:10852797:-;chr11:10852879:-	proximal	TRUE
IST1	16.307196828936	5.38590107273958e-05	0.000474938549141581	0.230769230769231	0.843137254901961	-0.61236802413273	chr16:71927808:+_vs_chr16:71928996:+	-1.22473604826546	chr16:71927808:+;chr16:71928996:+	proximal	TRUE
CTNNA1	19.3548387096774	6.26830579583654e-05	0.000546539921075186	0.403225806451613	1	-0.596774193548387	chr5:138934712:+_vs_chr5:138935032:+	-1.2258064516129	chr5:138812227:+;chr5:138934712:+;chr5:138935032:+	proximal	TRUE
POLR2B	15.8921588254922	6.70559577280474e-05	0.000578171368855164	0.0833333333333333	0.625	-0.541666666666667	chr4:57005348:+_vs_chr4:57031162:+	-1.08333333333333	chr4:57005348:+;chr4:57031162:+	proximal	TRUE
MAP2	24.3133566115307	6.91143056702523e-05	0.000589370342858415	0.435185185185185	0.546728971962617	-0.111543786777432	chr2:209729898:+_vs_chr2:209730502:+	-0.676704742125303	chr2:209580099:+;chr2:209725730:+;chr2:209729898:+;chr2:209730502:+;chr2:209734112:+	proximal	TRUE
SENP7	15.7974326599327	7.04981032216136e-05	0.000594636174999697	0.785714285714286	0	0.785714285714286	chr3:101372060:-_vs_chr3:101370351:-	1.57142857142857	chr3:101370351:-;chr3:101372060:-	distal	TRUE
NUSAP1	28.3862110830869	7.94608261389994e-05	0.000663027968643694	0.59047619047619	0.547116736990155	0.0433594534860358	chr15:41351009:+_vs_chr15:41356119:+	0.203887884267631	chr15:41351009:+;chr15:41356119:+;chr15:41358231:+;chr15:41377229:+;chr15:41380120:+;chr15:41380782:+;chr15:41381048:+	distal	TRUE
CENPV	18.7963811995386	8.28738819980111e-05	0.000684150345004858	0.847222222222222	0.849264705882353	-0.00204248366013071	chr17:16348150:-_vs_chr17:16342537:-	-0.361111111111111	chr17:16342537:-;chr17:16348150:-;chr17:16348324:-	proximal	TRUE
AKIRIN2	18.4134013605442	0.000100364632342529	0.000819820575766341	0.602040816326531	0.458333333333333	0.143707482993197	chr6:87675256:-_vs_chr6:87674926:-	0.587585034013606	chr6:87674860:-;chr6:87674926:-;chr6:87675256:-	distal	TRUE
CALM2	18.3116174388894	0.000105604590241087	0.00085363710444879	0.446078431372549	0.374083129584352	0.0719953017881969	chr2:47162342:-_vs_chr2:47160169:-	0.24862169806798	chr2:47160106:-;chr2:47160169:-;chr2:47162342:-	distal	TRUE
RANBP1	18.1692002255117	0.000113398758720731	0.000907190069765852	0.607142857142857	0.682835820895522	-0.0756929637526652	chr22:20127183:+_vs_chr22:20127349:+	-0.652985074626866	chr22:20126338:+;chr22:20127183:+;chr22:20127349:+	proximal	TRUE
CCDC50	17.9098248925239	0.000129101396075551	0.00102227227912885	0.5625	0.235294117647059	0.327205882352941	chr3:191369975:+_vs_chr3:191380863:+	1.13970588235294	chr3:191369975:+;chr3:191380863:+;chr3:191392150:+	distal	TRUE
PTGES3	17.7998675645603	0.00013639795814476	0.00106378187073907	0.441176470588235	0.624260355029586	-0.18308388444135	chr12:56663601:-_vs_chr12:56663349:-	-0.582318134354334	chr12:56663349:-;chr12:56663601:-;chr12:56664442:-	proximal	TRUE
DUT	20.4475711218465	0.000137085292621015	0.00106378187073907	0.916666666666667	0.581481481481481	0.335185185185185	chr15:48342420:+_vs_chr15:48342544:+	1.20833333333333	chr15:48341355:+;chr15:48342100:+;chr15:48342420:+;chr15:48342544:+	distal	TRUE
ADK	17.7616724738676	0.000139027856709051	0.00106817442382399	0.333333333333333	0.670731707317073	-0.33739837398374	chr10:74708529:+_vs_chr10:74709026:+	-1.00813008130081	chr10:74398519:+;chr10:74708529:+;chr10:74709026:+	proximal	TRUE
FBLN1	14.4204138171226	0.000146208764058712	0.0011123333422506	0.577777777777778	0.234042553191489	0.343735224586288	chr22:45563362:+_vs_chr22:45601135:+	0.687470449172577	chr22:45563362:+;chr22:45601135:+	distal	TRUE
H3-3B	22.6316028782442	0.000149993540012509	0.00113004841795832	0.581439393939394	0.633771929824561	-0.0523325358851675	chr17:75778250:-_vs_chr17:75776434:-	-0.179292929292929	chr17:75776434:-;chr17:75777459:-;chr17:75778023:-;chr17:75778250:-;chr17:75778550:-	proximal	FALSE
TERF2IP	20.2308246908103	0.000152034539779613	0.00113441156604788	0.684210526315789	0.477168949771689	0.2070415765441	chr16:75654357:+_vs_chr16:75656801:+	0.459625090122567	chr16:75654357:+;chr16:75656326:+;chr16:75656801:+;chr16:75657432:+	distal	TRUE
ACAT2	14.2628571428571	0.0001589711110761	0.00117487221138146	0.333333333333333	0.884615384615385	-0.551282051282051	chr6:159778898:+_vs_chr6:159779051:+	-1.1025641025641	chr6:159778898:+;chr6:159779051:+	proximal	TRUE
ACSL3	14.203681211576	0.000164049266705381	0.00120096444305071	0.25	0.846153846153846	-0.596153846153846	chr2:222930721:+_vs_chr2:222942219:+	-1.19230769230769	chr2:222930721:+;chr2:222942219:+	proximal	TRUE
HNRNPU	26.5927178468024	0.000172585885194788	0.00125165090571173	0.318352059925094	0.439643347050754	-0.121291287125661	chr1:244858777:-_vs_chr1:244855993:-	-0.267027326952421	chr1:244853658:-;chr1:244854133:-;chr1:244854436:-;chr1:244855993:-;chr1:244856592:-;chr1:244858777:-;chr1:244862694:-	proximal	TRUE
KIF20A	13.849104859335	0.000198091075972217	0.00142332106439297	0.1875	0.833333333333333	-0.645833333333333	chr5:138185146:+_vs_chr5:138187661:+	-1.29166666666667	chr5:138185146:+;chr5:138187661:+	proximal	TRUE
