gene_id	chisq	pvalue	adj_pvalue	PgS	vRG	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
TMED4	34.2647316673954	1.74193970298298e-07	5.47794196069646e-06	0.606060606060606	0.377358490566038	0.228702115494568	chr7:44579380:-_vs_chr7:44578310:-	0.917667238421955	chr7:44577894:-;chr7:44578310:-;chr7:44579380:-;chr7:44579904:-	distal	TRUE
EZH2	30.977661829055	1.87623054801381e-07	5.69723166268173e-06	0.401709401709402	0.45	-0.0482905982905983	chr7:148828769:-_vs_chr7:148817899:-	-0.621367521367521	chr7:148807374:-;chr7:148817899:-;chr7:148828769:-	proximal	TRUE
NOTCH2NLA	27.1251345486111	1.90702315068845e-07	5.69723166268173e-06	0	1	-1	chr1:146155751:-_vs_chr1:146155538:-	-2	chr1:146155538:-;chr1:146155751:-	proximal	TRUE
CARHSP1	27.0610154886902	1.97133657308593e-07	5.745724889848e-06	0.1375	0.519607843137255	-0.382107843137255	chr16:8854913:-_vs_chr16:8852947:-	-0.76421568627451	chr16:8852947:-;chr16:8854913:-	proximal	TRUE
OTUB1	26.609765625	2.48982062421221e-07	7.08413249031806e-06	0.133333333333333	0.722222222222222	-0.588888888888889	chr11:63997702:+_vs_chr11:63998412:+	-1.17777777777778	chr11:63997702:+;chr11:63998412:+	proximal	TRUE
ZEB1	33.2586971608115	2.84035573726468e-07	7.8935467582123e-06	0.285714285714286	0.179775280898876	0.105939004815409	chr10:31527051:+_vs_chr10:31527413:+	0.43639646869984	chr10:31520822:+;chr10:31524017:+;chr10:31527051:+;chr10:31527413:+	distal	TRUE
HAT1	29.8539589442815	3.29075222617397e-07	8.93738388699521e-06	0.345238095238095	0.523809523809524	-0.178571428571429	chr2:171983625:+_vs_chr2:171983686:+	-0.928571428571429	chr2:171979340:+;chr2:171983625:+;chr2:171983686:+	proximal	TRUE
NASP	35.6415459386635	3.42905216630981e-07	9.10603853053383e-06	0.76048951048951	0.646341463414634	0.114148047074876	chr1:45614180:+_vs_chr1:45618247:+	0.653249189834556	chr1:45608126:+;chr1:45613202:+;chr1:45614180:+;chr1:45615364:+;chr1:45618247:+	distal	TRUE
RPL13	25.8293084222863	3.72981671053742e-07	9.68941515020046e-06	0.0392156862745098	0.129333333333333	-0.0901176470588235	chr16:89563066:+_vs_chr16:89563431:+	-0.180235294117647	chr16:89563066:+;chr16:89563431:+	proximal	FALSE
CSNK1A1	28.8857142857143	5.34006864683048e-07	1.35774085807711e-05	0.474358974358974	0.358974358974359	0.115384615384615	chr5:149509933:-_vs_chr5:149493238:-	0.923076923076923	chr5:149493238:-;chr5:149509933:-;chr5:149513127:-	distal	TRUE
PHLDA1	34.3295617751055	6.37764793184527e-07	1.58776859969898e-05	0.422619047619048	0.402061855670103	0.0205571919489445	chr12:76028536:-_vs_chr12:76027073:-	0.333087874324988	chr12:76027073:-;chr12:76028536:-;chr12:76029049:-;chr12:76029568:-;chr12:76029656:-	distal	TRUE
SUPT16H	31.3697548218372	7.10519257578782e-07	1.73279696491152e-05	0.476190476190476	0.453333333333333	0.0228571428571427	chr14:21363439:-_vs_chr14:21362857:-	0.805714285714286	chr14:21352683:-;chr14:21362857:-;chr14:21363439:-;chr14:21370437:-	distal	TRUE
EZR	36.3500550061655	8.08331056409397e-07	1.8938916699569e-05	0.348809523809524	0.44453125	-0.0957217261904762	chr6:158783582:-_vs_chr6:158770869:-	-0.339471726190476	chr6:158765748:-;chr6:158766193:-;chr6:158766556:-;chr6:158770869:-;chr6:158775200:-;chr6:158783582:-	proximal	TRUE
EIF1AX	24.2925610119048	8.27580574939089e-07	1.8938916699569e-05	0	0.84	-0.84	chrX:20127248:-_vs_chrX:20126916:-	-1.68	chrX:20126916:-;chrX:20127248:-	proximal	TRUE
MARCHF7	30.9797894413279	8.58418154222144e-07	1.8938916699569e-05	0.351515151515152	0.441025641025641	-0.0895104895104895	chr2:159748898:+_vs_chr2:159767941:+	0.478321678321678	chr2:159747856:+;chr2:159748898:+;chr2:159767941:+;chr2:159768573:+	distal	TRUE
GTPBP4	27.9202097505669	8.65373288865221e-07	1.8938916699569e-05	0.0892857142857143	0.601851851851852	-0.512566137566138	chr10:1010519:+_vs_chr10:1017689:+	-1.02513227513228	chr10:1010519:+;chr10:1017335:+;chr10:1017689:+	proximal	TRUE
RTF1	27.881501910514	8.82284778216465e-07	1.8938916699569e-05	0.87719298245614	0.452380952380952	0.424812030075188	chr15:41452949:+_vs_chr15:41475761:+	0.849624060150376	chr15:41452949:+;chr15:41464833:+;chr15:41475761:+	distal	TRUE
MRPL3	24.1428571428571	8.94473182490033e-07	1.8938916699569e-05	0	1	-1	chr3:131462374:-_vs_chr3:131462224:-	-2	chr3:131462224:-;chr3:131462374:-	proximal	TRUE
PA2G4	24.1428571428571	8.94473182490033e-07	1.8938916699569e-05	1	0	1	chr12:56109470:+_vs_chr12:56113907:+	2	chr12:56109470:+;chr12:56113907:+	distal	TRUE
AP5M1	24.1238132807364	9.03362553870657e-07	1.8938916699569e-05	1	0	1	chr14:57289517:+_vs_chr14:57290069:+	2	chr14:57289517:+;chr14:57290069:+	distal	TRUE
MBD1	24.0207792207792	9.53016259855059e-07	1.96354212159792e-05	1	0.0476190476190476	0.952380952380952	chr18:50269031:-_vs_chr18:50268846:-	1.9047619047619	chr18:50268846:-;chr18:50269031:-	distal	TRUE
NT5C3A	27.5273859543818	1.0531836040505e-06	2.13314306244127e-05	0.267857142857143	0.911764705882353	-0.64390756302521	chr7:33014496:-_vs_chr7:33014130:-	-1.28781512605042	chr7:33014130:-;chr7:33014389:-;chr7:33014496:-	proximal	TRUE
CPE	30.3502972027972	1.1646604673249e-06	2.31961543075543e-05	0.365384615384615	0.866666666666667	-0.501282051282051	chr4:165497756:+_vs_chr4:165498177:+	-1.00128205128205	chr4:165495647:+;chr4:165497756:+;chr4:165498003:+;chr4:165498177:+	proximal	TRUE
EGR1	32.747754646795	1.3452784389689e-06	2.60479281049798e-05	0.252112676056338	0.223901098901099	0.0282115771552391	chr5:138468120:+_vs_chr5:138469034:+	0.173562252636699	chr5:138468120:+;chr5:138468602:+;chr5:138469034:+;chr5:138469228:+;chr5:138469300:+	distal	FALSE
ARID4B	30.0432607714866	1.35144062134623e-06	2.60479281049798e-05	0.488372093023256	0.446969696969697	0.0414023960535589	chr1:235220428:-_vs_chr1:235194191:-	0.731501057082452	chr1:235194191:-;chr1:235220428:-;chr1:235229237:-;chr1:235246444:-	distal	TRUE
SQLE	26.943947661629	1.40992530406978e-06	2.67438212438633e-05	0.793103448275862	0.894366197183099	-0.101262748907236	chr8:125019601:+_vs_chr8:125022164:+	-0.418164157357941	chr8:125019601:+;chr8:125022164:+;chr8:125022272:+	proximal	TRUE
SF3B2	23.1077018061725	1.53175914522457e-06	2.860081528974e-05	0.102564102564103	0.666666666666667	-0.564102564102564	chr11:66058867:+_vs_chr11:66068892:+	-1.12820512820513	chr11:66058867:+;chr11:66068892:+	proximal	TRUE
ZFC3H1	23.016811402376	1.60590939703282e-06	2.9524026606988e-05	1	0	1	chr12:71645064:-_vs_chr12:71644926:-	2	chr12:71644926:-;chr12:71645064:-	distal	TRUE
REV1	26.2513426423201	1.99339504292472e-06	3.60925314590157e-05	0.157894736842105	0.80952380952381	-0.651629072681704	chr2:99460917:-_vs_chr2:99412773:-	-1.30325814536341	chr2:99412773:-;chr2:99449375:-;chr2:99460917:-	proximal	TRUE
NOA1	22.54360132621	2.05427628687124e-06	3.66397039225542e-05	1	0.153846153846154	0.846153846153846	chr4:56968492:-_vs_chr4:56963350:-	1.69230769230769	chr4:56963350:-;chr4:56968492:-	distal	TRUE
DMTF1	26.1398133116883	2.1077139036138e-06	3.66860497559727e-05	0.909090909090909	0.267857142857143	0.641233766233766	chr7:87182173:+_vs_chr7:87196325:+	1.28246753246753	chr7:87182173:+;chr7:87196050:+;chr7:87196325:+	distal	TRUE
FEZ1	22.4846698564593	2.11827400264612e-06	3.66860497559727e-05	0.72	0.976608187134503	-0.256608187134503	chr11:125488213:-_vs_chr11:125445752:-	-0.513216374269006	chr11:125445752:-;chr11:125488213:-	proximal	TRUE
HMGCS1	34.1967060433173	2.17565759734577e-06	3.7016345915434e-05	0.686666666666667	0.707608695652174	-0.0209420289855072	chr5:43290235:-_vs_chr5:43289395:-	-0.335144927536232	chr5:43289395:-;chr5:43290235:-;chr5:43290574:-;chr5:43290752:-;chr5:43294751:-;chr5:43295782:-	proximal	TRUE
KCTD6	22.4066113359945	2.20613287735742e-06	3.7016345915434e-05	0.136363636363636	0.904761904761905	-0.768398268398268	chr3:58501979:+_vs_chr3:58502356:+	-1.53679653679654	chr3:58501979:+;chr3:58502356:+	proximal	TRUE
SEPTIN11	29.0084669593008	2.23027356143201e-06	3.7016345915434e-05	0.192708333333333	0.386313465783664	-0.193605132450331	chr4:77028696:+_vs_chr4:77035654:+	-0.381984685430464	chr4:77028696:+;chr4:77030836:+;chr4:77030970:+;chr4:77035654:+	proximal	TRUE
ASAP2	22.2547846889952	2.38763081682769e-06	3.86018568555758e-05	0	0.916666666666667	-0.916666666666667	chr2:9320336:+_vs_chr2:9357017:+	-1.83333333333333	chr2:9320336:+;chr2:9357017:+	proximal	TRUE
KMT2E	25.8796069538927	2.40057209296835e-06	3.86018568555758e-05	0.714285714285714	0.32	0.394285714285714	chr7:105090156:+_vs_chr7:105105689:+	1.21142857142857	chr7:105073662:+;chr7:105090156:+;chr7:105105689:+	distal	TRUE
RPL22	28.8219015877269	2.44094126974996e-06	3.86018568555758e-05	0.161016949152542	0.296099290780142	-0.135082341627599	chr1:6186615:-_vs_chr1:6185020:-	-0.323927154706094	chr1:6185020:-;chr1:6185119:-;chr1:6186218:-;chr1:6186615:-	proximal	TRUE
NES	25.8208182038247	2.4721827282336e-06	3.86018568555758e-05	0.288888888888889	0.176470588235294	0.112418300653595	chr1:156672040:-_vs_chr1:156668763:-	0.641830065359477	chr1:156668763:-;chr1:156672040:-;chr1:156672426:-	distal	TRUE
DAAM1	25.8086124401914	2.48731629948062e-06	3.86018568555758e-05	0.75	0.291666666666667	0.458333333333333	chr14:59291305:+_vs_chr14:59332727:+	0.916666666666667	chr14:59291305:+;chr14:59330596:+;chr14:59332727:+	distal	TRUE
MARK1	22.0644260789715	2.63650744959043e-06	4.03926461828278e-05	0	1	-1	chr1:220582898:+_vs_chr1:220662454:+	-2	chr1:220582898:+;chr1:220662454:+	proximal	TRUE
ZNF330	21.9796650717703	2.75554570765915e-06	4.16819888690214e-05	0	0.95	-0.95	chr4:141234179:+_vs_chr4:141234483:+	-1.9	chr4:141234179:+;chr4:141234483:+	proximal	TRUE
TRIM2	25.5619047619048	2.81386273169974e-06	4.20320745547648e-05	0.5	0.525641025641026	-0.0256410256410257	chr4:153335357:+_vs_chr4:153336409:+	-1.02564102564103	chr4:153315504:+;chr4:153335357:+;chr4:153336409:+	proximal	TRUE
MAP1B	46.2725207251584	2.8937944509293e-06	4.26923996155619e-05	0.352355673523557	0.408692185007974	-0.0563365114844178	chr5:72195109:+_vs_chr5:72195578:+	-0.288705339992317	chr5:72193999:+;chr5:72194957:+;chr5:72195065:+;chr5:72195109:+;chr5:72195305:+;chr5:72195449:+;chr5:72195578:+;chr5:72195685:+;chr5:72195941:+;chr5:72197787:+;chr5:72200234:+;chr5:72205875:+	proximal	TRUE
HNRNPU	35.5628311933594	3.35185660960557e-06	4.88471786399837e-05	0.330532212885154	0.28988603988604	0.0406461729991142	chr1:244862694:-_vs_chr1:244854133:-	0.163542340012928	chr1:244853388:-;chr1:244853658:-;chr1:244854133:-;chr1:244854436:-;chr1:244855993:-;chr1:244858777:-;chr1:244862694:-	distal	FALSE
FDFT1	28.0971304277099	3.46546850038203e-06	4.97541759142245e-05	0.674019607843137	0.664160401002506	0.00985920684063091	chr8:11838667:+_vs_chr8:11838962:+	-0.346528084918178	chr8:11824416:+;chr8:11838667:+;chr8:11838962:+;chr8:11839298:+	proximal	TRUE
RAC1	25.1270016508604	3.49736466677394e-06	4.97541759142245e-05	0.630952380952381	0.930693069306931	-0.29974068835455	chr7:6402598:+_vs_chr7:6403967:+	-0.599481376709099	chr7:6402598:+;chr7:6402689:+;chr7:6403967:+	proximal	TRUE
FBLN1	21.4277186761229	3.6742088363466e-06	5.16550536404022e-05	0.234042553191489	1	-0.765957446808511	chr22:45563362:+_vs_chr22:45601135:+	-1.53191489361702	chr22:45563362:+;chr22:45601135:+	proximal	TRUE
TMBIM6	27.9244982798127	3.76701102662908e-06	5.17454438476644e-05	0.51310861423221	0.51789077212806	-0.00478215789585046	chr12:49761778:+_vs_chr12:49763005:+	0.255189487716625	chr12:49761778:+;chr12:49763005:+;chr12:49764759:+;chr12:49764921:+	distal	TRUE
AP2M1	21.379775852302	3.76724151861657e-06	5.17454438476644e-05	0.842105263157895	1	-0.157894736842105	chr3:184183301:+_vs_chr3:184184091:+	-0.315789473684211	chr3:184183301:+;chr3:184184091:+	proximal	TRUE
VAPB	21.3360232750749	3.85420461626761e-06	5.23383467777249e-05	0.19047619047619	0.870967741935484	-0.680491551459293	chr20:58444322:+_vs_chr20:58445526:+	-1.36098310291859	chr20:58444322:+;chr20:58445526:+	proximal	TRUE
YWHAQ	30.2177055176615	4.41950094260868e-06	5.93404901844648e-05	0.783629441624365	0.764819587628866	0.0188098539954995	chr2:9584267:-_vs_chr2:9583977:-	0.269781254906065	chr2:9583977:-;chr2:9584267:-;chr2:9584498:-;chr2:9584630:-;chr2:9584936:-	distal	TRUE
NCAM1	20.8842586207506	4.87887551288333e-06	6.41222113652222e-05	0.804878048780488	0	0.804878048780488	chr11:113275423:+_vs_chr11:113275627:+	1.60975609756098	chr11:113275423:+;chr11:113275627:+	distal	TRUE
BCCIP	20.8826609347443	4.88294663952738e-06	6.41222113652222e-05	0.0740740740740741	0.714285714285714	-0.64021164021164	chr10:125833901:+_vs_chr10:125853432:+	-1.28042328042328	chr10:125833901:+;chr10:125853432:+	proximal	TRUE
ST13	24.3198644338118	5.2361073025036e-06	6.8012480722737e-05	0.236842105263158	0.783333333333333	-0.546491228070175	chr22:40850830:-_vs_chr22:40824595:-	-1.09298245614035	chr22:40824595:-;chr22:40826130:-;chr22:40850830:-	proximal	TRUE
OAZ1	24.0951347027398	5.85879063842063e-06	7.52823098162651e-05	0.517241379310345	0.78169014084507	-0.264448761534726	chr19:2273241:+_vs_chr19:2273488:+	-0.528897523069451	chr19:2273241:+;chr19:2273325:+;chr19:2273488:+	proximal	TRUE
PDCL3	20.4548388532764	6.10549972450556e-06	7.76177890508952e-05	1	0.111111111111111	0.888888888888889	chr2:100576565:+_vs_chr2:100576735:+	1.77777777777778	chr2:100576565:+;chr2:100576735:+	distal	TRUE
CASC3	26.8572637944066	6.30726772447706e-06	7.93387887447377e-05	0.417989417989418	0.284848484848485	0.133140933140933	chr17:40163917:+_vs_chr17:40169662:+	0.429148629148629	chr17:40161839:+;chr17:40163917:+;chr17:40169662:+;chr17:40172167:+	distal	TRUE
CADM1	20.3226478394139	6.54216110160648e-06	8.14362762127057e-05	0	0.578947368421053	-0.578947368421053	chr11:115176489:-_vs_chr11:115173667:-	-1.15789473684211	chr11:115173667:-;chr11:115176489:-	proximal	TRUE
CLIP1	20.1410337913834	7.1936671307617e-06	8.86230125903117e-05	1	0	1	chr12:122341223:-_vs_chr12:122333057:-	2	chr12:122333057:-;chr12:122341223:-	distal	TRUE
FDX1	20.0833616274793	7.41388621905596e-06	9.04040207323661e-05	0.861111111111111	0.142857142857143	0.718253968253968	chr11:110463075:+_vs_chr11:110463256:+	1.43650793650794	chr11:110463075:+;chr11:110463256:+	distal	TRUE
TERF2IP	26.1298042980959	8.95881036345e-06	0.00010813917559922	0.477168949771689	0.436213991769547	0.0409549580021422	chr16:75654357:+_vs_chr16:75656326:+	-0.459918822932522	chr16:75654357:+;chr16:75656326:+;chr16:75656801:+;chr16:75657432:+	proximal	TRUE
MAP2	30.8963543739565	9.819125917754e-06	0.00011733855471716	0.594690265486726	0.690909090909091	-0.0962188254223652	chr2:209725730:+_vs_chr2:209734112:+	-0.493765084473049	chr2:209580099:+;chr2:209682505:+;chr2:209725730:+;chr2:209729898:+;chr2:209730502:+;chr2:209734112:+	proximal	TRUE
PAX6	25.6480241843225	1.13007542254365e-05	0.000133706943558382	0.682926829268293	0.5	0.182926829268293	chr11:31793758:-_vs_chr11:31789837:-	0.639399624765479	chr11:31789194:-;chr11:31789837:-;chr11:31793758:-;chr11:31809746:-	distal	TRUE
ZC3H14	19.166996671258	1.19766280851597e-05	0.000140314417272214	1	0	1	chr14:88574767:+_vs_chr14:88611888:+	2	chr14:88574767:+;chr14:88611888:+	distal	TRUE
TMEM59	18.8435147260428	1.41892714661213e-05	0.000164623100990437	0.388888888888889	0.796116504854369	-0.40722761596548	chr1:54032015:-_vs_chr1:54031676:-	-0.81445523193096	chr1:54031676:-;chr1:54032015:-	proximal	TRUE
RAB6A	18.8169702834112	1.43881207661985e-05	0.000165325041496223	0.333333333333333	1	-0.666666666666667	chr11:73676810:-_vs_chr11:73675893:-	-1.33333333333333	chr11:73675893:-;chr11:73676810:-	proximal	TRUE
SUMO1	22.2066100356917	1.50624597661215e-05	0.000171425137338239	0.642857142857143	0.47972972972973	0.163127413127413	chr2:202206486:-_vs_chr2:202206182:-	0.661196911196911	chr2:202206182:-;chr2:202206486:-;chr2:202206776:-	distal	TRUE
RSL1D1	22.0220190348867	1.6518831621831e-05	0.00018622645083102	0.5125	0.417647058823529	0.0948529411764706	chr16:11839942:-_vs_chr16:11839834:-	0.648529411764706	chr16:11837358:-;chr16:11839834:-;chr16:11839942:-	distal	TRUE
MYO6	18.5271757669414	1.67498963309754e-05	0.000187066599210426	0.46875	0	0.46875	chr6:75881817:+_vs_chr6:75890213:+	0.9375	chr6:75881817:+;chr6:75890213:+	distal	TRUE
