gene_id	chisq	pvalue	adj_pvalue	IP	PgG2M	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
EIF1	25.9242893558165	2.34753509058832e-06	4.18975330574492e-05	0.495525727069351	0.341584158415842	0.15394156865351	chr17:41690999:+_vs_chr17:41692668:+	0.307883137307019	chr17:41690999:+;chr17:41691644:+;chr17:41692668:+	distal	TRUE
KLC1	28.7819598048218	2.48856191061303e-06	4.36742615312588e-05	0.474666666666667	0.434343434343434	0.0403232323232323	chr14:103685912:+_vs_chr14:103686225:+	0.473212121212121	chr14:103675587:+;chr14:103685912:+;chr14:103686225:+;chr14:103701544:+	distal	TRUE
ERP44	25.7511961722488	2.55975735767172e-06	4.41872868463658e-05	0.621212121212121	0	0.621212121212121	chr9:99982494:-_vs_chr9:99981977:-	1.24242424242424	chr9:99981977:-;chr9:99982393:-;chr9:99982494:-	distal	TRUE
CCND2	31.2654022025346	2.7025078091252e-06	4.58990439194974e-05	0.367363344051447	0.25	0.117363344051447	chr12:4300989:+_vs_chr12:4305353:+	0.336094610060494	chr12:4300193:+;chr12:4300462:+;chr12:4300989:+;chr12:4301558:+;chr12:4305353:+	distal	TRUE
NUP107	25.5513763197587	2.82871458460925e-06	4.7279943771326e-05	0.367647058823529	0.884615384615385	-0.516968325791855	chr12:68734827:+_vs_chr12:68742665:+	-1.0972850678733	chr12:68714370:+;chr12:68734827:+;chr12:68742665:+	proximal	TRUE
SCRN1	28.005366726297	3.62262819721697e-06	5.88345155687112e-05	0.468992248062015	0.666666666666667	-0.197674418604651	chr7:29923016:-_vs_chr7:29920259:-	-1.15116279069767	chr7:29920109:-;chr7:29920259:-;chr7:29923016:-;chr7:29923891:-	proximal	TRUE
ACAT2	21.45	3.63176022029082e-06	5.88345155687112e-05	0.924242424242424	0.333333333333333	0.590909090909091	chr6:159778898:+_vs_chr6:159779051:+	1.18181818181818	chr6:159778898:+;chr6:159779051:+	distal	TRUE
CEP70	27.8644602048857	3.87790344749504e-06	6.18701868213981e-05	0.259259259259259	0.588652482269504	-0.329393223010244	chr3:138529424:-_vs_chr3:138497232:-	-0.990543735224586	chr3:138494344:-;chr3:138497232:-;chr3:138529424:-;chr3:138570348:-	proximal	TRUE
DNAJC7	24.4601441241685	4.88143139683992e-06	7.6718615833917e-05	0.378048780487805	0.833333333333333	-0.455284552845528	chr17:41983564:-_vs_chr17:41976452:-	-1.07723577235772	chr17:41976452:-;chr17:41983564:-;chr17:41988852:-	proximal	TRUE
H3-3B	27.3119479324554	5.06419005054757e-06	7.79229207410662e-05	0.527220630372493	0.441919191919192	0.0853014384533009	chr17:75778250:-_vs_chr17:75776434:-	0.220521837284015	chr17:75776434:-;chr17:75777459:-;chr17:75778023:-;chr17:75778250:-	distal	TRUE
SRRM4	20.7970856894302	5.10606033346018e-06	7.79229207410662e-05	0.771929824561403	0	0.771929824561403	chr12:119116983:+_vs_chr12:119157074:+	1.54385964912281	chr12:119116983:+;chr12:119157074:+	distal	TRUE
ZNF83	24.0652958152958	5.94685584404029e-06	8.94577029110633e-05	0.166666666666667	0.825	-0.658333333333333	chr19:52650253:-_vs_chr19:52612377:-	-1.31666666666667	chr19:52612377:-;chr19:52618088:-;chr19:52650253:-	proximal	TRUE
GPM6A	26.8373571150743	6.36815710327988e-06	9.44460483063904e-05	0.691025641025641	0.559027777777778	0.131997863247863	chr4:175634820:-_vs_chr4:175632943:-	0.239262820512821	chr4:175632943:-;chr4:175633448:-;chr4:175634820:-;chr4:175640800:-	distal	TRUE
KCTD3	20.2989044301931	6.62385012510473e-06	9.65664727000676e-05	0.894736842105263	0	0.894736842105263	chr1:215620322:+_vs_chr1:215620421:+	1.78947368421053	chr1:215620322:+;chr1:215620421:+	distal	TRUE
TPM4	23.8080309128858	6.76319290331716e-06	9.65664727000676e-05	0.611570247933884	0.678571428571429	-0.0670011806375443	chr19:16102357:+_vs_chr19:16103005:+	-0.703659976387249	chr19:16102197:+;chr19:16102357:+;chr19:16103005:+	proximal	TRUE
TSPAN6	20.2525632523975	6.78624784406933e-06	9.65664727000676e-05	0.961538461538462	0.25	0.711538461538462	chrX:100629692:-_vs_chrX:100629025:-	1.42307692307692	chrX:100629025:-;chrX:100629692:-	distal	TRUE
FNBP1L	31.5278448487653	7.36735131582065e-06	0.000102770770182812	0.454430379746835	0.438461538461539	0.015968841285297	chr1:93523489:+_vs_chr1:93530804:+	0.52190847127556	chr1:93523489:+;chr1:93530804:+;chr1:93530882:+;chr1:93552649:+;chr1:93553107:+;chr1:93554661:+	distal	TRUE
PSAP	20.0824416293007	7.41745349847459e-06	0.000102770770182812	0.412903225806452	0.771929824561403	-0.359026598754952	chr10:71816549:-_vs_chr10:71816298:-	-0.718053197509904	chr10:71816298:-;chr10:71816549:-	proximal	TRUE
TLE5	23.5232019762589	7.79832970075144e-06	0.000105913153093922	0.4140625	0.451923076923077	-0.0378605769230769	chr19:3053062:-_vs_chr19:3052910:-	-0.594951923076923	chr19:3052910:-;chr19:3053062:-;chr19:3053159:-	proximal	TRUE
SQLE	19.9751739941472	7.8454187476979e-06	0.000105913153093922	1	0.5	0.5	chr8:125003203:+_vs_chr8:125022272:+	1	chr8:125003203:+;chr8:125022272:+	distal	TRUE
BCLAF1	26.2690927714369	8.37682200991058e-06	0.000111655614891593	0.517412935323383	0.375	0.142412935323383	chr6:136276045:-_vs_chr6:136272002:-	0.873134328358209	chr6:136261275:-;chr6:136272002:-;chr6:136276045:-;chr6:136276439:-	distal	TRUE
SEPTIN11	26.2063440037875	8.63418528342091e-06	0.000113487601807108	0.271386430678466	0.401234567901235	-0.129848137222769	chr4:77028696:+_vs_chr4:77030836:+	-0.503605375286791	chr4:77028696:+;chr4:77030836:+;chr4:77030970:+;chr4:77035654:+	proximal	TRUE
GNAI1	28.7343990929705	8.85114075743019e-06	0.000113487601807108	0.423809523809524	0.513888888888889	-0.090079365079365	chr7:80218186:+_vs_chr7:80219408:+	-0.615873015873016	chr7:80212834:+;chr7:80217369:+;chr7:80218039:+;chr7:80218186:+;chr7:80219408:+	proximal	TRUE
SLA	23.2615384615385	8.88834908179039e-06	0.000113487601807108	0.653846153846154	0.5	0.153846153846154	chr8:133038598:-_vs_chr8:133036728:-	1.4	chr8:133036728:-;chr8:133038598:-;chr8:133060160:-	distal	TRUE
ZNF48	19.7097799178843	9.01388816315534e-06	0.000113487601807108	0.0714285714285714	1	-0.928571428571429	chr16:30399237:+_vs_chr16:30399396:+	-1.85714285714286	chr16:30399237:+;chr16:30399396:+	proximal	TRUE
MATR3	35.461905863957	9.15636633574846e-06	0.000113487601807108	0.26055900621118	0.333928571428571	-0.0733695652173913	chr5:139319032:+_vs_chr5:139329704:+	-0.183695652173913	chr5:139319032:+;chr5:139322506:+;chr5:139322957:+;chr5:139325489:+;chr5:139329379:+;chr5:139329429:+;chr5:139329704:+;chr5:139330395:+	proximal	FALSE
ELAVL4	23.2011284356655	9.16091752479032e-06	0.000113487601807108	0.131578947368421	0.5	-0.368421052631579	chr1:50201260:+_vs_chr1:50203772:+	-0.736842105263158	chr1:50201260:+;chr1:50201599:+;chr1:50203772:+	proximal	TRUE
ZNF382	19.5615767045455	9.7408667426146e-06	0.000119268984650851	0.0625	1	-0.9375	chr19:36627974:+_vs_chr19:36628272:+	-1.875	chr19:36627974:+;chr19:36628272:+	proximal	TRUE
PRMT2	25.8611111111111	1.01978194473217e-05	0.000123428780207238	0.592261904761905	0.809523809523809	-0.217261904761905	chr21:46659537:+_vs_chr21:46660144:+	-0.660714285714286	chr21:46659140:+;chr21:46659537:+;chr21:46660144:+;chr21:46664941:+	proximal	TRUE
IGFBPL1	25.5922454221673	1.16086055401958e-05	0.000138907518566207	0.758454106280193	0.615384615384615	0.143069490895578	chr9:38407239:-_vs_chr9:38406528:-	0.848383500557414	chr9:38406528:-;chr9:38407239:-;chr9:38408994:-;chr9:38409102:-	distal	TRUE
NSA2	19.0266374562355	1.28906330462124e-05	0.000152515017951255	0.941176470588235	0.0769230769230769	0.864253393665158	chr5:74769355:+_vs_chr5:74776822:+	1.72850678733032	chr5:74769355:+;chr5:74776822:+	distal	TRUE
IST1	18.7669172932331	1.47707235550665e-05	0.000171508001367929	0.897435897435897	0.230769230769231	0.666666666666667	chr16:71927808:+_vs_chr16:71928996:+	1.33333333333333	chr16:71927808:+;chr16:71928996:+	distal	TRUE
CDC42EP3	22.2388392857143	1.48216791305618e-05	0.000171508001367929	0.390625	1	-0.609375	chr2:37645154:-_vs_chr2:37644852:-	-1.3125	chr2:37644852:-;chr2:37645154:-;chr2:37645830:-	proximal	TRUE
AFDN	22.0477040816327	1.63080445566307e-05	0.000186656205631871	0.293650793650794	0.5	-0.206349206349206	chr6:167880492:+_vs_chr6:167890915:+	-0.849206349206349	chr6:167872321:+;chr6:167880492:+;chr6:167890915:+	proximal	TRUE
SERBP1	18.3434565434565	1.84451392042648e-05	0.000208846576151514	0.153846153846154	1	-0.846153846153846	chr1:67412863:-_vs_chr1:67411053:-	-1.69230769230769	chr1:67411053:-;chr1:67412863:-	proximal	TRUE
CCDC50	21.7575585789871	1.88541164331751e-05	0.000211206219192908	0.392857142857143	0.5625	-0.169642857142857	chr3:191369975:+_vs_chr3:191380863:+	-0.982142857142857	chr3:191369975:+;chr3:191380863:+;chr3:191392150:+	proximal	TRUE
GTF3C6	18.2456355365721	1.94170347399544e-05	0.000215222500854442	0.966101694915254	0.55	0.416101694915254	chr6:110967634:+_vs_chr6:110967872:+	0.832203389830508	chr6:110967634:+;chr6:110967872:+	distal	TRUE
AKAP11	18.1818181818182	2.00786561242648e-05	0.00022023775936303	1	0	1	chr13:42301233:+_vs_chr13:42303017:+	2	chr13:42301233:+;chr13:42303017:+	distal	TRUE
NCAM1	21.2991452991453	2.37109723270689e-05	0.000257398493406222	0.41025641025641	1	-0.58974358974359	chr11:113275423:+_vs_chr11:113275701:+	-1.17948717948718	chr11:113275423:+;chr11:113275627:+;chr11:113275701:+	proximal	TRUE
CENPU	17.8258928571429	2.4206664126874e-05	0.000260098135975494	0.909090909090909	0.0909090909090909	0.818181818181818	chr4:184717150:-_vs_chr4:184695002:-	1.63636363636364	chr4:184695002:-;chr4:184717150:-	distal	TRUE
SMOC1	24.0149309961136	2.48013215492466e-05	0.000263795874660168	0.403225806451613	0.638095238095238	-0.234869431643625	chr14:70030640:+_vs_chr14:70032366:+	-0.560215053763441	chr14:70030465:+;chr14:70030640:+;chr14:70031177:+;chr14:70032366:+	proximal	TRUE
SEPTIN7	23.8901638488918	2.63342468655851e-05	0.000277299619494611	0.370766488413547	0.381720430107527	-0.0109539416939796	chr7:35882569:+_vs_chr7:35898297:+	-0.426298085216491	chr7:35882569:+;chr7:35898297:+;chr7:35903104:+;chr7:35905307:+	proximal	TRUE
DAAM1	20.9832807239057	2.77676089585585e-05	0.000289497942904575	0.681818181818182	0.1875	0.494318181818182	chr14:59291305:+_vs_chr14:59326966:+	0.994318181818182	chr14:59291305:+;chr14:59326966:+;chr14:59330596:+	distal	TRUE
PLEKHA1	17.3085453100159	3.17754708657104e-05	0.000328035008054834	0.566666666666667	0	0.566666666666667	chr10:122430145:+_vs_chr10:122430566:+	1.13333333333333	chr10:122430145:+;chr10:122430566:+	distal	TRUE
ANAPC7	16.8261019589067	4.09659467363449e-05	0.000418807203042438	0.207547169811321	1	-0.792452830188679	chr12:110375474:-_vs_chr12:110373478:-	-1.58490566037736	chr12:110373478:-;chr12:110375474:-	proximal	TRUE
CDC27	16.6375	4.52475099891784e-05	0.0004577085778091	0.266666666666667	1	-0.733333333333333	chr17:47142415:-_vs_chr17:47142376:-	-1.46666666666667	chr17:47142376:-;chr17:47142415:-	proximal	TRUE
HSP90B1	19.9894320626801	4.56404564766909e-05	0.0004577085778091	0.195652173913043	0.666666666666667	-0.471014492753623	chr12:103932415:+_vs_chr12:103947926:+	-0.942028985507246	chr12:103932415:+;chr12:103937748:+;chr12:103947926:+	proximal	TRUE
IVNS1ABP	25.0553511705686	4.90368768095034e-05	0.000487130483777425	0.558760683760684	0.434782608695652	0.123978075065032	chr1:185297861:-_vs_chr1:185296388:-	0.380527684875511	chr1:185296388:-;chr1:185296909:-;chr1:185297765:-;chr1:185297861:-;chr1:185306578:-	distal	TRUE
HNRNPK	27.312220784371	4.95861661820346e-05	0.000487983485884883	0.457739130434783	0.396363636363636	0.0613754940711462	chr9:83978257:-_vs_chr9:83968344:-	0.146482213438735	chr9:83968083:-;chr9:83968178:-;chr9:83968344:-;chr9:83968909:-;chr9:83974537:-;chr9:83978257:-	distal	FALSE
