gene_id	chisq	pvalue	adj_pvalue	IP	vRG	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
RBM25	61.1864473180021	2.72579494758111e-10	2.01299956878865e-08	0.643318965517241	0.371428571428571	0.27189039408867	chr14:73101179:+_vs_chr14:73111711:+	0.398522167487685	chr14:73101179:+;chr14:73103245:+;chr14:73106039:+;chr14:73106259:+;chr14:73107849:+;chr14:73110926:+;chr14:73111711:+;chr14:73120789:+;chr14:73121313:+	distal	TRUE
HES1	43.4082535345075	3.74988121202298e-10	2.63741645245616e-08	0.626984126984127	0.496056782334385	0.130927344649742	chr3:194138604:+_vs_chr3:194138732:+	0.362826097841871	chr3:194138485:+;chr3:194138604:+;chr3:194138732:+	distal	TRUE
NUP93	44.6092102123598	1.12024466216376e-09	7.41268554029698e-08	0.63973063973064	0.551111111111111	0.0886195286195287	chr16:56824851:+_vs_chr16:56842037:+	0.385454545454545	chr16:56824851:+;chr16:56842037:+;chr16:56844765:+;chr16:56844954:+	distal	TRUE
MALAT1	47.5576737158359	1.16697965012378e-09	7.41268554029698e-08	0.585477941176471	0.50484496124031	0.0806329799361605	chr11:65502913:+_vs_chr11:65502988:+	0.346272229822161	chr11:65499910:+;chr11:65501332:+;chr11:65501966:+;chr11:65502913:+;chr11:65502988:+	distal	TRUE
NEDD4L	47.4851652629982	1.20829340854543e-09	7.41268554029698e-08	0.597222222222222	0.3625	0.234722222222222	chr18:58341097:+_vs_chr18:58383306:+	0.616666666666667	chr18:58045470:+;chr18:58245507:+;chr18:58341097:+;chr18:58383306:+;chr18:58396578:+	distal	TRUE
TSN	47.4066359447005	1.2546861104091e-09	7.41268554029698e-08	0.469512195121951	0.768292682926829	-0.298780487804878	chr2:121766453:+_vs_chr2:121767293:+	-0.817073170731707	chr2:121765791:+;chr2:121765968:+;chr2:121766300:+;chr2:121766453:+;chr2:121767293:+	proximal	TRUE
EZR	52.5254206079508	1.46198130181329e-09	8.30517839530089e-08	0.299393939393939	0.40337224383917	-0.10397830444523	chr6:158783582:-_vs_chr6:158770869:-	-0.282808631057658	chr6:158765748:-;chr6:158766130:-;chr6:158766193:-;chr6:158766556:-;chr6:158770869:-;chr6:158775200:-;chr6:158783582:-	proximal	TRUE
SPOP	43.718152608026	1.73224107874981e-09	9.47600027153137e-08	0.423423423423423	0.49789029535865	-0.0744668719352264	chr17:49599986:-_vs_chr17:49599482:-	0.819705781731098	chr17:49599284:-;chr17:49599482:-;chr17:49599986:-;chr17:49600192:-	distal	TRUE
SUB1	46.6102709239881	1.83825736544298e-09	9.69680760271169e-08	0.2953125	0.517241379310345	-0.221928879310345	chr5:32601333:+_vs_chr5:32604067:+	-0.505603448275862	chr5:32601254:+;chr5:32601333:+;chr5:32601448:+;chr5:32601957:+;chr5:32604067:+	proximal	TRUE
ZRANB2	39.8528571428571	2.21851325265091e-09	1.1299117497122e-07	0.283333333333333	0.904761904761905	-0.621428571428571	chr1:71069812:-_vs_chr1:71063291:-	-1.37142857142857	chr1:71063291:-;chr1:71069812:-;chr1:71070919:-	proximal	TRUE
CADM1	35.6700907097289	2.33724981620859e-09	1.1507059928467e-07	0	0.578947368421053	-0.578947368421053	chr11:115176489:-_vs_chr11:115173667:-	-1.15789473684211	chr11:115173667:-;chr11:115176489:-	proximal	TRUE
TRIM27	34.2352042337507	4.883743945539e-09	2.32686767985842e-07	0.883720930232558	0.0555555555555556	0.828165374677003	chr6:28921954:-_vs_chr6:28903842:-	1.65633074935401	chr6:28903842:-;chr6:28921954:-	distal	TRUE
PAIP1	44.4207687092126	5.24608068890407e-09	2.42139411797229e-07	0.473684210526316	0.706521739130435	-0.232837528604119	chr5:43551737:-_vs_chr5:43526267:-	-0.597635392829901	chr5:43526267:-;chr5:43527111:-;chr5:43529816:-;chr5:43535573:-;chr5:43551737:-	proximal	TRUE
CUL1	41.0779954022989	6.29480420031739e-09	2.81740175874812e-07	0.593869731800766	0.44	0.153869731800766	chr7:148797999:+_vs_chr7:148801017:+	0.819770114942529	chr7:148731567:+;chr7:148797999:+;chr7:148801017:+;chr7:148801110:+	distal	TRUE
PAPOLA	46.5616587926845	6.979044045377e-09	3.0317788397123e-07	0.570642201834862	0.524590163934426	0.0460520379004362	chr14:96534618:+_vs_chr14:96547917:+	0.566250563994586	chr14:96532696:+;chr14:96534618:+;chr14:96534878:+;chr14:96542884:+;chr14:96547917:+;chr14:96556405:+	distal	TRUE
WDR1	33.436252179599	7.3638468323483e-09	3.03245336476533e-07	0.162162162162162	1	-0.837837837837838	chr4:10075152:-_vs_chr4:10074480:-	-1.67567567567568	chr4:10074480:-;chr4:10075152:-	proximal	TRUE
MATR3	51.4801138936913	7.39122011723439e-09	3.03245336476533e-07	0.26055900621118	0.346638655462185	-0.0860796492510048	chr5:139322957:+_vs_chr5:139329704:+	-0.205583972719523	chr5:139319032:+;chr5:139322506:+;chr5:139322957:+;chr5:139325489:+;chr5:139329379:+;chr5:139329429:+;chr5:139329704:+;chr5:139330395:+	proximal	TRUE
CBWD1	33.3337536962174	7.76235848103254e-09	3.09864958823921e-07	0.727272727272727	0	0.727272727272727	chr9:121409:-_vs_chr9:121089:-	1.45454545454545	chr9:121089:-;chr9:121409:-	distal	TRUE
PPP2CA	36.660229555913	1.09479372441799e-08	4.2552903446457e-07	0.189189189189189	0.107913669064748	0.081275520124441	chr5:134197097:-_vs_chr5:134196964:-	0.465098191716897	chr5:134196719:-;chr5:134196964:-;chr5:134197097:-	distal	TRUE
NDFIP1	31.8682843541166	1.64989223762451e-08	6.1715364447024e-07	0	0.301587301587302	-0.301587301587302	chr5:142152775:+_vs_chr5:142153198:+	-0.603174603174603	chr5:142152775:+;chr5:142153198:+	proximal	TRUE
ZCCHC17	39.0773809523809	1.67137073654771e-08	6.1715364447024e-07	0.638888888888889	0.388888888888889	0.25	chr1:31348892:+_vs_chr1:31364159:+	1.04166666666667	chr1:31337275:+;chr1:31348892:+;chr1:31364159:+;chr1:31364936:+	distal	TRUE
YWHAQ	41.9432913735944	1.71392805920636e-08	6.17432132548242e-07	0.753438113948919	0.764819587628866	-0.0113814736799466	chr2:9584630:-_vs_chr2:9584498:-	-0.131144552690742	chr2:9583977:-;chr2:9584267:-;chr2:9584498:-;chr2:9584630:-;chr2:9584936:-	proximal	FALSE
GOLIM4	35.5240424428411	1.93220052639036e-08	6.79490518447277e-07	0.486486486486487	0.82258064516129	-0.336094158674804	chr3:168024962:-_vs_chr3:168010038:-	-1.0357454228422	chr3:168010038:-;chr3:168024962:-;chr3:168036974:-	proximal	TRUE
TFAP2C	35.4362073507763	2.01894897896715e-08	6.89959223178113e-07	0.469135802469136	0.5625	-0.0933641975308642	chr20:56638484:+_vs_chr20:56639283:+	-0.701071169208424	chr20:56638015:+;chr20:56638484:+;chr20:56639283:+	proximal	TRUE
LAS1L	31.4415074380165	2.05539646715213e-08	6.89959223178113e-07	1	0	1	chrX:65518150:-_vs_chrX:65512582:-	2	chrX:65512582:-;chrX:65518150:-	distal	TRUE
CZIB	30.702304531611	3.00807574501004e-08	9.82036377017457e-07	1	0	1	chr1:53214473:-_vs_chr1:53214157:-	2	chr1:53214157:-;chr1:53214473:-	distal	TRUE
KPNB1	34.6055287430287	3.05847483702119e-08	9.82036377017457e-07	0.633333333333333	0.364864864864865	0.268468468468468	chr17:47680640:+_vs_chr17:47683635:+	0.536936936936937	chr17:47680640:+;chr17:47682697:+;chr17:47683635:+	distal	TRUE
DCAF13	30.5104526689708	3.32072496948823e-08	1.04355548509237e-06	0.032258064516129	0.791666666666667	-0.759408602150538	chr8:103442975:+_vs_chr8:103443453:+	-1.51881720430108	chr8:103442975:+;chr8:103443453:+	proximal	TRUE
COL11A1	40.4789233754751	3.445537474095e-08	1.06022059359132e-06	0.714285714285714	0.46551724137931	0.248768472906404	chr1:103025930:-_vs_chr1:103022826:-	1.08702791461412	chr1:103021746:-;chr1:103022826:-;chr1:103022894:-;chr1:103025930:-;chr1:103074713:-	distal	TRUE
HELLS	34.2	3.74597055629525e-08	1.12914255339757e-06	0.428571428571429	0.535714285714286	-0.107142857142857	chr10:94571419:+_vs_chr10:94602094:+	-1.39285714285714	chr10:94565702:+;chr10:94571419:+;chr10:94602094:+	proximal	TRUE
RGMA	29.6344689474883	5.21689497064737e-08	1.54107077432923e-06	0.263157894736842	1	-0.736842105263158	chr15:93043565:-_vs_chr15:93043416:-	-1.47368421052632	chr15:93043416:-;chr15:93043565:-	proximal	TRUE
MRI1	33	6.82560337633487e-08	1.97153382335956e-06	0.25	1	-0.75	chr19:13773472:+_vs_chr19:13774282:+	-1.5	chr19:13773472:+;chr19:13773662:+;chr19:13774282:+	proximal	TRUE
NUDT11	29.0329901351122	7.11561470114617e-08	1.97153382335956e-06	1	0	1	chrX:51490994:-_vs_chrX:51490547:-	2	chrX:51490547:-;chrX:51490994:-	distal	TRUE
RFWD3	29.0329901351122	7.11561470114617e-08	1.97153382335956e-06	0	1	-1	chr16:74621864:-_vs_chr16:74621399:-	-2	chr16:74621399:-;chr16:74621864:-	proximal	TRUE
GPC6	29.0079882154882	7.20804512264157e-08	1.97153382335956e-06	0.857142857142857	0	0.857142857142857	chr13:94403582:+_vs_chr13:94403658:+	1.71428571428571	chr13:94403582:+;chr13:94403658:+	distal	TRUE
ANAPC7	28.8223271103877	7.93312988466296e-08	2.09482794126949e-06	0.207547169811321	0.947368421052632	-0.739821251241311	chr12:110375474:-_vs_chr12:110373478:-	-1.47964250248262	chr12:110373478:-;chr12:110375474:-	proximal	TRUE
KIF1B	28.8200467687075	7.94247560670895e-08	2.09482794126949e-06	0	1	-1	chr1:10273030:+_vs_chr1:10303736:+	-2	chr1:10273030:+;chr1:10303736:+	proximal	TRUE
CTNNA1	35.5105513476294	9.50279496892438e-08	2.4122053673726e-06	0.801932367149758	0.438888888888889	0.36304347826087	chr5:138934327:+_vs_chr5:138935032:+	0.642753623188406	chr5:138934327:+;chr5:138934631:+;chr5:138934712:+;chr5:138935032:+	distal	TRUE
PDIA6	38.3329410234389	9.56615723385172e-08	2.4122053673726e-06	0.651162790697674	0.444148936170213	0.207013854527462	chr2:10788704:-_vs_chr2:10783855:-	0.604898565066799	chr2:10783391:-;chr2:10783855:-;chr2:10784081:-;chr2:10788704:-;chr2:10790782:-	distal	TRUE
TPR	35.481999263894	9.63575603757506e-08	2.4122053673726e-06	0.371212121212121	0.8	-0.428787878787879	chr1:186359936:-_vs_chr1:186355500:-	-0.911818181818182	chr1:186313826:-;chr1:186355500:-;chr1:186359936:-;chr1:186360828:-	proximal	TRUE
C9orf78	32.174892945684	1.03112369966718e-07	2.50520699254365e-06	0.57843137254902	0.655172413793103	-0.0767410412440839	chr9:129827772:-_vs_chr9:129827290:-	-1.0473292765382	chr9:129827290:-;chr9:129827772:-;chr9:129828178:-	proximal	TRUE
FBXO11	32.1680672268908	1.03464879177497e-07	2.50520699254365e-06	0.78	0.26	0.52	chr2:47807444:-_vs_chr2:47806920:-	1.24	chr2:47806920:-;chr2:47807444:-;chr2:47812849:-	distal	TRUE
SMARCA5	43.1260437579871	1.10132465431455e-07	2.62363953939128e-06	0.384057971014493	0.501915708812261	-0.117857737797768	chr4:143528017:+_vs_chr4:143543971:+	-0.482258870564718	chr4:143526458:+;chr4:143528017:+;chr4:143543538:+;chr4:143543971:+;chr4:143548058:+;chr4:143550064:+;chr4:143553414:+	proximal	TRUE
ARL6IP1	34.9825112359944	1.22865837709506e-07	2.88052130630064e-06	0.48780487804878	0.738666666666667	-0.250861788617886	chr16:18793259:-_vs_chr16:18791667:-	-0.492422764227642	chr16:18791667:-;chr16:18792616:-;chr16:18793259:-;chr16:18795529:-	proximal	TRUE
XPOT	31.6640625	1.33117818164243e-07	3.07210964732166e-06	0.1875	0.75	-0.5625	chr12:64420459:+_vs_chr12:64424396:+	-1.3125	chr12:64420459:+;chr12:64424396:+;chr12:64448684:+	proximal	TRUE
TCF12	34.751963235628	1.37446668509513e-07	3.12321122136231e-06	0.678787878787879	0.177083333333333	0.501704545454545	chr15:57262200:+_vs_chr15:57288518:+	0.866477272727273	chr15:57262200:+;chr15:57263175:+;chr15:57286267:+;chr15:57288518:+	distal	TRUE
NOP56	37.506581544879	1.41640925779045e-07	3.16975223296438e-06	0.6	0.387640449438202	0.212359550561798	chr20:2657155:+_vs_chr20:2658391:+	0.460353130016051	chr20:2657155:+;chr20:2657960:+;chr20:2658039:+;chr20:2658201:+;chr20:2658391:+	distal	TRUE
YPEL5	34.3549645021645	1.66716927436433e-07	3.67523734065093e-06	0.737777777777778	0.666666666666667	0.0711111111111111	chr2:30160087:+_vs_chr2:30160533:+	0.556666666666667	chr2:30158896:+;chr2:30159551:+;chr2:30160087:+;chr2:30160533:+	distal	TRUE
ZC3H14	31.0546875	1.80534534609101e-07	3.92131628849473e-06	0.828125	0.214285714285714	0.613839285714286	chr14:88574767:+_vs_chr14:88611888:+	1.22767857142857	chr14:88574767:+;chr14:88575922:+;chr14:88611888:+	distal	TRUE
AKIRIN2	30.9672347863719	1.88603785911624e-07	4.0372143737894e-06	0.602150537634409	0.476190476190476	0.125960061443932	chr6:87675298:-_vs_chr6:87674926:-	0.605222734254992	chr6:87674860:-;chr6:87674926:-;chr6:87675298:-	distal	TRUE
PRPF39	33.7839366515837	2.20056445434413e-07	4.64319099866611e-06	0.346153846153846	0.53921568627451	-0.193061840120664	chr14:45112379:+_vs_chr14:45114553:+	-0.97737556561086	chr14:45109687:+;chr14:45112379:+;chr14:45114527:+;chr14:45114553:+	proximal	TRUE
NREP	36.4654760867996	2.32093829397951e-07	4.8282054369123e-06	0.675052410901468	0.722727272727273	-0.0476748618258053	chr5:111730035:-_vs_chr5:111729731:-	-0.257099294835144	chr5:111729303:-;chr5:111729731:-;chr5:111729940:-;chr5:111730035:-;chr5:111734729:-	proximal	TRUE
FUBP1	36.4344901325321	2.35527770306391e-07	4.83159051031304e-06	0.375	0.25	0.125	chr1:77948654:-_vs_chr1:77948419:-	0.338509803921569	chr1:77948419:-;chr1:77948654:-;chr1:77962777:-;chr1:77962913:-;chr1:77964286:-	distal	TRUE
VCAN	36.2062698501948	2.6242973385263e-07	5.3097084506895e-06	0.570652173913043	0.48972602739726	0.0809261465157832	chr5:83520452:+_vs_chr5:83537169:+	0.556283502084574	chr5:83519909:+;chr5:83520452:+;chr5:83537169:+;chr5:83538176:+;chr5:83580635:+	distal	TRUE
ZNF608	29.9704088952654	3.10461962335505e-07	6.19665295093975e-06	0.597560975609756	0.4375	0.160060975609756	chr5:124649662:-_vs_chr5:124648879:-	1.10670731707317	chr5:124648255:-;chr5:124648879:-;chr5:124649662:-	distal	TRUE
STIP1	29.7580171829981	3.45246013475805e-07	6.79904482538351e-06	0.904761904761905	0.518181818181818	0.386580086580086	chr11:64197315:+_vs_chr11:64204541:+	0.773160173160173	chr11:64197315:+;chr11:64197895:+;chr11:64204541:+	distal	TRUE
HSPBP1	25.6237900658386	4.14892621411534e-07	8.06311055032678e-06	0.207547169811321	0.787878787878788	-0.580331618067467	chr19:55262339:-_vs_chr19:55262223:-	-1.16066323613493	chr19:55262223:-;chr19:55262339:-	proximal	TRUE
SRP54	32.3932415466433	4.3241344399447e-07	8.29447606207574e-06	0.642276422764228	0.474358974358974	0.167917448405253	chr14:35000985:+_vs_chr14:35011565:+	0.813320825515947	chr14:35000985:+;chr14:35007332:+;chr14:35011565:+;chr14:35029567:+	distal	TRUE
MYL12B	25.4163873626507	4.61977045410168e-07	8.74794994962587e-06	0.294964028776978	0.650602409638554	-0.355638380861576	chr18:3278188:+_vs_chr18:3278257:+	-0.711276761723151	chr18:3278188:+;chr18:3278257:+	proximal	TRUE
CHMP4B	28.8872180451128	5.33605506667614e-07	9.97639662465906e-06	0.2	0.723684210526316	-0.523684210526316	chr20:33853529:+_vs_chr20:33854364:+	-1.04736842105263	chr20:33853529:+;chr20:33853832:+;chr20:33854364:+	proximal	TRUE
ARGLU1	37.1330267971456	5.63271984433936e-07	1.03243663419668e-05	0.657142857142857	0.407547169811321	0.249595687331536	chr13:106559584:-_vs_chr13:106543964:-	0.427493261455526	chr13:106543327:-;chr13:106543964:-;chr13:106544123:-;chr13:106557173:-;chr13:106559004:-;chr13:106559584:-	distal	TRUE
ST13	28.768645840195	5.66197477115309e-07	1.03243663419668e-05	0.223404255319149	0.602941176470588	-0.379536921151439	chr22:40825150:-_vs_chr22:40824595:-	-0.765331664580726	chr22:40824595:-;chr22:40825150:-;chr22:40826130:-	proximal	TRUE
CALM1	34.5289748960729	5.80411298048068e-07	1.04544815514268e-05	0.542410714285714	0.597402597402597	-0.0549918831168831	chr14:90405107:+_vs_chr14:90405213:+	-0.375811688311688	chr14:90403939:+;chr14:90405107:+;chr14:90405213:+;chr14:90405610:+;chr14:90408054:+	proximal	TRUE
ATF2	24.9080514743394	6.01307666993058e-07	1.05729931446279e-05	1	0	1	chr2:175074591:-_vs_chr2:175072259:-	2	chr2:175072259:-;chr2:175074591:-	distal	TRUE
DPYSL5	24.9080514743394	6.01307666993058e-07	1.05729931446279e-05	1	0	1	chr2:26948707:+_vs_chr2:26950351:+	2	chr2:26948707:+;chr2:26950351:+	distal	TRUE
ARID4B	28.590348583878	6.18991502626149e-07	1.07558876397509e-05	0.136363636363636	0.670454545454545	-0.534090909090909	chr1:235246444:-_vs_chr1:235220428:-	-1.06818181818182	chr1:235220428:-;chr1:235229237:-;chr1:235246444:-	proximal	TRUE
ACTR3	31.6161204692928	6.30489938532871e-07	1.08282981303843e-05	0.561643835616438	0.570175438596491	-0.00853160298005295	chr2:113958257:+_vs_chr2:113958561:+	0.815068493150685	chr2:113957876:+;chr2:113958146:+;chr2:113958257:+;chr2:113958561:+	distal	TRUE
ERP44	28.4512819016496	6.63563720523376e-07	1.12653289104946e-05	0.518518518518518	0.5625	-0.0439814814814815	chr9:99982393:-_vs_chr9:99982143:-	-1.16898148148148	chr9:99981977:-;chr9:99982143:-;chr9:99982393:-	proximal	TRUE
GNL2	24.6694625825061	6.80539962055468e-07	1.14222445904083e-05	0.807692307692308	0	0.807692307692308	chr1:37568302:-_vs_chr1:37566822:-	1.61538461538462	chr1:37566822:-;chr1:37568302:-	distal	TRUE
SMCHD1	28.3010869565217	7.15314537598209e-07	1.18710064273321e-05	0.733333333333333	0.22	0.513333333333333	chr18:2697089:+_vs_chr18:2752517:+	1.02666666666667	chr18:2697089:+;chr18:2703769:+;chr18:2752517:+	distal	TRUE
CNOT2	24.4942255434783	7.45328775878046e-07	1.21467340713134e-05	0	0.8125	-0.8125	chr12:70354257:+_vs_chr12:70354334:+	-1.625	chr12:70354257:+;chr12:70354334:+	proximal	TRUE
STK4	28.2107180020812	7.48376980697032e-07	1.21467340713134e-05	0.774193548387097	0.303571428571429	0.470622119815668	chr20:44976031:+_vs_chr20:45079953:+	0.941244239631336	chr20:44976031:+;chr20:45025036:+;chr20:45079953:+	distal	TRUE
MAPKAPK5	24.4496575473138	7.62770689784894e-07	1.2245785965351e-05	0.961538461538462	0.259259259259259	0.702279202279202	chr12:111893350:+_vs_chr12:111893414:+	1.4045584045584	chr12:111893350:+;chr12:111893414:+	distal	TRUE
SET	28.0750360750361	8.00909373867534e-07	1.27198187656166e-05	0.742424242424242	0.1	0.642424242424242	chr9:128691894:+_vs_chr9:128695533:+	1.28484848484848	chr9:128691894:+;chr9:128694053:+;chr9:128695533:+	distal	TRUE
TMBIM6	31.0580356015199	8.26462994299108e-07	1.29280833485892e-05	0.675774134790528	0.51789077212806	0.157883362662468	chr12:49761778:+_vs_chr12:49764921:+	0.359914791145689	chr12:49761778:+;chr12:49763005:+;chr12:49764759:+;chr12:49764921:+	distal	TRUE
LYPD1	28	8.31528719103568e-07	1.29280833485892e-05	0.479166666666667	0	0.479166666666667	chr2:132645058:-_vs_chr2:132644852:-	1.375	chr2:132644701:-;chr2:132644852:-;chr2:132645058:-	distal	TRUE
AKAP11	24.1787777439951	8.7794407692769e-07	1.35075354335646e-05	0.846153846153846	0	0.846153846153846	chr13:42300372:+_vs_chr13:42303017:+	1.69230769230769	chr13:42300372:+;chr13:42303017:+	distal	TRUE
CENPV	30.8703776692695	9.05179131986882e-07	1.37829853396353e-05	0.91703056768559	0.874125874125874	0.0429046935597154	chr17:16348324:-_vs_chr17:16348150:-	0.165144898769353	chr17:16342537:-;chr17:16348061:-;chr17:16348150:-;chr17:16348324:-	distal	FALSE
ZFR	30.8448229019658	9.16462092452167e-07	1.38123929648148e-05	0.509090909090909	0.608465608465608	-0.0993746993746993	chr5:32397219:-_vs_chr5:32395232:-	-0.807503607503608	chr5:32388486:-;chr5:32395232:-;chr5:32397219:-;chr5:32404030:-	proximal	TRUE
FBXL3	27.7423454048377	9.45858645501884e-07	1.41114466606695e-05	0.411764705882353	0.672413793103448	-0.260649087221095	chr13:77006686:-_vs_chr13:77006285:-	-1.06693711967546	chr13:77005264:-;chr13:77006285:-;chr13:77006686:-	proximal	TRUE
MTSS1	23.9248153822673	1.00172163374544e-06	1.47954285304202e-05	0.75	0	0.75	chr8:124568455:-_vs_chr8:124552902:-	1.5	chr8:124552902:-;chr8:124568455:-	distal	TRUE
PRPF6	23.7337212399574	1.10627117745572e-06	1.6177846822793e-05	0.766233766233766	0.233333333333333	0.532900432900433	chr20:63984997:+_vs_chr20:64033097:+	1.06580086580087	chr20:63984997:+;chr20:64033097:+	distal	TRUE
NONO	27.1527977031562	1.27012040922059e-06	1.83918416119492e-05	0.945488721804511	0.831081081081081	0.11440764072343	chrX:71300269:+_vs_chrX:71301168:+	0.367709815078236	chrX:71291912:+;chrX:71300269:+;chrX:71301168:+	distal	TRUE
CEP170	35.1412732348787	1.41006022027017e-06	2.02199897605732e-05	0.476923076923077	0.72972972972973	-0.252806652806653	chr1:243172730:-_vs_chr1:243165527:-	-0.424116424116424	chr1:243164980:-;chr1:243165527:-;chr1:243165893:-;chr1:243172730:-;chr1:243185790:-;chr1:243191027:-	proximal	TRUE
ZBTB2	23.1105521556449	1.52949015156387e-06	2.17217014794215e-05	0.823529411764706	0	0.823529411764706	chr6:151364942:-_vs_chr6:151364121:-	1.64705882352941	chr6:151364121:-;chr6:151364942:-	distal	TRUE
