gene_id	chisq	pvalue	adj_pvalue	ExN1	ExN2	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
RTN4	51.0451430353005	2.90072281516681e-09	2.16773247302658e-07	0.397325692454632	0.600806451612903	-0.203480759158271	chr2:55026600:-_vs_chr2:54972189:-	-0.389338201312506	chr2:54972189:-;chr2:54972291:-;chr2:54981278:-;chr2:55025982:-;chr2:55026078:-;chr2:55026600:-;chr2:55027115:-	proximal	TRUE
PSMD9	34.679166144528	3.88770010004475e-09	2.79770418310627e-07	0	0.736842105263158	-0.736842105263158	chr12:121916644:+_vs_chr12:121917863:+	-1.47368421052632	chr12:121916644:+;chr12:121917863:+	proximal	TRUE
USP34	38	5.60279643753727e-09	3.88794052790533e-07	0.269230769230769	1	-0.730769230769231	chr2:61222470:-_vs_chr2:61187465:-	-1.53846153846154	chr2:61187465:-;chr2:61222470:-;chr2:61350261:-	proximal	TRUE
CARHSP1	33.7827658687259	6.16223545688116e-09	4.05148941562052e-07	0.658682634730539	0.253164556962025	0.405518077768514	chr16:8854913:-_vs_chr16:8852947:-	0.811036155537027	chr16:8852947:-;chr16:8854913:-	distal	TRUE
AMZ2	33.7535382672883	6.25551633909499e-09	4.05148941562052e-07	0.95	0.346153846153846	0.603846153846154	chr17:68257076:+_vs_chr17:68257141:+	1.20769230769231	chr17:68257076:+;chr17:68257141:+	distal	TRUE
STX7	40.9863040706064	6.58308686833784e-09	4.12610896296143e-07	0.458333333333333	0.608527131782946	-0.150193798449612	chr6:132459738:-_vs_chr6:132459513:-	-0.675664451827243	chr6:132457915:-;chr6:132458775:-;chr6:132459513:-;chr6:132459738:-	proximal	TRUE
SNX4	40.7991436266525	7.21310870986314e-09	4.37970944477003e-07	0.546184738955823	0.555555555555556	-0.00937081659973227	chr3:125453852:-_vs_chr3:125447713:-	-0.499238332640908	chr3:125446666:-;chr3:125447713:-;chr3:125451369:-;chr3:125453852:-	proximal	TRUE
SRSF4	43.6018413731638	7.76127066670796e-09	4.50949052732952e-07	0.694915254237288	0.440104166666667	0.254811087570621	chr1:29149156:-_vs_chr1:29147743:-	0.487817796610169	chr1:29147743:-;chr1:29147837:-;chr1:29149009:-;chr1:29149156:-;chr1:29177278:-	distal	TRUE
SSBP2	33.289360295241	7.94159553572806e-09	4.50949052732952e-07	0.0210526315789474	0.458333333333333	-0.437280701754386	chr5:81419932:-_vs_chr5:81419869:-	-0.874561403508772	chr5:81419869:-;chr5:81419932:-	proximal	TRUE
DEGS1	40.5558080808081	8.12311726487562e-09	4.50949052732952e-07	0.5	0.6875	-0.1875	chr1:224192896:+_vs_chr1:224193091:+	-0.756944444444444	chr1:224192896:+;chr1:224193091:+;chr1:224193160:+;chr1:224193441:+	proximal	TRUE
PAPOLA	50.6017300176719	1.10030473785537e-08	5.93858918236941e-07	0.530266343825666	0.507628294036061	0.0226380497896048	chr14:96556405:+_vs_chr14:96567111:+	0.265509297350666	chr14:96531731:+;chr14:96532696:+;chr14:96542884:+;chr14:96544202:+;chr14:96547917:+;chr14:96556333:+;chr14:96556405:+;chr14:96567111:+	distal	TRUE
LINC01551	48.0713099468002	1.14347832578618e-08	6.00480645135823e-07	0.491071428571429	0.54954954954955	-0.058478120978121	chr14:28792278:+_vs_chr14:28793072:+	0.396074646074646	chr14:28778560:+;chr14:28792118:+;chr14:28792278:+;chr14:28793072:+;chr14:28793232:+;chr14:28793405:+;chr14:28793966:+	distal	TRUE
PPFIA2	47.9547769929961	1.20645775714428e-08	6.14354322722673e-07	0.606280193236715	0.518779342723005	0.0875008505137104	chr12:81353110:-_vs_chr12:81339199:-	-0.586446213512962	chr12:81339199:-;chr12:81353110:-;chr12:81368726:-;chr12:81375797:-;chr12:81384064:-;chr12:81405861:-;chr12:81457811:-	proximal	TRUE
SUPT20H	36.4222416113027	1.23313528492971e-08	6.14354322722673e-07	0.15625	0.636363636363636	-0.480113636363636	chr13:37031781:-_vs_chr13:37009494:-	-0.960227272727273	chr13:37009494:-;chr13:37023022:-;chr13:37031781:-	proximal	TRUE
KIAA1191	31.8452668008048	1.66956022621136e-08	7.95454701058008e-07	0.929577464788732	0.36	0.569577464788732	chr5:176347369:-_vs_chr5:176346062:-	1.13915492957746	chr5:176346062:-;chr5:176347369:-	distal	TRUE
RAB4A	35.7797202797203	1.70032703160285e-08	7.95454701058008e-07	0.0703125	0.5	-0.4296875	chr1:229304392:+_vs_chr1:229305504:+	-0.859375	chr1:229304392:+;chr1:229304961:+;chr1:229305504:+	proximal	TRUE
STX12	39.0192309753139	1.71945946703224e-08	7.95454701058008e-07	0.615942028985507	0.412698412698413	0.203243616287094	chr1:27812242:+_vs_chr1:27823765:+	0.793995859213251	chr1:27812242:+;chr1:27823765:+;chr1:27824305:+;chr1:27824440:+	distal	TRUE
NOL11	35.5096435712031	1.9461614752454e-08	8.7939342939577e-07	0.325581395348837	0.535714285714286	-0.210132890365448	chr17:67738278:+_vs_chr17:67744151:+	-1.46345514950166	chr17:67738278:+;chr17:67744151:+;chr17:67744203:+	proximal	TRUE
DHX15	31.421464510029	2.07672349104051e-08	9.17062214339025e-07	1	0.46875	0.53125	chr4:24539623:-_vs_chr4:24527475:-	1.0625	chr4:24527475:-;chr4:24539623:-	distal	TRUE
HPCAL1	30.7873258986471	2.87912158987559e-08	1.2431407220285e-06	1	0.82089552238806	0.17910447761194	chr2:10427333:+_vs_chr2:10427604:+	0.358208955223881	chr2:10427333:+;chr2:10427604:+	distal	TRUE
GTF2I	43.0411867339254	3.62472583351654e-08	1.53105267272231e-06	0.623809523809524	0.495744680851064	0.12806484295846	chr7:74698999:+_vs_chr7:74716932:+	0.443768996960486	chr7:74698999:+;chr7:74716932:+;chr7:74735492:+;chr7:74749451:+;chr7:74753128:+;chr7:74760692:+	distal	TRUE
VIRMA	37.4056971514243	3.77608709993216e-08	1.5610504755677e-06	0.655172413793103	0.202898550724638	0.452273863068466	chr8:94527005:-_vs_chr8:94510993:-	1.02248875562219	chr8:94488520:-;chr8:94510993:-;chr8:94527005:-;chr8:94527120:-	distal	TRUE
CAPZB	33.9247413501026	4.29868889858953e-08	1.74007344374155e-06	0.716216216216216	0.63013698630137	0.0860792299148464	chr1:19339357:-_vs_chr1:19339115:-	0.650314698259904	chr1:19338779:-;chr1:19339115:-;chr1:19339357:-	distal	TRUE
ZNF3	29.8974090622442	4.55521134772502e-08	1.80628074461831e-06	0	1	-1	chr7:100069978:-_vs_chr7:100068250:-	-2	chr7:100068250:-;chr7:100069978:-	proximal	TRUE
MSH6	29.6215194235589	5.25186341909365e-08	2.02742972598459e-06	1	0.285714285714286	0.714285714285714	chr2:47799618:+_vs_chr2:47806950:+	1.42857142857143	chr2:47799618:+;chr2:47806950:+	distal	TRUE
SYNE1	29.5909072978304	5.33546396547465e-08	2.02742972598459e-06	1	0.0769230769230769	0.923076923076923	chr6:152308579:-_vs_chr6:152225844:-	1.84615384615385	chr6:152225844:-;chr6:152308579:-	distal	TRUE
PIAS1	36.6615981699052	5.42595706388052e-08	2.02742972598459e-06	0.36734693877551	0.390804597701149	-0.0234576589256393	chr15:68188098:+_vs_chr15:68191464:+	0.741731175228712	chr15:68176541:+;chr15:68188000:+;chr15:68188098:+;chr15:68191464:+	distal	TRUE
PSMD2	29.4376405033334	5.77451274413091e-08	2.11695816261252e-06	0.912087912087912	0.527027027027027	0.385060885060885	chr3:184306461:+_vs_chr3:184309050:+	0.77012177012177	chr3:184306461:+;chr3:184309050:+	distal	TRUE
ANKRD13C	33.2873514431239	5.91212319994112e-08	2.12726951434918e-06	0.368421052631579	0.645161290322581	-0.276740237691002	chr1:70296130:-_vs_chr1:70274772:-	-1.34125636672326	chr1:70262677:-;chr1:70274772:-;chr1:70296130:-	proximal	TRUE
IVNS1ABP	44.3361579107455	6.33992382545649e-08	2.23972218052036e-06	0.49047619047619	0.707317073170732	-0.216840882694541	chr1:185306578:-_vs_chr1:185296388:-	-0.391753774680604	chr1:185296388:-;chr1:185296909:-;chr1:185297532:-;chr1:185297765:-;chr1:185304994:-;chr1:185306519:-;chr1:185306578:-	proximal	TRUE
UBE2N	29.0702742876656	6.97997899351103e-08	2.40811618530904e-06	0.555555555555556	0.0256410256410256	0.52991452991453	chr12:93409357:-_vs_chr12:93408365:-	1.05982905982906	chr12:93408365:-;chr12:93409357:-	distal	TRUE
SPECC1L	32.9243727598566	7.08864610575842e-08	2.40811618530904e-06	0.407692307692308	0.84375	-0.436057692307692	chr22:24322834:+_vs_chr22:24330405:+	-0.872115384615385	chr22:24322834:+;chr22:24324294:+;chr22:24330405:+	proximal	TRUE
NT5C2	36.0839754011451	7.18840652331056e-08	2.40811618530904e-06	0.787234042553192	0.441860465116279	0.345373577436912	chr10:103089348:-_vs_chr10:103088390:-	0.598218703612073	chr10:103088155:-;chr10:103088390:-;chr10:103089348:-;chr10:103089444:-	distal	TRUE
UTP4	32.8395993596555	7.39556919998285e-08	2.43552389077401e-06	0.725806451612903	0.466666666666667	0.259139784946236	chr16:69168925:+_vs_chr16:69169021:+	1.31397849462366	chr16:69167256:+;chr16:69168925:+;chr16:69169021:+	distal	TRUE
SLA	35.5399371692541	9.36786409015178e-08	3.03362665452748e-06	0.643595863166269	0.494992846924177	0.148603016242091	chr8:133060160:-_vs_chr8:133036728:-	0.291148964937978	chr8:133036728:-;chr8:133037562:-;chr8:133038598:-;chr8:133060160:-	distal	TRUE
CORO1C	43.4087896452224	9.68127672521124e-08	3.08372470116155e-06	0.561904761904762	0.55982905982906	0.00207570207570207	chr12:108648625:-_vs_chr12:108647490:-	-0.372893772893773	chr12:108645109:-;chr12:108645544:-;chr12:108646854:-;chr12:108647209:-;chr12:108647490:-;chr12:108648625:-;chr12:108658189:-	proximal	TRUE
CSNK1A1	38.2447465825434	9.97557642205472e-08	3.12621693355683e-06	0.334558823529412	0.448630136986301	-0.11407131345689	chr5:149509933:-_vs_chr5:149495900:-	-0.568493150684931	chr5:149494339:-;chr5:149495900:-;chr5:149495984:-;chr5:149509933:-;chr5:149513127:-	proximal	TRUE
TIAL1	38.2099503736929	1.01418747055252e-07	3.12788294489452e-06	0.549019607843137	0.429347826086956	0.119671781756181	chr10:119575412:-_vs_chr10:119574687:-	0.918158567774936	chr10:119573465:-;chr10:119574687:-;chr10:119575412:-;chr10:119575558:-;chr10:119580487:-	distal	TRUE
PHIP	43.0763309896184	1.12656130218494e-07	3.4201697033521e-06	0.468847352024922	0.244274809160305	0.224572542864617	chr6:78990885:-_vs_chr6:78982887:-	0.331240636370122	chr6:78945395:-;chr6:78946763:-;chr6:78970831:-;chr6:78982887:-;chr6:78983035:-;chr6:78990885:-;chr6:79074517:-	distal	TRUE
C1GALT1	27.9885262830074	1.22036895982608e-07	3.64796444452626e-06	0	1	-1	chr7:7243693:+_vs_chr7:7244121:+	-2	chr7:7243693:+;chr7:7244121:+	proximal	TRUE
RSU1	27.8755555555556	1.2937394003461e-07	3.80869038617042e-06	0	1	-1	chr10:16592963:-_vs_chr10:16592743:-	-2	chr10:16592743:-;chr10:16592963:-	proximal	TRUE
CLIP1	31.6666666666667	1.32944600468251e-07	3.85539341357929e-06	0.618421052631579	0	0.618421052631579	chr12:122341223:-_vs_chr12:122328260:-	1.23684210526316	chr12:122328260:-;chr12:122340982:-;chr12:122341223:-	distal	TRUE
TOMM70	34.6544167250233	1.44124647922752e-07	4.11814986638099e-06	0.5	0.390625	0.109375	chr3:100365349:-_vs_chr3:100363463:-	0.541964285714286	chr3:100363463:-;chr3:100365349:-;chr3:100377836:-;chr3:100384485:-	distal	TRUE
EIF2AK1	31.4222151597013	1.50228618494495e-07	4.23035080775077e-06	0.4375	0.607142857142857	-0.169642857142857	chr7:6024756:-_vs_chr7:6023831:-	-0.946428571428572	chr7:6023831:-;chr7:6024756:-;chr7:6041141:-	proximal	TRUE
RBMX	37.1843955594819	1.65041914964434e-07	4.58109201108423e-06	0.367788461538462	0.289297658862876	0.0784908026755853	chrX:136873461:-_vs_chrX:136869192:-	0.200947603121516	chrX:136869192:-;chrX:136873371:-;chrX:136873461:-;chrX:136873860:-;chrX:136874047:-	distal	TRUE
ATF6	31.106166560712	1.75946954828525e-07	4.81499905960316e-06	0.772727272727273	0.0384615384615385	0.734265734265734	chr1:161792243:+_vs_chr1:161958796:+	1.46853146853147	chr1:161792243:+;chr1:161819778:+;chr1:161958796:+	distal	TRUE
PPP2R5E	39.4589148154531	1.9196604196995e-07	5.18041693816129e-06	0.464150943396226	0.425974025974026	0.0381769174222004	chr14:63374734:-_vs_chr14:63374241:-	-0.471943151188434	chr14:63371464:-;chr14:63374241:-;chr14:63374734:-;chr14:63375842:-;chr14:63376003:-;chr14:63376081:-	proximal	TRUE
RPL13	26.853765637267	2.19446345465018e-07	5.78131367808988e-06	0.129520605550883	0.0580411124546554	0.0714794930962277	chr16:89563066:+_vs_chr16:89563431:+	0.142958986192455	chr16:89563066:+;chr16:89563431:+	distal	FALSE
BZW1	39.1379290509112	2.22775859520914e-07	5.78131367808988e-06	0.71304347826087	0.633333333333333	0.0797101449275361	chr2:200818771:+_vs_chr2:200823655:+	0.37463768115942	chr2:200818026:+;chr2:200818771:+;chr2:200821273:+;chr2:200822560:+;chr2:200823655:+;chr2:200823837:+	distal	TRUE
BID	33.7551264471315	2.23159303065744e-07	5.78131367808988e-06	0.111111111111111	0.378205128205128	-0.267094017094017	chr22:17735362:-_vs_chr22:17735096:-	-0.431538461538462	chr22:17734280:-;chr22:17735096:-;chr22:17735243:-;chr22:17735362:-	proximal	TRUE
IWS1	26.6401618083004	2.45095624739902e-07	6.18468569960558e-06	0	0.916666666666667	-0.916666666666667	chr2:127503438:-_vs_chr2:127498187:-	-1.83333333333333	chr2:127498187:-;chr2:127503438:-	proximal	TRUE
ZNF419	26.6401618083004	2.45095624739902e-07	6.18468569960558e-06	0.916666666666667	0	0.916666666666667	chr19:57494672:+_vs_chr19:57495863:+	1.83333333333333	chr19:57494672:+;chr19:57495863:+	distal	TRUE
G3BP2	38.7463141391246	2.67105202084715e-07	6.65365907244362e-06	0.498591549295775	0.602941176470588	-0.104349627174813	chr4:75644743:-_vs_chr4:75644415:-	-0.522990886495443	chr4:75642789:-;chr4:75644415:-;chr4:75644743:-;chr4:75645198:-;chr4:75645671:-;chr4:75655804:-	proximal	TRUE
VIM	26.3018774703557	2.92004673899046e-07	7.18183647323856e-06	0.978260869565217	0.416666666666667	0.561594202898551	chr10:17237341:+_vs_chr10:17237590:+	1.1231884057971	chr10:17237341:+;chr10:17237590:+	distal	TRUE
NARS1	30.000987109905	3.05751378148794e-07	7.42593659678885e-06	0.464285714285714	0.735714285714286	-0.271428571428571	chr18:57601584:-_vs_chr18:57600659:-	-0.860714285714286	chr18:57600659:-;chr18:57601584:-;chr18:57615846:-	proximal	TRUE
SUN1	25.7612535766569	3.86367570547227e-07	9.26805172312669e-06	0.411764705882353	0.916666666666667	-0.504901960784314	chr7:845517:+_vs_chr7:874899:+	-1.00980392156863	chr7:845517:+;chr7:874899:+	proximal	TRUE
NYAP1	25.5864837691045	4.22991980160523e-07	1.00228465542914e-05	0.282051282051282	0.96	-0.677948717948718	chr7:100494727:+_vs_chr7:100494802:+	-1.35589743589744	chr7:100494727:+;chr7:100494802:+	proximal	TRUE
SOGA3	39.7711169314714	5.05205831867658e-07	1.18266859195043e-05	0.247863247863248	0.302277432712215	-0.0544141848489674	chr6:127476377:-_vs_chr6:127443563:-	-0.266889632107023	chr6:127443563:-;chr6:127447534:-;chr6:127447618:-;chr6:127450169:-;chr6:127453855:-;chr6:127476377:-;chr6:127512981:-	proximal	TRUE
QDPR	28.5839172602187	6.20985173742106e-07	1.38984834404736e-05	0.330645161290323	0.541666666666667	-0.211021505376344	chr4:17486666:-_vs_chr4:17486525:-	-1.00806451612903	chr4:17486398:-;chr4:17486525:-;chr4:17486666:-	proximal	TRUE
TPR	28.5749652646204	6.23770931885787e-07	1.38984834404736e-05	0.297619047619048	0.851851851851852	-0.554232804232804	chr1:186363420:-_vs_chr1:186355500:-	-1.10846560846561	chr1:186355500:-;chr1:186359936:-;chr1:186363420:-	proximal	TRUE
MTDH	28.5690998020519	6.25602969535896e-07	1.38984834404736e-05	0.189655172413793	0.5	-0.310344827586207	chr8:97661166:+_vs_chr8:97724815:+	-0.620689655172414	chr8:97661166:+;chr8:97713735:+;chr8:97724815:+	proximal	TRUE
ATP6V1H	28.557058474552	6.29380875996784e-07	1.38984834404736e-05	0.5	0.681818181818182	-0.181818181818182	chr8:53715670:-_vs_chr8:53715555:-	-0.941387559808612	chr8:53715555:-;chr8:53715670:-;chr8:53715756:-	proximal	TRUE
CCND2	34.3572582900465	6.29473259270035e-07	1.38984834404736e-05	0.354430379746835	0.438053097345133	-0.0836227175982973	chr12:4300193:+_vs_chr12:4301290:+	-0.413128710653075	chr12:4290937:+;chr12:4300193:+;chr12:4300989:+;chr12:4301290:+;chr12:4301558:+	proximal	TRUE
LDB1	24.5600649350649	7.20291229703076e-07	1.57250096552031e-05	0	0.857142857142857	-0.857142857142857	chr10:102107593:-_vs_chr10:102106489:-	-1.71428571428571	chr10:102106489:-;chr10:102107593:-	proximal	TRUE
FAM220A	24.2408653846154	8.50092971299959e-07	1.83525627026202e-05	1	0.5625	0.4375	chr7:6329744:-_vs_chr7:6329411:-	0.875	chr7:6329411:-;chr7:6329744:-	distal	TRUE
EZH2	24.0631118881119	9.32292546616364e-07	1.98379513522902e-05	0.212121212121212	0.753846153846154	-0.541724941724942	chr7:148828769:-_vs_chr7:148807374:-	-1.08344988344988	chr7:148807374:-;chr7:148828769:-	proximal	TRUE
TSG101	24.0486596011918	9.39316276073443e-07	1.98379513522902e-05	0.679245283018868	1	-0.320754716981132	chr11:18481835:-_vs_chr11:18480311:-	-0.641509433962264	chr11:18480311:-;chr11:18481835:-	proximal	TRUE
MPPED1	27.6284978986209	1.0012624048168e-06	2.08301266371233e-05	0.559701492537313	0.866666666666667	-0.306965174129353	chr22:43506920:+_vs_chr22:43507843:+	-0.613930348258707	chr22:43506920:+;chr22:43507714:+;chr22:43507843:+	proximal	TRUE
PGD	27.6156077805253	1.00773644049902e-06	2.08301266371233e-05	0.297101449275362	0.143939393939394	0.153162055335968	chr1:10420249:+_vs_chr1:10420511:+	0.405138339920949	chr1:10420144:+;chr1:10420249:+;chr1:10420511:+	distal	TRUE
SFPQ	33.2922197907578	1.04072336968322e-06	2.12855316557316e-05	0.330357142857143	0.411949685534591	-0.0815925426774484	chr1:35188011:-_vs_chr1:35183600:-	-0.301020408163265	chr1:35176380:-;chr1:35183600:-;chr1:35184129:-;chr1:35188011:-;chr1:35189013:-	proximal	TRUE
PRKAR1A	33.2575197226791	1.05789633652816e-06	2.14113810611896e-05	0.546875	0.545454545454545	0.00142045454545459	chr17:68530665:+_vs_chr17:68532216:+	0.442045454545455	chr17:68530665:+;chr17:68530901:+;chr17:68532216:+;chr17:68532762:+;chr17:68551296:+	distal	TRUE
RPL15	35.6072167964517	1.13807156454789e-06	2.2796629380583e-05	0.487735004476276	0.483964365256125	0.00377063922015103	chr3:23919552:+_vs_chr3:23919783:+	0.133451836668774	chr3:23919552:+;chr3:23919656:+;chr3:23919783:+;chr3:23920585:+;chr3:23920772:+;chr3:23920847:+	distal	FALSE
RAB7A	27.3174524634198	1.16974330377381e-06	2.31919514207399e-05	0.72093023255814	0.521276595744681	0.199653636813459	chr3:128814099:+_vs_chr3:128814390:+	0.540326571004453	chr3:128814099:+;chr3:128814390:+;chr3:128814797:+	distal	TRUE
XPR1	27.2890740740741	1.18645933226278e-06	2.32857624503695e-05	0.1	0.652777777777778	-0.552777777777778	chr1:180806185:+_vs_chr1:180826070:+	-1.34444444444444	chr1:180806185:+;chr1:180826070:+;chr1:180885583:+	proximal	TRUE
NSD2	27.2214285714286	1.22727500951609e-06	2.38459534348977e-05	0.25	0.8	-0.55	chr4:1979796:+_vs_chr4:1982192:+	-1.3	chr4:1935177:+;chr4:1979796:+;chr4:1982192:+	proximal	TRUE
DMTF1	27.1304970891178	1.28436189263845e-06	2.47080708653119e-05	0.642857142857143	0.689655172413793	-0.0467980295566504	chr7:87196050:+_vs_chr7:87196325:+	-0.94679802955665	chr7:87182173:+;chr7:87196050:+;chr7:87196325:+	proximal	TRUE
CFL2	23.3592892190114	1.3439292172249e-06	2.56005340104703e-05	0.742857142857143	0	0.742857142857143	chr14:34712013:-_vs_chr14:34710459:-	1.48571428571429	chr14:34710459:-;chr14:34712013:-	distal	TRUE
