gene_id	chisq	pvalue	adj_pvalue	In	Pro	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
C1orf61	69.8448231597609	6.81379959493156e-16	1.89919177800547e-13	0.905701754385965	0.969464453492014	-0.0637626991060489	chr1:156425637:-_vs_chr1:156404256:-	-0.127525398212098	chr1:156404256:-;chr1:156407365:-;chr1:156425637:-	proximal	FALSE
NPEPPS	62.3039529713231	2.94333687526737e-15	7.52022571630812e-13	0.566666666666667	0.980952380952381	-0.414285714285714	chr17:47618384:+_vs_chr17:47622140:+	-0.828571428571429	chr17:47618384:+;chr17:47622140:+	proximal	TRUE
TXNRD1	64.6818208448064	9.00577440818234e-15	2.12397725657593e-12	0.555555555555556	0.876068376068376	-0.32051282051282	chr12:104331634:+_vs_chr12:104350247:+	-1.58974358974359	chr12:104326386:+;chr12:104331634:+;chr12:104350247:+	proximal	TRUE
SEPTIN7	76.264808483474	2.10685105270815e-14	4.61400380543084e-12	0.430440771349862	0.482161060142711	-0.0517202887928492	chr7:35898297:+_vs_chr7:35905307:+	-0.152292314302323	chr7:35863648:+;chr7:35882569:+;chr7:35888867:+;chr7:35898297:+;chr7:35903104:+;chr7:35904630:+;chr7:35905307:+	proximal	FALSE
HSPA5	67.0681625706171	9.43151476566776e-14	1.92780161810249e-11	0.454545454545455	0.683252427184466	-0.228706972639012	chr9:125236815:-_vs_chr9:125236247:-	-0.507193292144749	chr9:125236247:-;chr9:125236755:-;chr9:125236815:-;chr9:125236992:-;chr9:125240207:-	proximal	TRUE
RAD23B	66.2895537641044	1.37635535016471e-13	2.63744093975312e-11	0.5	0.29616724738676	0.20383275261324	chr9:107330444:+_vs_chr9:107332189:+	0.479128236660518	chr9:107302076:+;chr9:107330444:+;chr9:107330882:+;chr9:107331044:+;chr9:107332189:+	distal	TRUE
SRP68	58.0627235405547	2.4651297392004e-13	4.44593398846378e-11	0.882352941176471	0.454128440366972	0.428224500809498	chr17:76039105:-_vs_chr17:76038785:-	1.27253103076093	chr17:76038785:-;chr17:76039105:-;chr17:76039601:-	distal	TRUE
CUL1	72.6310071156143	4.33624490613701e-13	7.00434041870034e-11	0.45320197044335	0.666353383458647	-0.213151413015297	chr7:148784076:+_vs_chr7:148801017:+	-0.419464609800363	chr7:148731567:+;chr7:148759579:+;chr7:148784076:+;chr7:148797999:+;chr7:148798029:+;chr7:148798646:+;chr7:148801017:+;chr7:148801110:+	proximal	TRUE
EIF3A	66.9846619472658	4.34058930056446e-13	7.00434041870034e-11	0.775757575757576	0.44688995215311	0.328867623604466	chr10:119058030:-_vs_chr10:119035048:-	0.821371610845295	chr10:119035048:-;chr10:119038324:-;chr10:119056752:-;chr10:119056940:-;chr10:119058030:-;chr10:119059212:-	distal	TRUE
JPT1	51.7804795113745	6.20658129981415e-13	9.51468913261509e-11	0.766393442622951	0.51061865189289	0.255774790730061	chr17:75135988:-_vs_chr17:75135248:-	0.511549581460121	chr17:75135248:-;chr17:75135988:-	distal	TRUE
NUP93	59.2204063966534	8.62549649362044e-13	1.25932248806858e-10	0.805555555555556	0.634438305709024	0.171117249846532	chr16:56844765:+_vs_chr16:56844954:+	0.664825046040516	chr16:56824851:+;chr16:56842037:+;chr16:56844765:+;chr16:56844954:+	distal	TRUE
NUB1	57.1043771043771	2.44135934421302e-12	3.40236715879869e-10	1	0.401234567901235	0.598765432098765	chr7:151377221:+_vs_chr7:151378449:+	1.42592592592593	chr7:151355908:+;chr7:151361249:+;chr7:151377221:+;chr7:151378449:+	distal	TRUE
PPP2CA	67.9295919268864	3.86767193405543e-12	5.04370889277628e-10	0.326118326118326	0.215470803706098	0.110647522412228	chr5:134197097:-_vs_chr5:134196266:-	0.241098770510535	chr5:134196266:-;chr5:134196546:-;chr5:134196617:-;chr5:134196719:-;chr5:134196964:-;chr5:134197025:-;chr5:134197097:-;chr5:134197624:-	distal	TRUE
CDC42	62.3610022794311	3.94810872232977e-12	5.04370889277628e-10	0.605194805194805	0.704375	-0.0991801948051947	chr1:22090807:+_vs_chr1:22091599:+	-0.514813311688312	chr1:22090127:+;chr1:22090807:+;chr1:22091599:+;chr1:22092414:+;chr1:22092738:+;chr1:22092943:+	proximal	TRUE
GNPTG	46.4873453637499	9.22120481145188e-12	1.13088855807646e-09	0.2	0.966666666666667	-0.766666666666667	chr16:1352959:+_vs_chr16:1363351:+	-1.53333333333333	chr16:1352959:+;chr16:1363351:+	proximal	TRUE
RPL7L1	60.2473661770958	1.0804814640491e-11	1.27413698799021e-09	0.640540540540541	0.570700636942675	0.0698399035978654	chr6:42887433:+_vs_chr6:42887595:+	0.684713375796178	chr6:42886844:+;chr6:42887290:+;chr6:42887433:+;chr6:42887595:+;chr6:42887905:+;chr6:42889889:+	distal	TRUE
CDH2	57.1080184370135	1.17426945619783e-11	1.33344820470465e-09	0.566176470588235	0.274553571428571	0.291622899159664	chr18:28013878:-_vs_chr18:27982977:-	0.85031512605042	chr18:27950971:-;chr18:27951824:-;chr18:27982977:-;chr18:28011385:-;chr18:28013878:-	distal	TRUE
TBCE	44.7321875	2.25912816992797e-11	2.47374534607112e-09	0.166666666666667	1	-0.833333333333333	chr1:235448778:+_vs_chr1:235448964:+	-1.66666666666667	chr1:235448778:+;chr1:235448964:+	proximal	TRUE
CNOT2	55.6241197529085	2.40408696629677e-11	2.54170022022962e-09	0.294642857142857	0.514367816091954	-0.219724958949097	chr12:70338522:+_vs_chr12:70354257:+	-1.02216748768473	chr12:70331700:+;chr12:70338522:+;chr12:70354257:+;chr12:70354334:+;chr12:70354993:+	proximal	TRUE
PHF20L1	52.2187457669015	2.69021397757009e-11	2.74939868507663e-09	0.44	0.522988505747126	-0.0829885057471264	chr8:132803908:+_vs_chr8:132813190:+	1.08275862068966	chr8:132798819:+;chr8:132803908:+;chr8:132813190:+;chr8:132842638:+	distal	TRUE
PPP1CB	60.9503174250988	2.88503279555537e-11	2.85339050037831e-09	0.623655913978495	0.548460144927536	0.0751957690509584	chr2:28799875:+_vs_chr2:28801037:+	-0.708450210378682	chr2:28789358:+;chr2:28799298:+;chr2:28799533:+;chr2:28799875:+;chr2:28801037:+;chr2:28801653:+;chr2:28802937:+	proximal	TRUE
PRDM2	47.3405817753458	5.24956457601243e-11	5.02973905939191e-09	0.5	0.196078431372549	0.303921568627451	chr1:13773119:+_vs_chr1:13780436:+	1.42892156862745	chr1:13773119:+;chr1:13780436:+;chr1:13825076:+	distal	TRUE
STK25	47.0359549600534	6.11324997705855e-11	5.67976497868531e-09	0.290909090909091	0.505847953216374	-0.214938862307283	chr2:241495119:-_vs_chr2:241495021:-	-0.703774587985114	chr2:241494720:-;chr2:241495021:-;chr2:241495119:-	proximal	TRUE
CHD7	56.4966134691768	6.42124791103074e-11	5.7904547338883e-09	0.476923076923077	0.458015267175573	0.0189078097475044	chr8:60781142:+_vs_chr8:60781393:+	0.753180661577608	chr8:60741311:+;chr8:60781142:+;chr8:60781270:+;chr8:60781393:+;chr8:60795027:+;chr8:60856600:+	distal	TRUE
SF3B1	56.224187461507	7.30696148471424e-11	6.40089826060968e-09	0.431372549019608	0.646105919003115	-0.214733369983507	chr2:197419197:-_vs_chr2:197391980:-	-0.382444566611691	chr2:197391980:-;chr2:197401419:-;chr2:197405105:-;chr2:197408481:-;chr2:197418512:-;chr2:197419197:-	proximal	TRUE
PIAS1	52.4021262002743	1.13660288358563e-10	9.68006789187097e-09	0.6625	0.62037037037037	0.0421296296296297	chr15:68188000:+_vs_chr15:68188098:+	-0.787654320987654	chr15:68176541:+;chr15:68183185:+;chr15:68187890:+;chr15:68188000:+;chr15:68188098:+	proximal	TRUE
TMEM167A	51.6151887319105	1.66020615301974e-10	1.37572758517798e-08	0.53448275862069	0.428082191780822	0.106400566839868	chr5:83053816:-_vs_chr5:83052846:-	-0.791213982050071	chr5:83052846:-;chr5:83053816:-;chr5:83055838:-;chr5:83056311:-;chr5:83056659:-	proximal	TRUE
HNRNPA2B1	56.8844883257097	1.92798143703497e-10	1.55557660156558e-08	0.457364341085271	0.495179356302283	-0.0378150152170112	chr7:26196593:-_vs_chr7:26191844:-	-0.309845060159127	chr7:26189927:-;chr7:26190125:-;chr7:26190329:-;chr7:26191844:-;chr7:26193278:-;chr7:26196593:-;chr7:26196861:-	proximal	TRUE
METAP2	54.0955442852414	2.00317004806755e-10	1.57479983778849e-08	0.664285714285714	0.527044025157233	0.137241689128482	chr12:95514343:+_vs_chr12:95515839:+	0.576819407008086	chr12:95483260:+;chr12:95494095:+;chr12:95494993:+;chr12:95496074:+;chr12:95514343:+;chr12:95515839:+	distal	TRUE
RARS2	43.832974137931	3.03242873447604e-10	2.32435662497588e-08	0.5	0.939655172413793	-0.439655172413793	chr6:87514981:-_vs_chr6:87514383:-	-1.09561128526646	chr6:87514383:-;chr6:87514981:-;chr6:87529546:-	proximal	TRUE
ELAVL2	53.0770956123597	3.24296848428517e-10	2.42510765190691e-08	0.351020408163265	0.506410256410256	-0.155389848246991	chr9:23703921:-_vs_chr9:23690853:-	-0.374280481423339	chr9:23690104:-;chr9:23690853:-;chr9:23691569:-;chr9:23691880:-;chr9:23692087:-;chr9:23703921:-	proximal	TRUE
FNDC3A	43	4.59905537865232e-10	3.35731042641619e-08	1	0.230769230769231	0.769230769230769	chr13:49136442:+_vs_chr13:49187191:+	1.53846153846154	chr13:49136442:+;chr13:49170334:+;chr13:49187191:+	distal	TRUE
MTSS1	46.372595189379	4.72573416448687e-10	3.36955836007366e-08	0.383966244725738	0.687134502923977	-0.303168258198238	chr8:124589678:-_vs_chr8:124552902:-	-0.536753275594048	chr8:124552902:-;chr8:124568455:-;chr8:124589621:-;chr8:124589678:-	proximal	TRUE
TRAPPC2L	38.1451585695007	6.56724870306472e-10	4.57617830081737e-08	0.6875	0.0394736842105263	0.648026315789474	chr16:88861112:+_vs_chr16:88862678:+	1.29605263157895	chr16:88861112:+;chr16:88862678:+	distal	TRUE
CCDC138	42.0380714620066	7.43958597620611e-10	5.06883791178843e-08	0.970588235294118	0.206896551724138	0.76369168356998	chr2:108804946:+_vs_chr2:108876848:+	1.52738336713996	chr2:108804946:+;chr2:108812653:+;chr2:108876848:+	distal	TRUE
EIF3F	37.5841318959639	8.75538540518859e-10	5.83565470702352e-08	0.333333333333333	0.0796116504854369	0.253721682847896	chr11:7996171:+_vs_chr11:7997474:+	0.507443365695793	chr11:7996171:+;chr11:7997474:+	distal	TRUE
GPM6B	49.7283579337367	1.57498550460978e-09	1.02742671428374e-07	0.794444444444445	0.552876712328767	0.241567732115677	chrX:13773456:-_vs_chrX:13771029:-	0.895966514459665	chrX:13770943:-;chrX:13771029:-;chrX:13771456:-;chrX:13773456:-;chrX:13773601:-;chrX:13774155:-	distal	TRUE
FAM126A	43.6442307692308	1.79600916522266e-09	1.14720085428597e-07	0.333333333333333	0.329861111111111	0.00347222222222221	chr7:22945969:-_vs_chr7:22944588:-	1.48958333333333	chr7:22944397:-;chr7:22944499:-;chr7:22944588:-;chr7:22945969:-	distal	TRUE
HNRNPDL	61.506126764996	1.87816613809412e-09	1.17519538355032e-07	0.580912863070539	0.581583333333333	-0.000670470262793987	chr4:82427245:-_vs_chr4:82424628:-	-0.25429806362379	chr4:82423207:-;chr4:82424031:-;chr4:82424273:-;chr4:82424576:-;chr4:82424628:-;chr4:82426040:-;chr4:82427245:-;chr4:82427462:-;chr4:82427522:-;chr4:82428021:-;chr4:82428111:-	proximal	TRUE
SNRPD3	40.0789113073459	1.98141291424589e-09	1.21500239901558e-07	0.705882352941176	0.46875	0.237132352941176	chr22:24572134:+_vs_chr22:24574969:+	0.686029411764706	chr22:24568126:+;chr22:24572134:+;chr22:24574969:+	distal	TRUE
GNAI3	39.7138820242378	2.37815463818489e-09	1.42969061189703e-07	0.8	0.600478468899522	0.199521531100479	chr1:109592110:+_vs_chr1:109592776:+	0.70622009569378	chr1:109592110:+;chr1:109592776:+;chr1:109593507:+	distal	TRUE
HADHA	42.7131412294209	2.83147401988422e-09	1.66070095631194e-07	0.625	0.51451800232288	0.11048199767712	chr2:26190869:-_vs_chr2:26190642:-	0.894381533101045	chr2:26190642:-;chr2:26190869:-;chr2:26214494:-;chr2:26232234:-	distal	TRUE
UBE2L3	42.6849593846844	2.87074855461621e-09	1.66070095631194e-07	0.7	0.405128205128205	0.294871794871795	chr22:21621873:+_vs_chr22:21624031:+	0.65	chr22:21621873:+;chr22:21622241:+;chr22:21622917:+;chr22:21624031:+	distal	TRUE
UBN1	35.0799792139078	3.16437530253313e-09	1.76143318657293e-07	1	0	1	chr16:4858061:+_vs_chr16:4873062:+	2	chr16:4858061:+;chr16:4873062:+	distal	TRUE
EIF2AK1	45.4688345277243	3.17648351812736e-09	1.76143318657293e-07	0.678571428571428	0.573920265780731	0.104651162790698	chr7:6041141:-_vs_chr7:6037492:-	0.417275747508306	chr7:6023831:-;chr7:6024756:-;chr7:6037492:-;chr7:6040917:-;chr7:6041141:-	distal	TRUE
RPRD1A	39.109490462846	3.21722956451678e-09	1.76143318657293e-07	0.384615384615385	0.316091954022989	0.0685234305923961	chr18:35991854:-_vs_chr18:35991358:-	0.939876215738285	chr18:35989828:-;chr18:35991358:-;chr18:35991854:-	distal	TRUE
CPSF3	39.0645495093666	3.29034059015654e-09	1.76985688586315e-07	0.55	0.817796610169492	-0.267796610169492	chr2:9459617:+_vs_chr2:9473101:+	-1.22881355932203	chr2:9456987:+;chr2:9459617:+;chr2:9473101:+	proximal	TRUE
CBX5	47.9796446463248	3.58606819955854e-09	1.89566984480112e-07	0.345454545454545	0.61	-0.264545454545455	chr12:54241769:-_vs_chr12:54240386:-	-0.805844155844156	chr12:54230946:-;chr12:54240386:-;chr12:54240997:-;chr12:54241619:-;chr12:54241769:-;chr12:54252106:-	proximal	TRUE
RPL5	44.7641200520594	4.4512051230704e-09	2.31311778090404e-07	0.860619469026549	0.90467032967033	-0.0440508606437811	chr1:92837611:+_vs_chr1:92840633:+	-0.124292521637654	chr1:92833600:+;chr1:92837611:+;chr1:92840633:+;chr1:92841782:+;chr1:92841921:+	proximal	FALSE
VMP1	33.8584821428571	5.92701188569504e-09	2.99060030278592e-07	0.222222222222222	1	-0.777777777777778	chr17:59736891:+_vs_chr17:59840593:+	-1.55555555555556	chr17:59736891:+;chr17:59840593:+	proximal	TRUE
SPTLC1	41.1933430442853	5.94998755609722e-09	2.99060030278592e-07	0.5	0.620689655172414	-0.120689655172414	chr9:92031965:-_vs_chr9:92031147:-	-0.936781609195402	chr9:92031147:-;chr9:92031347:-;chr9:92031965:-;chr9:92059203:-	proximal	TRUE
TTC3	62.9146477056732	6.60712761883016e-09	3.26733117408601e-07	0.535864978902954	0.47203196347032	0.063833015432634	chr21:37187097:+_vs_chr21:37197695:+	-0.261690075718167	chr21:37095368:+;chr21:37129034:+;chr21:37150845:+;chr21:37152028:+;chr21:37153066:+;chr21:37153179:+;chr21:37160839:+;chr21:37164198:+;chr21:37165784:+;chr21:37182916:+;chr21:37187097:+;chr21:37197695:+;chr21:37203104:+	proximal	TRUE
PEX3	32.8156440781441	1.01326106482463e-08	4.93120384881319e-07	0	0.962962962962963	-0.962962962962963	chr6:143472215:+_vs_chr6:143490008:+	-1.92592592592593	chr6:143472215:+;chr6:143490008:+	proximal	TRUE
MTDH	45.1077648741996	1.37949598989315e-08	6.60864797658187e-07	0.284745762711864	0.274846625766871	0.00989913694499323	chr8:97661166:+_vs_chr8:97713735:+	0.576167203909743	chr8:97661166:+;chr8:97686717:+;chr8:97713735:+;chr8:97724665:+;chr8:97724815:+;chr8:97726314:+	distal	TRUE
FUBP1	49.5969199696171	1.73305009340134e-08	8.17466397902849e-07	0.236024844720497	0.324294101202125	-0.0882692564816278	chr1:77962777:-_vs_chr1:77948419:-	-0.278039649451204	chr1:77948419:-;chr1:77948621:-;chr1:77948654:-;chr1:77948929:-;chr1:77955258:-;chr1:77962777:-;chr1:77962913:-;chr1:77964286:-	proximal	TRUE
SQLE	38.3269814260661	2.40997164007039e-08	1.11954137097815e-06	0.807017543859649	0.865105908584169	-0.0580883647245204	chr8:125022164:+_vs_chr8:125022272:+	-0.846857947544446	chr8:125003203:+;chr8:125019601:+;chr8:125022164:+;chr8:125022272:+	proximal	TRUE
TLE5	34.9991566203947	2.51205824176962e-08	1.14954784615906e-06	0.784615384615385	0.431034482758621	0.353580901856764	chr19:3053159:-_vs_chr19:3052910:-	0.707161803713528	chr19:3052910:-;chr19:3053062:-;chr19:3053159:-	distal	TRUE
RSRC2	46.2593336476804	2.62864081626614e-08	1.18520775627529e-06	0.509009009009009	0.522538552787663	-0.013529543778654	chr12:122511118:-_vs_chr12:122505055:-	-0.41483120130807	chr12:122504726:-;chr12:122505055:-;chr12:122511118:-;chr12:122511150:-;chr12:122517327:-;chr12:122518884:-;chr12:122522153:-	proximal	TRUE
MAPK8	34.4969756634029	3.22906593838636e-08	1.43482843001342e-06	0.230769230769231	0.3	-0.0692307692307692	chr10:48435762:+_vs_chr10:48435878:+	-0.844871794871795	chr10:48435762:+;chr10:48435878:+;chr10:48436412:+	proximal	TRUE
HMGB3	37.4169679802622	3.75540472504966e-08	1.64486726957175e-06	0.482142857142857	0.501002004008016	-0.0188591468651589	chrX:150988332:+_vs_chrX:150988769:+	-0.344832522187232	chrX:150987919:+;chrX:150988332:+;chrX:150988769:+;chrX:150990771:+	proximal	TRUE
HSPD1	52.1806332861592	4.17833002941999e-08	1.80433237608475e-06	0.526019690576653	0.565	-0.0389803094233474	chr2:197493442:-_vs_chr2:197486584:-	-0.27001582278481	chr2:197486584:-;chr2:197486802:-;chr2:197486939:-;chr2:197488019:-;chr2:197488310:-;chr2:197488453:-;chr2:197489065:-;chr2:197493442:-;chr2:197494658:-;chr2:197497292:-	proximal	TRUE
SEPTIN2	47.343350011846	4.78405223661453e-08	2.03720891075835e-06	0.285714285714286	0.637497563827714	-0.351783278113428	chr2:241337788:+_vs_chr2:241351994:+	-0.540093982113082	chr2:241336944:+;chr2:241337788:+;chr2:241348182:+;chr2:241351994:+;chr2:241352555:+;chr2:241353497:+;chr2:241353736:+;chr2:241354027:+	proximal	TRUE
TOMM20	36.8161004696104	5.03261531034524e-08	2.113698430345e-06	0.481481481481481	0.551622418879056	-0.0701409373975746	chr1:235112027:-_vs_chr1:235111829:-	0.587512291052114	chr1:235109341:-;chr1:235111597:-;chr1:235111829:-;chr1:235112027:-	distal	TRUE
PNISR	57.7094022273482	5.88353243493583e-08	2.43769060074504e-06	0.435792349726776	0.571614583333333	-0.135822233606557	chr6:99411304:-_vs_chr6:99400821:-	-0.234246926229508	chr6:99399964:-;chr6:99400646:-;chr6:99400821:-;chr6:99400908:-;chr6:99401446:-;chr6:99401599:-;chr6:99402574:-;chr6:99404687:-;chr6:99408132:-;chr6:99408182:-;chr6:99410500:-;chr6:99411304:-;chr6:99412176:-	proximal	TRUE
HDAC2	44.1116719485375	7.02457620053509e-08	2.87164675077874e-06	0.553086419753086	0.668247944339026	-0.11516152458594	chr6:113943369:-_vs_chr6:113940717:-	-0.332742989668986	chr6:113940717:-;chr6:113940768:-;chr6:113941015:-;chr6:113943369:-;chr6:113945368:-;chr6:113958337:-;chr6:113958739:-	proximal	TRUE
SET	38.8973860901144	7.31485103221774e-08	2.95096490326047e-06	0.964285714285714	0.467336683417085	0.496949030868629	chr9:128691894:+_vs_chr9:128696396:+	1.04307250538406	chr9:128691894:+;chr9:128694053:+;chr9:128694964:+;chr9:128695533:+;chr9:128696396:+	distal	TRUE
PAM	35.9848953369339	7.54364409840438e-08	3.0037419228192e-06	0.481481481481481	0.805164319248826	-0.323682837767345	chr5:102960059:+_vs_chr5:103029713:+	-1.15414710485133	chr5:102874375:+;chr5:102960059:+;chr5:102961201:+;chr5:103029713:+	proximal	TRUE
ARL5A	35.560684889974	9.2737505645597e-08	3.6452973373e-06	0.537037037037037	0.344391785150079	0.192645251886958	chr2:151802592:-_vs_chr2:151801526:-	0.702738283307004	chr2:151801526:-;chr2:151802392:-;chr2:151802592:-;chr2:151803148:-	distal	TRUE
APC	40.8255426231045	1.01758125292928e-07	3.94924572339388e-06	0.325714285714286	0.1725	0.153214285714286	chr5:112775671:+_vs_chr5:112843447:+	0.341666666666667	chr5:112775671:+;chr5:112837868:+;chr5:112838760:+;chr5:112839523:+;chr5:112842161:+;chr5:112843447:+	distal	TRUE
TRA2B	40.7688790879794	1.0447486997617e-07	4.00399939183671e-06	0.455913978494624	0.642660550458716	-0.186746571964092	chr3:185922057:-_vs_chr3:185916744:-	-0.447284699615271	chr3:185916744:-;chr3:185917124:-;chr3:185917328:-;chr3:185922057:-;chr3:185931624:-;chr3:185931745:-	proximal	TRUE
SYNE2	72.9834015242616	1.15926067652665e-07	4.38801633855645e-06	0.641114982578397	0.446894886987053	0.194220095591344	chr14:63995157:+_vs_chr14:64163431:+	0.290547375519838	chr14:63954891:+;chr14:63982762:+;chr14:63986481:+;chr14:63995086:+;chr14:63995157:+;chr14:63997080:+;chr14:64022847:+;chr14:64027527:+;chr14:64031156:+;chr14:64048140:+;chr14:64051620:+;chr14:64052009:+;chr14:64089628:+;chr14:64093392:+;chr14:64098059:+;chr14:64146119:+;chr14:64163431:+;chr14:64165353:+;chr14:64165394:+;chr14:64177382:+;chr14:64188688:+;chr14:64226433:+	distal	TRUE
CDK5RAP2	45.3351577215354	1.17726758653078e-07	4.40183221988218e-06	0.507936507936508	0.413292589763178	0.09464391817333	chr9:120491437:-_vs_chr9:120394580:-	0.812240047534165	chr9:120389199:-;chr9:120394580:-;chr9:120409217:-;chr9:120411354:-;chr9:120491437:-;chr9:120527870:-;chr9:120529994:-;chr9:120550877:-	distal	TRUE
PAK3	34.5624548996969	1.50716664623501e-07	5.56743727392356e-06	0.923076923076923	0.390243902439024	0.532833020637899	chrX:110986434:+_vs_chrX:111192543:+	1.09005628517824	chrX:110986434:+;chrX:111123278:+;chrX:111173059:+;chrX:111192543:+	distal	TRUE
YWHAZ	46.9113064583082	1.59425530942495e-07	5.81903187940106e-06	0.5125	0.497398190045249	0.0151018099547512	chr8:100919980:-_vs_chr8:100919700:-	-0.226225490196078	chr8:100918576:-;chr8:100918619:-;chr8:100918727:-;chr8:100918853:-;chr8:100919541:-;chr8:100919700:-;chr8:100919924:-;chr8:100919980:-;chr8:100920359:-	proximal	TRUE
NCOR1	39.7129282340616	1.70624236737464e-07	6.15451658631839e-06	0.4	0.34530612244898	0.0546938775510205	chr17:16137369:-_vs_chr17:16126177:-	0.428011204481793	chr17:16108803:-;chr17:16126082:-;chr17:16126177:-;chr17:16137369:-;chr17:16146446:-;chr17:16149453:-	distal	TRUE
SPECC1L	39.2800759595516	2.08567111813308e-07	7.4356600560419e-06	0.461538461538462	0.653503184713376	-0.191964723174914	chr22:24313388:+_vs_chr22:24330405:+	-0.338314551690348	chr22:24313388:+;chr22:24322834:+;chr22:24324294:+;chr22:24324346:+;chr22:24330405:+;chr22:24334540:+	proximal	TRUE
LRRC17	36.5553029346133	2.22418521612563e-07	7.77397655048935e-06	0.480769230769231	0.577586206896552	-0.0968169761273209	chr7:102934551:+_vs_chr7:102945044:+	-0.979664014146773	chr7:102934126:+;chr7:102934551:+;chr7:102944949:+;chr7:102945044:+;chr7:102945093:+	proximal	TRUE
HSP90AB1	36.5485864768067	2.23127833151684e-07	7.77397655048935e-06	0.494535519125683	0.57041910331384	-0.0758835841881571	chr6:44251139:+_vs_chr6:44253883:+	-0.188652414277954	chr6:44250383:+;chr6:44250447:+;chr6:44251139:+;chr6:44252254:+;chr6:44253883:+	proximal	FALSE
TRIM2	33.6598418973616	2.33735928724478e-07	8.05207143223877e-06	0.875	0.513189448441247	0.361810551558753	chr4:153335357:+_vs_chr4:153336409:+	0.883543165467626	chr4:153315504:+;chr4:153323114:+;chr4:153335357:+;chr4:153336409:+	distal	TRUE
RUFY3	36.3806878588075	2.41611035009542e-07	8.23088259265839e-06	0.653061224489796	0.393518518518519	0.259542705971277	chr4:70791930:+_vs_chr4:70793557:+	0.518707482993197	chr4:70784858:+;chr4:70791573:+;chr4:70791930:+;chr4:70791955:+;chr4:70793557:+	distal	TRUE
TMEM167B	30.399056085044	2.50569867653504e-07	8.40737419942459e-06	0.4375	0.879032258064516	-0.441532258064516	chr1:109095370:+_vs_chr1:109096934:+	-0.883064516129032	chr1:109095370:+;chr1:109095423:+;chr1:109096934:+	proximal	TRUE
