gene_id	chisq	pvalue	adj_pvalue	IP	oRG	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
SRRT	43.6961436894462	3.24715453521519e-10	2.47657978589682e-08	0.494252873563218	0.878205128205128	-0.38395225464191	chr7:100882651:+_vs_chr7:100888661:+	-0.76790450928382	chr7:100882651:+;chr7:100884837:+;chr7:100888661:+	proximal	TRUE
ACIN1	46.6420356868052	4.1416002157425e-10	3.04177526956199e-08	0.520383693045564	0.602446483180428	-0.0820627901348647	chr14:23061315:-_vs_chr14:23058564:-	-0.588542010428355	chr14:23058564:-;chr14:23061315:-;chr14:23063437:-;chr14:23080360:-	proximal	TRUE
TAOK1	45.6315068941162	6.7926506612201e-10	4.81065223614266e-08	0.701149425287356	0.408805031446541	0.292344393840816	chr17:29517491:+_vs_chr17:29522452:+	0.985686402081978	chr17:29498521:+;chr17:29510957:+;chr17:29517491:+;chr17:29522452:+	distal	TRUE
SLF1	37.9519557093426	7.25083507031261e-10	4.84127629021494e-08	1	0	1	chr5:94649528:+_vs_chr5:94695862:+	2	chr5:94649528:+;chr5:94695862:+	distal	TRUE
SMARCA5	54.015522474167	7.32416987929644e-10	4.84127629021494e-08	0.356060606060606	0.421111111111111	-0.0650505050505051	chr4:143548058:+_vs_chr4:143554372:+	-0.267575757575758	chr4:143526458:+;chr4:143528017:+;chr4:143543538:+;chr4:143543971:+;chr4:143548058:+;chr4:143550064:+;chr4:143554372:+	proximal	TRUE
HNRNPA1	44.7690852245956	1.03595448675228e-09	6.62676692654766e-08	0.509486847779215	0.524503847711624	-0.0150169999324089	chr12:54284881:+_vs_chr12:54285246:+	-0.173180032663763	chr12:54284578:+;chr12:54284881:+;chr12:54285246:+;chr12:54287087:+	proximal	FALSE
KLHL7	47.6385072765073	1.12258258132371e-09	6.95650393364036e-08	0.7	0.439189189189189	0.260810810810811	chr7:23174518:+_vs_chr7:23175421:+	0.691216216216216	chr7:23126050:+;chr7:23149111:+;chr7:23174518:+;chr7:23175304:+;chr7:23175421:+	distal	TRUE
YWHAZ	55.1509548965754	1.39167338355777e-09	8.36269187756079e-08	0.602651839178785	0.52965952965953	0.0729923095192556	chr8:100919700:-_vs_chr8:100918853:-	0.141998558166223	chr8:100918576:-;chr8:100918727:-;chr8:100918853:-;chr8:100919541:-;chr8:100919700:-;chr8:100919924:-;chr8:100919980:-;chr8:100920359:-	distal	FALSE
HLA-A	36.5815460750445	1.46411241910258e-09	8.53922037376594e-08	0.657894736842105	0.294117647058824	0.363777089783282	chr6:29945773:+_vs_chr6:29945837:+	0.727554179566564	chr6:29945773:+;chr6:29945837:+	distal	TRUE
CANX	54.3058209386238	2.04602504370491e-09	1.15921933190481e-07	0.458503401360544	0.461501210653753	-0.00299780929320875	chr5:179729260:+_vs_chr5:179730908:+	0.231638418079096	chr5:179709995:+;chr5:179710047:+;chr5:179724712:+;chr5:179724793:+;chr5:179728862:+;chr5:179729260:+;chr5:179730656:+;chr5:179730908:+	distal	TRUE
NRG1	45.9784631160562	2.48839848166862e-09	1.37069283031913e-07	0.796296296296296	0.52390438247012	0.272391913826177	chr8:32743055:+_vs_chr8:32764469:+	0.574000295115833	chr8:32595981:+;chr8:32729095:+;chr8:32743055:+;chr8:32743222:+;chr8:32764469:+	distal	TRUE
CNN3	48.2981735177403	3.08735254883194e-09	1.65465408225236e-07	0.729577464788732	0.643495145631068	0.0860823191576645	chr1:94901708:-_vs_chr1:94896957:-	0.270121701080268	chr1:94896957:-;chr1:94897208:-;chr1:94897406:-;chr1:94897502:-;chr1:94897617:-;chr1:94901708:-	distal	TRUE
TMEM98	34.7646957759075	3.72059553868269e-09	1.94156340873889e-07	0.853448275862069	1	-0.146551724137931	chr17:32941329:+_vs_chr17:32941649:+	-0.293103448275862	chr17:32941329:+;chr17:32941649:+	proximal	TRUE
VCAN	41.7051641414141	4.63378668915673e-09	2.35610230887123e-07	0.444444444444444	0.503086419753086	-0.058641975308642	chr5:83520452:+_vs_chr5:83537169:+	0.75	chr5:83520452:+;chr5:83537169:+;chr5:83538176:+;chr5:83580635:+	distal	TRUE
PAIP1	41.5157923843502	5.08292532018684e-09	2.51986022748263e-07	0.619047619047619	0.837837837837838	-0.218790218790219	chr5:43551737:-_vs_chr5:43527111:-	-0.564671814671815	chr5:43527111:-;chr5:43529816:-;chr5:43535573:-;chr5:43551737:-	proximal	TRUE
NUP93	38.0639730639731	5.42641831038747e-09	2.5858649225191e-07	0.45959595959596	0.5	-0.0404040404040404	chr16:56842037:+_vs_chr16:56844765:+	-0.555555555555556	chr16:56842037:+;chr16:56844765:+;chr16:56844954:+	proximal	TRUE
CEP78	34.0121608239255	5.47686972999507e-09	2.5858649225191e-07	0	0.818181818181818	-0.818181818181818	chr9:78265476:+_vs_chr9:78266875:+	-1.63636363636364	chr9:78265476:+;chr9:78266875:+	proximal	TRUE
NKAIN3	37.578947368421	6.91568591640318e-09	3.18925701679709e-07	0.131578947368421	0.602040816326531	-0.47046186895811	chr8:62946814:+_vs_chr8:62965700:+	-1.14715359828142	chr8:62946814:+;chr8:62965700:+;chr8:62967117:+	proximal	TRUE
PDIA6	43.5889825690212	7.80912911659374e-09	3.51943250868304e-07	0.651162790697674	0.47	0.181162790697674	chr2:10788704:-_vs_chr2:10783391:-	0.382883720930233	chr2:10783391:-;chr2:10783855:-;chr2:10784081:-;chr2:10788704:-;chr2:10790782:-	distal	TRUE
EMX1	33.0719866599566	8.88090747181273e-09	3.91351989257881e-07	0.969230769230769	0.5	0.469230769230769	chr2:72926004:+_vs_chr2:72934345:+	0.938461538461538	chr2:72926004:+;chr2:72934345:+	distal	TRUE
TUBGCP2	36.8836233931163	9.79090741690151e-09	4.22073247993819e-07	0.826923076923077	0.542857142857143	0.284065934065934	chr10:133296797:-_vs_chr10:133279640:-	1.05549450549451	chr10:133279640:-;chr10:133296797:-;chr10:133298092:-	distal	TRUE
ACBD5	43.0516934046346	1.00954267761585e-08	4.25941091428134e-07	0.46875	0.336805555555556	0.131944444444444	chr10:27231749:-_vs_chr10:27219719:-	0.847222222222222	chr10:27195217:-;chr10:27196560:-;chr10:27197012:-;chr10:27219719:-;chr10:27231749:-	distal	TRUE
EZR	45.5773049882142	1.10717548307752e-08	4.57401871446399e-07	0.243956043956044	0.368905950095969	-0.124949906139925	chr6:158783582:-_vs_chr6:158765748:-	-0.196104279597562	chr6:158765748:-;chr6:158766130:-;chr6:158766193:-;chr6:158766556:-;chr6:158770869:-;chr6:158783582:-	proximal	FALSE
USP39	36.3268359938475	1.29338491516153e-08	5.23424956482717e-07	0.614754098360656	0.363636363636364	0.251117734724292	chr2:85636125:+_vs_chr2:85637436:+	0.767511177347243	chr2:85636125:+;chr2:85637436:+;chr2:85649283:+	distal	TRUE
ARL6IP1	39.3650252249049	1.45254160829825e-08	5.76078001851084e-07	0.666666666666667	0.785800240673887	-0.11913357400722	chr16:18795529:-_vs_chr16:18791667:-	-0.261552346570397	chr16:18791667:-;chr16:18793259:-;chr16:18795473:-;chr16:18795529:-	proximal	TRUE
SRSF10	49.7531386405607	1.61496628198739e-08	6.27936889643331e-07	0.366071428571429	0.407268170426065	-0.0411967418546366	chr1:23967553:-_vs_chr1:23966445:-	-0.351425438596491	chr1:23966445:-;chr1:23967478:-;chr1:23967553:-;chr1:23969089:-;chr1:23970528:-;chr1:23970820:-;chr1:23971360:-;chr1:23978115:-	proximal	TRUE
TXNIP	35.7507946598856	1.72509722982288e-08	6.5785919360361e-07	0.833333333333333	0.363636363636364	0.46969696969697	chr1:145993318:-_vs_chr1:145992457:-	1.39393939393939	chr1:145992457:-;chr1:145993318:-;chr1:145995002:-	distal	TRUE
FBLN1	31.4835354075621	2.01138554025511e-08	7.52561797419979e-07	0.0751173708920188	0.326923076923077	-0.251805706031058	chr22:45563362:+_vs_chr22:45601135:+	-0.503611412062116	chr22:45563362:+;chr22:45601135:+	proximal	TRUE
TRIQK	35.3917826617827	2.06429634034332e-08	7.58055489426075e-07	0.916666666666667	0.24	0.676666666666667	chr8:92885356:-_vs_chr8:92883534:-	1.35333333333333	chr8:92883534:-;chr8:92883640:-;chr8:92885356:-	distal	TRUE
PTTG1IP	35.0264634517344	2.47799314803768e-08	8.93429165919767e-07	0.808411214953271	0.522727272727273	0.285683942225998	chr21:44850621:-_vs_chr21:44849585:-	0.841333899745115	chr21:44849585:-;chr21:44850621:-;chr21:44851588:-	distal	TRUE
ROBO2	40.8313834414388	2.91279451420352e-08	1.03144134315457e-06	0.525229357798165	0.71875	-0.193520642201835	chr3:77098882:+_vs_chr3:77603716:+	-0.471903669724771	chr3:77098882:+;chr3:77522813:+;chr3:77603716:+;chr3:77607852:+;chr3:77646297:+	proximal	TRUE
RASGEF1B	34.6479885057471	2.99422816670724e-08	1.04167622010183e-06	0.370689655172414	0.5	-0.129310344827586	chr4:81427051:-_vs_chr4:81426753:-	-1.5	chr4:81426396:-;chr4:81426753:-;chr4:81427051:-	proximal	TRUE
NFYB	37.7689496265692	3.16342588840889e-08	1.08156440288187e-06	0.413793103448276	0.559139784946237	-0.145346681497961	chr12:104119202:-_vs_chr12:104118654:-	-0.941045606229143	chr12:104118654:-;chr12:104119202:-;chr12:104119323:-;chr12:104119540:-	proximal	TRUE
ABI1	34.3200474925936	3.52773844205108e-08	1.16946862406472e-06	0.891304347826087	0.53921568627451	0.352088661551577	chr10:26748196:-_vs_chr10:26747831:-	0.969735720375107	chr10:26747831:-;chr10:26748196:-;chr10:26777157:-	distal	TRUE
LRRFIP2	30.3872389865037	3.53848297750293e-08	1.16946862406472e-06	0.941176470588235	0	0.941176470588235	chr3:37083642:-_vs_chr3:37073301:-	1.88235294117647	chr3:37073301:-;chr3:37083642:-	distal	TRUE
MRI1	34	4.13993771878517e-08	1.34581909776246e-06	0.25	1	-0.75	chr19:13773472:+_vs_chr19:13774282:+	-1.5	chr19:13773472:+;chr19:13773662:+;chr19:13774282:+	proximal	TRUE
PPP4R1	33.8609430569431	4.43802392519129e-08	1.4194518457507e-06	0.730769230769231	0.1	0.630769230769231	chr18:9563418:-_vs_chr18:9546797:-	1.26153846153846	chr18:9546797:-;chr18:9546913:-;chr18:9563418:-	distal	TRUE
RPL4	29.7439496509815	4.93042671502834e-08	1.5519105041113e-06	0.96814404432133	0.892911010558069	0.0752330337632602	chr15:66499522:-_vs_chr15:66499320:-	0.15046606752652	chr15:66499320:-;chr15:66499522:-	distal	FALSE
EIF4E	33.5164223073648	5.27231523848813e-08	1.63359392467531e-06	0.67	0.5	0.17	chr4:98880061:-_vs_chr4:98879862:-	1.11333333333333	chr4:98879862:-;chr4:98880061:-;chr4:98880376:-	distal	TRUE
RAD23B	36.6558025475733	5.44129486770994e-08	1.64836627572059e-06	0.337899543378995	0.352564102564103	-0.0146645591851072	chr9:107302076:+_vs_chr9:107330882:+	-0.400158061116965	chr9:107302076:+;chr9:107330444:+;chr9:107330882:+;chr9:107331044:+	proximal	TRUE
DDX39B	29.5368924265186	5.48624176487944e-08	1.64836627572059e-06	0.745161290322581	0.925925925925926	-0.180764635603345	chr6:31534006:-_vs_chr6:31530248:-	-0.361529271206691	chr6:31530248:-;chr6:31534006:-	proximal	TRUE
MCMBP	33.3465517241379	5.73968816317895e-08	1.6626974501397e-06	0.413793103448276	0.308823529411765	0.104969574036511	chr10:119830563:-_vs_chr10:119829988:-	1.03144016227181	chr10:119829988:-;chr10:119830563:-;chr10:119831197:-	distal	TRUE
CORO1C	39.4029721243813	5.75115192714328e-08	1.6626974501397e-06	0.774611398963731	0.763157894736842	0.0114535042268885	chr12:108647209:-_vs_chr12:108645109:-	0.600218161985274	chr12:108645109:-;chr12:108647209:-;chr12:108647490:-;chr12:108648625:-;chr12:108658189:-	distal	TRUE
SUCLA2	29.4339622641509	5.7854828068401e-08	1.6626974501397e-06	0.48	1	-0.52	chr13:47942698:-_vs_chr13:47942656:-	-1.04	chr13:47942656:-;chr13:47942698:-	proximal	TRUE
NFYC	29.1972425384161	6.53721746510161e-08	1.85190031904236e-06	0.841269841269841	0.339285714285714	0.501984126984127	chr1:40771107:+_vs_chr1:40771603:+	1.00396825396825	chr1:40771107:+;chr1:40771603:+	distal	TRUE
KIAA1586	39.046575612157	6.81382182011944e-08	1.90307164356294e-06	0.453488372093023	0.388888888888889	0.0645994832041344	chr6:57053224:+_vs_chr6:57053307:+	-0.802583979328165	chr6:57052881:+;chr6:57053224:+;chr6:57053307:+;chr6:57053869:+;chr6:57055202:+	proximal	TRUE
ZNF638	32.7618292505248	7.68881071944825e-08	2.11762661898137e-06	0.366197183098592	0.642857142857143	-0.276659959758551	chr2:71363977:+_vs_chr2:71405632:+	-0.553319919517103	chr2:71363977:+;chr2:71369967:+;chr2:71405632:+	proximal	TRUE
CALM3	32.5189679535558	8.6815212034819e-08	2.35828171869926e-06	0.71830985915493	0.639004149377593	0.0793057097773363	chr19:46609305:+_vs_chr19:46610169:+	0.248319794284378	chr19:46609305:+;chr19:46610169:+;chr19:46610782:+	distal	TRUE
DCAF13	28.613404269731	8.83683454065755e-08	2.36803282353026e-06	0.032258064516129	0.666666666666667	-0.634408602150538	chr8:103442975:+_vs_chr8:103443453:+	-1.26881720430108	chr8:103442975:+;chr8:103443453:+	proximal	TRUE
DYNC1I2	35.5145416342131	9.48435952330864e-08	2.5076646579628e-06	0.354700854700855	0.681957186544343	-0.327256331843488	chr2:171725691:+_vs_chr2:171748411:+	-0.69489531874853	chr2:171725691:+;chr2:171725949:+;chr2:171727923:+;chr2:171748411:+	proximal	TRUE
CTR9	35.4617312512049	9.73126570359379e-08	2.53909209081927e-06	0.210526315789474	0.6	-0.389473684210526	chr11:10771579:+_vs_chr11:10772649:+	-0.794736842105263	chr11:10755115:+;chr11:10771579:+;chr11:10772649:+;chr11:10773253:+	proximal	TRUE
DDX5	34.8597140834294	1.30428651116504e-07	3.35896123589646e-06	0.569685292228645	0.504385964912281	0.0652993273163641	chr17:64502479:-_vs_chr17:64499620:-	0.215977081431903	chr17:64498254:-;chr17:64499620:-;chr17:64499822:-;chr17:64502479:-	distal	TRUE
ZNF75A	27.8277591973244	1.32609726938436e-07	3.3713472887041e-06	0.0769230769230769	1	-0.923076923076923	chr16:3310415:+_vs_chr16:3318576:+	-1.84615384615385	chr16:3310415:+;chr16:3318576:+	proximal	TRUE
SAP30BP	34.7307575376568	1.38871611233803e-07	3.48585322881813e-06	0.666666666666667	0.531400966183575	0.135265700483092	chr17:75706757:+_vs_chr17:75708008:+	0.850931677018633	chr17:75702546:+;chr17:75704814:+;chr17:75706757:+;chr17:75708008:+	distal	TRUE
AFDN	34.4489354749032	1.59270561299028e-07	3.88306585912849e-06	0.258706467661692	0.481481481481481	-0.22277501381979	chr6:167880492:+_vs_chr6:167969931:+	-0.817578772802653	chr6:167872321:+;chr6:167880492:+;chr6:167969931:+;chr6:167972023:+	proximal	TRUE
AP2M1	27.4630037633982	1.60128548665189e-07	3.88306585912849e-06	0.875536480686695	1	-0.124463519313305	chr3:184183301:+_vs_chr3:184184091:+	-0.248927038626609	chr3:184183301:+;chr3:184184091:+	proximal	TRUE
DPYSL3	27.4470450680272	1.61455377716498e-07	3.88306585912849e-06	0.958333333333333	0.301587301587302	0.656746031746032	chr5:147393372:-_vs_chr5:147390808:-	1.31349206349206	chr5:147390808:-;chr5:147393372:-	distal	TRUE
CDK2	31.2648221343874	1.6252872733619e-07	3.88306585912849e-06	0.772727272727273	0.375	0.397727272727273	chr12:55972532:+_vs_chr12:55972789:+	1.14772727272727	chr12:55971899:+;chr12:55972532:+;chr12:55972789:+	distal	TRUE
KATNBL1	31.2214285714286	1.66093611022077e-07	3.92099560305688e-06	0.76	0.136363636363636	0.623636363636364	chr15:34147858:-_vs_chr15:34141398:-	1.24727272727273	chr15:34141398:-;chr15:34147274:-;chr15:34147858:-	distal	TRUE
PCNT	37.0979567310574	1.71951162744896e-07	4.01151947909563e-06	0.440677966101695	0.453703703703704	-0.0130257376020088	chr21:46363573:+_vs_chr21:46412993:+	0.785310734463277	chr21:46349811:+;chr21:46357133:+;chr21:46363573:+;chr21:46402386:+;chr21:46412993:+	distal	TRUE
VPS36	34.0538478549314	1.93000186311782e-07	4.45022522623563e-06	0.456140350877193	0.519607843137255	-0.0634674922600619	chr13:52415330:-_vs_chr13:52413963:-	-1.03715170278638	chr13:52413963:-;chr13:52415330:-;chr13:52427024:-;chr13:52433682:-	proximal	TRUE
BRCC3	33.8939763001975	2.08596482889937e-07	4.75456121345684e-06	0.438095238095238	0.698924731182796	-0.260829493087558	chrX:155078930:+_vs_chrX:155123071:+	-0.744700460829493	chrX:155078930:+;chrX:155120113:+;chrX:155121282:+;chrX:155123071:+	proximal	TRUE
E2F7	26.7856973140496	2.2731353880716e-07	5.1223039483477e-06	0	1	-1	chr12:77043133:-_vs_chr12:77027939:-	-2	chr12:77027939:-;chr12:77043133:-	proximal	TRUE
MAP2	48.0567930851261	2.49239530740859e-07	5.5532807804396e-06	0.504223521767381	0.477777777777778	0.0264457439896036	chr2:209730502:+_vs_chr2:209734112:+	0.24766081871345	chr2:209580099:+;chr2:209683159:+;chr2:209692830:+;chr2:209693923:+;chr2:209694036:+;chr2:209725730:+;chr2:209729898:+;chr2:209730502:+;chr2:209733900:+;chr2:209734112:+	distal	TRUE
SBDSP1	30.2611367127496	2.68458806298516e-07	5.91504236544396e-06	0.285714285714286	0.6375	-0.351785714285714	chr7:72833797:+_vs_chr7:72837102:+	-0.989285714285714	chr7:72833797:+;chr7:72837102:+;chr7:72837376:+	proximal	TRUE
LRRC17	30.224358974359	2.73441129418811e-07	5.93142392651592e-06	0.5	0.480769230769231	0.0192307692307692	chr7:102934126:+_vs_chr7:102945044:+	1.34615384615385	chr7:102934126:+;chr7:102945044:+;chr7:102945093:+	distal	TRUE
GABPB1	26.4164661654135	2.75184569460143e-07	5.93142392651592e-06	0.95	0	0.95	chr15:50277934:-_vs_chr15:50277257:-	1.9	chr15:50277257:-;chr15:50277934:-	distal	TRUE
PRPF38B	35.904004178857	3.02830524704895e-07	6.45035844647694e-06	0.170731707317073	0.622222222222222	-0.451490514905149	chr1:108698763:+_vs_chr1:108699777:+	-0.829810298102981	chr1:108698763:+;chr1:108699458:+;chr1:108699519:+;chr1:108699777:+;chr1:108700005:+	proximal	TRUE
BAZ2B	29.9861111111111	3.08034035392917e-07	6.45035844647694e-06	0.25	0.958333333333333	-0.708333333333333	chr2:159431016:-_vs_chr2:159319677:-	-1.41666666666667	chr2:159319677:-;chr2:159389459:-;chr2:159431016:-	proximal	TRUE
RBMX2	29.9698785425101	3.10544300430652e-07	6.45035844647694e-06	0.5	0.56	-0.0600000000000001	chrX:130412667:+_vs_chrX:130413343:+	-1.24421052631579	chrX:130412395:+;chrX:130412667:+;chrX:130413343:+	proximal	TRUE
HNRNPA3	47.5324822989965	3.12271513293891e-07	6.45035844647694e-06	0.453357100415924	0.343827160493827	0.109529939922097	chr2:177219778:+_vs_chr2:177220534:+	0.311229946524064	chr2:177216037:+;chr2:177216188:+;chr2:177217829:+;chr2:177219778:+;chr2:177220127:+;chr2:177220534:+;chr2:177220986:+;chr2:177221332:+;chr2:177221383:+;chr2:177222654:+	distal	TRUE
GPM6A	38.3647728385557	3.18721633628256e-07	6.51572164417353e-06	0.758476190476191	0.735074626865672	0.0234015636105189	chr4:175634820:-_vs_chr4:175633448:-	-0.15452736318408	chr4:175632943:-;chr4:175633448:-;chr4:175634532:-;chr4:175634820:-;chr4:175640800:-;chr4:175805272:-	proximal	FALSE
SMC3	43.0280558917502	3.29427494444204e-07	6.66586450492711e-06	0.447058823529412	0.453091684434968	-0.00603286090555621	chr10:110583890:+_vs_chr10:110604634:+	0.338366988586479	chr10:110581018:+;chr10:110581995:+;chr10:110583443:+;chr10:110583890:+;chr10:110584322:+;chr10:110589685:+;chr10:110596542:+;chr10:110604634:+	distal	TRUE
TMEM70	29.8177443609023	3.35088158362334e-07	6.71191735386372e-06	0.666666666666667	0.166666666666667	0.5	chr8:73981799:+_vs_chr8:73981858:+	1.22857142857143	chr8:73981799:+;chr8:73981858:+;chr8:73982781:+	distal	TRUE
