gene_id	chisq	pvalue	adj_pvalue	oRG	vRG	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
SLC1A3	59.8579503157285	4.96987772751428e-10	5.45133463236722e-08	0.718856655290102	0.517307692307692	0.20154896298241	chr5:36608855:+_vs_chr5:36686284:+	0.314413231819375	chr5:36608855:+;chr5:36609558:+;chr5:36610904:+;chr5:36611172:+;chr5:36686229:+;chr5:36686284:+;chr5:36686312:+;chr5:36686654:+;chr5:36688334:+	distal	TRUE
ST13	41.8749957197016	8.07161083435504e-10	8.33275118487829e-08	0.0810810810810811	0.602941176470588	-0.521860095389507	chr22:40826130:-_vs_chr22:40824595:-	-1.04372019077901	chr22:40824595:-;chr22:40825150:-;chr22:40826130:-	proximal	TRUE
XRCC5	48.0497281223214	9.21522273590459e-10	8.98484216750698e-08	0.438829787234043	0.561475409836066	-0.122645622602023	chr2:216205424:+_vs_chr2:216206118:+	-0.540286013254273	chr2:216122176:+;chr2:216127658:+;chr2:216205424:+;chr2:216206118:+;chr2:216206281:+	proximal	TRUE
SYT11	52.9423631227135	1.20506840341461e-09	1.11310265683823e-07	0.395833333333333	0.439759036144578	-0.043925702811245	chr1:155881618:+_vs_chr1:155882327:+	-0.439821787148594	chr1:155868153:+;chr1:155881254:+;chr1:155881618:+;chr1:155882327:+;chr1:155885032:+;chr1:155885060:+;chr1:155885191:+	proximal	TRUE
MSMO1	47.1101090563011	1.4464742286684e-09	1.26928113565652e-07	0.694987775061125	0.593181818181818	0.101805956879306	chr4:165341449:+_vs_chr4:165343070:+	0.189508779728829	chr4:165341449:+;chr4:165341915:+;chr4:165342063:+;chr4:165343070:+;chr4:165343164:+	distal	FALSE
YWHAQ	46.8167616413957	1.6649774267473e-09	1.39144542092453e-07	0.779220779220779	0.764819587628866	0.0144011915919133	chr2:9584267:-_vs_chr2:9583977:-	0.160982059177935	chr2:9583977:-;chr2:9584267:-;chr2:9584498:-;chr2:9584630:-;chr2:9584936:-	distal	FALSE
FUBP1	48.9247058458601	2.29929529735548e-09	1.83421056675403e-07	0.397202797202797	0.2448	0.152402797202797	chr1:77964286:-_vs_chr1:77948929:-	0.32827972027972	chr1:77948419:-;chr1:77948654:-;chr1:77948929:-;chr1:77962777:-;chr1:77962913:-;chr1:77964286:-	distal	TRUE
PAX6	45.702114579581	2.84066191681142e-09	2.16754854956698e-07	0.497916666666667	0.398148148148148	0.0997685185185185	chr11:31809746:-_vs_chr11:31789837:-	0.531481481481481	chr11:31789026:-;chr11:31789194:-;chr11:31789837:-;chr11:31793758:-;chr11:31809746:-	distal	TRUE
CSNK1D	38.5432931444637	4.27002321807731e-09	3.12245447821903e-07	0.774509803921569	0.1875	0.587009803921569	chr17:82252473:-_vs_chr17:82242672:-	1.17401960784314	chr17:82242672:-;chr17:82244362:-;chr17:82252473:-	distal	TRUE
IMP4	34.3365079365079	4.63603135236525e-09	3.23455037410465e-07	0.8	0.114285714285714	0.685714285714286	chr2:130346624:+_vs_chr2:130347810:+	1.37142857142857	chr2:130346624:+;chr2:130347810:+	distal	TRUE
PDIA6	44.5957106513004	4.82481224712998e-09	3.23455037410465e-07	0.47	0.444148936170213	0.0258510638297873	chr2:10783855:-_vs_chr2:10783391:-	-0.432936170212766	chr2:10783391:-;chr2:10783855:-;chr2:10784081:-;chr2:10788704:-;chr2:10790782:-	proximal	TRUE
ABI1	41.4245014245014	5.31472535960578e-09	3.23455037410465e-07	0.359477124183007	0.784313725490196	-0.42483660130719	chr10:26747831:-_vs_chr10:26747430:-	-0.92156862745098	chr10:26747430:-;chr10:26747831:-;chr10:26748196:-;chr10:26777157:-	proximal	TRUE
SMIM14	34.0445899209486	5.38634618819466e-09	3.23455037410465e-07	0.92	0	0.92	chr4:39551449:-_vs_chr4:39550907:-	1.84	chr4:39550907:-;chr4:39551449:-	distal	TRUE
MAPKAPK5	33.9549036033411	5.64043517294902e-09	3.23455037410465e-07	0.923076923076923	0.259259259259259	0.663817663817664	chr12:111893350:+_vs_chr12:111893414:+	1.32763532763533	chr12:111893350:+;chr12:111893414:+	distal	TRUE
CAT	33.9419240669241	5.67818855937505e-09	3.23455037410465e-07	0.216216216216216	0.842105263157895	-0.625889046941678	chr11:34471813:+_vs_chr11:34472055:+	-1.25177809388336	chr11:34471813:+;chr11:34472055:+	proximal	TRUE
PON2	41.2763978803456	5.71345080326178e-09	3.23455037410465e-07	0.859722222222222	0.577114427860697	0.282607794361526	chr7:95413312:-_vs_chr7:95404862:-	0.573320895522388	chr7:95404862:-;chr7:95405094:-;chr7:95412397:-;chr7:95413312:-	distal	TRUE
SYNE2	56.4314859191468	6.49188942981719e-09	3.56039560916536e-07	0.547281323877069	0.39031339031339	0.156967933563678	chr14:63954891:+_vs_chr14:63986481:+	0.351609383524277	chr14:63954891:+;chr14:63986481:+;chr14:63995086:+;chr14:63995157:+;chr14:64048140:+;chr14:64052009:+;chr14:64093392:+;chr14:64146119:+;chr14:64177382:+;chr14:64226433:+	distal	TRUE
EIF1	40.8358808256983	7.08486531292535e-09	3.76786018914666e-07	0.560678325384208	0.596354166666667	-0.0356758412824588	chr17:41690999:+_vs_chr17:41691644:+	-0.297769276629571	chr17:41689941:+;chr17:41690999:+;chr17:41691644:+;chr17:41692668:+	proximal	TRUE
IFNAR1	43.6631578947368	7.53705489927827e-09	3.89045039653922e-07	0.266666666666667	0.684210526315789	-0.417543859649123	chr21:33355724:+_vs_chr21:33355866:+	-0.821052631578947	chr21:33341127:+;chr21:33355424:+;chr21:33355724:+;chr21:33355866:+;chr21:33356041:+	proximal	TRUE
SPRED1	39.8530762167126	1.14472050911932e-08	5.71463137814928e-07	0.401515151515152	0.944444444444445	-0.542929292929293	chr15:38326136:+_vs_chr15:38351369:+	-1.08333333333333	chr15:38326136:+;chr15:38326836:+;chr15:38351301:+;chr15:38351369:+	proximal	TRUE
TRA2B	45.4554213465906	1.17223207756908e-08	5.71463137814928e-07	0.746067415730337	0.514754098360656	0.231313317369681	chr3:185922057:-_vs_chr3:185916744:-	0.46936206790692	chr3:185916744:-;chr3:185917124:-;chr3:185917328:-;chr3:185922057:-;chr3:185931624:-;chr3:185931745:-	distal	TRUE
GFAP	36.3268594000212	1.2933697786541e-08	6.13476746361608e-07	0.694711538461538	0.801204819277108	-0.10649328081557	chr17:44909672:-_vs_chr17:44905626:-	-0.672034291010195	chr17:44905626:-;chr17:44909672:-;chr17:44912109:-	proximal	TRUE
TPR	45.1839125364431	1.33117893629145e-08	6.14794482418813e-07	0.451020408163265	0.776	-0.324979591836735	chr1:186363420:-_vs_chr1:186355500:-	-0.622857142857143	chr1:186313826:-;chr1:186351411:-;chr1:186355500:-;chr1:186359936:-;chr1:186360828:-;chr1:186363420:-	proximal	TRUE
PALLD	39.3144053668936	1.48886170142859e-08	6.69987765642866e-07	0.34965034965035	0.229885057471264	0.119765292179085	chr4:168924387:+_vs_chr4:168926513:+	0.715818664094526	chr4:168924387:+;chr4:168926513:+;chr4:168926656:+;chr4:168928414:+	distal	TRUE
MAP2	46.8730628932704	1.98344208069738e-08	8.54454248116296e-07	0.494047619047619	0.695035460992908	-0.200987841945289	chr2:209725730:+_vs_chr2:209734112:+	-0.511398176291793	chr2:209580099:+;chr2:209683159:+;chr2:209692830:+;chr2:209725730:+;chr2:209729898:+;chr2:209730502:+;chr2:209734112:+	proximal	TRUE
FDFT1	38.6987509481524	2.01038004861641e-08	8.54454248116296e-07	0.704253214638971	0.664160401002506	0.0400928136364651	chr8:11824416:+_vs_chr8:11838667:+	0.204346177015238	chr8:11824416:+;chr8:11838667:+;chr8:11838962:+;chr8:11839298:+	distal	TRUE
HEY1	31.4514981315312	2.04484777326977e-08	8.54454248116296e-07	0.869565217391304	0.259259259259259	0.610305958132045	chr8:79765086:-_vs_chr8:79764013:-	1.22061191626409	chr8:79764013:-;chr8:79765086:-	distal	TRUE
HACD3	35.2086866052327	2.26219920872983e-08	9.23292932865313e-07	0.149171270718232	0.190140845070423	-0.0409695743521905	chr15:65576369:+_vs_chr15:65577099:+	-0.315617461676134	chr15:65576369:+;chr15:65577099:+;chr15:65578349:+	proximal	TRUE
OPA1	35	2.51099915574398e-08	1.00154625416607e-06	0.760869565217391	0	0.760869565217391	chr3:193619829:+_vs_chr3:193635474:+	1.52173913043478	chr3:193619829:+;chr3:193631588:+;chr3:193635474:+	distal	TRUE
GPM6B	43.0403342150078	3.6261683817974e-08	1.3980241989197e-06	0.495336787564767	0.458461538461539	0.0368752491032283	chrX:13773456:-_vs_chrX:13771456:-	-0.403826225587884	chrX:13770943:-;chrX:13771029:-;chrX:13771456:-;chrX:13773456:-;chrX:13773601:-;chrX:13774155:-	proximal	TRUE
C9orf78	34.2350551220116	3.68088489159111e-08	1.3980241989197e-06	0.666666666666667	0.655172413793103	0.0114942528735633	chr9:129828178:-_vs_chr9:129827772:-	0.881059470264868	chr9:129827290:-;chr9:129827772:-;chr9:129828178:-	distal	TRUE
CIAPIN1	34.2010542776433	3.74399643015532e-08	1.3980241989197e-06	0.415254237288136	0.775	-0.359745762711864	chr16:57428552:-_vs_chr16:57428189:-	-0.879661016949153	chr16:57428189:-;chr16:57428552:-;chr16:57441844:-	proximal	TRUE
CBWD2	37.00988409301	4.57927652612324e-08	1.65189895033206e-06	0.390243902439024	0.775510204081633	-0.385266301642608	chr2:113462459:+_vs_chr2:113496121:+	-0.623195619711299	chr2:113462459:+;chr2:113495801:+;chr2:113496121:+;chr2:113496168:+	proximal	TRUE
KPNB1	36.9952056206833	4.61213951944563e-08	1.65189895033206e-06	0.647619047619048	0.576576576576577	0.0710424710424711	chr17:47680640:+_vs_chr17:47683532:+	0.37027027027027	chr17:47659989:+;chr17:47680640:+;chr17:47682697:+;chr17:47683532:+	distal	TRUE
CBWD1	36.8195719313366	5.02411254721587e-08	1.76346350407277e-06	0.470588235294118	0.644444444444444	-0.173856209150327	chr9:154744:-_vs_chr9:121409:-	-0.976470588235294	chr9:121042:-;chr9:121409:-;chr9:154744:-;chr9:173134:-	proximal	TRUE
ETF1	33.4930555555556	5.33427492365713e-08	1.80683082459687e-06	0.444444444444444	0.588235294117647	-0.143790849673203	chr5:138508157:-_vs_chr5:138507441:-	-1.29575163398693	chr5:138506095:-;chr5:138507441:-;chr5:138508157:-	proximal	TRUE
TNFRSF19	29.5843397022294	5.35357281362037e-08	1.80683082459687e-06	0	1	-1	chr13:23673587:+_vs_chr13:23675940:+	-2	chr13:23673587:+;chr13:23675940:+	proximal	TRUE
SCD	39.3101134882511	6.01095818672224e-08	1.99042105994293e-06	0.383223684210526	0.211538461538462	0.171685222672065	chr10:100361696:+_vs_chr10:100362011:+	0.678137651821862	chr10:100361696:+;chr10:100362011:+;chr10:100363234:+;chr10:100363596:+;chr10:100364826:+	distal	TRUE
PRPF39	39.1554206921854	6.47001783975306e-08	2.10275579791974e-06	0.461538461538462	0.452702702702703	0.00883575883575882	chr14:45114241:+_vs_chr14:45114527:+	-0.758835758835759	chr14:45109687:+;chr14:45114241:+;chr14:45114527:+;chr14:45114553:+;chr14:45115601:+	proximal	TRUE
TRMT10C	32.6373626373626	8.1825138928973e-08	2.61096579673359e-06	0.333333333333333	0.761904761904762	-0.428571428571429	chr3:101566245:+_vs_chr3:101566446:+	-1.42857142857143	chr3:101565576:+;chr3:101566245:+;chr3:101566446:+	proximal	TRUE
SPOP	32.4866375466614	8.82300019747354e-08	2.76506524045823e-06	0.326086956521739	0.266233766233766	0.0598531902879729	chr17:49599986:-_vs_chr17:49599482:-	0.784867306606437	chr17:49599284:-;chr17:49599482:-;chr17:49599986:-	distal	TRUE
LRRFIP2	28.2656771799629	1.05754632388729e-07	3.25612947091614e-06	0	0.933333333333333	-0.933333333333333	chr3:37083642:-_vs_chr3:37074593:-	-1.86666666666667	chr3:37074593:-;chr3:37083642:-	proximal	TRUE
NOTCH2NLA	28.1934764309764	1.09773930420716e-07	3.32160772221303e-06	0.166666666666667	1	-0.833333333333333	chr1:146156106:-_vs_chr1:146155538:-	-1.66666666666667	chr1:146155538:-;chr1:146156106:-	proximal	TRUE
DBN1	32.0143503231902	1.11730606560582e-07	3.32351211040376e-06	0.43558282208589	0.421875	0.0137078220858896	chr5:177457223:-_vs_chr5:177456925:-	0.612442484662577	chr5:177456622:-;chr5:177456925:-;chr5:177457223:-	distal	TRUE
TMEM50A	31.7130670323248	1.29895764953298e-07	3.79945112488396e-06	0.203389830508475	0.346153846153846	-0.142764015645372	chr1:25360982:+_vs_chr1:25362253:+	-0.835071707953064	chr1:25360982:+;chr1:25362253:+;chr1:25362361:+	proximal	TRUE
CCT5	31.5987431030309	1.37537180670607e-07	3.95701232912974e-06	0.641975308641975	0.892241379310345	-0.250266070668369	chr5:10258499:+_vs_chr5:10265080:+	-0.500532141336739	chr5:10258499:+;chr5:10264926:+;chr5:10265080:+	proximal	TRUE
C1orf35	27.3974578456144	1.6564885242973e-07	4.59509647639414e-06	0.186046511627907	0.780487804878049	-0.594441293250142	chr1:228101410:-_vs_chr1:228100735:-	-1.18888258650028	chr1:228100735:-;chr1:228101410:-	proximal	TRUE
TOX	31.2214285714286	1.66093611022076e-07	4.59509647639414e-06	0.7	0	0.7	chr8:58807111:-_vs_chr8:58806637:-	1.4	chr8:58806637:-;chr8:58806783:-;chr8:58807111:-	distal	TRUE
TMEM47	34.3158652642513	1.69916672712118e-07	4.59509647639414e-06	0.687074829931973	0.491228070175439	0.195846759756534	chrX:34628723:-_vs_chrX:34627088:-	0.796455424274973	chrX:34627088:-;chrX:34628723:-;chrX:34629095:-;chrX:34629250:-	distal	TRUE
THRAP3	37.1196718999741	1.70188758384968e-07	4.59509647639414e-06	0.285714285714286	0.399253731343284	-0.113539445628998	chr1:36291436:+_vs_chr1:36296765:+	-0.314218381775334	chr1:36289081:+;chr1:36289138:+;chr1:36291436:+;chr1:36292693:+;chr1:36296765:+	proximal	TRUE
AKAP13	27.0291794506538	2.00407225947199e-07	5.32901032632325e-06	1	0	1	chr15:85684873:+_vs_chr15:85743804:+	2	chr15:85684873:+;chr15:85743804:+	distal	TRUE
HSP90AA1	46.0570232007736	2.3183919983459e-07	6.07280292104039e-06	0.562206572769953	0.430431547619048	0.131775025150906	chr14:102084841:-_vs_chr14:102081050:-	0.191063044936284	chr14:102081050:-;chr14:102083061:-;chr14:102083823:-;chr14:102083909:-;chr14:102084473:-;chr14:102084781:-;chr14:102084841:-;chr14:102084921:-;chr14:102085388:-	distal	FALSE
ASNSD1	26.5694978837836	2.54225956590537e-07	6.48766798819636e-06	0.0810810810810811	0.666666666666667	-0.585585585585586	chr2:189667263:+_vs_chr2:189670831:+	-1.17117117117117	chr2:189667263:+;chr2:189670831:+	proximal	TRUE
GPM6A	38.8439546651377	2.55292072736944e-07	6.48766798819636e-06	0.735074626865672	0.760693641618497	-0.0256190147528255	chr4:175633448:-_vs_chr4:175632943:-	-0.409736002070572	chr4:175632943:-;chr4:175633448:-;chr4:175633705:-;chr4:175634820:-;chr4:175640800:-;chr4:175805272:-	proximal	TRUE
CERS6	30.3346726190476	2.58767384144584e-07	6.48766798819636e-06	0.328125	0.785714285714286	-0.457589285714286	chr2:168770261:+_vs_chr2:168771123:+	-1.34821428571429	chr2:168769770:+;chr2:168770261:+;chr2:168771123:+	proximal	TRUE
ZRANB2	36.1745588262199	2.66402557194703e-07	6.52376001949188e-06	0.529850746268657	0.75	-0.220149253731343	chr1:71070919:-_vs_chr1:71063291:-	-0.920575692963753	chr1:71063291:-;chr1:71063821:-;chr1:71070919:-;chr1:71072187:-;chr1:71072501:-	proximal	TRUE
PTBP1	30.2672353500507	2.67641436697103e-07	6.52376001949188e-06	0.641509433962264	0.622448979591837	0.0190604543704274	chr19:807679:+_vs_chr19:812218:+	0.757797458606084	chr19:807679:+;chr19:812218:+;chr19:812312:+	distal	TRUE
MAPKAP1	30.1996753246753	2.76836803245954e-07	6.65546013283082e-06	0.352272727272727	0.5	-0.147727272727273	chr9:125438944:-_vs_chr9:125438472:-	-1.47727272727273	chr9:125437426:-;chr9:125438472:-;chr9:125438944:-	proximal	TRUE
FNBP4	35.8927492719741	3.04449065962721e-07	7.17361590262205e-06	0.392857142857143	0.47093023255814	-0.0780730897009967	chr11:47731460:-_vs_chr11:47716517:-	-0.564784053156146	chr11:47716517:-;chr11:47731460:-;chr11:47736658:-;chr11:47746229:-;chr11:47750917:-	proximal	TRUE
ARHGAP5	33.1015647226174	3.06564782163335e-07	7.17361590262205e-06	0.509009009009009	0.240740740740741	0.268268268268268	chr14:32091328:+_vs_chr14:32094385:+	0.426426426426426	chr14:32091328:+;chr14:32091669:+;chr14:32094385:+;chr14:32155166:+	distal	TRUE
HTR2A	29.7636262513904	3.442791157076e-07	7.95012957982683e-06	0.32258064516129	0.8125	-0.48991935483871	chr13:46895302:-_vs_chr13:46832044:-	-0.979838709677419	chr13:46832044:-;chr13:46895150:-;chr13:46895302:-	proximal	TRUE
PPM1K	29.5273002078216	3.87461207085771e-07	8.83109634331854e-06	0.5	0.5	0	chr4:88275168:-_vs_chr4:88268742:-	0.716417910447761	chr4:88264342:-;chr4:88268742:-;chr4:88275168:-	distal	TRUE
CAPZA2	34.8575694428685	4.96903054043546e-07	1.11803187159798e-05	0.672131147540984	0.380769230769231	0.291361916771753	chr7:116918649:+_vs_chr7:116919259:+	0.701261034047919	chr7:116916112:+;chr7:116918649:+;chr7:116918735:+;chr7:116919157:+;chr7:116919259:+	distal	TRUE
MPP5	28.9223258815936	5.24320372896043e-07	1.16478766383868e-05	0.552631578947368	0.435897435897436	0.116734143049932	chr14:67316875:+_vs_chr14:67317438:+	0.989203778677463	chr14:67316875:+;chr14:67317438:+;chr14:67317474:+	distal	TRUE
LIPG	25.1303944661035	5.35816318627774e-07	1.17544704898968e-05	0.1	0.8	-0.7	chr18:49581597:+_vs_chr18:49592908:+	-1.4	chr18:49581597:+;chr18:49592908:+	proximal	TRUE
NRG1	34.4973263649808	5.8915804864979e-07	1.27650910540788e-05	0.52390438247012	0.484848484848485	0.0390558976216346	chr8:32743222:+_vs_chr8:32764469:+	-0.391283351442714	chr8:32595981:+;chr8:32729095:+;chr8:32743055:+;chr8:32743222:+;chr8:32764469:+	proximal	TRUE
LAMP1	24.9205410566358	5.97424699641081e-07	1.27863457057329e-05	0.0359712230215827	0.290322580645161	-0.254351357623579	chr13:113323413:+_vs_chr13:113323670:+	-0.508702715247157	chr13:113323413:+;chr13:113323670:+	proximal	TRUE
AIDA	28.616668989547	6.10898816392884e-07	1.29171978646929e-05	0.650793650793651	0.3	0.350793650793651	chr1:222673380:-_vs_chr1:222669956:-	0.955555555555555	chr1:222668159:-;chr1:222669956:-;chr1:222673380:-	distal	TRUE
DNAJB6	34.3904779051277	6.19669857448102e-07	1.29466738073978e-05	0.578125	0.766990291262136	-0.188865291262136	chr7:157366536:+_vs_chr7:157417435:+	-0.381328016643551	chr7:157363212:+;chr7:157366536:+;chr7:157384995:+;chr7:157386284:+;chr7:157417435:+	proximal	TRUE
HSPA9	24.8083361344538	6.33230238866758e-07	1.30743419907195e-05	0.0166666666666667	0.397058823529412	-0.380392156862745	chr5:138556065:-_vs_chr5:138555335:-	-0.76078431372549	chr5:138555335:-;chr5:138556065:-	proximal	TRUE
CNOT2	28.3253968253968	7.0667256400131e-07	1.42701692609104e-05	0.314814814814815	0.90625	-0.591435185185185	chr12:70331700:+_vs_chr12:70354334:+	-1.18287037037037	chr12:70331700:+;chr12:70354257:+;chr12:70354334:+	proximal	TRUE
MIS18BP1	34.1101650139114	7.07410100113509e-07	1.42701692609104e-05	0.435897435897436	0.610294117647059	-0.174396681749623	chr14:45231231:-_vs_chr14:45224085:-	-0.858974358974359	chr14:45224085:-;chr14:45231231:-;chr14:45246774:-;chr14:45246947:-;chr14:45247069:-	proximal	TRUE
TM9SF3	31.2836325964608	7.4082387876613e-07	1.47743853094836e-05	0.217054263565891	0.612903225806452	-0.39584896224056	chr10:96561974:-_vs_chr10:96521457:-	-0.762940735183796	chr10:96521457:-;chr10:96552954:-;chr10:96561974:-;chr10:96565378:-	proximal	TRUE
SNX4	28.1707100591716	7.6349823074497e-07	1.50554988197463e-05	0.692307692307692	0.0833333333333333	0.608974358974359	chr3:125453852:-_vs_chr3:125446666:-	1.21794871794872	chr3:125446666:-;chr3:125447713:-;chr3:125453852:-	distal	TRUE
SMC3	38.726459453477	8.09777286031885e-07	1.57906570776218e-05	0.347883597883598	0.503333333333333	-0.155449735449735	chr10:110596542:+_vs_chr10:110604634:+	-0.326984126984127	chr10:110581995:+;chr10:110583443:+;chr10:110583890:+;chr10:110589685:+;chr10:110596542:+;chr10:110602069:+;chr10:110604634:+	proximal	TRUE
PSIP1	45.2506577140174	8.29201224221448e-07	1.59917378956994e-05	0.3996743996744	0.443376068376068	-0.0437016687016687	chr9:15474079:-_vs_chr9:15468650:-	-0.30952380952381	chr9:15464066:-;chr9:15464613:-;chr9:15466748:-;chr9:15468650:-;chr9:15469954:-;chr9:15472631:-;chr9:15474079:-;chr9:15474208:-;chr9:15486882:-;chr9:15490049:-	proximal	TRUE
PHF6	30.9502836169503	8.70785743354694e-07	1.66111845607336e-05	0.290598290598291	0.504504504504505	-0.213906213906214	chrX:134428529:+_vs_chrX:134428790:+	-0.659043659043659	chrX:134413556:+;chrX:134415115:+;chrX:134428529:+;chrX:134428790:+	proximal	TRUE
QDPR	27.7454683954988	9.44382844171866e-07	1.77930163409109e-05	0.415094339622642	0.82258064516129	-0.407486305538649	chr4:17486525:-_vs_chr4:17486398:-	-0.925136944613512	chr4:17486398:-;chr4:17486525:-;chr4:17486666:-	proximal	TRUE
MBD1	24.0207792207792	9.53016259855059e-07	1.77930163409109e-05	1	0.0476190476190476	0.952380952380952	chr18:50269031:-_vs_chr18:50268846:-	1.9047619047619	chr18:50268846:-;chr18:50269031:-	distal	TRUE
PWP1	27.6202162753887	1.00541703965715e-06	1.85737568905084e-05	0.513513513513514	0.166666666666667	0.346846846846847	chr12:107697588:+_vs_chr12:107713162:+	0.693693693693694	chr12:107697588:+;chr12:107712468:+;chr12:107713162:+	distal	TRUE
TOMM20	27.3557993730408	1.14752892710841e-06	2.09782631987006e-05	0.575757575757576	0.46551724137931	0.110240334378265	chr1:235111597:-_vs_chr1:235109341:-	0.989550679205852	chr1:235109341:-;chr1:235111597:-;chr1:235112027:-	distal	TRUE
LUC7L3	33.0100646227823	1.18882645327519e-06	2.15021501631699e-05	0.421686746987952	0.566964285714286	-0.145277538726334	chr17:50745898:+_vs_chr17:50746590:+	-0.503012048192771	chr17:50743777:+;chr17:50744801:+;chr17:50745898:+;chr17:50746590:+;chr17:50750555:+	proximal	TRUE
PTP4A1	27.2652285549424	1.20068986666134e-06	2.15021501631699e-05	0.221311475409836	0.111842105263158	0.109469370146678	chr6:63582427:+_vs_chr6:63583374:+	0.420405522001726	chr6:63581456:+;chr6:63582427:+;chr6:63583374:+	distal	TRUE
