gene_id	chisq	pvalue	adj_pvalue	PgG2M	oRG	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
UBE2S	40.5468132713336	1.91961356330477e-10	2.19092636621937e-08	1	0.704081632653061	-0.295918367346939	chr19:55401470:-_vs_chr19:55401283:-	-0.591836734693878	chr19:55401283:-;chr19:55401470:-	proximal	TRUE
CENPV	40.4388818705674	2.0286355242772e-10	2.19092636621937e-08	0.694444444444444	0.978723404255319	0.284278959810875	chr17:16348150:-_vs_chr17:16342537:-	0.568557919621749	chr17:16342537:-;chr17:16348150:-	distal	TRUE
PAFAH1B1	47.3225509571418	2.96766884177497e-10	2.90030277699592e-08	0.488095238095238	0.618357487922705	0.130262249827467	chr17:2672918:+_vs_chr17:2682463:+	0.827639751552795	chr17:2667027:+;chr17:2672918:+;chr17:2681910:+;chr17:2682463:+	distal	TRUE
SAP30BP	43.7676923076923	3.13304312329806e-10	2.90030277699592e-08	0.06	0.753846153846154	0.693846153846154	chr17:75702546:+_vs_chr17:75706757:+	1.38769230769231	chr17:75702546:+;chr17:75704814:+;chr17:75706757:+	distal	TRUE
MAP1B	64.0348124538477	6.19813041280863e-10	5.12877879422886e-08	0.283916083916084	0.265430016863406	-0.0184860670526775	chr5:72195109:+_vs_chr5:72195578:+	-0.212537883701459	chr5:72194957:+;chr5:72195109:+;chr5:72195305:+;chr5:72195449:+;chr5:72195578:+;chr5:72195685:+;chr5:72205642:+;chr5:72205875:+;chr5:72207044:+;chr5:72209111:+;chr5:72209565:+	proximal	TRUE
TOP2A	68.4151992455478	6.33182567188748e-10	5.12877879422886e-08	0.506410256410256	0.468614718614719	-0.037795537795538	chr17:40407613:-_vs_chr17:40398613:-	-0.236363636363636	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398613:-;chr17:40398773:-;chr17:40398903:-;chr17:40399966:-;chr17:40400281:-;chr17:40407613:-;chr17:40411173:-;chr17:40413206:-;chr17:40416033:-;chr17:40416855:-	proximal	TRUE
SF3B2	42.1809826670394	6.926534364564e-10	5.28046384498526e-08	0.267857142857143	0.623287671232877	0.355430528375734	chr11:66054327:+_vs_chr11:66068892:+	0.710861056751468	chr11:66054327:+;chr11:66058867:+;chr11:66068892:+	distal	TRUE
FLOT1	37.0066424976048	1.17727499861611e-09	8.47637999003598e-08	0.390243902439024	0.0241935483870968	-0.366050354051928	chr6:30727830:-_vs_chr6:30727713:-	-0.732100708103855	chr6:30727713:-;chr6:30727830:-	proximal	TRUE
MPDZ	36.5643653731889	1.47707393866121e-09	1.00751990763417e-07	0.0769230769230769	1	0.923076923076923	chr9:13217225:-_vs_chr9:13196181:-	1.84615384615385	chr9:13196181:-;chr9:13217225:-	distal	TRUE
AZIN2	36.1	1.87446845040654e-09	1.21465555586344e-07	0	1	1	chr1:33120394:+_vs_chr1:33120526:+	2	chr1:33120394:+;chr1:33120526:+	distal	TRUE
RAB7A	40.8631346578367	6.99120052598859e-09	4.31456946746724e-07	0.333333333333333	0.662251655629139	0.328918322295806	chr3:128814099:+_vs_chr3:128814797:+	1.15894039735099	chr3:128813513:+;chr3:128814099:+;chr3:128814390:+;chr3:128814797:+	distal	TRUE
WDR75	31.7960201787452	1.7124327241252e-08	1.00877855021193e-06	1	0	-1	chr2:189475259:+_vs_chr2:189475378:+	-2	chr2:189475259:+;chr2:189475378:+	proximal	TRUE
FTSJ1	31.4415074380165	2.05539646715213e-08	1.15817122670833e-06	1	0	-1	chrX:48486299:+_vs_chrX:48486345:+	-2	chrX:48486299:+;chrX:48486345:+	proximal	TRUE
DYNC1I2	34.7669659536039	2.82129998735265e-08	1.52350199317043e-06	0.256410256410256	0.712264150943396	0.45585389453314	chr2:171725691:+_vs_chr2:171748411:+	0.911707789066279	chr2:171725691:+;chr2:171725949:+;chr2:171748411:+	distal	TRUE
TCP1	34.0544140200078	4.02882082524572e-08	2.08854071580738e-06	0.739583333333333	0.476	-0.263583333333333	chr6:159778952:-_vs_chr6:159778498:-	-0.699333333333333	chr6:159778498:-;chr6:159778952:-;chr6:159784002:-	proximal	TRUE
CANX	46.6214144012649	6.61607346513633e-08	3.29785815800642e-06	0.389355742296919	0.461501210653753	0.0721454683568342	chr5:179724793:+_vs_chr5:179728862:+	0.433831837819874	chr5:179709995:+;chr5:179710047:+;chr5:179724712:+;chr5:179724793:+;chr5:179728862:+;chr5:179729260:+;chr5:179730656:+;chr5:179730908:+	distal	TRUE
SENP7	32.9158936301793	7.11876267600875e-08	3.4170060844842e-06	0.433333333333333	0.285714285714286	-0.147619047619048	chr3:101372060:-_vs_chr3:101370351:-	-1.24761904761905	chr3:101366661:-;chr3:101370351:-;chr3:101372060:-	proximal	TRUE
CCNI	36.0181422670943	7.42252956252054e-08	3.43557082608094e-06	0.614035087719298	0.602649006622517	-0.0113860810967816	chr4:77048307:-_vs_chr4:77048082:-	0.575636110142907	chr4:77047155:-;chr4:77047509:-;chr4:77048082:-;chr4:77048307:-	distal	TRUE
MKI67	43.8319105993291	7.98166882268389e-08	3.56698027386149e-06	0.503992015968064	0.487179487179487	-0.0168125287885766	chr10:128111953:-_vs_chr10:128109150:-	0.348871487793644	chr10:128101604:-;chr10:128109018:-;chr10:128109150:-;chr10:128111953:-;chr10:128115328:-;chr10:128115641:-;chr10:128119264:-	distal	TRUE
RBBP4	28.671331799591	8.57640171805873e-08	3.70500554220137e-06	0.466666666666667	0.938650306748466	0.4719836400818	chr1:32680505:+_vs_chr1:32680653:+	0.943967280163599	chr1:32680505:+;chr1:32680653:+	distal	TRUE
GLE1	28.125	1.13727256569797e-07	4.64663991396772e-06	0	1	1	chr9:128541427:+_vs_chr9:128542288:+	2	chr9:128541427:+;chr9:128542288:+	distal	TRUE
SUMO3	28.1079792989885	1.14731849727598e-07	4.64663991396772e-06	0.333333333333333	0.908256880733945	0.574923547400612	chr21:44805862:-_vs_chr21:44805624:-	1.14984709480122	chr21:44805624:-;chr21:44805862:-	distal	TRUE
PAX6	30.965952034191	1.88724790671104e-07	7.41173723362881e-06	0.74468085106383	0.795454545454546	0.0507736943907157	chr11:31793214:-_vs_chr11:31789837:-	0.520502901353965	chr11:31789837:-;chr11:31793214:-;chr11:31793758:-	distal	TRUE
ING5	27.0291794506538	2.00407225947199e-07	7.62342113973818e-06	0	1	1	chr2:241698603:+_vs_chr2:241712056:+	2	chr2:241698603:+;chr2:241712056:+	distal	TRUE
GMPS	30.7919502719503	2.05879428928114e-07	7.62342113973818e-06	0.384615384615385	0.375	-0.00961538461538464	chr3:155914547:+_vs_chr3:155916043:+	-1.12179487179487	chr3:155914547:+;chr3:155916043:+;chr3:155937713:+	proximal	TRUE
FAM13B	30.5341910150094	2.34198800495798e-07	8.43115681784874e-06	0.944444444444444	0.239130434782609	-0.705314009661836	chr5:138020228:-_vs_chr5:137948988:-	-1.41062801932367	chr5:137948988:-;chr5:137953380:-;chr5:138020228:-	proximal	TRUE
SGO1	29.8115942028986	3.36120166862486e-07	1.17732901690211e-05	0.5	0.5	0	chr3:20176737:-_vs_chr3:20174640:-	1.43478260869565	chr3:20170488:-;chr3:20174640:-;chr3:20176737:-	distal	TRUE
PRMT2	32.6398046398046	3.83629745008274e-07	1.2759288498031e-05	0.809523809523809	0.664335664335664	-0.145188145188145	chr21:46659537:+_vs_chr21:46660144:+	-0.739260739260739	chr21:46659140:+;chr21:46659537:+;chr21:46660144:+;chr21:46664941:+	proximal	TRUE
EMC8	29.5454545454545	3.83960070542598e-07	1.2759288498031e-05	0	0.6	0.6	chr16:85779403:-_vs_chr16:85778629:-	1.2	chr16:85778629:-;chr16:85779314:-;chr16:85779403:-	distal	TRUE
CENPU	29.4313179817382	4.06509315903616e-07	1.31709018352772e-05	0.235294117647059	0.857142857142857	0.621848739495798	chr4:184717150:-_vs_chr4:184695002:-	1.2436974789916	chr4:184695002:-;chr4:184697770:-;chr4:184717150:-	distal	TRUE
TSPAN6	24.305487842131	8.22045259155273e-07	2.59846501430545e-05	0.25	0.878787878787879	0.628787878787879	chrX:100629692:-_vs_chrX:100629025:-	1.25757575757576	chrX:100629025:-;chrX:100629692:-	distal	TRUE
PPP4R3B	27.9549114331723	8.50487845186809e-07	2.6243624937193e-05	1	0.456521739130435	-0.543478260869565	chr2:55574232:-_vs_chr2:55564416:-	-1.19565217391304	chr2:55564416:-;chr2:55574232:-;chr2:55613997:-	proximal	TRUE
HSP90B1	36.1069924146202	9.04134808000077e-07	2.72502025853047e-05	0.571428571428571	0.61651376146789	0.0450851900393185	chr12:103937748:+_vs_chr12:103947422:+	0.494626474442988	chr12:103932415:+;chr12:103937748:+;chr12:103942764:+;chr12:103946640:+;chr12:103947422:+;chr12:103947926:+	distal	TRUE
TAOK3	27.5	1.06770401003478e-06	3.09267169124275e-05	0.75	0.25	-0.5	chr12:118172628:-_vs_chr12:118150591:-	-1.25	chr12:118150591:-;chr12:118172628:-;chr12:118177204:-	proximal	TRUE
UBE2D1	27.4821070234114	1.07729906850281e-06	3.09267169124275e-05	0.782608695652174	0.314285714285714	-0.46832298136646	chr10:58368016:+_vs_chr10:58369625:+	-0.936645962732919	chr10:58368016:+;chr10:58369596:+;chr10:58369625:+	proximal	TRUE
NADK	23.7486778846154	1.09770754473122e-06	3.09267169124275e-05	1	0.133333333333333	-0.866666666666667	chr1:1752515:-_vs_chr1:1751235:-	-1.73333333333333	chr1:1751235:-;chr1:1752515:-	proximal	TRUE
EGR1	29.8890541664788	1.45624041477073e-06	4.01550548413377e-05	0.467948717948718	0.331187410586552	-0.136761307362166	chr5:138468602:+_vs_chr5:138469300:+	-0.496120831957742	chr5:138468120:+;chr5:138468602:+;chr5:138469034:+;chr5:138469300:+	proximal	TRUE
ACIN1	29.7273081451281	1.57488758607318e-06	4.25219648239759e-05	0.782051282051282	0.602446483180428	-0.179604798870854	chr14:23080360:-_vs_chr14:23061315:-	-0.76393789696542	chr14:23058564:-;chr14:23061315:-;chr14:23063437:-;chr14:23080360:-	proximal	TRUE
MAP2	34.5457158783246	1.85372774438716e-06	4.90292072801176e-05	0.607142857142857	0.552380952380952	-0.0547619047619047	chr2:209729898:+_vs_chr2:209730502:+	0.723809523809524	chr2:209580099:+;chr2:209683159:+;chr2:209692830:+;chr2:209725730:+;chr2:209729898:+;chr2:209730502:+	distal	TRUE
CDKN1B	22.6556308608347	1.93791462377472e-06	5.02307470482408e-05	0.5	0.893203883495146	0.393203883495146	chr12:12718845:+_vs_chr12:12722369:+	0.786407766990291	chr12:12718845:+;chr12:12722369:+	distal	TRUE
UBXN4	25.9336322372752	2.33659429408994e-06	5.83178300749711e-05	0.0789473684210526	0.530612244897959	0.451664876476906	chr2:135769811:+_vs_chr2:135770658:+	1.07196562835661	chr2:135769811:+;chr2:135770658:+;chr2:135782799:+	distal	TRUE
ZBED5	25.9307936730123	2.33991293510686e-06	5.83178300749711e-05	0.53125	0.3	-0.23125	chr11:10854619:-_vs_chr11:10852879:-	-1.09107142857143	chr11:10852797:-;chr11:10852879:-;chr11:10854619:-	proximal	TRUE
MFAP4	22.2547846889952	2.38763081682769e-06	5.83843309171451e-05	0.0526315789473684	1	0.947368421052632	chr17:19383662:-_vs_chr17:19383459:-	1.89473684210526	chr17:19383459:-;chr17:19383662:-	distal	TRUE
ELOVL6	31.4797008547009	2.44355088119404e-06	5.86452211486569e-05	1	0.407051282051282	-0.592948717948718	chr4:110051275:-_vs_chr4:110049403:-	-1.17948717948718	chr4:110049403:-;chr4:110049584:-;chr4:110050454:-;chr4:110050867:-;chr4:110051275:-	proximal	TRUE
PIK3R2	22.1318735827664	2.54548085554231e-06	5.9980785250597e-05	0	1	1	chr19:18168509:+_vs_chr19:18170229:+	2	chr19:18168509:+;chr19:18170229:+	distal	TRUE
SDCCAG8	22.0349498327759	2.67730709842159e-06	6.16436858716379e-05	1	0.130434782608696	-0.869565217391304	chr1:243305712:+_vs_chr1:243426489:+	-1.73913043478261	chr1:243305712:+;chr1:243426489:+	proximal	TRUE
CCP110	21.9796650717703	2.75554570765915e-06	6.16436858716379e-05	1	0.05	-0.95	chr16:19540701:+_vs_chr16:19540786:+	-1.9	chr16:19540701:+;chr16:19540786:+	proximal	TRUE
SCRN1	25.6014692378329	2.75874520104552e-06	6.16436858716379e-05	1	0.549586776859504	-0.450413223140496	chr7:29923016:-_vs_chr7:29920259:-	-1.13223140495868	chr7:29920259:-;chr7:29923016:-;chr7:29923891:-	proximal	TRUE
TPM4	25.5419701741635	2.8420495683443e-06	6.2428749840241e-05	0.678571428571429	0.455555555555555	-0.223015873015873	chr19:16102357:+_vs_chr19:16103005:+	-0.726984126984127	chr19:16102197:+;chr19:16102357:+;chr19:16103005:+	proximal	TRUE
NCAM1	28.4625	2.90434664674802e-06	6.27338875697572e-05	0.666666666666667	0.409090909090909	-0.257575757575758	chr11:113275423:+_vs_chr11:113275701:+	-1.13636363636364	chr11:113275423:+;chr11:113275627:+;chr11:113275701:+;chr11:113276748:+	proximal	TRUE
UBE3A	25.4032258064516	3.04620835433437e-06	6.47194430691368e-05	0.5	0.516129032258065	0.0161290322580645	chr15:25370920:-_vs_chr15:25337247:-	1.2258064516129	chr15:25337247:-;chr15:25370920:-;chr15:25375498:-	distal	TRUE
WDR77	21.5884057971015	3.3788822530514e-06	7.06295387089453e-05	0	0.789473684210526	0.789473684210526	chr1:111440952:-_vs_chr1:111440257:-	1.57894736842105	chr1:111440257:-;chr1:111440952:-	distal	TRUE
NTMT1	21.3639148841355	3.7985370798261e-06	7.81413342135654e-05	0.916666666666667	0	-0.916666666666667	chr9:129635599:+_vs_chr9:129636099:+	-1.83333333333333	chr9:129635599:+;chr9:129636099:+	proximal	TRUE
YWHAZ	35.1268819643333	4.07230147518406e-06	8.24641048724772e-05	0.60536398467433	0.556518151815181	-0.048845832859148	chr8:100919924:-_vs_chr8:100919541:-	-0.179469671105042	chr8:100918576:-;chr8:100918727:-;chr8:100919541:-;chr8:100919700:-;chr8:100919924:-;chr8:100919980:-;chr8:100920359:-	proximal	FALSE
ASTN1	21.1062679203913	4.34504575004365e-06	8.66335275701011e-05	1	0	-1	chr1:176913152:-_vs_chr1:176868813:-	-2	chr1:176868813:-;chr1:176913152:-	proximal	TRUE
PEA15	24.5214418579014	4.73409050510681e-06	9.29603226457338e-05	0.836363636363636	0.815664556962025	-0.0206990794016112	chr1:160214639:+_vs_chr1:160214819:+	-0.203279631760644	chr1:160214639:+;chr1:160214819:+;chr1:160215372:+	proximal	TRUE
SQLE	24.4759108734403	4.84310053118039e-06	9.36814669911908e-05	0.5	0.872549019607843	0.372549019607843	chr8:125003203:+_vs_chr8:125022272:+	0.745098039215686	chr8:125003203:+;chr8:125022164:+;chr8:125022272:+	distal	TRUE
ANKHD1	27.3646677146736	4.93688576945566e-06	9.40912346649197e-05	0.604166666666667	0.560846560846561	-0.0433201058201058	chr5:140496774:+_vs_chr5:140524215:+	-0.976190476190476	chr5:140472477:+;chr5:140496721:+;chr5:140496774:+;chr5:140524215:+	proximal	TRUE
RPL15	27.1274761715797	5.53596922889423e-06	0.000103970601372024	0.210401891252955	0.374807987711214	0.164406096458258	chr3:23919552:+_vs_chr3:23920847:+	0.334836748700853	chr3:23919552:+;chr3:23919783:+;chr3:23920772:+;chr3:23920847:+	distal	TRUE
HP1BP3	32.1235772669956	5.61569606176054e-06	0.000103970601372024	0.591780821917808	0.414666666666667	-0.177114155251142	chr1:20776600:-_vs_chr1:20767585:-	-0.476529680365297	chr1:20743210:-;chr1:20767585:-;chr1:20770933:-;chr1:20773587:-;chr1:20775320:-;chr1:20776600:-	proximal	TRUE
PHIP	29.5828786381931	5.950880648869e-06	0.000108624525646961	0.770833333333333	0.219653179190751	-0.551180154142582	chr6:78990885:-_vs_chr6:78945395:-	-0.928709055876686	chr6:78945395:-;chr6:78946763:-;chr6:78982887:-;chr6:78983035:-;chr6:78990885:-	proximal	TRUE
NFIX	23.8056680161943	6.77118798834453e-06	0.000121881383790202	0.25	0.451923076923077	0.201923076923077	chr19:13096969:+_vs_chr19:13098791:+	0.807692307692308	chr19:13094675:+;chr19:13096969:+;chr19:13098791:+	distal	TRUE
SCP2	26.5822464004642	7.20238799547596e-06	0.000127867052632012	0.372549019607843	0.828382838283828	0.455833818675985	chr1:52974795:+_vs_chr1:53051590:+	0.878858474082702	chr1:52974795:+;chr1:53051262:+;chr1:53051304:+;chr1:53051590:+	distal	TRUE
CNN3	31.4867019027952	7.50666352121086e-06	0.000131468053020125	0.764179104477612	0.643495145631068	-0.120683958846544	chr1:94901708:-_vs_chr1:94896957:-	-0.386581654832633	chr1:94896957:-;chr1:94897208:-;chr1:94897406:-;chr1:94897502:-;chr1:94897617:-;chr1:94901708:-	proximal	TRUE
EIF2AK1	26.4352821057342	7.73156604141913e-06	0.000133601461195723	0.484848484848485	0.465020576131687	-0.0198279087167976	chr7:6024756:-_vs_chr7:6023831:-	-0.791806958473625	chr7:6023831:-;chr7:6024756:-;chr7:6040917:-;chr7:6041141:-	proximal	TRUE
LRRC17	23.2211538461539	9.06964963956308e-06	0.000154661393853602	0.5	0.480769230769231	-0.0192307692307692	chr7:102934126:+_vs_chr7:102945044:+	-1.34615384615385	chr7:102934126:+;chr7:102945044:+;chr7:102945093:+	proximal	TRUE
VCAN	26.0218253968254	9.43757855210505e-06	0.000158845477967898	0.380952380952381	0.503086419753086	0.122134038800706	chr5:83537169:+_vs_chr5:83580635:+	0.977513227513227	chr5:83520452:+;chr5:83537169:+;chr5:83538176:+;chr5:83580635:+	distal	TRUE
CLIC4	19.2757562346059	1.13133801184037e-05	0.000185225230728866	0.9375	0.206896551724138	-0.730603448275862	chr1:24842021:+_vs_chr1:24844321:+	-1.46120689655172	chr1:24842021:+;chr1:24844321:+	proximal	TRUE
RPL3	19.2663174620952	1.13694488859803e-05	0.000185225230728866	0.919667590027701	0.969352446861097	0.0496848568333965	chr22:39312956:-_vs_chr22:39312884:-	0.0993697136667931	chr22:39312884:-;chr22:39312956:-	distal	FALSE
AKAP11	19.2555658627087	1.14336562178312e-05	0.000185225230728866	1	0.2	-0.8	chr13:42300372:+_vs_chr13:42301233:+	-1.6	chr13:42300372:+;chr13:42301233:+	proximal	TRUE
DEGS1	25.445166305736	1.2461045634329e-05	0.000199376730149264	0.592592592592593	0.517241379310345	-0.0753512132822478	chr1:224193160:+_vs_chr1:224193441:+	0.898467432950192	chr1:224192896:+;chr1:224193091:+;chr1:224193160:+;chr1:224193441:+	distal	TRUE
TMED4	22.4526847436585	1.33186883246109e-05	0.000210500244740192	0.5	0.210843373493976	-0.289156626506024	chr7:44579380:-_vs_chr7:44577894:-	-0.578313253012048	chr7:44577894:-;chr7:44578310:-;chr7:44579380:-	proximal	TRUE
SRSF10	27.7814296528277	1.38119420548167e-05	0.000215665986783644	0.307692307692308	0.450980392156863	0.143288084464555	chr1:23971360:-_vs_chr1:23970820:-	-0.512066365007541	chr1:23966445:-;chr1:23970528:-;chr1:23970820:-;chr1:23971360:-;chr1:23978115:-	proximal	TRUE
NAP1L1	27.4950152897596	1.57852665533528e-05	0.000243544112537444	0.578947368421053	0.472602739726027	-0.106344628695025	chr12:76047596:-_vs_chr12:76046174:-	-0.470800288392213	chr12:76046174:-;chr12:76047596:-;chr12:76049430:-;chr12:76049566:-;chr12:76056132:-	proximal	TRUE
MCL1	18.5779651618062	1.63094889389392e-05	0.000248671737233708	0.0967741935483871	0.596491228070175	0.499717034521788	chr1:150575962:-_vs_chr1:150574558:-	0.999434069043577	chr1:150574558:-;chr1:150575962:-	distal	TRUE
DDOST	18.2588315217391	1.92829829537324e-05	0.000290590068698107	0.291666666666667	0.797101449275362	0.505434782608696	chr1:20652186:-_vs_chr1:20651806:-	1.01086956521739	chr1:20651806:-;chr1:20652186:-	distal	TRUE
DHX15	18.2062610229277	1.98226120639166e-05	0.000295288565917654	0.375	0.888888888888889	0.513888888888889	chr4:24539851:-_vs_chr4:24527475:-	1.02777777777778	chr4:24527475:-;chr4:24539851:-	distal	TRUE
ADD1	17.8925811983674	2.33730461997782e-05	0.000344221225851279	0.903225806451613	0.439024390243902	-0.46420141620771	chr4:2926047:+_vs_chr4:2930062:+	-0.928402832415421	chr4:2926047:+;chr4:2930062:+	proximal	TRUE
SRSF3	26.524431593001	2.48016094893126e-05	0.000361156021327519	0.484732824427481	0.6075	0.122767175572519	chr6:36602293:+_vs_chr6:36602784:+	0.207430025445293	chr6:36600198:+;chr6:36602293:+;chr6:36602784:+;chr6:36602935:+;chr6:36603429:+	distal	TRUE
GPM6A	28.6706653542875	2.69045725700634e-05	0.000387425845008913	0.640816326530612	0.735074626865672	0.0942583003350593	chr4:175634820:-_vs_chr4:175633448:-	0.342826682911971	chr4:175632943:-;chr4:175633448:-;chr4:175634532:-;chr4:175634820:-;chr4:175640800:-;chr4:175805272:-	distal	TRUE
USP8	21	2.75364493497472e-05	0.00039216745447552	0.5	0.557142857142857	0.0571428571428572	chr15:50481780:+_vs_chr15:50481835:+	1.34285714285714	chr15:50481702:+;chr15:50481780:+;chr15:50481835:+	distal	TRUE
NR2E1	17.5232758399425	2.83811849243061e-05	0.000399804518064139	0.55	0.945945945945946	0.395945945945946	chr6:108188237:+_vs_chr6:108188790:+	0.791891891891892	chr6:108188237:+;chr6:108188790:+	distal	TRUE
CCND2	32.7191181748018	2.98640060919394e-05	0.000416169375216704	0.368038740920097	0.404336734693878	0.0362979937737807	chr12:4300193:+_vs_chr12:4305353:+	0.290556900726392	chr12:4276581:+;chr12:4300193:+;chr12:4300282:+;chr12:4300462:+;chr12:4300989:+;chr12:4301290:+;chr12:4301558:+;chr12:4305353:+	distal	TRUE
MSH6	20.4048582995951	3.70801359900017e-05	0.000511232513223853	0	0.631578947368421	0.631578947368421	chr2:47791125:+_vs_chr2:47799618:+	1.26315789473684	chr2:47791125:+;chr2:47799618:+;chr2:47806950:+	distal	TRUE
H2AZ2	20.1715080784848	4.16689613168357e-05	0.000563155164517866	0.505494505494505	0.441860465116279	-0.0636340403782264	chr7:44834232:-_vs_chr7:44831571:-	-0.301303347814976	chr7:44831571:-;chr7:44834232:-;chr7:44834309:-	proximal	TRUE
HLA-A	16.7917075376268	4.17151973716937e-05	0.000563155164517866	0.772727272727273	0.294117647058824	-0.478609625668449	chr6:29945773:+_vs_chr6:29945837:+	-0.957219251336898	chr6:29945773:+;chr6:29945837:+	proximal	TRUE
ZBED1	22.8837277417923	4.27003805348394e-05	0.000570512300754143	0.716049382716049	0.32258064516129	-0.393468737554759	chrY:2488342:-_vs_chrY:2487541:-	-0.886499402628435	chrX:2487541:-;chrX:2488342:-;chrY:2487541:-;chrY:2488342:-	proximal	TRUE
KHDRBS1	25.3030429455696	4.37215040156514e-05	0.000578194583717185	0.443181818181818	0.679245283018868	0.23606346483705	chr1:32042631:+_vs_chr1:32043877:+	0.590051457975986	chr1:32042631:+;chr1:32042817:+;chr1:32042972:+;chr1:32043301:+;chr1:32043877:+	distal	TRUE
IPO5	22.6084033613445	4.87297870858052e-05	0.000637917212759631	0	0.561904761904762	0.561904761904762	chr13:98010203:+_vs_chr13:98015624:+	1.18571428571429	chr13:98010203:+;chr13:98015624:+;chr13:98022484:+;chr13:98023078:+	distal	TRUE
EMP2	19.8	5.01746820561754e-05	0.000650263879448033	1	0.385714285714286	-0.614285714285714	chr16:10531326:-_vs_chr16:10528577:-	-1.22857142857143	chr16:10528577:-;chr16:10529074:-;chr16:10531326:-	proximal	TRUE
PTTG1IP	19.6996753246753	5.27557565665974e-05	0.000676945153567428	0.9375	0.522727272727273	-0.414772727272727	chr21:44850621:-_vs_chr21:44849585:-	-1.09659090909091	chr21:44849585:-;chr21:44850621:-;chr21:44851588:-	proximal	TRUE
FBXO5	16.2834813980647	5.45373146684976e-05	0.000692944704023264	0.837837837837838	0.388888888888889	-0.448948948948949	chr6:152971182:-_vs_chr6:152970535:-	-0.897897897897898	chr6:152970535:-;chr6:152971182:-	proximal	TRUE
DSTN	26.8732013072533	6.03787643145693e-05	0.000759717267492057	0.125	0.569879518072289	0.444879518072289	chr20:17604624:+_vs_chr20:17608000:+	0.890060240963855	chr20:17601010:+;chr20:17604624:+;chr20:17607210:+;chr20:17607358:+;chr20:17608000:+;chr20:17608242:+	distal	TRUE
STX7	15.9045972167937	6.66167097764625e-05	0.000830146691060533	0	0.465116279069767	0.465116279069767	chr6:132459513:-_vs_chr6:132457915:-	0.930232558139535	chr6:132457915:-;chr6:132459513:-	distal	TRUE
SUGP2	15.88125	6.7443588043077e-05	0.000832446572417407	0.166666666666667	0.866666666666667	0.7	chr19:19025322:-_vs_chr19:18990893:-	1.4	chr19:18990893:-;chr19:19025322:-	distal	TRUE
RBM25	26.5117345399698	7.09885135548667e-05	0.000867935033651955	0.6	0.536	-0.0640000000000001	chr14:73111711:+_vs_chr14:73112194:+	0.53	chr14:73103245:+;chr14:73106259:+;chr14:73107849:+;chr14:73110926:+;chr14:73111711:+;chr14:73112194:+	distal	TRUE
