gene_id	chisq	pvalue	adj_pvalue	ExDp	ExM	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
NSG1	46.3066603070401	7.86577056112497e-09	1.27359935002215e-06	0.671428571428571	0.72468085106383	-0.0532522796352582	chr4:4418546:+_vs_chr4:4418690:+	-0.205080330004342	chr4:4417738:+;chr4:4418468:+;chr4:4418546:+;chr4:4418587:+;chr4:4418690:+;chr4:4419058:+	proximal	TRUE
FAM13A	40.274322169059	3.79829521968459e-08	5.67699047065166e-06	0.25	0.631578947368421	-0.381578947368421	chr4:88780451:-_vs_chr4:88731382:-	-1.50877192982456	chr4:88727059:-;chr4:88731382:-;chr4:88747716:-;chr4:88780451:-;chr4:88780656:-	proximal	TRUE
NCAM1	42.6787308474778	4.29262632723028e-08	5.95755210986317e-06	0.375115207373272	0.38361581920904	-0.00850061183576767	chr11:113275627:+_vs_chr11:113277084:+	-0.226991069801349	chr11:113214510:+;chr11:113275423:+;chr11:113275627:+;chr11:113275701:+;chr11:113276748:+;chr11:113277084:+	proximal	TRUE
MARCHF7	33.7628532556628	4.66111232553575e-08	6.03769416567731e-06	0.212765957446809	0.576530612244898	-0.36376465479809	chr2:159747856:+_vs_chr2:159768573:+	-0.727529309596179	chr2:159747856:+;chr2:159748898:+;chr2:159768573:+	proximal	TRUE
EEF1A1	44.1648714202416	6.85595017545687e-08	8.32569449432044e-06	0.972064008679143	0.979382511396602	-0.00731850271745893	chr6:73518513:-_vs_chr6:73517595:-	-0.0181283439951146	chr6:73517515:-;chr6:73517595:-;chr6:73517711:-;chr6:73518513:-;chr6:73519012:-;chr6:73519090:-;chr6:73519918:-	proximal	FALSE
ATRX	50.3473366760772	9.26763236937456e-08	1.05360563195801e-05	0.365209471766849	0.391091532060695	-0.0258820602938463	chrX:77683973:-_vs_chrX:77683930:-	0.2903517007294	chrX:77523285:-;chrX:77652233:-;chrX:77682921:-;chrX:77683759:-;chrX:77683930:-;chrX:77683973:-;chrX:77684266:-;chrX:77684359:-;chrX:77693854:-;chrX:77696615:-	distal	TRUE
SELENOT	28.4208921068427	9.76062860280191e-08	1.05360563195801e-05	0.516129032258065	0.0178571428571429	0.498271889400922	chr3:150628381:+_vs_chr3:150629795:+	0.996543778801843	chr3:150628381:+;chr3:150629795:+	distal	TRUE
GDI2	27.9670466878175	1.23399069972969e-07	1.26191785767095e-05	0.4	0.826923076923077	-0.426923076923077	chr10:5765913:-_vs_chr10:5765223:-	-0.853846153846154	chr10:5765223:-;chr10:5765913:-	proximal	TRUE
ANKLE2	31.2486215538847	1.63850603765298e-07	1.59180861557987e-05	0.45	0.380952380952381	0.069047619047619	chr12:132750822:-_vs_chr12:132727132:-	0.969047619047619	chr12:132725668:-;chr12:132727132:-;chr12:132750822:-	distal	TRUE
EIF1	33.908913423052	2.07087508546207e-07	1.85179983850907e-05	0.581424936386768	0.631313131313131	-0.049888194926363	chr17:41690999:+_vs_chr17:41691644:+	-0.29236062919269	chr17:41689941:+;chr17:41690999:+;chr17:41691644:+;chr17:41692668:+	proximal	TRUE
JAK1	26.9418104540387	2.09673682178072e-07	1.85179983850907e-05	0.923076923076923	0	0.923076923076923	chr1:64864911:-_vs_chr1:64833229:-	1.84615384615385	chr1:64833229:-;chr1:64864911:-	distal	TRUE
YWHAB	33.758190536417	2.22827235856908e-07	1.8824057359564e-05	0.727272727272727	0.700854700854701	0.0264180264180265	chr20:44908131:+_vs_chr20:44908400:+	-0.522610722610723	chr20:44905027:+;chr20:44908131:+;chr20:44908400:+;chr20:44908520:+	proximal	TRUE
USP48	38.9348262032086	2.44765882234051e-07	1.98158378825317e-05	0.405	0.480851063829787	-0.0758510638297873	chr1:21706528:-_vs_chr1:21678910:-	-0.559042553191489	chr1:21678910:-;chr1:21706528:-;chr1:21721037:-;chr1:21728622:-;chr1:21747129:-;chr1:21756547:-	proximal	TRUE
PAICS	29.155025296383	4.66731053290527e-07	3.62743374617397e-05	0.368421052631579	0.841463414634146	-0.473042362002567	chr4:56450674:+_vs_chr4:56459648:+	-0.946084724005135	chr4:56450674:+;chr4:56459542:+;chr4:56459648:+	proximal	TRUE
NEUROD6	43.9814644163141	5.73564823623372e-07	4.28629404730851e-05	0.537162162162162	0.542502951593861	-0.00534078943169858	chr7:31337925:-_vs_chr7:31337465:-	-0.230454066817703	chr7:31337465:-;chr7:31337811:-;chr7:31337860:-;chr7:31337925:-;chr7:31338080:-;chr7:31338259:-;chr7:31338418:-;chr7:31338912:-;chr7:31339095:-	proximal	TRUE
CCT8	28.6333221078711	6.05833249892695e-07	4.35975557237595e-05	0.761682242990654	0.794871794871795	-0.0331895518811408	chr21:29063484:-_vs_chr21:29061272:-	-0.318116462976276	chr21:29056326:-;chr21:29061272:-;chr21:29063484:-	proximal	TRUE
HSPH1	31.6055287244401	6.33737763515767e-07	4.39768740896834e-05	0.571428571428571	0.215189873417722	0.35623869801085	chr13:31143809:-_vs_chr13:31141219:-	0.759855334538879	chr13:31138412:-;chr13:31140273:-;chr13:31141219:-;chr13:31143809:-	distal	TRUE
RPL15	34.008434166501	7.42226732987985e-07	4.9729191110195e-05	0.556069958847737	0.518223637650389	0.0378463211973474	chr3:23919552:+_vs_chr3:23920772:+	0.197648816544783	chr3:23919552:+;chr3:23919783:+;chr3:23920585:+;chr3:23920772:+;chr3:23920847:+	distal	FALSE
MAPRE2	24.2085119494159	8.64493625003502e-07	5.35267685844203e-05	0.548387096774194	0.0232558139534884	0.525131282820705	chr18:35141860:+_vs_chr18:35143099:+	1.05026256564141	chr18:35141860:+;chr18:35143099:+	distal	TRUE
KLC1	30.9281327110073	8.80187186844284e-07	5.35267685844203e-05	0.26797385620915	0.36046511627907	-0.0924912600699194	chr14:103675587:+_vs_chr14:103686225:+	-0.189101687186503	chr14:103675587:+;chr14:103685912:+;chr14:103686225:+;chr14:103701544:+	proximal	FALSE
DAB1	36.1618933546269	8.81552544879799e-07	5.35267685844203e-05	0.408333333333333	0.461764705882353	-0.0534313725490196	chr1:56997446:-_vs_chr1:56997237:-	0.740196078431373	chr1:56994780:-;chr1:56996614:-;chr1:56997237:-;chr1:56997446:-;chr1:56997841:-;chr1:57144009:-	distal	TRUE
SEC62	33.5442572406989	9.24052269616895e-07	5.44070775716857e-05	0.50625	0.503424657534247	0.00282534246575339	chr3:169982785:+_vs_chr3:169992967:+	0.617465753424657	chr3:169982743:+;chr3:169982785:+;chr3:169982895:+;chr3:169992967:+;chr3:169994158:+	distal	TRUE
RB1CC1	38.1157240856626	1.06633362419697e-06	6.09378303474915e-05	0.276923076923077	0.432291666666667	-0.15536858974359	chr8:52657243:-_vs_chr8:52657181:-	-0.410897435897436	chr8:52642537:-;chr8:52642766:-;chr8:52656995:-;chr8:52657181:-;chr8:52657243:-;chr8:52657292:-;chr8:52661118:-	proximal	TRUE
FAM98B	27.3278236914601	1.16369316689277e-06	6.46015949506472e-05	0	0.568181818181818	-0.568181818181818	chr15:38470284:+_vs_chr15:38484919:+	-1.13636363636364	chr15:38470284:+;chr15:38484662:+;chr15:38484919:+	proximal	TRUE
ZNF146	27.1321008403361	1.28333240697827e-06	6.77915866053566e-05	0.297619047619048	0.588888888888889	-0.291269841269841	chr19:36237463:+_vs_chr19:36237643:+	-0.693650793650794	chr19:36237463:+;chr19:36237643:+;chr19:36237912:+	proximal	TRUE
PPP2R5E	32.8352513227513	1.29093602902635e-06	6.77915866053566e-05	0.547619047619048	0.398148148148148	0.149470899470899	chr14:63376081:-_vs_chr14:63374241:-	0.611992945326279	chr14:63374241:-;chr14:63374685:-;chr14:63375842:-;chr14:63376081:-;chr14:63391820:-	distal	TRUE
GFOD2	26.9709194564834	1.39103883278481e-06	7.11260118973915e-05	0.66	0.833333333333333	-0.173333333333333	chr16:67680743:-_vs_chr16:67674538:-	-0.846190476190476	chr16:67674538:-;chr16:67680743:-;chr16:67682964:-	proximal	TRUE
FUS	26.6660971663347	1.62005803843491e-06	8.07121222738212e-05	0.4725	0.488029465930018	-0.0155294659300185	chr16:31186135:+_vs_chr16:31191605:+	-0.201869244935543	chr16:31186135:+;chr16:31191605:+;chr16:31191779:+	proximal	TRUE
ATCAY	26.504458775397	1.75642618910345e-06	8.4860037045225e-05	0.684210526315789	0.348484848484849	0.335725677830941	chr19:3926156:+_vs_chr19:3926326:+	0.74481658692185	chr19:3925857:+;chr19:3926156:+;chr19:3926326:+	distal	TRUE
TP53I11	22.8074900793651	1.79066470347618e-06	8.4860037045225e-05	1	0.6	0.4	chr11:44934571:-_vs_chr11:44932351:-	0.8	chr11:44932351:-;chr11:44934571:-	distal	TRUE
HNRNPC	29.3998381510259	1.84544743978055e-06	8.53739137022286e-05	0.5	0.394557823129252	0.105442176870748	chr14:21210937:-_vs_chr14:21210567:-	0.355961331901182	chr14:21210567:-;chr14:21210937:-;chr14:21211494:-;chr14:21211868:-	distal	TRUE
DHRS1	22.3774636499337	2.23986956122714e-06	0.000101210850173589	0.125	1	-0.875	chr14:24294993:-_vs_chr14:24290598:-	-1.75	chr14:24290598:-;chr14:24294993:-	proximal	TRUE
MAPT	28.5813661959629	2.74210655381921e-06	0.000121088932592516	0.517647058823529	0.575601374570447	-0.0579543157469173	chr17:46018729:+_vs_chr17:46024431:+	-0.444875682231656	chr17:45988629:+;chr17:46018729:+;chr17:46024431:+;chr17:46028334:+	proximal	TRUE
CPE	25.2125439607746	3.35093220600766e-06	0.000144685806139397	0.883177570093458	0.686915887850467	0.196261682242991	chr4:165497756:+_vs_chr4:165498177:+	0.588785046728972	chr4:165495647:+;chr4:165497756:+;chr4:165498177:+	distal	TRUE
CCNT2	25.0777173913043	3.5846178172869e-06	0.000151411139543227	0.557692307692308	0.548076923076923	0.00961538461538458	chr2:134954039:+_vs_chr2:134955113:+	0.903846153846154	chr2:134953905:+;chr2:134954039:+;chr2:134955113:+	distal	TRUE
RBM22	24.9219025597495	3.87505275958542e-06	0.000160168298828115	0.397058823529412	0.679347826086957	-0.282289002557545	chr5:150691134:-_vs_chr5:150690792:-	-0.843350383631714	chr5:150690792:-;chr5:150691134:-;chr5:150693280:-	proximal	TRUE
RALBP1	27.8227744477744	3.95680820573831e-06	0.000160168298828115	0.711111111111111	0.371794871794872	0.339316239316239	chr18:9517035:+_vs_chr18:9517112:+	1.08974358974359	chr18:9513278:+;chr18:9517035:+;chr18:9517112:+;chr18:9522465:+	distal	TRUE
SSBP2	21.132599489021	4.2857501649894e-06	0.000167989746949841	0.208955223880597	0.0412371134020619	0.167718110478535	chr5:81419932:-_vs_chr5:81419869:-	0.33543622095707	chr5:81419869:-;chr5:81419932:-	distal	TRUE
SMARCA5	32.6967211040276	4.32294768270307e-06	0.000167989746949841	0.621052631578947	0.381021897810219	0.240030733768728	chr4:143543538:+_vs_chr4:143550064:+	0.537840952746831	chr4:143528017:+;chr4:143543538:+;chr4:143543971:+;chr4:143544781:+;chr4:143548058:+;chr4:143550064:+	distal	TRUE
OS9	24.5614862271937	4.6402462890561e-06	0.000176784285090902	0.465116279069767	0.797872340425532	-0.332756061355764	chr12:57719089:+_vs_chr12:57721557:+	-0.665512122711529	chr12:57719089:+;chr12:57719138:+;chr12:57721557:+	proximal	TRUE
TMEM30A	20.787969924812	5.13042216253783e-06	0.000191700197342519	0.333333333333333	0.962962962962963	-0.62962962962963	chr6:75253626:-_vs_chr6:75252924:-	-1.25925925925926	chr6:75252924:-;chr6:75253626:-	proximal	TRUE
CTNNBIP1	20.6569937230381	5.49361515106362e-06	0.000198717168474961	0.125	0.804347826086957	-0.679347826086957	chr1:9850160:-_vs_chr1:9848302:-	-1.35869565217391	chr1:9848302:-;chr1:9850160:-	proximal	TRUE
UBE2D2	24.1914850253009	5.58323325694922e-06	0.000198717168474961	0.475	0.5	-0.025	chr5:139627692:+_vs_chr5:139628434:+	-0.657006369426752	chr5:139626853:+;chr5:139627692:+;chr5:139628434:+	proximal	TRUE
RWDD1	24.1765665445665	5.62503564905962e-06	0.000198717168474961	0.5	0.661538461538462	-0.161538461538462	chr6:116590362:+_vs_chr6:116593275:+	-0.856410256410256	chr6:116588964:+;chr6:116590362:+;chr6:116593275:+	proximal	TRUE
ERGIC3	20.3578691519105	6.42284128986255e-06	0.000222849654039338	0.804597701149425	0.972972972972973	-0.168375271823548	chr20:35557481:+_vs_chr20:35557634:+	-0.336750543647095	chr20:35557481:+;chr20:35557634:+	proximal	TRUE
EIF4G2	28.7135066159673	8.93800653965371e-06	0.000304676258009599	0.819642857142857	0.683046683046683	0.136596174096174	chr11:10800495:-_vs_chr11:10797054:-	0.255107055107055	chr11:10797054:-;chr11:10799620:-;chr11:10800099:-;chr11:10800495:-;chr11:10801047:-	distal	TRUE
MKRN2	19.6794345238095	9.15816751646291e-06	0.000306798611801508	0.944444444444444	0.275	0.669444444444444	chr3:12583355:+_vs_chr3:12583713:+	1.33888888888889	chr3:12583355:+;chr3:12583713:+	distal	TRUE
CBWD2	25.8857575757576	1.00773853707483e-05	0.000331870504667186	0.64	0.5	0.14	chr2:113495801:+_vs_chr2:113496168:+	0.86	chr2:113462459:+;chr2:113465151:+;chr2:113495801:+;chr2:113496168:+	distal	TRUE
ZFR	28.227783839486	1.12147845150329e-05	0.000363172105211815	0.450892857142857	0.541666666666667	-0.0907738095238095	chr5:32404030:-_vs_chr5:32395232:-	-0.494047619047619	chr5:32388486:-;chr5:32395232:-;chr5:32397219:-;chr5:32404030:-;chr5:32406855:-	proximal	TRUE
RBBP4	25.6139919960474	1.14876007043152e-05	0.000365908330630894	0.449275362318841	0.312	0.137275362318841	chr1:32680653:+_vs_chr1:32686211:+	0.435130434782609	chr1:32680505:+;chr1:32680653:+;chr1:32682452:+;chr1:32686211:+	distal	TRUE
RFC2	19.1835252619566	1.18733705839831e-05	0.00036937441856294	0.970588235294118	0.5	0.470588235294118	chr7:74231847:-_vs_chr7:74231664:-	0.941176470588235	chr7:74231664:-;chr7:74231847:-	distal	TRUE
LDLRAD3	19.166996671258	1.19766280851597e-05	0.00036937441856294	0	1	-1	chr11:36099569:+_vs_chr11:36231324:+	-2	chr11:36099569:+;chr11:36231324:+	proximal	TRUE
AP3S1	22.5930560667403	1.24159573033525e-05	0.000376940703756466	0.529411764705882	0.835294117647059	-0.305882352941176	chr5:115913493:+_vs_chr5:115914081:+	-0.611764705882353	chr5:115913493:+;chr5:115913984:+;chr5:115914081:+	proximal	TRUE
SCAPER	25.3973715651135	1.27512740170052e-05	0.000381165006385246	0.325396825396825	0.428571428571429	-0.103174603174603	chr15:76765032:-_vs_chr15:76728627:-	0.595238095238095	chr15:76702949:-;chr15:76728627:-;chr15:76765032:-;chr15:76771799:-	distal	TRUE
CSNK2A1	25.2237328661233	1.38635593688362e-05	0.000408134785661345	0.376811594202899	0.333333333333333	0.0434782608695652	chr20:482694:-_vs_chr20:481112:-	-0.557859531772575	chr20:481112:-;chr20:482694:-;chr20:499900:-;chr20:505139:-	proximal	TRUE
SRRM2	25.1617230797679	1.42837946537472e-05	0.000414230044958668	0.411764705882353	0.193612774451098	0.218151931431255	chr16:2758536:+_vs_chr16:2771408:+	0.388605142655865	chr16:2758536:+;chr16:2759032:+;chr16:2760492:+;chr16:2771408:+	distal	TRUE
SRSF4	25.1281096712812	1.45168736819879e-05	0.000414798317119153	0.540540540540541	0.59882005899705	-0.0582795184565096	chr1:29149009:-_vs_chr1:29147837:-	-0.622339153312605	chr1:29147743:-;chr1:29147837:-;chr1:29149009:-;chr1:29149156:-	proximal	TRUE
RBM25	38.2773322914805	1.5543266510101e-05	0.000434223484037037	0.587172538392051	0.557950191570881	0.0292223468211694	chr14:73099688:+_vs_chr14:73110926:+	0.250350434538828	chr14:73096973:+;chr14:73099688:+;chr14:73101179:+;chr14:73106039:+;chr14:73106259:+;chr14:73107849:+;chr14:73110926:+;chr14:73111711:+;chr14:73112194:+;chr14:73120789:+	distal	TRUE
PDIA3	24.9728466558882	1.56436664346848e-05	0.000434223484037037	0.443223443223443	0.412628487518355	0.0305949557050879	chr15:43771182:+_vs_chr15:43771540:+	0.479837343273467	chr15:43769565:+;chr15:43771182:+;chr15:43771540:+;chr15:43772463:+	distal	TRUE
ELOB	18.5584730565317	1.64771175158047e-05	0.000450916046946598	0.21505376344086	0.0473933649289099	0.16766039851195	chr16:2771946:-_vs_chr16:2771414:-	0.3353207970239	chr16:2771414:-;chr16:2771946:-	distal	TRUE
KLHL7	21.7764452040885	1.8676909147608e-05	0.000499404755570917	0.522727272727273	0.791139240506329	-0.268411967779057	chr7:23174518:+_vs_chr7:23175421:+	-0.536823935558113	chr7:23174518:+;chr7:23175304:+;chr7:23175421:+	proximal	TRUE
BCL11A	21.7672453316481	1.87630196380221e-05	0.000499404755570917	0.828571428571429	0.722222222222222	0.106349206349206	chr2:60460412:-_vs_chr2:60460268:-	0.565079365079365	chr2:60452158:-;chr2:60460268:-;chr2:60460412:-	distal	TRUE
MLLT11	21.7313719859823	1.91026021687252e-05	0.000501572378565311	0.891752577319588	0.92263483642794	-0.0308822591083523	chr1:151068092:+_vs_chr1:151068494:+	-0.174528516867657	chr1:151067716:+;chr1:151068092:+;chr1:151068494:+	proximal	FALSE
TUSC3	21.6543780693233	1.98523328330335e-05	0.000511939858108212	0.691860465116279	0.463768115942029	0.22809234917425	chr8:15764486:+_vs_chr8:15764650:+	0.4561846983485	chr8:15764486:+;chr8:15764594:+;chr8:15764650:+	distal	TRUE
OGA	31.5165290049424	2.01950269493317e-05	0.000511939858108212	0.553763440860215	0.460559796437659	0.0932036444225561	chr10:101800363:-_vs_chr10:101799277:-	0.459738980546663	chr10:101784450:-;chr10:101786015:-;chr10:101799218:-;chr10:101799277:-;chr10:101800363:-;chr10:101803348:-;chr10:101811899:-	distal	TRUE
WASF1	24.4326481202543	2.02878893846281e-05	0.000511939858108212	0.838810641627543	0.821782178217822	0.0170284634097211	chr6:110100516:-_vs_chr6:110100191:-	-0.124366662018315	chr6:110099822:-;chr6:110100191:-;chr6:110100516:-;chr6:110107110:-	proximal	FALSE
FIP1L1	21.4331691036237	2.21741236160105e-05	0.000552363104947544	0.4375	0.625	-0.1875	chr4:53391134:+_vs_chr4:53459621:+	-1.03977272727273	chr4:53391134:+;chr4:53459621:+;chr4:53459652:+	proximal	TRUE
MEF2C	33.2833176905299	2.34448784417086e-05	0.000576625301420756	0.28110599078341	0.393313069908815	-0.112207079125404	chr5:88823843:-_vs_chr5:88721929:-	-0.306451612903226	chr5:88718241:-;chr5:88720825:-;chr5:88721653:-;chr5:88721929:-;chr5:88721967:-;chr5:88731797:-;chr5:88803551:-;chr5:88823843:-	proximal	TRUE
NFYC	17.8263245884774	2.42011724492442e-05	0.000587785975861017	0.547619047619048	0.920634920634921	-0.373015873015873	chr1:40771107:+_vs_chr1:40771603:+	-0.746031746031746	chr1:40771107:+;chr1:40771603:+	proximal	TRUE
CCDC144B	17.648387244152	2.65740513267255e-05	0.000637449157133675	1	0.2	0.8	chr17:18587719:-_vs_chr17:18554000:-	1.6	chr17:18554000:-;chr17:18587719:-	distal	TRUE
TUBGCP3	21.0139638626481	2.73448613568673e-05	0.000647939824590161	0.194444444444444	0.789473684210526	-0.595029239766082	chr13:112554113:-_vs_chr13:112485011:-	-1.19005847953216	chr13:112485011:-;chr13:112485040:-;chr13:112554113:-	proximal	TRUE
STMN2	32.5120677129546	3.26322820985676e-05	0.000763909929126709	0.757983193277311	0.744526202440775	0.0134569908365357	chr8:79665848:+_vs_chr8:79666162:+	-0.110641442506651	chr8:79641535:+;chr8:79655010:+;chr8:79665047:+;chr8:79665262:+;chr8:79665603:+;chr8:79665848:+;chr8:79665927:+;chr8:79666162:+	proximal	FALSE
NEXMIF	17.2040413533835	3.35721403209207e-05	0.000771212262752646	0	0.777777777777778	-0.777777777777778	chrX:74743405:-_vs_chrX:74742967:-	-1.55555555555556	chrX:74742967:-;chrX:74743405:-	proximal	TRUE
NREP	25.8443430784755	3.40156823154577e-05	0.000771212262752646	0.478321033210332	0.57875605815832	-0.100435024947988	chr5:111730035:-_vs_chr5:111729303:-	-0.176743229467836	chr5:111729303:-;chr5:111729731:-;chr5:111729843:-;chr5:111729940:-;chr5:111730035:-	proximal	FALSE
SEPTIN11	25.815859548398	3.44682961231264e-05	0.000771212262752646	0.30188679245283	0.23359375	0.0682930424528302	chr4:77030836:+_vs_chr4:77030970:+	0.255149371069182	chr4:77028696:+;chr4:77030836:+;chr4:77030970:+;chr4:77035654:+;chr4:77038615:+	distal	TRUE
ZEB2	20.5400047024156	3.46572939384185e-05	0.000771212262752646	0.447368421052632	0.285046728971963	0.162321692080669	chr2:144398673:-_vs_chr2:144389585:-	0.482538121003443	chr2:144389585:-;chr2:144398673:-;chr2:144399519:-	distal	TRUE
ATXN2L	17.128789880838	3.49288106650709e-05	0.000771212262752646	0.5	1	-0.5	chr16:28827753:+_vs_chr16:28837221:+	-1	chr16:28827753:+;chr16:28837221:+	proximal	TRUE
ZRANB2	28.0076524644946	3.62736076989573e-05	0.000791905839989596	0.557142857142857	0.32	0.237142857142857	chr1:71070919:-_vs_chr1:71068221:-	0.397619047619048	chr1:71063291:-;chr1:71068221:-;chr1:71069752:-;chr1:71070919:-;chr1:71072187:-;chr1:71072501:-	distal	TRUE
NRDC	20.3622996886155	3.78776305035407e-05	0.000817735956315328	0.363636363636364	0.728070175438597	-0.364433811802233	chr1:51840274:-_vs_chr1:51806810:-	-0.917065390749601	chr1:51789210:-;chr1:51806810:-;chr1:51840274:-	proximal	TRUE
SCCPDH	20.2901785714286	3.92684450825156e-05	0.000835745233658416	0.390625	0.535714285714286	-0.145089285714286	chr1:246767464:+_vs_chr1:246767833:+	-0.982142857142857	chr1:246767464:+;chr1:246767833:+;chr1:246768137:+	proximal	TRUE
PTBP2	27.8142272487238	3.95720851757974e-05	0.000835745233658416	0.531707317073171	0.6	-0.0682926829268292	chr1:96814793:+_vs_chr1:96814881:+	0.475609756097561	chr1:96770821:+;chr1:96812877:+;chr1:96813408:+;chr1:96814372:+;chr1:96814793:+;chr1:96814881:+	distal	TRUE
TTC3	35.9604563144527	4.02922702274091e-05	0.000840865531053127	0.479365079365079	0.378611855823652	0.100753223541427	chr21:37095368:+_vs_chr21:37182916:+	0.208962083492915	chr21:37095368:+;chr21:37129034:+;chr21:37153179:+;chr21:37160839:+;chr21:37164198:+;chr21:37165784:+;chr21:37182916:+;chr21:37187097:+;chr21:37197695:+;chr21:37203104:+	distal	TRUE
TRA2A	20.2047553265631	4.09819979004132e-05	0.000840865531053127	0.875	0.524193548387097	0.350806451612903	chr7:23522336:-_vs_chr7:23504780:-	0.701612903225806	chr7:23504780:-;chr7:23522210:-;chr7:23522336:-	distal	TRUE
SENP7	22.9626800969605	4.11128283324998e-05	0.000840865531053127	0.257575757575758	0.398907103825137	-0.141331346249379	chr3:101366661:-_vs_chr3:101337545:-	-0.680327868852459	chr3:101337545:-;chr3:101361715:-;chr3:101366661:-;chr3:101372060:-	proximal	TRUE
RBM10	16.7680102040816	4.22394229509441e-05	0.000854908320767546	0	0.346666666666667	-0.346666666666667	chrX:47185107:+_vs_chrX:47186813:+	-0.693333333333333	chrX:47185107:+;chrX:47186813:+	proximal	TRUE
FBXW7	16.7429353054353	4.28013364221232e-05	0.000857350481115314	0.785714285714286	0	0.785714285714286	chr4:152411303:-_vs_chr4:152330834:-	1.57142857142857	chr4:152330834:-;chr4:152411303:-	distal	TRUE
MIR100HG	25.2686952957174	4.44228990704361e-05	0.000880751968304667	0.75	0.463235294117647	0.286764705882353	chr11:122090942:-_vs_chr11:122028325:-	0.607843137254902	chr11:122028325:-;chr11:122089110:-;chr11:122090942:-;chr11:122091019:-;chr11:122091501:-	distal	TRUE
EIF4A2	20.019062527666	4.49692666958682e-05	0.000882578638283556	0.955852156057495	0.907431551499348	0.0484206045581467	chr3:186789767:+_vs_chr3:186789897:+	0.165813096171917	chr3:186785962:+;chr3:186789767:+;chr3:186789897:+	distal	FALSE
SYNCRIP	24.9325315300746	5.19059028545637e-05	0.00100853169246417	0.73	0.483333333333333	0.246666666666667	chr6:85614218:-_vs_chr6:85612587:-	0.518095238095238	chr6:85612587:-;chr6:85614218:-;chr6:85618847:-;chr6:85618899:-;chr6:85640226:-	distal	TRUE
MYT1L	22.4149761361866	5.34660333074051e-05	0.00101832092282223	0.520408163265306	0.405128205128205	0.115279958137101	chr2:2054028:-_vs_chr2:1840789:-	0.341444270015699	chr2:1801758:-;chr2:1840789:-;chr2:1943300:-;chr2:2054028:-	distal	TRUE
