gene_id	chisq	pvalue	adj_pvalue	ExDp	ExNExM	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
FUS	29.1520871105835	4.67417228471141e-07	2.76777773144697e-05	0.4725	0.476401179941003	-0.00390117994100297	chr16:31186135:+_vs_chr16:31191605:+	-0.201755162241888	chr16:31186135:+;chr16:31191605:+;chr16:31191779:+	proximal	TRUE
ARHGAP12	25.0976620284763	5.44988941509668e-07	3.11583332766562e-05	1	0	1	chr10:31831764:-_vs_chr10:31812772:-	2	chr10:31812772:-;chr10:31831764:-	distal	TRUE
KDM1A	31.6483516483516	6.20708498028873e-07	3.34422474301235e-05	0.133333333333333	0.470238095238095	-0.336904761904762	chr1:23055165:+_vs_chr1:23072168:+	-0.753571428571429	chr1:23055165:+;chr1:23071272:+;chr1:23072168:+;chr1:23083686:+	proximal	TRUE
INA	31.6332343845858	6.25277243868412e-07	3.34422474301235e-05	0.4375	0.243137254901961	0.194362745098039	chr10:103288619:+_vs_chr10:103288687:+	0.579411764705882	chr10:103288619:+;chr10:103288687:+;chr10:103288830:+;chr10:103290346:+	distal	TRUE
NEUROD6	41.3476009136675	6.94224492914069e-07	3.59695065391102e-05	0.486024844720497	0.553502835192976	-0.0674779904724791	chr7:31338259:-_vs_chr7:31337465:-	-0.271878305405556	chr7:31337465:-;chr7:31337811:-;chr7:31337860:-;chr7:31337925:-;chr7:31338080:-;chr7:31338259:-;chr7:31338418:-;chr7:31339095:-	proximal	TRUE
HNRNPM	33.6114963595944	8.95192692304272e-07	4.49766510254692e-05	0.955696202531646	0.799603174603175	0.156093027928471	chr19:8473702:+_vs_chr19:8489114:+	0.567108700020092	chr19:8455573:+;chr19:8466261:+;chr19:8466331:+;chr19:8473702:+;chr19:8489114:+	distal	TRUE
TADA1	24.0358796435622	9.45571459329978e-07	4.61105141049736e-05	0.4375	0.966101694915254	-0.528601694915254	chr1:166856970:-_vs_chr1:166856510:-	-1.05720338983051	chr1:166856510:-;chr1:166856970:-	proximal	TRUE
CENPV	30.5785839048121	1.04269466479116e-06	4.9393935834964e-05	0.742424242424243	0.881481481481482	-0.139057239057239	chr17:16348061:-_vs_chr17:16342537:-	-0.360606060606061	chr17:16342537:-;chr17:16347508:-;chr17:16348061:-;chr17:16348324:-	proximal	TRUE
EXT2	23.7054848966614	1.12262135142893e-06	4.94561332139201e-05	0.823529411764706	0.108108108108108	0.715421303656598	chr11:44244929:+_vs_chr11:44245425:+	1.4308426073132	chr11:44244929:+;chr11:44245425:+	distal	TRUE
GNG2	27.3758762617331	1.13606714730781e-06	4.94561332139201e-05	0.682432432432432	0.846938775510204	-0.164506343077772	chr14:51967879:+_vs_chr14:51969795:+	-0.559569773855488	chr14:51966931:+;chr14:51967879:+;chr14:51969795:+	proximal	TRUE
HNRNPH3	30.3747875703916	1.15092211465166e-06	4.94561332139201e-05	0.473429951690821	0.616755793226382	-0.14332584153556	chr10:68341301:+_vs_chr10:68342271:+	-0.529799271487251	chr10:68341301:+;chr10:68341788:+;chr10:68342271:+;chr10:68343193:+	proximal	TRUE
MATR3	44.4552439738012	1.1633227957436e-06	4.94561332139201e-05	0.395094562647754	0.37077108019921	0.0243234824485442	chr5:139319032:+_vs_chr5:139322957:+	-0.14764543391759	chr5:139317713:+;chr5:139319032:+;chr5:139319480:+;chr5:139322506:+;chr5:139322957:+;chr5:139325489:+;chr5:139329379:+;chr5:139329429:+;chr5:139329704:+;chr5:139330395:+	proximal	FALSE
CTNND2	23.4375	1.2903844524872e-06	5.34864355555945e-05	1	0.2	0.8	chr5:11394874:-_vs_chr5:11110870:-	1.6	chr5:11110870:-;chr5:11394874:-	distal	TRUE
SUB1	29.9092007109143	1.44210109325304e-06	5.83171612832573e-05	0.554347826086957	0.37953795379538	0.174809872291577	chr5:32601333:+_vs_chr5:32604067:+	0.494511407662505	chr5:32601106:+;chr5:32601333:+;chr5:32601957:+;chr5:32604067:+	distal	TRUE
WDR33	29.6134372862517	1.66415628956682e-06	6.42424789831202e-05	0.208333333333333	0.612403100775194	-0.404069767441861	chr2:127764473:-_vs_chr2:127763113:-	-0.966569767441861	chr2:127721874:-;chr2:127723313:-;chr2:127763113:-;chr2:127764473:-	proximal	TRUE
UBR5	29.6110017470562	1.66611978062374e-06	6.42424789831202e-05	0.432098765432099	0.421768707482993	0.0103300579491055	chr8:102311326:-_vs_chr8:102305100:-	-0.795162509448224	chr8:102293955:-;chr8:102305100:-;chr8:102311326:-;chr8:102326601:-	proximal	TRUE
H3-3B	29.4554327549895	1.79644659585893e-06	6.76933739985026e-05	0.473333333333333	0.560683760683761	-0.0873504273504273	chr17:75778250:-_vs_chr17:75776434:-	-0.215384615384615	chr17:75776434:-;chr17:75777459:-;chr17:75778023:-;chr17:75778250:-	proximal	TRUE
HSPA5	30.7104449118951	3.5072609075878e-06	0.00012922307966179	0.72972972972973	0.535919540229885	0.193810189499845	chr9:125236992:-_vs_chr9:125236755:-	0.344361602982293	chr9:125236247:-;chr9:125236755:-;chr9:125236815:-;chr9:125236992:-;chr9:125240207:-	distal	TRUE
ATRX	34.6656144450151	5.00236856364546e-06	0.000177819378355601	0.389855072463768	0.411458333333333	-0.0216032608695652	chrX:77684359:-_vs_chrX:77683759:-	-0.354076086956522	chrX:77682921:-;chrX:77683759:-;chrX:77683930:-;chrX:77683973:-;chrX:77684266:-;chrX:77684359:-;chrX:77693854:-	proximal	TRUE
EIF1	27.3215680604795	5.04071820429026e-06	0.000177819378355601	0.581424936386768	0.628453850676073	-0.0470289142893046	chr17:41690999:+_vs_chr17:41691644:+	-0.277670072835467	chr17:41689941:+;chr17:41690999:+;chr17:41691644:+;chr17:41692668:+	proximal	TRUE
ATCAY	24.353666890139	5.14835431382455e-06	0.000177832738590023	0.358974358974359	0.571428571428571	-0.212454212454212	chr19:3926326:+_vs_chr19:3928082:+	-0.837454212454212	chr19:3925857:+;chr19:3926326:+;chr19:3928082:+	proximal	TRUE
ATP8A1	20.6081196581197	5.63565858868638e-06	0.000189697275512012	0.0769230769230769	1	-0.923076923076923	chr4:42599175:-_vs_chr4:42598473:-	-1.84615384615385	chr4:42598473:-;chr4:42599175:-	proximal	TRUE
SEC61A2	20.5547664141414	5.79493212973037e-06	0.000189697275512012	1	0.125	0.875	chr10:12165363:+_vs_chr10:12165407:+	1.75	chr10:12165363:+;chr10:12165407:+	distal	TRUE
OAZ1	24.0747161533513	5.91891101193724e-06	0.000189697275512012	0.717647058823529	0.64027149321267	0.0773755656108596	chr19:2273325:+_vs_chr19:2273488:+	0.37737556561086	chr19:2273241:+;chr19:2273325:+;chr19:2273488:+	distal	TRUE
BOLA2-SMG1P6	20.504380952381	5.94949235622716e-06	0.000189697275512012	0.458333333333333	0.975	-0.516666666666667	chr16:29444401:-_vs_chr16:29443249:-	-1.03333333333333	chr16:29443249:-;chr16:29444401:-	proximal	TRUE
KIF5A	24.0039238143014	6.13216979622897e-06	0.000191832783436748	0.610169491525424	0.443820224719101	0.166349266806323	chr12:57555965:+_vs_chr12:57586628:+	0.332698533612645	chr12:57555965:+;chr12:57569601:+;chr12:57586628:+	distal	TRUE
PHYHIPL	20.352815963636	6.43982489916032e-06	0.000194575651113316	0.149253731343284	0.557692307692308	-0.408438576349024	chr10:59246145:+_vs_chr10:59246330:+	-0.816877152698048	chr10:59246145:+;chr10:59246330:+	proximal	TRUE
SOGA3	31.7869306778655	6.54723081135416e-06	0.000194575651113316	0.37741935483871	0.266187050359712	0.111232304478997	chr6:127512981:-_vs_chr6:127476377:-	0.538872128103968	chr6:127447534:-;chr6:127447618:-;chr6:127450169:-;chr6:127453855:-;chr6:127476377:-;chr6:127512981:-	distal	TRUE
GET1	26.7720959103366	6.57191583977424e-06	0.000194575651113316	0.379084967320261	0.565217391304348	-0.186132423984086	chr21:39397374:+_vs_chr21:39397788:+	-0.35848252344416	chr21:39397374:+;chr21:39397700:+;chr21:39397788:+;chr21:39397889:+	proximal	TRUE
MAP2	52.3933551167713	9.46245449890586e-06	0.000275241220336595	0.462463017751479	0.490677966101695	-0.0282149483502157	chr2:209725730:+_vs_chr2:209729898:+	0.131711964697623	chr2:209580099:+;chr2:209692830:+;chr2:209692958:+;chr2:209693437:+;chr2:209693544:+;chr2:209693923:+;chr2:209694036:+;chr2:209695067:+;chr2:209695108:+;chr2:209696647:+;chr2:209696704:+;chr2:209725730:+;chr2:209729898:+;chr2:209730502:+;chr2:209730895:+;chr2:209733900:+;chr2:209734112:+	distal	FALSE
RTN4	41.2728079339936	1.00957775500898e-05	0.000288599985828429	0.36986301369863	0.454849498327759	-0.0849864846291291	chr2:55026600:-_vs_chr2:54972189:-	-0.245216169575907	chr2:54972189:-;chr2:54973144:-;chr2:54981278:-;chr2:55025759:-;chr2:55025982:-;chr2:55026078:-;chr2:55026370:-;chr2:55026600:-;chr2:55026801:-;chr2:55026984:-;chr2:55027115:-	proximal	TRUE
CALM1	35.1438780990414	1.0509115768549e-05	0.000295007885079908	0.619166369789811	0.54772301933874	0.0714433504510714	chr14:90403939:+_vs_chr14:90405213:+	0.292500190571606	chr14:90401316:+;chr14:90403939:+;chr14:90404750:+;chr14:90404963:+;chr14:90405107:+;chr14:90405213:+;chr14:90405610:+;chr14:90408268:+	distal	TRUE
PLPP5	25.7660753532182	1.06757980125419e-05	0.000295007885079908	0.428571428571429	0.691666666666667	-0.263095238095238	chr8:38264309:-_vs_chr8:38263130:-	-0.882142857142857	chr8:38263130:-;chr8:38263509:-;chr8:38264309:-;chr8:38266982:-	proximal	TRUE
SEPTIN7	25.5382078043511	1.19148193815324e-05	0.000323848697288207	0.258215962441315	0.371428571428571	-0.113212608987257	chr7:35898297:+_vs_chr7:35905307:+	-0.222501676727029	chr7:35882569:+;chr7:35898297:+;chr7:35903104:+;chr7:35905307:+	proximal	TRUE
CSNK2A1	25.4967775610448	1.21550346240907e-05	0.000325049151721652	0.524822695035461	0.291666666666667	0.233156028368794	chr20:483044:-_vs_chr20:482694:-	0.600683890577508	chr20:482694:-;chr20:483044:-;chr20:499900:-;chr20:505139:-	distal	TRUE
CACYBP	25.2388111383896	1.37632524098683e-05	0.000362213849135898	0.666666666666667	0.347517730496454	0.319148936170213	chr1:175010264:+_vs_chr1:175010368:+	0.657274295572168	chr1:175008704:+;chr1:175010264:+;chr1:175010368:+;chr1:175010801:+	distal	TRUE
RPL22	25.0159362811194	1.53224863311068e-05	0.000396948161515236	0.299212598425197	0.198787878787879	0.100424719637318	chr1:6186615:-_vs_chr1:6185020:-	0.212312097351468	chr1:6185020:-;chr1:6185119:-;chr1:6186218:-;chr1:6186615:-	distal	TRUE
GPR89B	18.4846212121212	1.71280822725329e-05	0.000436897852428608	0.0625	1	-0.9375	chr1:147993020:+_vs_chr1:147993339:+	-1.875	chr1:147993020:+;chr1:147993339:+	proximal	TRUE
CALR	21.6730523627075	1.96678313881548e-05	0.000492128563652914	0.655172413793103	0.82183908045977	-0.166666666666667	chr19:12943630:+_vs_chr19:12943762:+	-0.339080459770115	chr19:12943630:+;chr19:12943762:+;chr19:12944473:+	proximal	TRUE
HSDL1	24.4419642857143	2.01971740585598e-05	0.000492128563652914	0.35	0.575	-0.225	chr16:84122281:-_vs_chr16:84122141:-	-0.7	chr16:84122141:-;chr16:84122281:-;chr16:84122714:-;chr16:84124018:-	proximal	TRUE
MARCKS	18.1688038297359	2.02163370924009e-05	0.000492128563652914	0.4	0.902439024390244	-0.502439024390244	chr6:113860581:+_vs_chr6:113861806:+	-1.00487804878049	chr6:113860581:+;chr6:113861806:+	proximal	TRUE
NSG2	21.5920627969347	2.04806217684264e-05	0.000492128563652914	0.509937238493724	0.380952380952381	0.128984857541343	chr5:174107839:+_vs_chr5:174109179:+	0.257969715082686	chr5:174107839:+;chr5:174107931:+;chr5:174109179:+	distal	TRUE
NCAM1	26.7762411365134	2.20605930129613e-05	0.00052181620563217	0.457943925233645	0.464285714285714	-0.00634178905206945	chr11:113214510:+_vs_chr11:113275627:+	0.23787271918113	chr11:113214510:+;chr11:113275423:+;chr11:113275627:+;chr11:113275701:+;chr11:113276748:+	distal	TRUE
BCLAF1	33.3951045864597	2.23455673099421e-05	0.00052181620563217	0.464285714285714	0.446769790718835	0.017515923566879	chr6:136268217:-_vs_chr6:136261275:-	0.351910828025478	chr6:136260500:-;chr6:136261275:-;chr6:136268217:-;chr6:136272002:-;chr6:136276045:-;chr6:136276347:-;chr6:136276439:-;chr6:136278359:-	distal	TRUE
TLE5	21.2184052731198	2.46877685704294e-05	0.000568504448469055	0.788461538461538	0.375	0.413461538461538	chr19:3053159:-_vs_chr19:3052910:-	0.826923076923077	chr19:3052910:-;chr19:3053062:-;chr19:3053159:-	distal	TRUE
MKKS	21.1667839549613	2.53332707313343e-05	0.000575377573596607	0.642857142857143	0.675	-0.0321428571428573	chr20:10413545:-_vs_chr20:10405184:-	-0.953571428571429	chr20:10405184:-;chr20:10413545:-;chr20:10413708:-	proximal	TRUE
PRPF6	21.1112994148708	2.60459126153827e-05	0.000583569231301411	0.730769230769231	0.5	0.230769230769231	chr20:63984997:+_vs_chr20:64033097:+	0.461538461538462	chr20:63984997:+;chr20:63993437:+;chr20:64033097:+	distal	TRUE
CCT8	23.8011819131109	2.74848548490627e-05	0.000599781974833409	0.73208722741433	0.723684210526316	0.00840301688801426	chr21:29063484:-_vs_chr21:29061272:-	-0.243892441383833	chr21:29056326:-;chr21:29056482:-;chr21:29061272:-;chr21:29063484:-	proximal	TRUE
OSER1	17.5837320574163	2.74930217655845e-05	0.000599781974833409	0	0.76	-0.76	chr20:44196496:-_vs_chr20:44195939:-	-1.52	chr20:44195939:-;chr20:44196496:-	proximal	TRUE
CANT1	17.5124030172414	2.85439503667874e-05	0.000614621684521214	0	0.862068965517241	-0.862068965517241	chr17:78993065:-_vs_chr17:78992670:-	-1.72413793103448	chr17:78992670:-;chr17:78993065:-	proximal	TRUE
EIF4A2	20.8552556465071	2.96032080258982e-05	0.000622263633979108	0.955852156057495	0.908088235294118	0.0477639207633771	chr3:186789767:+_vs_chr3:186789897:+	0.183253563232274	chr3:186785962:+;chr3:186789767:+;chr3:186789897:+	distal	FALSE
AZIN1	26.140239115723	2.96494735128767e-05	0.000622263633979108	0.483870967741935	0.646153846153846	-0.162282878411911	chr8:102838784:-_vs_chr8:102828003:-	-0.459553349875931	chr8:102826357:-;chr8:102826402:-;chr8:102827659:-;chr8:102828003:-;chr8:102838784:-	proximal	TRUE
ABI2	20.716577540107	3.1728704881309e-05	0.000657577408665129	0.455882352941176	0.833333333333333	-0.377450980392157	chr2:203427508:+_vs_chr2:203428590:+	-1.12745098039216	chr2:203427456:+;chr2:203427508:+;chr2:203428590:+	proximal	TRUE
SAFB2	25.8900940414098	3.33010167715865e-05	0.000681643034657907	0.427631578947368	0.5	-0.0723684210526316	chr19:5612541:-_vs_chr19:5610654:-	0.584429824561404	chr19:5586999:-;chr19:5595431:-;chr19:5600185:-;chr19:5610654:-;chr19:5612541:-	distal	TRUE
TSEN2	20.5406793478261	3.46456052178172e-05	0.000700517237209036	0.675	0.326086956521739	0.348913043478261	chr3:12516961:+_vs_chr3:12533317:+	1.10869565217391	chr3:12516961:+;chr3:12533317:+;chr3:12539624:+	distal	TRUE
PLPPR5	20.3687647579693	3.77553874333863e-05	0.000754197980295836	0.227272727272727	0.607142857142857	-0.37987012987013	chr1:98892807:-_vs_chr1:98892368:-	-1.02272727272727	chr1:98891216:-;chr1:98892368:-;chr1:98892807:-	proximal	TRUE
PRMT2	27.8374239036549	3.91613263264833e-05	0.000772969988682253	0.784172661870504	0.685496183206107	0.0986764786643968	chr21:46659140:+_vs_chr21:46659537:+	0.255752649788566	chr21:46637978:+;chr21:46659140:+;chr21:46659537:+;chr21:46660144:+;chr21:46661270:+;chr21:46664941:+	distal	TRUE
RAB18	20.1869143400364	4.13492129712887e-05	0.000806552883604667	0.558139534883721	0.823529411764706	-0.265389876880985	chr10:27533845:+_vs_chr10:27539757:+	-0.548563611491108	chr10:27533845:+;chr10:27539757:+;chr10:27539828:+	proximal	TRUE
TSPAN5	20.1392911553465	4.23456195083872e-05	0.000816384152847744	0.285714285714286	0.630434782608696	-0.34472049689441	chr4:98471992:-_vs_chr4:98470367:-	-0.68944099378882	chr4:98470367:-;chr4:98471208:-;chr4:98471992:-	proximal	TRUE
SYT11	25.242089495284	4.49738772194606e-05	0.000853631884641704	0.319767441860465	0.503333333333333	-0.183565891472868	chr1:155881254:+_vs_chr1:155885191:+	-0.452403100775194	chr1:155868153:+;chr1:155881254:+;chr1:155881618:+;chr1:155885060:+;chr1:155885191:+	proximal	TRUE
ATF7IP	27.5	4.5575916595142e-05	0.000853631884641704	0.322222222222222	0.577777777777778	-0.255555555555555	chr12:14425192:+_vs_chr12:14434368:+	-0.527777777777778	chr12:14424851:+;chr12:14424935:+;chr12:14425028:+;chr12:14425192:+;chr12:14434368:+;chr12:14438156:+	proximal	TRUE
ARID4B	31.7172498460078	4.58222181743737e-05	0.000853631884641704	0.30672268907563	0.364010989010989	-0.0572882999353588	chr1:235246444:-_vs_chr1:235240334:-	0.342194570135747	chr1:235194191:-;chr1:235196049:-;chr1:235220318:-;chr1:235220428:-;chr1:235224748:-;chr1:235229237:-;chr1:235240334:-;chr1:235246444:-	distal	TRUE
RTN1	19.8707138150452	4.84316560450193e-05	0.000892218730251577	0.818537859007833	0.758369723435226	0.0601681355726074	chr14:59596174:-_vs_chr14:59595983:-	0.223969200481908	chr14:59595983:-;chr14:59596174:-;chr14:59596534:-	distal	TRUE
OS9	19.8074255405957	4.99887403798953e-05	0.000910783863185345	0.465116279069767	0.813953488372093	-0.348837209302326	chr12:57719089:+_vs_chr12:57721557:+	-0.697674418604651	chr12:57719089:+;chr12:57719138:+;chr12:57721557:+	proximal	TRUE
UQCRFS1	19.743237199132	5.16191102909131e-05	0.000930266139807977	0.745283018867924	0.514925373134328	0.230357645733596	chr19:29207388:-_vs_chr19:29207349:-	0.554773303294846	chr19:29207270:-;chr19:29207349:-;chr19:29207388:-	distal	TRUE
PPP3CA	19.7147950089127	5.23584351121181e-05	0.000933443929203138	0.527777777777778	0.470588235294118	0.0571895424836601	chr4:101099615:-_vs_chr4:101025595:-	1.14052287581699	chr4:101023440:-;chr4:101025595:-;chr4:101099615:-	distal	TRUE
RFC2	16.3114882897604	5.37371767712255e-05	0.000947832330709488	0.970588235294118	0.525	0.445588235294118	chr7:74231847:-_vs_chr7:74231664:-	0.891176470588235	chr7:74231664:-;chr7:74231847:-	distal	TRUE
SGCB	22.339780208806	5.54286988546901e-05	0.000967376660011329	0.590909090909091	0.545893719806763	0.0450153711023277	chr4:52023010:-_vs_chr4:52020709:-	0.295783926218709	chr4:52020709:-;chr4:52022924:-;chr4:52023010:-;chr4:52023696:-	distal	TRUE
ASRGL1	16.0875512995896	6.04803022415507e-05	0.00104454521996345	0.966666666666667	0.466666666666667	0.5	chr11:62392607:+_vs_chr11:62393409:+	1	chr11:62392607:+;chr11:62393409:+	distal	TRUE
HLTF	22.0246804825609	6.44643250912532e-05	0.0011018747525907	0.487179487179487	0.287671232876712	0.199508254302775	chr3:149071619:-_vs_chr3:149046204:-	0.523709167544784	chr3:149046204:-;chr3:149059730:-;chr3:149071619:-;chr3:149074270:-	distal	TRUE
PTGES3	24.4066070840665	6.61995776191539e-05	0.00111390294851412	0.647177419354839	0.713483146067416	-0.066305726712577	chr12:56664183:-_vs_chr12:56663601:-	-0.314516129032258	chr12:56663349:-;chr12:56663601:-;chr12:56664183:-;chr12:56664442:-;chr12:56671757:-	proximal	TRUE
SMARCA1	24.3964285714286	6.65116959607346e-05	0.00111390294851412	0.473958333333333	0.554166666666667	-0.0802083333333333	chrX:129499777:-_vs_chrX:129471216:-	-0.704166666666667	chrX:129448394:-;chrX:129471216:-;chrX:129499777:-;chrX:129507947:-;chrX:129508016:-	proximal	TRUE
SLC25A11	15.8203125	6.96507543926438e-05	0.00115480950783003	0	0.36	-0.36	chr17:4937312:-_vs_chr17:4937219:-	-0.72	chr17:4937219:-;chr17:4937312:-	proximal	TRUE
