SE_id	p_value	FDR	exon	pas_id	sig	gene_id
GRIA2:SE06	3.38077156968661e-251	3.98036135101632e-248	chr4:157359896-157360143:+	chr4:157360954:+;chr4:157364287:+;chr4:157366075:+	TRUE	GRIA2
PCMTD1:SE04	7.1480287259762e-235	7.94821083057854e-232	chr8:51845661-51845763:-	chr8:51817583:-;chr8:51842849:-	TRUE	PCMTD1
EIF5B:SE03	1.95535443136216e-233	2.05981152335335e-230	chr2:99361148-99361820:+	chr2:99361710:+;chr2:99363691:+;chr2:99364327:+;chr2:99376408:+;chr2:99389798:+;chr2:99394863:+;chr2:99399780:+;chr2:99400069:+	TRUE	EIF5B
TCOF1:SE12	1.01536902765137e-231	1.01613055442211e-228	chr5:150396282-150396842:+	chr5:150396840:+;chr5:150398450:+	TRUE	TCOF1
POLR3C:SE07	3.50212458455408e-229	3.33785826475476e-226	chr1:145840922-145841071:+	chr1:145842195:+;chr1:145842493:+;chr1:145843836:+;chr1:145844402:+	TRUE	POLR3C
HSPA14:SE03	9.60411790823561e-229	8.73756454242435e-226	chr10:14842134-14842846:+	chr10:14844748:+;chr10:14846999:+;chr10:14871741:+	TRUE	HSPA14
AP3S1:SE01	2.03615097448471e-214	1.77189398931789e-211	chr5:115852979-115853014:+	chr5:115913987:+;chr5:115914081:+	TRUE	AP3S1
HPS1:SE13	2.48799011732282e-212	2.07488009159234e-209	chr10:98435635-98435772:-	chr10:98416212:-;chr10:98417015:-;chr10:98433445:-	TRUE	HPS1
POFUT2:SE04	8.31365239592528e-210	6.65591010817778e-207	chr21:45282349-45282459:-	chr21:45263935:-;chr21:45280288:-	TRUE	POFUT2
ADAMTS10:SE02	2.02266040327156e-193	1.55705953736463e-190	chr19:8595762-8595903:-	chr19:8580240:-;chr19:8593174:-	TRUE	ADAMTS10
PPP1R12A:SE05	3.65560709492838e-165	2.70988800018487e-162	chr12:79808483-79808577:-	chr12:79773826:-;chr12:79797300:-	TRUE	PPP1R12A
SMARCA4:SE07	9.0334685793674e-164	6.45731691485852e-161	chr19:10987666-10987924:+	chr19:10996376:+;chr19:11062273:+	TRUE	SMARCA4
YEATS2:SE12	2.39586576578092e-158	1.65356045869328e-155	chr3:183758862-183758965:+	chr3:183759589:+;chr3:183812618:+	TRUE	YEATS2
C5orf51:SE02	1.69760943403493e-153	1.13258842740697e-150	chr5:41912069-41912183:+	chr5:41914503:+;chr5:41917339:+;chr5:41921636:+	TRUE	C5orf51
ANKHD1:SE05	5.96401273061848e-149	3.8506359613977e-146	chr5:140486958-140487060:+	chr5:140496774:+;chr5:140510048:+;chr5:140524153:+;chr5:140539853:+	TRUE	ANKHD1
ZNF286A:SE02	9.33316299280522e-149	5.83760179065614e-146	chr17:15708155-15708247:+	chr17:15709521:+;chr17:15709814:+;chr17:15716422:+;chr17:15718406:+;chr17:15719164:+	TRUE	ZNF286A
UHRF1BP1L:SE07	1.05551873752045e-146	6.40188107014298e-144	chr12:100058029-100059533:-	chr12:100037072:-;chr12:100037139:-;chr12:100058540:-	TRUE	UHRF1BP1L
GMPS:SE10	2.67663437082951e-144	1.57567167447508e-141	chr3:155934916-155935046:+	chr3:155937713:+;chr3:155944020:+	TRUE	GMPS
TCTN1:SE02	1.05702263429697e-142	6.04465943584394e-140	chr12:110632472-110632559:+	chr12:110633669:+;chr12:110649126:+	TRUE	TCTN1
ANK2:SE28	2.5616613904066e-142	1.42421257580522e-139	chr4:113331972-113332070:+	chr4:113353763:+;chr4:113383732:+	TRUE	ANK2
ANK2:SE10	5.94748299736127e-141	3.21726681600502e-138	chr4:113237599-113237622:+	chr4:113353763:+;chr4:113383732:+	TRUE	ANK2
GMPS:SE11	7.17300393033267e-130	3.77809667541075e-127	chr3:155936338-155936510:+	chr3:155937713:+;chr3:155944020:+	TRUE	GMPS
NR2F1-AS1:SE10	6.05887078120393e-127	3.10944355604607e-124	chr5:93553761-93553863:-	chr5:93409356:-;chr5:93409820:-;chr5:93411018:-;chr5:93541872:-;chr5:93541970:-	TRUE	NR2F1-AS1
SYT1:SE07	8.76126212764488e-127	4.38391653712031e-124	chr12:79299384-79299551:+	chr12:79450296:+;chr12:79452008:+	TRUE	SYT1
SYT1:SE08	1.28005978357589e-126	6.24887721177351e-124	chr12:79444073-79444206:+	chr12:79450296:+;chr12:79452008:+	TRUE	SYT1
PHC2:SE02	5.07078578930242e-125	2.41647089459257e-122	chr1:33354401-33354566:-	chr1:33323630:-;chr1:33353213:-	TRUE	PHC2
KLHL24:SE06	3.37967201678751e-121	1.57311942827912e-118	chr3:183664921-183665039:+	chr3:183672518:+;chr3:183680312:+;chr3:183680945:+;chr3:183684519:+	TRUE	KLHL24
C1orf61:SE08	8.18330444056844e-118	3.72247359949948e-115	chr1:156426798-156426872:-	chr1:156404256:-;chr1:156407365:-;chr1:156425637:-	TRUE	C1orf61
GMPS:SE09	7.44648084377003e-114	3.31202920195683e-111	chr3:155931765-155931880:+	chr3:155937713:+;chr3:155944020:+	TRUE	GMPS
TMLHE:SE02	7.73340828544699e-113	3.36487319202655e-110	chrX:155506898-155507134:-	chrX:155489011:-;chrX:155490788:-;chrX:155491221:-;chrX:155504735:-	TRUE	TMLHE
ELP2:SE11	6.95316710760249e-112	2.96101360975881e-109	chr18:36170063-36170196:+	chr18:36174650:+;chr18:36175866:+;chr18:36176069:+;chr18:36177931:+;chr18:36180557:+	TRUE	ELP2
GMPS:SE08	7.92974736996067e-109	3.30653945020339e-106	chr3:155925241-155925366:+	chr3:155937713:+;chr3:155944020:+	TRUE	GMPS
SYNRG:SE05	3.44860786102025e-108	1.40865074159838e-105	chr17:37539192-37539245:-	chr17:37514910:-;chr17:37518461:-	TRUE	SYNRG
MRTFB:SE04	1.42750610269813e-107	5.71430692910063e-105	chr16:14148667-14148729:+	chr16:14152136:+;chr16:14153234:+;chr16:14260928:+	TRUE	MRTFB
SLC6A1:SE04	4.65596210146952e-107	1.82723689139044e-104	chr3:11017843-11017974:+	chr3:11019770:+;chr3:11029804:+;chr3:11039247:+	TRUE	SLC6A1
SYNRG:SE02	4.79673365768389e-107	1.84628123381814e-104	chr17:37520538-37520648:-	chr17:37514910:-;chr17:37518461:-	TRUE	SYNRG
CALU:SE02	6.09797255117376e-107	2.30284755871213e-104	chr7:128748573-128748804:+	chr7:128750245:+;chr7:128770129:+;chr7:128771474:+	TRUE	CALU
DNAJC19:SE01	4.13507494805629e-106	1.53265787195087e-103	chr3:180988023-180988096:-	chr3:180983709:-;chr3:180984042:-;chr3:180984519:-;chr3:180986282:-	TRUE	DNAJC19
SLIT1:SE08	1.34675679650752e-105	4.90097041492693e-103	chr10:97018586-97018683:-	chr10:97000838:-;chr10:97017839:-	TRUE	SLIT1
SYNRG:SE04	2.03676616596287e-103	7.27962050209764e-101	chr17:37538324-37538420:-	chr17:37514910:-;chr17:37518461:-	TRUE	SYNRG
SIK2:SE10	1.27899700274232e-101	4.41364224308404e-99	chr11:111721830-111721940:+	chr11:111725436:+;chr11:111726052:+;chr11:111726578:+;chr11:111730853:+	TRUE	SIK2
SIK2:SE11	1.27899700274232e-101	4.41364224308404e-99	chr11:111722665-111722756:+	chr11:111725436:+;chr11:111726052:+;chr11:111726578:+;chr11:111730853:+	TRUE	SIK2
MIPEP:SE14	5.13943340210452e-100	1.74348744988342e-97	chr13:23886333-23886506:-	chr13:23730189:-;chr13:23882713:-	TRUE	MIPEP
DHRS1:SE01	4.69645378816433e-99	1.56665870950182e-96	chr14:24296509-24296588:-	chr14:24290598:-;chr14:24295022:-	TRUE	DHRS1
ATF7IP:SE04	8.47971969233507e-97	2.78232114167355e-94	chr12:14496231-14496343:+	chr12:14498248:+;chr12:14498552:+;chr12:14502930:+	TRUE	ATF7IP
GMPS:SE07	9.76915528579976e-96	3.1537039200852e-93	chr3:155922187-155922302:+	chr3:155937713:+;chr3:155944020:+	TRUE	GMPS
LRRC27:SE03	6.6380474561964e-94	2.10889714025033e-91	chr10:132348963-132349057:+	chr10:132353396:+;chr10:132375457:+	TRUE	LRRC27
GMPS:SE06	2.12138979907305e-91	6.63431512944484e-89	chr3:155919233-155919338:+	chr3:155937713:+;chr3:155944020:+	TRUE	GMPS
NASP:SE03	1.19632152261726e-90	3.68375004233606e-88	chr1:45607321-45608337:+	chr1:45609537:+;chr1:45618247:+;chr1:45618891:+	TRUE	NASP
ASPH:SE22	2.53365325027561e-89	7.68349542488884e-87	chr8:61682439-61682483:-	chr8:61501229:-;chr8:61624548:-;chr8:61675259:-	TRUE	ASPH
FSD1L:SE07	6.62092535781039e-89	1.97787792591903e-86	chr9:105512807-105512936:+	chr9:105517116:+;chr9:105532507:+;chr9:105547783:+;chr9:105549100:+;chr9:105550763:+	TRUE	FSD1L
PHC3:SE01	5.84683502133308e-88	1.72094710223502e-85	chr3:170106832-170106946:-	chr3:170087584:-;chr3:170095221:-;chr3:170096891:-	TRUE	PHC3
TOP2A:SE10	3.47476650642899e-87	1.00793408153879e-84	chr17:40400850-40401081:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
KLHL24:SE03	2.03050922902961e-86	5.80580603128967e-84	chr3:183644086-183645886:+	chr3:183680312:+;chr3:183680945:+	TRUE	KLHL24
ANKHD1:SE08	2.58826723972935e-86	7.09646147988807e-84	chr5:140505122-140505233:+	chr5:140510048:+;chr5:140524153:+;chr5:140539853:+	TRUE	ANKHD1
ANKHD1:SE09	2.58826723972935e-86	7.09646147988807e-84	chr5:140505724-140505869:+	chr5:140510048:+;chr5:140524153:+;chr5:140539853:+	TRUE	ANKHD1
ANKHD1:SE10	2.58826723972935e-86	7.09646147988807e-84	chr5:140506835-140506977:+	chr5:140510048:+;chr5:140524153:+;chr5:140539853:+	TRUE	ANKHD1
PHC3:SE02	1.24559461658543e-85	3.36899679066991e-83	chr3:170113360-170113519:-	chr3:170087584:-;chr3:170095221:-;chr3:170096891:-	TRUE	PHC3
RNF40:SE03	7.6184650975262e-85	2.03311438569316e-82	chr16:30765425-30765499:+	chr16:30767299:+;chr16:30775189:+;chr16:30776303:+	TRUE	RNF40
PHC3:SE03	1.66743504122367e-84	4.39127794080154e-82	chr3:170122591-170122744:-	chr3:170087584:-;chr3:170095221:-;chr3:170096891:-	TRUE	PHC3
TOP2A:SE09	1.8658355935075e-83	4.84996096156528e-81	chr17:40400529-40400663:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
TOP2A:SE08	7.75027267669121e-83	1.98873984133301e-80	chr17:40400209-40400409:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
UTP6:SE02	1.62190477270282e-80	4.10916759818315e-78	chr17:31875234-31875413:-	chr17:31860904:-;chr17:31863173:-	TRUE	UTP6
GRIA2:SE03	2.43091211417473e-79	6.0818382456509e-77	chr4:157332819-157332986:+	chr4:157333307:+;chr4:157334631:+;chr4:157360954:+;chr4:157364287:+;chr4:157366075:+	TRUE	GRIA2
ANKHD1:SE07	5.66571598874635e-79	1.39999142610813e-76	chr5:140504821-140504966:+	chr5:140510048:+;chr5:140524153:+;chr5:140539853:+	TRUE	ANKHD1
TOP2A:SE11	6.34640765151331e-79	1.54906523347608e-76	chr17:40402906-40403054:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
TOP2A:SE18	6.48871364294158e-79	1.5647181152226e-76	chr17:40407549-40407674:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
SEMA6A:SE02	1.19001791765267e-78	2.83550102640693e-76	chr5:116473073-116473093:-	chr5:116443555:-;chr5:116445748:-;chr5:116471898:-	TRUE	SEMA6A
PDE6D:SE02	1.70773520429967e-78	4.02121413106565e-76	chr2:231738013-231738138:-	chr2:231732433:-;chr2:231736968:-	TRUE	PDE6D
RNF40:SE04	1.74506130346729e-77	4.06132581266255e-75	chr16:30766163-30766282:+	chr16:30767299:+;chr16:30775189:+;chr16:30776303:+	TRUE	RNF40
RSBN1L:SE01	6.86487589206503e-77	1.5793159882722e-74	chr7:77736410-77736526:+	chr7:77738046:+;chr7:77749497:+;chr7:77779241:+;chr7:77783022:+	TRUE	RSBN1L
GRIA2:SE04	3.54816172203993e-76	8.0700519166624e-74	chr4:157333249-157333353:+	chr4:157334631:+;chr4:157360954:+;chr4:157364287:+;chr4:157366075:+	TRUE	GRIA2
UTP6:SE03	4.72630420976558e-76	1.06288740178043e-73	chr17:31878250-31878327:-	chr17:31860904:-;chr17:31863173:-	TRUE	UTP6
VCAN:SE04	4.96042008954901e-76	1.10314231213693e-73	chr5:83519349-83522309:+	chr5:83537169:+;chr5:83539490:+;chr5:83580635:+;chr5:83581446:+	TRUE	VCAN
ATF7IP:SE02	8.7653523300424e-76	1.92789589984394e-73	chr12:14456561-14456634:+	chr12:14498248:+;chr12:14498552:+;chr12:14502930:+	TRUE	ATF7IP
TOP2A:SE12	2.86100792332426e-75	6.22424712884077e-73	chr17:40404152-40404273:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
SRSF10:SE01	5.77250318398472e-75	1.24232958309091e-72	chr1:23977911-23978273:-	chr1:23964804:-;chr1:23964925:-;chr1:23966445:-;chr1:23969089:-	TRUE	SRSF10
MTF2:SE05	1.92152577149339e-74	4.09141896983406e-72	chr1:93120549-93120672:+	chr1:93122621:+;chr1:93129301:+;chr1:93137566:+;chr1:93139076:+	TRUE	MTF2
MTSS1:SE05	7.77160401274435e-74	1.63735425594819e-71	chr8:124591151-124591235:-	chr8:124550776:-;chr8:124550963:-;chr8:124552888:-;chr8:124589020:-;chr8:124589621:-	TRUE	MTSS1
PLEKHA1:SE05	2.02357765160499e-73	4.21894861425769e-71	chr10:122426942-122427031:+	chr10:122429039:+;chr10:122430145:+;chr10:122430566:+;chr10:122432345:+	TRUE	PLEKHA1
ICE1:SE07	5.1255085613941e-73	1.05759849336395e-70	chr5:5447841-5447897:+	chr5:5449479:+;chr5:5462958:+;chr5:5490220:+	TRUE	ICE1
MFSD13A:SE03	6.49674364319975e-73	1.32686044916983e-70	chr10:102471273-102471396:+	chr10:102472250:+;chr10:102477045:+	TRUE	MFSD13A
SMG6:SE03	7.89182947239334e-73	1.59550471606013e-70	chr17:2172658-2172859:-	chr17:2059845:-;chr17:2171726:-	TRUE	SMG6
TOP2A:SE13	6.49981804330069e-72	1.30093858136663e-69	chr17:40404377-40404491:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
MBD1:SE01	8.56891526690567e-72	1.69808751551601e-69	chr18:50272677-50272738:-	chr18:50268846:-;chr18:50269031:-;chr18:50271042:-	TRUE	MBD1
ANKRD10:SE02	2.07282318528204e-71	4.06740745621765e-69	chr13:110894285-110894393:-	chr13:110878540:-;chr13:110892710:-	TRUE	ANKRD10
ANKHD1:SE04	3.24509356087858e-71	6.30587840980434e-69	chr5:140485589-140485732:+	chr5:140496774:+;chr5:140510048:+;chr5:140524153:+;chr5:140539853:+	TRUE	ANKHD1
NOL9:SE02	3.78452096317249e-71	7.28338337287474e-69	chr1:6528994-6529171:-	chr1:6521351:-;chr1:6525145:-;chr1:6525567:-	TRUE	NOL9
TOP2A:SE24	7.23551441632847e-69	1.37922686707442e-66	chr17:40412759-40412971:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
PRIMPOL:SE05	1.31272625106889e-68	2.47869961463621e-66	chr4:184678232-184678394:+	chr4:184679215:+;chr4:184694952:+	TRUE	PRIMPOL
SLC4A8:SE23	1.47057454229296e-68	2.7507990153265e-66	chr12:51504029-51504120:+	chr12:51509191:+;chr12:51515763:+	TRUE	SLC4A8
ITCH:SE05	7.98312581789519e-68	1.47946540041826e-65	chr20:34417117-34417239:+	chr20:34481192:+;chr20:34507933:+;chr20:34509431:+;chr20:34510508:+	TRUE	ITCH
TOP2A:SE20	9.61103958529294e-68	1.76481612201503e-65	chr17:40408492-40408630:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
SLC4A8:SE22	3.82064259357676e-67	6.95183286458535e-65	chr12:51496987-51497124:+	chr12:51509191:+;chr12:51515763:+	TRUE	SLC4A8
NOL9:SE01	2.39449249028773e-66	4.31763668406387e-64	chr1:6526696-6526829:-	chr1:6521351:-;chr1:6525145:-;chr1:6525567:-	TRUE	NOL9
TOP2A:SE15	4.19997517513896e-66	7.43915956906251e-64	chr17:40406384-40406493:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
TOP2A:SE17	4.19997517513896e-66	7.43915956906251e-64	chr17:40406832-40406942:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
TOP2A:SE06	6.52730219479092e-66	1.14599959148018e-63	chr17:40398773-40398937:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-	TRUE	TOP2A
TOP2A:SE07	9.39080772004785e-66	1.63440883927615e-63	chr17:40399872-40400067:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
DZANK1:SE02	1.23992686551062e-65	2.13940829424096e-63	chr20:18389701-18389828:-	chr20:18383367:-;chr20:18388579:-	TRUE	DZANK1
ABI2:SE05	2.7978440114009e-65	4.78622631522983e-63	chr2:203391046-203391143:+	chr2:203427528:+;chr2:203427598:+;chr2:203429607:+;chr2:203432169:+	TRUE	ABI2
INO80E:SE01	5.21738071265518e-65	8.84965042066045e-63	chr16:29996808-29996860:+	chr16:29998312:+;chr16:30005777:+	TRUE	INO80E
GMPS:SE04	7.22846206736178e-65	1.21577872502728e-62	chr3:155914419-155914570:+	chr3:155937713:+;chr3:155944020:+	TRUE	GMPS
TOP2A:SE22	1.47359482356907e-64	2.45783336614459e-62	chr17:40411354-40411455:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
SLC4A8:SE24	2.00001842757367e-64	3.30829494445347e-62	chr12:51505835-51505930:+	chr12:51509191:+;chr12:51515763:+	TRUE	SLC4A8
TOP2A:SE23	3.70998649554628e-64	6.08650653347204e-62	chr17:40411645-40411818:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
TOP2A:SE16	2.08174535827751e-63	3.38749051592881e-61	chr17:40406584-40406689:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
PPP1R12A:SE07	3.92006159272423e-63	6.32742199825609e-61	chr12:79820774-79820931:-	chr12:79773826:-;chr12:79797300:-	TRUE	PPP1R12A
TOP2A:SE21	4.12476958763357e-63	6.60458106371888e-61	chr17:40411109-40411246:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
TOP2A:SE05	1.07729591027589e-62	1.7112760035057e-60	chr17:40398558-40398641:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-	TRUE	TOP2A
CBFA2T2:SE07	1.36824870931928e-62	2.15633841866341e-60	chr20:33628350-33628435:+	chr20:33645276:+;chr20:33650029:+	TRUE	CBFA2T2
TOP2A:SE14	1.48774387750121e-62	2.32634325845209e-60	chr17:40404791-40404883:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
CBFA2T2:SE08	2.11076346695352e-62	3.2749558752771e-60	chr20:33629719-33629914:+	chr20:33645276:+;chr20:33650029:+	TRUE	CBFA2T2
RBM39:SE13	5.13432151622947e-62	7.90488039594868e-60	chr20:35740525-35740597:-	chr20:35703614:-;chr20:35704326:-	TRUE	RBM39
KIAA0895:SE04	8.86703356518332e-62	1.35476089165759e-59	chr7:36356902-36357590:-	chr7:36324223:-;chr7:36355535:-	TRUE	KIAA0895
SENP5:SE04	5.9656247130701e-61	9.0456044418256e-59	chr3:196903533-196903610:+	chr3:196904815:+;chr3:196931230:+;chr3:196931675:+;chr3:196932305:+;chr3:196934714:+	TRUE	SENP5
GMPS:SE03	1.3793251675466e-60	2.07572881416882e-58	chr3:155911114-155911279:+	chr3:155937713:+;chr3:155944020:+	TRUE	GMPS
SVOP:SE01	7.16771059974013e-60	1.07060990786417e-57	chr12:108915783-108915872:-	chr12:108908364:-;chr12:108910885:-	TRUE	SVOP
PLEKHA5:SE09	2.61108423117217e-59	3.87117413977118e-57	chr12:19269770-19269885:+	chr12:19271521:+;chr12:19376400:+	TRUE	PLEKHA5
SVIL-AS1:SE02	4.8743894025204e-59	7.17359587437102e-57	chr10:29458274-29458520:+	chr10:29461148:+;chr10:29469122:+;chr10:29485702:+	TRUE	SVIL-AS1
CBFA2T2:SE01	5.14428546634143e-59	7.51553821962217e-57	chr20:33573974-33574261:+	chr20:33645276:+;chr20:33650029:+	TRUE	CBFA2T2
PCNT:SE03	5.00043467984216e-58	7.25244203746673e-56	chr21:46349012-46349186:+	chr21:46357133:+;chr21:46363573:+;chr21:46381735:+;chr21:46445767:+	TRUE	PCNT
GMPS:SE05	3.06986169026059e-57	4.42037998061624e-55	chr3:155916019-155916192:+	chr3:155937713:+;chr3:155944020:+	TRUE	GMPS
LINC01551:SE01	5.82147838340467e-57	8.32263498884604e-55	chr14:28773360-28773433:+	chr14:28776172:+;chr14:28778558:+;chr14:28793232:+;chr14:28793564:+;chr14:28794831:+	TRUE	LINC01551
ANKHD1:SE02	7.85480409612092e-57	1.11499222683589e-54	chr5:140482580-140482667:+	chr5:140496774:+;chr5:140510048:+;chr5:140524153:+;chr5:140539853:+	TRUE	ANKHD1
PHKG2:SE02	1.34448810805352e-56	1.89506545652755e-54	chr16:30756590-30756715:+	chr16:30757362:+;chr16:30761170:+	TRUE	PHKG2
TTC3:SE12	2.05348542751778e-56	2.87416159662716e-54	chr21:37150820-37150884:+	chr21:37160839:+;chr21:37165771:+;chr21:37203101:+	TRUE	TTC3
BAZ2B:SE22	1.68672730245608e-55	2.3444338165735e-53	chr2:159405022-159405114:-	chr2:159350326:-;chr2:159389459:-;chr2:159404850:-	TRUE	BAZ2B
NXPE3:SE03	2.28267433284888e-55	3.15087770841174e-53	chr3:101816795-101817001:+	chr3:101822620:+;chr3:101822826:+;chr3:101822934:+;chr3:101827392:+	TRUE	NXPE3
ZMYM3:SE17	4.5125813732379e-55	6.1862545332436e-53	chrX:71250026-71250203:-	chrX:71239629:-;chrX:71249204:-	TRUE	ZMYM3
GAPVD1:SE16	1.95854088628398e-54	2.66667998904584e-52	chr9:125337221-125337591:+	chr9:125342256:+;chr9:125363042:+;chr9:125363406:+;chr9:125365004:+	TRUE	GAPVD1
MOK:SE03	8.12141030276399e-54	1.09831099466095e-51	chr14:102231707-102231821:-	chr14:102224500:-;chr14:102228839:-	TRUE	MOK
CBFA2T2:SE06	7.6921852867874e-53	1.03328247325537e-50	chr20:33624764-33625017:+	chr20:33645276:+;chr20:33650029:+	TRUE	CBFA2T2
LRIG2:SE12	5.2800317450767e-52	7.04532235851401e-50	chr1:113116287-113116436:+	chr1:113124738:+;chr1:113125198:+;chr1:113132260:+	TRUE	LRIG2
TOP2A:SE25	6.33614503686179e-52	8.3985392657476e-50	chr17:40413195-40413292:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
SLC36A4:SE03	1.29671171419051e-51	1.70747927365283e-49	chr11:93184430-93184520:-	chr11:93147684:-;chr11:93148272:-;chr11:93183688:-	TRUE	SLC36A4
LRIG2:SE13	2.54849247350382e-51	3.33386123249535e-49	chr1:113119233-113119523:+	chr1:113124738:+;chr1:113125198:+;chr1:113132260:+	TRUE	LRIG2
BAZ2B:SE23	4.70924587231458e-51	6.04202282912668e-49	chr2:159412335-159412545:-	chr2:159350326:-;chr2:159389459:-;chr2:159404850:-	TRUE	BAZ2B
BAZ2B:SE25	4.70924587231458e-51	6.04202282912668e-49	chr2:159428311-159428419:-	chr2:159350326:-;chr2:159389459:-;chr2:159404850:-	TRUE	BAZ2B
BAZ2B:SE26	4.70924587231458e-51	6.04202282912668e-49	chr2:159429200-159429260:-	chr2:159350326:-;chr2:159389459:-;chr2:159404850:-	TRUE	BAZ2B
ANKRD36B:SE17	3.61530067031212e-50	4.60893266982784e-48	chr2:97543790-97543862:-	chr2:97513328:-;chr2:97515785:-;chr2:97515850:-;chr2:97540057:-;chr2:97541934:-	TRUE	ANKRD36B
PRRC2B:SE07	7.67534602022721e-50	9.72291459461061e-48	chr9:131467563-131467753:+	chr9:131473602:+;chr9:131474636:+;chr9:131496344:+;chr9:131498152:+	TRUE	PRRC2B
LRIG2:SE11	2.0889049456091e-49	2.6295240557463e-47	chr1:113114427-113114876:+	chr1:113124738:+;chr1:113125198:+;chr1:113132260:+	TRUE	LRIG2
SLC35F5:SE02	2.36397844735676e-49	2.95718928899034e-47	chr2:113723104-113723194:-	chr2:113706779:-;chr2:113713779:-;chr2:113714213:-;chr2:113714353:-	TRUE	SLC35F5
