SE_id	p_value	FDR	exon	pas_id	sig	gene_id
CCND2:SE01	1.98502470495507e-29	6.09282279893633e-27	chr12:4276005-4276220:+	chr12:4276581:+;chr12:4300213:+;chr12:4305353:+	TRUE	CCND2
DEF8:SE02	2.10484788255853e-29	6.27058947130451e-27	chr16:89954243-89954376:+	chr16:89959366:+;chr16:89968060:+	TRUE	DEF8
MAP4K4:SE17	3.13710622099827e-29	9.07878540356898e-27	chr2:101887778-101887937:+	chr2:101891494:+;chr2:101892039:+;chr2:101892804:+;chr2:101894690:+	TRUE	MAP4K4
KANK3:SE01	4.39507916476952e-29	1.23660435722085e-26	chr19:8324449-8324547:-	chr19:8322584:-;chr19:8323302:-	TRUE	KANK3
AGAP3:SE05	5.09872231240576e-29	1.39580968384751e-26	chr7:151120520-151120745:+	chr7:151123636:+;chr7:151144434:+	TRUE	AGAP3
APP:SE01	5.69312497393348e-29	1.51751744370979e-26	chr21:25891722-25891868:-	chr21:25880553:-;chr21:25880806:-	TRUE	APP
TPM1:SE02	7.39426625398648e-29	1.92042366375972e-26	chr15:63044027-63044152:+	chr15:63066093:+;chr15:63070637:+;chr15:63071915:+	TRUE	TPM1
APP:SE06	2.12296456139714e-27	5.37587701059792e-25	chr21:25975954-25976028:-	chr21:25880553:-;chr21:25880806:-	TRUE	APP
MAP4K4:SE16	7.02879722449422e-27	1.73645578260737e-24	chr2:101885187-101885287:+	chr2:101891494:+;chr2:101892039:+;chr2:101892804:+;chr2:101894690:+	TRUE	MAP4K4
APP:SE02	1.65560172580774e-25	3.99275949540633e-23	chr21:25905024-25905077:-	chr21:25880553:-;chr21:25880806:-	TRUE	APP
FBXO44:SE01	4.45961211055068e-25	1.05049793180855e-22	chr1:11658533-11658628:+	chr1:11662291:+;chr1:11663324:+	TRUE	FBXO44
CBFA2T2:SE05	2.28383353633138e-24	5.25748861125013e-22	chr20:33623115-33623296:+	chr20:33624260:+;chr20:33645290:+	TRUE	CBFA2T2
LRRC27:SE03	2.97853880697237e-24	6.70435990573848e-22	chr10:132348963-132349057:+	chr10:132353396:+;chr10:132367001:+;chr10:132375457:+	TRUE	LRRC27
MTERF4:SE03	1.24038851489501e-23	2.73128157986338e-21	chr2:241097243-241097427:-	chr2:241075547:-;chr2:241087096:-;chr2:241087222:-;chr2:241089169:-;chr2:241095571:-	TRUE	MTERF4
ZNF638:SE12	8.09790677937906e-23	1.74518505890065e-20	chr2:71393394-71393645:+	chr2:71395688:+;chr2:71435058:+	TRUE	ZNF638
CRLF3:SE05	6.73868531331819e-22	1.4220029903875e-19	chr17:30803901-30804108:-	chr17:30782684:-;chr17:30803295:-	TRUE	CRLF3
PDLIM7:SE05	8.50120331138437e-22	1.75732017022474e-19	chr5:177491404-177491420:-	chr5:177483400:-;chr5:177490246:-	TRUE	PDLIM7
NCBP3:SE02	2.14733063655745e-21	4.35006240353808e-19	chr17:3840100-3840205:-	chr17:3811523:-;chr17:3811708:-;chr17:3812147:-;chr17:3812247:-;chr17:3839104:-	TRUE	NCBP3
CIRBP:SE02	2.28844163928812e-21	4.54502458124496e-19	chr19:1271140-1271246:+	chr19:1273172:+;chr19:1274810:+	TRUE	CIRBP
C9orf85:SE03	6.48229512965024e-21	1.26267629554283e-18	chr9:71971505-71971618:+	chr9:71973399:+;chr9:71973457:+;chr9:71983949:+	TRUE	C9orf85
RUVBL1:SE01	8.95366457923903e-21	1.71116355703985e-18	chr3:128082483-128082574:-	chr3:128064782:-;chr3:128080963:-;chr3:128081019:-	TRUE	RUVBL1
SVIL-AS1:SE02	2.28312547023121e-20	4.28255146073554e-18	chr10:29458274-29458520:+	chr10:29461146:+;chr10:29469122:+;chr10:29483913:+	TRUE	SVIL-AS1
HEXA:SE01	3.23204732513764e-20	5.95225588296712e-18	chr15:72346527-72346710:-	chr15:72343437:-;chr15:72343885:-;chr15:72345229:-	TRUE	HEXA
ZNF638:SE11	4.38597524101581e-20	7.93313271718735e-18	chr2:71388623-71388723:+	chr2:71395688:+;chr2:71435058:+	TRUE	ZNF638
SLC25A48:SE09	8.30723161185531e-20	1.47620963151724e-17	chr5:135880773-135880910:+	chr5:135883446:+;chr5:135888637:+	TRUE	SLC25A48
CROT:SE01	1.81328386982851e-19	3.16668143405052e-17	chr7:87349048-87349183:+	chr7:87351337:+;chr7:87360054:+;chr7:87399793:+	TRUE	CROT
LRRC27:SE06	3.75945881744594e-19	6.45416243422203e-17	chr10:132365424-132365550:+	chr10:132367001:+;chr10:132375457:+	TRUE	LRRC27
WDR20:SE01	6.09787267853216e-19	1.02942253934754e-16	chr14:102194938-102195120:+	chr14:102210527:+;chr14:102223673:+	TRUE	WDR20
PRMT2:SE01	7.04121189296889e-19	1.16918746334233e-16	chr21:46636439-46636547:+	chr21:46660144:+;chr21:46661270:+;chr21:46664941:+	TRUE	PRMT2
SEPTIN2:SE04	3.76567193331382e-18	6.15201467944124e-16	chr2:241324216-241324241:+	chr2:241352555:+;chr2:241354027:+	TRUE	SEPTIN2
GSTM2:SE02	7.34393952595175e-18	1.18074227711691e-15	chr1:109670175-109670234:+	chr1:109675108:+;chr1:109675286:+	TRUE	GSTM2
SPIRE2:SE04	1.25607833882701e-17	1.98794023343418e-15	chr16:89869567-89869682:+	chr16:89870385:+;chr16:89871319:+	TRUE	SPIRE2
CNPY3:SE02	1.51716976669391e-17	2.36421731797578e-15	chr6:42935412-42935473:+	chr6:42936365:+;chr6:42939263:+	TRUE	CNPY3
GAREM2:SE01	1.9877236536622e-17	3.05055346787037e-15	chr2:26176344-26176484:+	chr2:26177016:+;chr2:26189651:+	TRUE	GAREM2
SPIRE2:SE02	3.61005492381515e-17	5.45764870497368e-15	chr16:89863794-89863861:+	chr16:89870385:+;chr16:89871319:+	TRUE	SPIRE2
LMBRD2:SE11	3.78420827692398e-17	5.63680082896515e-15	chr5:36143176-36143406:-	chr5:36098556:-;chr5:36102960:-;chr5:36103309:-;chr5:36141041:-;chr5:36142710:-	TRUE	LMBRD2
SLC6A7:SE02	5.5324008690379e-17	8.12140411630216e-15	chr5:150197042-150197276:+	chr5:150198140:+;chr5:150211063:+	TRUE	SLC6A7
TPM3:SE01	2.99914421713408e-16	4.33976168219302e-14	chr1:154169305-154169383:-	chr1:154156364:-;chr1:154158612:-	TRUE	TPM3
PTPRK:SE17	3.23624748065607e-16	4.61689446923455e-14	chr6:128003197-128003232:-	chr6:127968785:-;chr6:127999982:-;chr6:128000164:-	TRUE	PTPRK
DNAJB6:SE03	3.97386241421004e-16	5.5904517213241e-14	chr7:157382246-157382377:+	chr7:157386302:+;chr7:157417435:+	TRUE	DNAJB6
ZNF606:SE01	5.21187586049224e-16	7.23165624533231e-14	chr19:57999808-57999896:-	chr19:57977072:-;chr19:57977370:-;chr19:57997612:-	TRUE	ZNF606
SPIRE2:SE03	5.87461353857767e-16	8.04107574760179e-14	chr16:89868189-89868216:+	chr16:89870385:+;chr16:89871319:+	TRUE	SPIRE2
NPM2:SE05	1.08369087879779e-15	1.46356065484571e-13	chr8:22034510-22034544:+	chr8:22036034:+;chr8:22036897:+	TRUE	NPM2
SRSF3:SE01	1.11771654517257e-15	1.48965143237539e-13	chr6:36599821-36600276:+	chr6:36602293:+;chr6:36602784:+;chr6:36602935:+;chr6:36603429:+	TRUE	SRSF3
COX20:SE02	1.41423630250367e-15	1.86036357247528e-13	chr1:244841944-244842058:+	chr1:244843284:+;chr1:244843562:+;chr1:244845057:+	TRUE	COX20
PLEKHA1:SE05	5.10442881915493e-15	6.62855891143849e-13	chr10:122426942-122427031:+	chr10:122429168:+;chr10:122432345:+	TRUE	PLEKHA1
SEH1L:SE05	3.29250402653035e-14	4.22149028920581e-12	chr18:12984040-12984190:+	chr18:12985717:+;chr18:12987531:+	TRUE	SEH1L
CD2BP2:SE01	1.21535145054377e-13	1.53878685531973e-11	chr16:30353181-30353287:-	chr16:30350773:-;chr16:30352847:-	TRUE	CD2BP2
DUSP11:SE03	1.31481604983215e-13	1.64416935416664e-11	chr2:73769265-73769325:-	chr2:73762213:-;chr2:73767417:-	TRUE	DUSP11
FAIM2:SE01	2.57034754436782e-13	3.17500613132946e-11	chr12:49889481-49889568:-	chr12:49866896:-;chr12:49870399:-	TRUE	FAIM2
EXD3:SE15	2.81073656259027e-13	3.43011453523817e-11	chr9:137366493-137366632:-	chr9:137306916:-;chr9:137366145:-	TRUE	EXD3
PCSK1:SE08	3.86459737002113e-13	4.66006032868381e-11	chr5:96416033-96416121:-	chr5:96390333:-;chr5:96390504:-;chr5:96392982:-;chr5:96414977:-	TRUE	PCSK1
CREM:SE01	4.64650773661967e-13	5.5369972781436e-11	chr10:35148368-35148491:+	chr10:35179847:+;chr10:35211876:+;chr10:35212125:+;chr10:35212465:+;chr10:35212953:+	TRUE	CREM
RBMX2:SE01	4.83122235810302e-13	5.6901687517704e-11	chrX:130409257-130409386:+	chrX:130411530:+;chrX:130413341:+;chrX:130413656:+	TRUE	RBMX2
HPS1:SE10	3.90064008315105e-12	4.54133142554449e-10	chr10:98429791-98429889:-	chr10:98416212:-;chr10:98417015:-;chr10:98429144:-	TRUE	HPS1
SDCCAG8:SE01	4.72768023338385e-12	5.44166739590284e-10	chr1:243274543-243274656:+	chr1:243306442:+;chr1:243500091:+	TRUE	SDCCAG8
HEXA:SE02	2.41504525993646e-11	2.74853858852769e-09	chr15:72347686-72347758:-	chr15:72343437:-;chr15:72343885:-;chr15:72345229:-	TRUE	HEXA
TXLNG:SE07	3.35809057392168e-11	3.77934438036141e-09	chrX:16837593-16837685:+	chrX:16837934:+;chrX:16843225:+;chrX:16844519:+	TRUE	TXLNG
RABGGTB:SE02	3.85291015591367e-11	4.28858538123622e-09	chr1:75790446-75790517:+	chr1:75794807:+;chr1:75795083:+	TRUE	RABGGTB
SYNRG:SE10	4.08102516300667e-11	4.49311998653202e-09	chr17:37577380-37577613:-	chr17:37514911:-;chr17:37518461:-;chr17:37550500:-	TRUE	SYNRG
MEAF6:SE02	6.00711189763512e-11	6.5425845603383e-09	chr1:37496547-37496604:-	chr1:37492559:-;chr1:37493178:-;chr1:37493311:-	TRUE	MEAF6
METTL6:SE03	6.15520654354084e-11	6.63256245526863e-09	chr3:15415498-15415583:-	chr3:15410104:-;chr3:15411336:-;chr3:15413671:-	TRUE	METTL6
RABGGTB:SE01	6.720023938368e-11	7.16496026018205e-09	chr1:75790152-75790274:+	chr1:75794807:+;chr1:75795083:+	TRUE	RABGGTB
NAGLU:SE01	8.91895977236192e-11	9.41043161815144e-09	chr17:42538670-42538755:+	chr17:42539624:+;chr17:42544449:+	TRUE	NAGLU
MFSD13A:SE03	9.44859185944001e-11	9.86647288085236e-09	chr10:102471273-102471396:+	chr10:102472250:+;chr10:102477045:+	TRUE	MFSD13A
NAF1:SE04	1.15379764616962e-10	1.19253228143389e-08	chr4:163158225-163158327:-	chr4:163128669:-;chr4:163156958:-;chr4:163157163:-	TRUE	NAF1
C8orf44:SE02	1.36282953515616e-10	1.39435357187845e-08	chr8:66677642-66677954:+	chr8:66678295:+;chr8:66680484:+;chr8:66681481:+;chr8:66681524:+	TRUE	C8orf44
AOPEP:SE12	1.57134927033865e-10	1.59161967592602e-08	chr9:95080694-95080780:+	chr9:95084335:+;chr9:95087159:+	TRUE	AOPEP
ZNF706:SE01	2.62618692201031e-10	2.63372745871708e-08	chr8:101202333-101202447:-	chr8:101197052:-;chr8:101198936:-	TRUE	ZNF706
TMEM234:SE03	2.81413407372404e-10	2.79454549340694e-08	chr1:32217437-32217577:-	chr1:32214477:-;chr1:32216200:-	TRUE	TMEM234
ZNF718:SE02	3.83116270234463e-10	3.76755796233483e-08	chr4:131410-131505:+	chr4:133826:+;chr4:134711:+;chr4:164162:+	TRUE	ZNF718
MEG3:SE01	4.56493141306951e-10	4.44597983490202e-08	chr14:100831016-100831094:+	chr14:100846443:+;chr14:100861026:+	TRUE	MEG3
CD47:SE01	4.94464768644138e-10	4.76993680152046e-08	chr3:108049619-108049651:-	chr3:108043299:-;chr3:108047079:-	TRUE	CD47
MPHOSPH8:SE05	8.84229470741106e-10	8.44939651805346e-08	chr13:19663040-19663126:+	chr13:19666749:+;chr13:19671118:+;chr13:19673457:+	TRUE	MPHOSPH8
ABLIM2:SE18	1.21835210221202e-09	1.15333536853323e-07	chr4:8097099-8097282:-	chr4:7965327:-;chr4:8095087:-	TRUE	ABLIM2
MBD1:SE01	1.44822185588839e-09	1.35173205452805e-07	chr18:50272677-50272738:-	chr18:50268846:-;chr18:50269031:-;chr18:50271042:-	TRUE	MBD1
GRAMD2B:SE01	1.45462329888002e-09	1.35173205452805e-07	chr5:126466294-126466336:+	chr5:126493912:+;chr5:126494150:+	TRUE	GRAMD2B
SVOP:SE01	1.5211117619194e-09	1.40066736695287e-07	chr12:108915783-108915872:-	chr12:108908364:-;chr12:108910885:-	TRUE	SVOP
DTNB:SE12	2.10686777392163e-09	1.92256429568038e-07	chr2:25596086-25596240:-	chr2:25377243:-;chr2:25576217:-	TRUE	DTNB
MAPK9:SE02	2.32385309757838e-09	2.10163464512245e-07	chr5:180239924-180239987:-	chr5:180233594:-;chr5:180234856:-;chr5:180235795:-	TRUE	MAPK9
PPP2R5C:SE04	2.39651333974803e-09	2.14816669188565e-07	chr14:101831701-101831804:+	chr14:101836558:+;chr14:101838470:+;chr14:101912625:+;chr14:101927741:+;chr14:101927977:+	TRUE	PPP2R5C
ANKRD10:SE03	2.55712342606543e-09	2.27202659496638e-07	chr13:110900530-110900661:-	chr13:110878540:-;chr13:110892710:-	TRUE	ANKRD10
CD47:SE02	3.59520234827305e-09	3.16659170310067e-07	chr3:108050578-108050602:-	chr3:108043299:-;chr3:108047079:-	TRUE	CD47
ZNF138:SE04	4.16962529938144e-09	3.64087367736505e-07	chr7:64814918-64815044:+	chr7:64831752:+;chr7:64833676:+	TRUE	ZNF138
POLR2B:SE03	4.64705217496689e-09	4.02307619489227e-07	chr4:56994404-56994516:+	chr4:56994954:+;chr4:57031155:+	TRUE	POLR2B
NAAA:SE01	5.00857772612328e-09	4.29931218541548e-07	chr4:75918761-75918789:-	chr4:75910851:-;chr4:75913660:-;chr4:75916438:-	TRUE	NAAA
LUC7L2:SE02	5.36968521584248e-09	4.57054971019063e-07	chr7:139374401-139374471:+	chr7:139412853:+;chr7:139419831:+;chr7:139423148:+;chr7:139423454:+	TRUE	LUC7L2
MPHOSPH8:SE04	6.89556875060878e-09	5.82043465624303e-07	chr13:19661698-19661838:+	chr13:19666749:+;chr13:19671118:+;chr13:19673457:+	TRUE	MPHOSPH8
PACS2:SE01	7.60825854665597e-09	6.36892981975853e-07	chr14:105385685-105385717:+	chr14:105395206:+;chr14:105398147:+	TRUE	PACS2
ANAPC16:SE01	7.93000264336572e-09	6.58385219464356e-07	chr10:72220054-72220379:+	chr10:72224154:+;chr10:72233295:+;chr10:72233760:+;chr10:72233829:+	TRUE	ANAPC16
CENPN:SE03	1.04511667278872e-08	8.60649331599749e-07	chr16:81022597-81022698:+	chr16:81022874:+;chr16:81029330:+;chr16:81031483:+	TRUE	CENPN
TRAF3IP2-AS1:SE02	1.16919305224923e-08	9.55061002115524e-07	chr6:111484744-111484861:+	chr6:111503608:+;chr6:111578177:+;chr6:111598302:+;chr6:111598783:+	TRUE	TRAF3IP2-AS1
EXOC7:SE07	1.20676684562745e-08	9.77867310348832e-07	chr17:76086854-76086892:-	chr17:76081016:-;chr17:76083577:-	TRUE	EXOC7
MPHOSPH8:SE03	1.34700836485291e-08	1.08284505774565e-06	chr13:19659201-19659289:+	chr13:19666749:+;chr13:19671118:+;chr13:19673457:+	TRUE	MPHOSPH8
MEG3:SE03	1.72182975494025e-08	1.37326091242439e-06	chr14:100832512-100832641:+	chr14:100846443:+;chr14:100861026:+	TRUE	MEG3
CAMKK2:SE01	1.94478024922761e-08	1.53895930815832e-06	chr12:121244573-121244615:-	chr12:121237692:-;chr12:121237770:-;chr12:121243588:-	TRUE	CAMKK2
GSTM4:SE01	2.22250963414657e-08	1.7451007817264e-06	chr1:109657590-109657671:+	chr1:109661700:+;chr1:109665497:+	TRUE	GSTM4
WDR12:SE01	2.28906922411648e-08	1.78353709008276e-06	chr2:202897300-202897415:-	chr2:202880604:-;chr2:202895510:-	TRUE	WDR12
HAUS2:SE03	2.64770122162517e-08	2.04721875372835e-06	chr15:42560782-42560870:+	chr15:42561690:+;chr15:42567074:+;chr15:42568926:+;chr15:42569994:+	TRUE	HAUS2
MAPK9:SE03	3.09704245726238e-08	2.37651083709171e-06	chr5:180241031-180241155:-	chr5:180233594:-;chr5:180234856:-;chr5:180235795:-	TRUE	MAPK9
SLC25A48:SE07	3.46792749194591e-08	2.64110056886618e-06	chr5:135871461-135871718:+	chr5:135883446:+;chr5:135888637:+	TRUE	SLC25A48
ZNF626:SE02	3.9569736589678e-08	2.99105867102125e-06	chr19:20646279-20646405:-	chr19:20622249:-;chr19:20644699:-;chr19:20644848:-	TRUE	ZNF626
ELOC:SE02	4.71640606369876e-08	3.53870200142257e-06	chr8:73959765-73959818:-	chr8:73945612:-;chr8:73946401:-;chr8:73946610:-	TRUE	ELOC
CD2BP2:SE02	6.61528995548798e-08	4.92693176170131e-06	chr16:30353368-30353800:-	chr16:30350773:-;chr16:30352847:-	TRUE	CD2BP2
MAP4K4:SE12	1.19384766604898e-07	8.6996280643238e-06	chr2:101873647-101873764:+	chr2:101891494:+;chr2:101892039:+;chr2:101892804:+;chr2:101894690:+	TRUE	MAP4K4
MAP4K4:SE13	1.19384766604898e-07	8.6996280643238e-06	chr2:101874082-101874252:+	chr2:101891494:+;chr2:101892039:+;chr2:101892804:+;chr2:101894690:+	TRUE	MAP4K4
MAP4K4:SE14	1.19384766604898e-07	8.6996280643238e-06	chr2:101877003-101877146:+	chr2:101891494:+;chr2:101892039:+;chr2:101892804:+;chr2:101894690:+	TRUE	MAP4K4
LAS1L:SE02	1.23848689362443e-07	8.96045267537276e-06	chrX:65524564-65524614:-	chrX:65512582:-;chrX:65520429:-;chrX:65521316:-	TRUE	LAS1L
ZNF263:SE01	1.39682162211397e-07	1.00343306456684e-05	chr16:3285059-3285239:+	chr16:3286885:+;chr16:3291460:+	TRUE	ZNF263
BAALC:SE02	1.43370343188801e-07	1.02267479306997e-05	chr8:103212919-103213085:+	chr8:103228347:+;chr8:103229350:+;chr8:103230305:+	TRUE	BAALC
MPHOSPH8:SE06	1.53671946288521e-07	1.08849170906044e-05	chr13:19666425-19666579:+	chr13:19671118:+;chr13:19673457:+	TRUE	MPHOSPH8
CALM3:SE02	1.68111802518893e-07	1.18250308869019e-05	chr19:46605827-46605857:+	chr19:46609305:+;chr19:46610782:+	TRUE	CALM3
CAMTA1:SE02	1.72913061081212e-07	1.20788716944248e-05	chr1:6820181-6820250:+	chr1:6872020:+;chr1:6888201:+	TRUE	CAMTA1
RSAD1:SE01	1.83694301505314e-07	1.26828631451505e-05	chr17:50479629-50479762:+	chr17:50483200:+;chr17:50485980:+	TRUE	RSAD1
ARHGEF9:SE02	1.84063666930311e-07	1.26828631451505e-05	chrX:63665886-63666017:-	chrX:63634967:-;chrX:63637982:-	TRUE	ARHGEF9
RSAD1:SE02	2.17466256935868e-07	1.48832143006987e-05	chr17:50479880-50480084:+	chr17:50483200:+;chr17:50485980:+	TRUE	RSAD1
SERINC3:SE01	2.84798857520795e-07	1.93605881062291e-05	chr20:44501073-44501300:-	chr20:44497444:-;chr20:44499205:-;chr20:44499528:-;chr20:44499593:-	TRUE	SERINC3
APP:SE07	3.14369199222222e-07	2.11469704393268e-05	chr21:25982344-25982477:-	chr21:25880553:-;chr21:25880806:-	TRUE	APP
CYB561D2:SE01	3.1525249642989e-07	2.11469704393268e-05	chr3:50352009-50352046:+	chr3:50354079:+;chr3:50368192:+	TRUE	CYB561D2
CLPX:SE01	4.38881043044342e-07	2.92462242433957e-05	chr15:65164029-65164188:-	chr15:65148219:-;chr15:65148848:-;chr15:65150452:-	TRUE	CLPX
ZNF875:SE04	4.47637593710629e-07	2.9474853066212e-05	chr19:37325154-37325274:+	chr19:37329712:+;chr19:37364447:+	TRUE	ZNF875
SNHG21:SE01	4.48131836528448e-07	2.9474853066212e-05	chr15:82756730-82756785:+	chr15:82757085:+;chr15:82757206:+	TRUE	SNHG21
SNX25:SE04	4.65189699982407e-07	3.03993965878826e-05	chr4:185310635-185310816:+	chr4:185311974:+;chr4:185363966:+	TRUE	SNX25
ZNF626:SE01	5.2242468376671e-07	3.39207668068783e-05	chr19:20645684-20645779:-	chr19:20622249:-;chr19:20644699:-;chr19:20644848:-	TRUE	ZNF626
RB1:SE01	5.90452016946978e-07	3.80935571952608e-05	chr13:48307280-48307406:+	chr13:48309408:+;chr13:48481890:+	TRUE	RB1
MAP4K4:SE07	5.97412579139984e-07	3.82986836336006e-05	chr2:101858996-101859082:+	chr2:101891494:+;chr2:101892039:+;chr2:101892804:+;chr2:101894690:+	TRUE	MAP4K4
SLC6A12:SE01	6.58611568453211e-07	4.19564564582552e-05	chr12:192478-192648:-	chr12:190146:-;chr12:191551:-	TRUE	SLC6A12
PRPF40A:SE07	7.85211832713792e-07	4.97088165847375e-05	chr2:152679056-152679109:-	chr2:152655332:-;chr2:152656028:-;chr2:152656293:-;chr2:152672551:-	TRUE	PRPF40A
GFPT2:SE09	7.95168125842375e-07	4.98264262065607e-05	chr5:180328277-180328338:-	chr5:180300698:-;chr5:180315170:-	TRUE	GFPT2
SEC14L2:SE01	7.96907991456494e-07	4.98264262065607e-05	chr22:30399643-30399718:+	chr22:30416975:+;chr22:30422520:+;chr22:30423840:+	TRUE	SEC14L2
STT3A:SE08	8.84868513332953e-07	5.49867065739232e-05	chr11:125611428-125611519:+	chr11:125621014:+;chr11:125621329:+;chr11:125622759:+	TRUE	STT3A
ZNF718:SE01	8.95190078160749e-07	5.5288904278599e-05	chr4:130788-130914:+	chr4:133826:+;chr4:134711:+;chr4:164162:+	TRUE	ZNF718
EXOC7:SE13	9.29088498248685e-07	5.70347721137026e-05	chr17:76091143-76091235:-	chr17:76081016:-;chr17:76083577:-	TRUE	EXOC7
MAP4K4:SE15	9.69668504988025e-07	5.91673029338778e-05	chr2:101882551-101882685:+	chr2:101891494:+;chr2:101892039:+;chr2:101892804:+;chr2:101894690:+	TRUE	MAP4K4
