gene_id	p_value	dominant_pair	dominant_pair_coor	contribution	PA1	PA2	annotation	FDR	sig	tss	pas
ARPP21	8.78084163501437e-84	TSS03-PA03	chr3:35639589:+|chr3:35794480:+	96.5504187405395	chr3:35685887:+	chr3:35794480:+	ALE	1.18489710063076e-81	TRUE	chr3:35638945:+;chr3:35639525:+;chr3:35639589:+;chr3:35642290:+;chr3:35643621:+;chr3:35679620:+;chr3:35679745:+;chr3:35680937:+;chr3:35721636:+	chr3:35794480:+;chr3:35685887:+;chr3:35684108:+
PPP4R3B	2.32410798582498e-83	TSS04-PA03	chr2:55618880:-|chr2:55616155:-	303.601428571429	chr2:55613997:-	chr2:55548378:-	ALE	2.96194651082361e-81	TRUE	chr2:55617608:-;chr2:55618880:-	chr2:55548378:-;chr2:55613997:-;chr2:55616155:-
TPM2	1.82499824937473e-81	TSS06-PA02	chr9:35690056:-|chr9:35682926:-	348.910037878788	chr9:35682008:-	chr9:35682926:-	ALE	2.20344525477139e-79	TRUE	chr9:35685543:-;chr9:35689900:-;chr9:35690056:-	chr9:35682008:-;chr9:35682926:-
OBSL1	1.83027684981702e-73	TSS01-PA01	chr2:219552389:-|chr2:219550728:-	116.28719395466	chr2:219561722:-	chr2:219550728:-	ALE	2.09932754674013e-71	TRUE	chr2:219552389:-;chr2:219552714:-;chr2:219565379:-;chr2:219571241:-;chr2:219571464:-	chr2:219550728:-;chr2:219561722:-;chr2:219555149:-;chr2:219555759:-
SEPTIN8	6.35472158724749e-73	TSS05-PA01	chr5:132777344:-|chr5:132750824:-	163.352670950028	chr5:132758143:-	chr5:132750824:-	ALE	6.94177681959321e-71	TRUE	chr5:132760871:-;chr5:132765474:-;chr5:132777220:-;chr5:132777344:-;chr5:132777869:-;chr5:132778009:-	chr5:132750824:-;chr5:132758143:-
AIG1	2.05037771401144e-69	TSS02-PA01	chr6:143060463:+|chr6:143061595:+	243.993909124946	chr6:143340304:+	chr6:143340018:+	TUTR	2.13798476179192e-67	TRUE	chr6:143060463:+;chr6:143060842:+	chr6:143061595:+;chr6:143340304:+;chr6:143340018:+
SRRM2	2.87477955270935e-69	TSS21-PA03	chr16:2771278:+|chr16:2771408:+	69.5620044826548	chr16:2771408:+	chr16:2758536:+	ALE	2.86728012778924e-67	TRUE	chr16:2752626:+;chr16:2767856:+;chr16:2768081:+;chr16:2769374:+;chr16:2769895:+;chr16:2770355:+;chr16:2771278:+	chr16:2758536:+;chr16:2760846:+;chr16:2771408:+
TMBIM6	4.96871569448776e-67	TSS08-PA01	chr12:49752964:+|chr12:49763005:+	291.47665211118	chr12:49764929:+	chr12:49763005:+	TUTR	4.74926408464789e-65	TRUE	chr12:49707725:+;chr12:49741544:+;chr12:49741809:+;chr12:49752456:+;chr12:49752964:+;chr12:49753038:+;chr12:49758207:+	chr12:49764929:+;chr12:49763005:+
SLC12A5	2.71353217174442e-64	TSS01-PA01	chr20:46021686:+|chr20:46023589:+	85.6955183031132	chr20:46060145:+	chr20:46023589:+	ALE	2.48993712079268e-62	TRUE	chr20:46021686:+;chr20:46029182:+;chr20:46057233:+	chr20:46023589:+;chr20:46060145:+
KCNQ2	1.16778124852371e-60	TSS02-PA01	chr20:63408455:-|chr20:63400214:-	262.177536231884	chr20:63433681:-	chr20:63400214:-	ALE	1.03034237850515e-58	TRUE	chr20:63408455:-;chr20:63472505:-;chr20:63472655:-	chr20:63400214:-;chr20:63433681:-
AGAP3	1.09112144925039e-57	TSS20-PA02	chr7:151134482:+|chr7:151144434:+	166.135117169422	chr7:151123636:+	chr7:151144434:+	ALE	9.27049112807554e-56	TRUE	chr7:151085831:+;chr7:151086475:+;chr7:151086742:+;chr7:151087067:+;chr7:151117392:+;chr7:151117754:+;chr7:151118209:+;chr7:151118268:+;chr7:151120016:+;chr7:151120071:+;chr7:151128577:+;chr7:151134482:+	chr7:151123636:+;chr7:151144434:+
ELOB	9.30725356246556e-53	TSS04-PA01	chr16:2777195:-|chr16:2771414:-	209.465692772016	chr16:2771946:-	chr16:2771414:-	TUTR	7.62529988296286e-51	TRUE	chr16:2777127:-;chr16:2777195:-;chr16:2777272:-	chr16:2771414:-;chr16:2771946:-
KIAA0930	5.07112782411807e-51	TSS06-PA03	chr22:45212417:-|chr22:45211337:-	56.4711675964593	chr22:45195828:-	chr22:45196038:-	TUTR	4.01143697535409e-49	TRUE	chr22:45205849:-;chr22:45212081:-;chr22:45212417:-;chr22:45240742:-;chr22:45240894:-	chr22:45195828:-;chr22:45196038:-;chr22:45211337:-
PDE4DIP	5.7395426551532e-51	TSS31-PA05	chr1:149027427:+|chr1:149033016:+	109.762168141593	chr1:148981776:+	chr1:148932725:+	ALE	4.38883695030715e-49	TRUE	chr1:148808434:+;chr1:148844382:+;chr1:148844519:+;chr1:148844592:+;chr1:148952124:+;chr1:148952341:+;chr1:148952457:+;chr1:149017760:+;chr1:149027427:+	chr1:148932725:+;chr1:148981776:+;chr1:148986477:+;chr1:148993882:+;chr1:149033016:+
KHDC1	3.74337206150769e-48	TSS04-PA02	chr6:73310365:-|chr6:73274134:-	44.1528418129706	chr6:73241314:-	chr6:73274134:-	ALE	2.77009532551569e-46	TRUE	chr6:73263172:-;chr6:73310143:-;chr6:73310215:-;chr6:73310365:-	chr6:73241314:-;chr6:73274134:-;chr6:73274777:-
ING5	8.5385462783044e-48	TSS02-PA01	chr2:241687085:+|chr2:241694560:+	57.4923966942149	chr2:241694560:+	chr2:241726410:+	ALE	6.12107036325947e-46	TRUE	chr2:241687020:+;chr2:241687085:+;chr2:241702035:+	chr2:241694560:+;chr2:241724034:+;chr2:241726000:+;chr2:241726410:+;chr2:241729478:+
TPM1	1.42899302569908e-47	TSS02-PA03	chr15:63042747:+|chr15:63071915:+	81.5699843003201	chr15:63071915:+	chr15:63070637:+	TUTR	9.93366666955667e-46	TRUE	chr15:63042632:+;chr15:63042747:+;chr15:63042830:+;chr15:63048439:+;chr15:63057006:+	chr15:63066093:+;chr15:63070637:+;chr15:63071915:+
PDXK	1.51214765445022e-44	TSS05-PA01	chr21:43733671:+|chr21:43738861:+	224.723602484472	chr21:43756259:+	chr21:43762297:+	TUTR	1.02025491744377e-42	TRUE	chr21:43719094:+;chr21:43728730:+;chr21:43733671:+;chr21:43734062:+;chr21:43741016:+;chr21:43753583:+	chr21:43738861:+;chr21:43756259:+;chr21:43762297:+
EIF2B5	1.0434502793579e-40	TSS01-PA01	chr3:184135038:+|chr3:184136973:+	171.507291420778	chr3:184145311:+	chr3:184136973:+	ALE	6.83907125956293e-39	TRUE	chr3:184135038:+;chr3:184135337:+;chr3:184135494:+;chr3:184136649:+	chr3:184136973:+;chr3:184145311:+
SMARCA4	2.34406488862577e-40	TSS23-PA02	chr19:11030799:+|chr19:11062273:+	49.7763418930194	chr19:10996376:+	chr19:11062273:+	ALE	1.4936902373632e-38	TRUE	chr19:10960932:+;chr19:10984124:+;chr19:10984279:+;chr19:10986420:+;chr19:10996264:+;chr19:11007902:+;chr19:11030799:+;chr19:11035022:+;chr19:11041439:+	chr19:10996376:+;chr19:11062273:+
PNKD	1.18029255368579e-33	TSS06-PA02	chr2:218323268:+|chr2:218346787:+	60.923580703339	chr2:218272947:+	chr2:218346787:+	ALE	7.31781383285191e-32	TRUE	chr2:218269651:+;chr2:218270392:+;chr2:218270511:+;chr2:218323173:+;chr2:218323268:+	chr2:218272947:+;chr2:218346787:+
NFIA	2.82760991693198e-32	TSS04-PA01	chr1:61077227:+|chr1:61079250:+	132.785714285714	chr1:61458035:+	chr1:61079250:+	ALE	1.70698346037946e-30	TRUE	chr1:61077227:+;chr1:61082398:+;chr1:61082561:+;chr1:61082621:+;chr1:61082723:+	chr1:61079250:+;chr1:61458035:+
CIRBP	6.07506901808441e-32	TSS18-PA02	chr19:1273504:+|chr19:1274810:+	82.4589814184749	chr19:1273172:+	chr19:1274810:+	TUTR	3.57338675063734e-30	TRUE	chr19:1261156:+;chr19:1261342:+;chr19:1266653:+;chr19:1267154:+;chr19:1269266:+;chr19:1269327:+;chr19:1270943:+;chr19:1271030:+;chr19:1271982:+;chr19:1272917:+;chr19:1273504:+	chr19:1273172:+;chr19:1274810:+
ARMCX4	1.46248622725123e-31	TSS01-PA01	chrX:101418278:+|chrX:101419183:+	62.2253521126761	chrX:101533457:+	chrX:101419183:+	ALE	8.38735851328581e-30	TRUE	chrX:101418278:+;chrX:101485433:+	chrX:101419183:+;chrX:101505384:+;chrX:101533457:+
FGFR2	1.08824059549101e-30	TSS02-PA01	chr10:121485532:-|chr10:121478332:-	78.2876474670368	chr10:121564324:-	chr10:121478332:-	ALE	6.08883884403992e-29	TRUE	chr10:121485532:-;chr10:121594258:-;chr10:121596645:-;chr10:121598298:-;chr10:121598366:-	chr10:121478332:-;chr10:121479218:-;chr10:121564324:-
MALAT1	9.42433506584379e-29	TSS09-PA04	chr11:65504496:+|chr11:65506469:+	45.4124189063948	chr11:65503630:+	chr11:65506469:+	ALE	5.14748205739182e-27	TRUE	chr11:65499042:+;chr11:65501848:+;chr11:65502729:+;chr11:65504496:+;chr11:65504838:+;chr11:65505204:+	chr11:65502999:+;chr11:65503048:+;chr11:65503630:+;chr11:65506469:+
DTNA	4.11130915744677e-28	TSS22-PA03	chr18:34875237:+|chr18:34891402:+	21.4264566331372	chr18:34867338:+	chr18:34891402:+	ALE	2.19333562957742e-26	TRUE	chr18:34493290:+;chr18:34493903:+;chr18:34593318:+;chr18:34710261:+;chr18:34755976:+;chr18:34817962:+;chr18:34818283:+;chr18:34818381:+;chr18:34818448:+;chr18:34820800:+;chr18:34875237:+;chr18:34882089:+	chr18:34829324:+;chr18:34867338:+;chr18:34891402:+
DHX30	1.80523383831569e-27	TSS02-PA01	chr3:47803107:+|chr3:47816180:+	45.8190653167585	chr3:47850193:+	chr3:47816180:+	ALE	9.41183278430953e-26	TRUE	chr3:47802909:+;chr3:47803107:+;chr3:47825028:+	chr3:47850193:+;chr3:47816180:+
RABGEF1	6.84674335869957e-27	TSS01-PA01	chr7:66682164:+|chr7:66685692:+	35.8512008485491	chr7:66811193:+	chr7:66811464:+	TUTR	3.49031761441263e-25	TRUE	chr7:66682164:+;chr7:66740733:+	chr7:66685692:+;chr7:66716639:+;chr7:66811193:+;chr7:66811464:+
SSR1	7.76901779558127e-27	TSS02-PA04	chr6:7301363:-|chr6:7289540:-	40.1958007981954	chr6:7287570:-	chr6:7289540:-	TUTR	3.87437539631814e-25	TRUE	chr6:7301363:-;chr6:7313174:-	chr6:7287570:-;chr6:7289146:-;chr6:7289540:-;chr6:7289629:-;chr6:7288335:-
PACSIN1	3.65112659786347e-26	TSS04-PA01	chr6:34514872:+|chr6:34527011:+	46.5397982427595	chr6:34535223:+	chr6:34527011:+	ALE	1.78206051393591e-24	TRUE	chr6:34466061:+;chr6:34466139:+;chr6:34514872:+	chr6:34535223:+;chr6:34527011:+
CREM	4.84530111713956e-25	TSS02-PA01	chr10:35127227:+|chr10:35179847:+	54.8590485601355	chr10:35212465:+	chr10:35179847:+	ALE	2.31565015889961e-23	TRUE	chr10:35126791:+;chr10:35127227:+;chr10:35195127:+;chr10:35195850:+;chr10:35196009:+	chr10:35179847:+;chr10:35211876:+;chr10:35212125:+;chr10:35212465:+;chr10:35212953:+
GRIA4	9.80305938424646e-25	TSS01-PA01	chr11:105609994:+|chr11:105614419:+	44.5204569208959	chr11:105913110:+	chr11:105614419:+	ALE	4.58943229131865e-23	TRUE	chr11:105609994:+;chr11:105610266:+;chr11:105610672:+;chr11:105610907:+;chr11:105610998:+	chr11:105614419:+;chr11:105913110:+;chr11:105913506:+
ZNF875	1.29085153083637e-24	TSS02-PA01	chr19:37317882:+|chr19:37329712:+	39.4878086419753	chr19:37364447:+	chr19:37329712:+	ALE	5.92242682347726e-23	TRUE	chr19:37317882:+;chr19:37334624:+	chr19:37329712:+;chr19:37364447:+
DMWD	1.75072295156574e-24	TSS01-PA01	chr19:45785659:-|chr19:45782947:-	71.7121648309257	chr19:45783730:-	chr19:45782947:-	TUTR	7.87482049194471e-23	TRUE	chr19:45785659:-;chr19:45785910:-;chr19:45791045:-;chr19:45792437:-;chr19:45792773:-	chr19:45782947:-;chr19:45783730:-;chr19:45789395:-
PTP4A2	3.49812721739487e-24	TSS04-PA01	chr1:31919464:-|chr1:31906426:-	51.6802061860068	chr1:31908641:-	chr1:31906426:-	TUTR	1.5432122762892e-22	TRUE	chr1:31919109:-;chr1:31919359:-;chr1:31919464:-;chr1:31937775:-;chr1:31938042:-;chr1:31938186:-;chr1:31938358:-	chr1:31906426:-;chr1:31908641:-
KLC1	1.29247780446856e-23	TSS11-PA02	chr14:103699922:+|chr14:103701544:+	72.6439717718611	chr14:103686225:+	chr14:103701544:+	ALE	5.59423411971865e-22	TRUE	chr14:103629177:+;chr14:103629297:+;chr14:103673355:+;chr14:103675552:+;chr14:103679398:+;chr14:103699922:+	chr14:103686225:+;chr14:103701544:+
CCDC25	2.31367573665437e-22	TSS03-PA03	chr8:27752589:-|chr8:27735894:-	96.4804002192982	chr8:27733316:-	chr8:27735052:-	TUTR	9.82883729608354e-21	TRUE	chr8:27752589:-;chr8:27772607:-	chr8:27735894:-;chr8:27733316:-;chr8:27735052:-;chr8:27748108:-
PIK3R1	3.68151825707287e-22	TSS01-PA03	chr5:68215756:+|chr5:68301821:+	82.2044563585313	chr5:68298753:+	chr5:68298617:+	TUTR	1.5355277966773e-20	TRUE	chr5:68215756:+;chr5:68288519:+;chr5:68288695:+;chr5:68290637:+;chr5:68292486:+;chr5:68292568:+	chr5:68298617:+;chr5:68298753:+;chr5:68301821:+
ZNF638	7.12437679032325e-22	TSS03-PA01	chr2:71331728:+|chr2:71395688:+	41.2928827444956	chr2:71435058:+	chr2:71395688:+	ALE	2.91845006375028e-20	TRUE	chr2:71276561:+;chr2:71331728:+;chr2:71427283:+;chr2:71427350:+	chr2:71395688:+;chr2:71435058:+
CREB1	7.78907405045379e-22	TSS03-PA01	chr2:207530072:+|chr2:207530822:+	74.3615965989608	chr2:207598411:+	chr2:207597957:+	TUTR	3.13476067925281e-20	TRUE	chr2:207529892:+;chr2:207530072:+	chr2:207578065:+;chr2:207578315:+;chr2:207597792:+;chr2:207597957:+;chr2:207598411:+;chr2:207599675:+;chr2:207603431:+;chr2:207530822:+
WDFY3-AS2	8.47019643095403e-22	TSS03-PA01	chr4:84966226:+|chr4:84970727:+	93.3428571428571	chr4:85008743:+	chr4:84970727:+	ALE	3.35010872631182e-20	TRUE	chr4:84965616:+;chr4:84966226:+;chr4:84966732:+;chr4:84966935:+;chr4:84967478:+	chr4:85008743:+;chr4:84970727:+
MXD4	1.0733400414711e-20	TSS02-PA02	chr4:2261799:-|chr4:2250226:-	37.7702272436233	chr4:2250226:-	chr4:2247432:-	TUTR	4.17329161887237e-19	TRUE	chr4:2261799:-;chr4:2262022:-;chr4:2262109:-	chr4:2250226:-;chr4:2247432:-;chr4:2254413:-
ABAT	4.96689378490096e-20	TSS01-PA02	chr16:8674596:+|chr16:8784570:+	33.7204301075269	chr16:8715788:+	chr16:8784570:+	ALE	1.8990090570938e-18	TRUE	chr16:8674596:+;chr16:8712837:+;chr16:8712955:+;chr16:8713601:+	chr16:8784570:+;chr16:8715788:+
TLN1	1.03219024310929e-19	TSS02-PA01	chr9:35704193:-|chr9:35697337:-	64.2400682011935	chr9:35729052:-	chr9:35697337:-	ALE	3.88171216015198e-18	TRUE	chr9:35704193:-;chr9:35732104:-;chr9:35732195:-	chr9:35697337:-;chr9:35729052:-
SLCO1A2	3.79428554920213e-19	TSS04-PA03	chr12:21334895:-|chr12:21269394:-	55.991072851905	chr12:21268890:-	chr12:21269394:-	TUTR	1.40388565320479e-17	TRUE	chr12:21324681:-;chr12:21324736:-;chr12:21334895:-	chr12:21264600:-;chr12:21268890:-;chr12:21269394:-;chr12:21273942:-
ZFYVE21	4.79446167203304e-19	TSS05-PA01	chr14:103727898:+|chr14:103730038:+	61.34219795947	chr14:103733664:+	chr14:103730038:+	ALE	1.74579286914981e-17	TRUE	chr14:103715730:+;chr14:103715808:+;chr14:103727898:+	chr14:103730038:+;chr14:103733664:+
ZNF529	4.24835425529159e-18	TSS03-PA03	chr19:36573288:-|chr19:36544388:-	22.4224137931034	chr19:36580251:-	chr19:36544388:-	ALE	1.52276947838108e-16	TRUE	chr19:36573288:-;chr19:36605243:-	chr19:36543615:-;chr19:36544388:-;chr19:36580251:-
WARS1	1.11714714460221e-17	TSS02-PA02	chr14:100346829:-|chr14:100334477:-	47.6484008301847	chr14:100333790:-	chr14:100334477:-	TUTR	3.94267007648842e-16	TRUE	chr14:100346829:-;chr14:100375333:-;chr14:100375467:-;chr14:100375547:-;chr14:100376251:-	chr14:100333790:-;chr14:100334477:-
MKLN1	1.15482241730157e-17	TSS01-PA01	chr7:131110094:+|chr7:131123422:+	64.6282051282051	chr7:131487965:+	chr7:131488877:+	TUTR	4.01388276559061e-16	TRUE	chr7:131110094:+;chr7:131327846:+	chr7:131123422:+;chr7:131487965:+;chr7:131488877:+
ASB1	5.41634765995542e-17	TSS08-PA03	chr2:238450145:+|chr2:238452250:+	62.4864864864865	chr2:238446732:+	chr2:238446920:+	TUTR	1.85449276596086e-15	TRUE	chr2:238426927:+;chr2:238427004:+;chr2:238450145:+	chr2:238446732:+;chr2:238446920:+;chr2:238452250:+
TRIM36	1.74182524466956e-16	TSS03-PA02	chr5:115169866:-|chr5:115125919:-	68.45	chr5:115177246:-	chr5:115171102:-	ALE	5.87609869304703e-15	TRUE	chr5:115169866:-;chr5:115180294:-	chr5:115125919:-;chr5:115171102:-;chr5:115177084:-;chr5:115177166:-;chr5:115177246:-
PINK1	2.31835591229127e-16	TSS01-PA01	chr1:20633458:+|chr1:20650733:+	10.3023519857445	chr1:20651317:+	chr1:20650733:+	TUTR	7.70769342434228e-15	TRUE	chr1:20633458:+;chr1:20638129:+	chr1:20650733:+;chr1:20651317:+;chr1:20651511:+
GPM6A	4.54529789096659e-16	TSS16-PA02	chr4:176002332:-|chr4:175633448:-	47.5428827861334	chr4:175632937:-	chr4:175633448:-	TUTR	1.48955905169677e-14	TRUE	chr4:175812264:-;chr4:175813114:-;chr4:175891754:-;chr4:175907168:-;chr4:176002332:-	chr4:175632937:-;chr4:175633448:-
SRSF11	2.24133059322699e-15	TSS03-PA01	chr1:70221469:+|chr1:70228948:+	24.883713552432	chr1:70252001:+	chr1:70228948:+	ALE	7.24170757867987e-14	TRUE	chr1:70205682:+;chr1:70221370:+;chr1:70221469:+;chr1:70221724:+	chr1:70228948:+;chr1:70252001:+
OXR1	2.62256630922122e-15	TSS01-PA01	chr8:106270178:+|chr8:106272774:+	13.9089913379626	chr8:106752694:+	chr8:106272774:+	ALE	8.35578765743539e-14	TRUE	chr8:106270178:+;chr8:106447924:+;chr8:106657808:+;chr8:106726107:+	chr8:106272774:+;chr8:106272899:+;chr8:106752694:+
TCEA2	4.1102882072906e-15	TSS05-PA01	chr20:64063481:+|chr20:64064123:+	34.1551463598053	chr20:64072347:+	chr20:64064123:+	ALE	1.29164399281159e-13	TRUE	chr20:64057293:+;chr20:64063158:+;chr20:64063481:+;chr20:64069464:+;chr20:64069765:+;chr20:64070291:+	chr20:64064123:+;chr20:64072347:+
CHRM3	1.26641655490942e-14	TSS07-PA02	chr1:239632251:+|chr1:239634453:+	47.265625	chr1:239909465:+	chr1:239634453:+	ALE	3.92589132021919e-13	TRUE	chr1:239386565:+;chr1:239386920:+;chr1:239632251:+	chr1:239909465:+;chr1:239634453:+
DIXDC1	2.08796791164593e-14	TSS02-PA01	chr11:111937343:+|chr11:111975995:+	46.2857142857143	chr11:112022584:+	chr11:111975995:+	ALE	6.38639785242103e-13	TRUE	chr11:111937343:+;chr11:111977309:+;chr11:111988947:+	chr11:111975995:+;chr11:112022584:+
LINC01140	2.7407897161251e-14	TSS03-PA01	chr1:87131926:+|chr1:87136669:+	48.8315923566879	chr1:87169204:+	chr1:87136669:+	ALE	8.27285737998814e-13	TRUE	chr1:87129854:+;chr1:87131926:+	chr1:87136669:+;chr1:87136912:+;chr1:87169204:+
UBE3B	3.65167521532294e-14	TSS02-PA01	chr12:109477623:+|chr12:109490639:+	15.3926406926407	chr12:109536702:+	chr12:109490639:+	ALE	1.08791466804556e-12	TRUE	chr12:109477623:+;chr12:109501425:+;chr12:109529930:+	chr12:109490639:+;chr12:109490722:+;chr12:109536702:+
TSGA10	3.75677752888492e-14	TSS10-PA03	chr2:99154942:-|chr2:99148264:-	21.9709145021645	chr2:99105337:-	chr2:99148264:-	ALE	1.10487790400795e-12	TRUE	chr2:99141149:-;chr2:99141419:-;chr2:99141572:-;chr2:99141703:-;chr2:99154861:-;chr2:99154942:-	chr2:99105337:-;chr2:99104382:-;chr2:99148264:-
LUC7L3	5.23729922847336e-14	TSS02-PA01	chr17:50719802:+|chr17:50745846:+	38.6441863221524	chr17:50752644:+	chr17:50752711:+	TUTR	1.52080562406556e-12	TRUE	chr17:50719565:+;chr17:50719802:+;chr17:50745906:+;chr17:50746575:+;chr17:50751051:+	chr17:50745846:+;chr17:50752550:+;chr17:50752644:+;chr17:50752711:+
STAU2	5.58363408738831e-14	TSS02-PA02	chr8:73582830:-|chr8:73526835:-	50.1860919395265	chr8:73420369:-	chr8:73550547:-	ALE	1.6011070745586e-12	TRUE	chr8:73582830:-;chr8:73746818:-;chr8:73747466:-	chr8:73420369:-;chr8:73526835:-;chr8:73549601:-;chr8:73549780:-;chr8:73550547:-
ANKRD17	6.16512690960009e-14	TSS05-PA03	chr4:73223039:-|chr4:73102494:-	14.1261261261261	chr4:73075686:-	chr4:73102494:-	ALE	1.74602483094106e-12	TRUE	chr4:73080810:-;chr4:73223039:-;chr4:73223114:-;chr4:73258798:-	chr4:73074785:-;chr4:73075686:-;chr4:73102494:-
MEF2C	1.10006749386731e-13	TSS29-PA03	chr5:88889375:-|chr5:88823843:-	58.7669678147939	chr5:88720825:-	chr5:88718241:-	TUTR	3.07750589138002e-12	TRUE	chr5:88785511:-;chr5:88883147:-;chr5:88883466:-;chr5:88889375:-	chr5:88720825:-;chr5:88718241:-;chr5:88823843:-
