gene_id	p_value	dominant_pair	dominant_pair_coor	contribution	PA1	PA2	annotation	FDR	sig	tss	pas
PDE4DIP	8.28702781071903e-205	TSS25-PA03	chr1:149016491:+|chr1:149033016:+	198.545988127793	chr1:148981776:+	chr1:148993879:+	ALE	9.75106939061272e-203	TRUE	chr1:148808434:+;chr1:148844382:+;chr1:148844519:+;chr1:148952124:+;chr1:148952341:+;chr1:148952457:+;chr1:148962410:+;chr1:148962572:+;chr1:148979760:+;chr1:149003014:+;chr1:149016491:+;chr1:149017760:+;chr1:149027427:+;chr1:149027559:+	chr1:148993879:+;chr1:149033016:+;chr1:148981776:+
ANKHD1	6.1463981837364e-196	TSS11-PA05	chr5:140526033:+|chr5:140539853:+	234.431422018349	chr5:140496774:+	chr5:140524153:+	ALE	6.97396679633234e-194	TRUE	chr5:140401814:+;chr5:140510110:+;chr5:140524183:+;chr5:140526033:+;chr5:140526153:+;chr5:140529630:+	chr5:140472477:+;chr5:140496774:+;chr5:140510048:+;chr5:140524153:+;chr5:140539853:+
NRXN1	7.61878942173154e-176	TSS19-PA03	chr2:50552610:-|chr2:50529405:-	311.429850746269	chr2:50916822:-	chr2:50917861:-	TUTR	8.34651516994521e-174	TRUE	chr2:49974107:-;chr2:50236840:-;chr2:50347754:-;chr2:50552610:-;chr2:51032101:-;chr2:51032536:-	chr2:49918863:-;chr2:49921969:-;chr2:50529405:-;chr2:50916822:-;chr2:50917861:-
JMJD1C	1.46002524642882e-164	TSS02-PA01	chr10:63193337:-|chr10:63167225:-	510.340854632588	chr10:63206714:-	chr10:63214938:-	ALE	1.54616673596812e-162	TRUE	chr10:63193337:-;chr10:63207725:-;chr10:63268875:-;chr10:63269066:-;chr10:63269187:-;chr10:63465977:-;chr10:63521850:-	chr10:63167225:-;chr10:63191079:-;chr10:63206714:-;chr10:63206978:-;chr10:63214938:-
HNRNPA1	1.06714462959272e-162	TSS15-PA03	chr12:54285907:+|chr12:54287087:+	250.943242215807	chr12:54285246:+	chr12:54284881:+	TUTR	1.09365112523099e-160	TRUE	chr12:54280663:+;chr12:54281795:+;chr12:54282394:+;chr12:54282573:+;chr12:54282800:+;chr12:54283079:+;chr12:54283812:+;chr12:54284258:+;chr12:54284709:+;chr12:54285907:+;chr12:54286247:+	chr12:54284881:+;chr12:54285246:+;chr12:54287087:+
CHD2	1.21558453340396e-160	TSS20-PA06	chr15:93012428:+|chr15:93027993:+	348.834834834835	chr15:92902303:+	chr15:93002272:+	ALE	1.20684751957012e-158	TRUE	chr15:92900189:+;chr15:92900321:+;chr15:92942940:+;chr15:92971883:+;chr15:92997302:+;chr15:93012428:+	chr15:92902303:+;chr15:92902788:+;chr15:92949234:+;chr15:93002272:+;chr15:93027942:+;chr15:93027993:+
SON	1.467794713459e-145	TSS03-PA04	chr21:33555049:+|chr21:33577343:+	431.126756756757	chr21:33554648:+	chr21:33554953:+	ALE	1.41308600141189e-143	TRUE	chr21:33543038:+;chr21:33555049:+	chr21:33554648:+;chr21:33554953:+;chr21:33559062:+;chr21:33577343:+
BCLAF1	4.18294722730868e-143	TSS04-PA01	chr6:136269520:-|chr6:136258589:-	259.054496959384	chr6:136271996:-	chr6:136258589:-	ALE	3.90859510034108e-141	TRUE	chr6:136268322:-;chr6:136269520:-;chr6:136273144:-;chr6:136279866:-;chr6:136289781:-	chr6:136258589:-;chr6:136271996:-;chr6:136261275:-
ARPP21	5.28193855896383e-141	TSS12-PA01	chr3:35679620:+|chr3:35685887:+	307.767832638354	chr3:35794480:+	chr3:35687840:+	ALE	4.7944910862366e-139	TRUE	chr3:35638945:+;chr3:35639525:+;chr3:35639589:+;chr3:35640255:+;chr3:35642165:+;chr3:35642290:+;chr3:35643621:+;chr3:35679620:+;chr3:35679745:+;chr3:35680937:+;chr3:35689314:+;chr3:35690072:+;chr3:35690925:+;chr3:35721636:+;chr3:35738232:+	chr3:35685887:+;chr3:35687840:+;chr3:35794480:+
KIF21A	1.04935955238443e-140	TSS03-PA01	chr12:39332327:-|chr12:39293231:-	153.742089014664	chr12:39342071:-	chr12:39293231:-	ALE	9.26059804979258e-139	TRUE	chr12:39332327:-;chr12:39332408:-;chr12:39340247:-;chr12:39341058:-;chr12:39357287:-;chr12:39442943:-;chr12:39443059:-;chr12:39443120:-;chr12:39443390:-	chr12:39293231:-;chr12:39342071:-
CHD9	3.66861550610759e-140	TSS09-PA03	chr16:53207965:+|chr16:53242979:+	340.189501671417	chr16:53209779:+	chr16:53222755:+	ALE	3.15005174673076e-138	TRUE	chr16:53054991:+;chr16:53099160:+;chr16:53130921:+;chr16:53131012:+;chr16:53131134:+;chr16:53155926:+;chr16:53156003:+;chr16:53207965:+;chr16:53208451:+	chr16:53209779:+;chr16:53222755:+;chr16:53242979:+
RUFY3	4.41311747161929e-134	TSS09-PA03	chr4:70788939:+|chr4:70793557:+	368.032926431256	chr4:70791930:+	chr4:70791547:+	TUTR	3.68959847561434e-132	TRUE	chr4:70704204:+;chr4:70704801:+;chr4:70721964:+;chr4:70784866:+;chr4:70788939:+	chr4:70791547:+;chr4:70791930:+;chr4:70793557:+
PCNT	4.87767730872901e-131	TSS07-PA04	chr21:46425833:+|chr21:46445767:+	283.730376940133	chr21:46357133:+	chr21:46363573:+	ALE	3.97343097688002e-129	TRUE	chr21:46324124:+;chr21:46324667:+;chr21:46324888:+;chr21:46411729:+;chr21:46411900:+;chr21:46425833:+	chr21:46357133:+;chr21:46363573:+;chr21:46381735:+;chr21:46445767:+
HDLBP	1.10044699366944e-129	TSS02-PA01	chr2:241230824:-|chr2:241227293:-	118.55784109817	chr2:241229218:-	chr2:241227293:-	TUTR	8.74030024721949e-128	TRUE	chr2:241229983:-;chr2:241230824:-;chr2:241236664:-;chr2:241236771:-;chr2:241239736:-;chr2:241242540:-;chr2:241246864:-;chr2:241248043:-;chr2:241255400:-;chr2:241255548:-;chr2:241256708:-;chr2:241262792:-;chr2:241262862:-;chr2:241271965:-;chr2:241272812:-;chr2:241273117:-;chr2:241315203:-;chr2:241315292:-;chr2:241315672:-	chr2:241227293:-;chr2:241229218:-
MAP3K13	4.14806090847658e-125	TSS05-PA03	chr3:185363242:+|chr3:185482835:+	112.129653415537	chr3:185482835:+	chr3:185293079:+	ALE	3.18671582877107e-123	TRUE	chr3:185282941:+;chr3:185363136:+;chr3:185363242:+;chr3:185428497:+;chr3:185437447:+;chr3:185437545:+	chr3:185293015:+;chr3:185293079:+;chr3:185482835:+
TPR	4.21284434398441e-125	TSS03-PA01	chr1:186344090:-|chr1:186313826:-	319.720085663439	chr1:186355500:-	chr1:186313826:-	ALE	3.18671582877107e-123	TRUE	chr1:186326220:-;chr1:186344090:-;chr1:186375253:-;chr1:186375325:-;chr1:186375693:-	chr1:186313826:-;chr1:186355500:-
CADM2	2.02392961029341e-118	TSS01-PA01	chr3:84958989:+|chr3:85042549:+	409.30073800738	chr3:86068801:+	chr3:85042549:+	ALE	1.49535450509353e-116	TRUE	chr3:84958989:+;chr3:85726482:+	chr3:85042549:+;chr3:86068692:+;chr3:86068801:+
MYT1L	1.20842354558278e-110	TSS05-PA01	chr2:1840860:-|chr2:1789136:-	140.794302132062	chr2:1840789:-	chr2:2171599:-	ALE	8.72536728253748e-109	TRUE	chr2:1840860:-;chr2:1892287:-;chr2:1910347:-;chr2:1912075:-;chr2:1917339:-;chr2:1923263:-;chr2:2172949:-;chr2:2324345:-;chr2:2324938:-;chr2:2326138:-;chr2:2326311:-;chr2:2326371:-;chr2:2326554:-;chr2:2331189:-;chr2:2331344:-	chr2:1789136:-;chr2:1840789:-;chr2:2171599:-
ZNF875	8.47398905082375e-105	TSS02-PA01	chr19:37317882:+|chr19:37329712:+	274.161558650076	chr19:37364447:+	chr19:37329712:+	ALE	5.98263626988156e-103	TRUE	chr19:37317882:+;chr19:37334624:+;chr19:37346772:+;chr19:37347190:+	chr19:37329712:+;chr19:37364447:+
KIAA1109	1.99757837294201e-103	TSS22-PA02	chr4:122339221:+|chr4:122362752:+	103.667035624974	chr4:122239944:+	chr4:122362752:+	ALE	1.37963184583408e-101	TRUE	chr4:122152331:+;chr4:122152565:+;chr4:122170603:+;chr4:122196749:+;chr4:122209174:+;chr4:122219469:+;chr4:122281673:+;chr4:122309266:+;chr4:122309365:+;chr4:122324464:+;chr4:122339221:+;chr4:122348565:+;chr4:122355931:+	chr4:122239944:+;chr4:122362752:+
ZNF529	2.46954865968269e-99	TSS03-PA01	chr19:36573288:-|chr19:36544388:-	257.063872946764	chr19:36580251:-	chr19:36544388:-	ALE	1.66930980676849e-97	TRUE	chr19:36573288:-;chr19:36605243:-	chr19:36544388:-;chr19:36580251:-
HNRNPDL	8.86826794804383e-95	TSS01-PA01	chr4:82429397:-|chr4:82423207:-	138.710717733993	chr4:82424628:-	chr4:82423207:-	TUTR	5.86968484811151e-93	TRUE	chr4:82429397:-;chr4:82430225:-;chr4:82430399:-;chr4:82430462:-	chr4:82423207:-;chr4:82424628:-
THOC2	1.03366842598604e-90	TSS07-PA01	chrX:123621579:-|chrX:123600569:-	107.797448581099	chrX:123668180:-	chrX:123621522:-	ALE	6.70196854970951e-89	TRUE	chrX:123613554:-;chrX:123614153:-;chrX:123621579:-;chrX:123622845:-;chrX:123624609:-;chrX:123626636:-;chrX:123733037:-	chrX:123600569:-;chrX:123621383:-;chrX:123621522:-;chrX:123623822:-;chrX:123668180:-
DST	2.21274739065847e-84	TSS19-PA04	chr6:56598513:-|chr6:56572100:-	58.4656895777179	chr6:56625211:-	chr6:56458238:-	ALE	1.40597969202439e-82	TRUE	chr6:56466113:-;chr6:56469956:-;chr6:56472099:-;chr6:56473990:-;chr6:56482089:-;chr6:56492243:-;chr6:56506743:-;chr6:56598513:-;chr6:56628018:-;chr6:56843647:-;chr6:56851858:-;chr6:56954628:-	chr6:56457996:-;chr6:56458238:-;chr6:56572100:-;chr6:56625211:-
TRIO	1.86502387880496e-83	TSS14-PA01	chr5:14441043:+|chr5:14478812:+	150.570267789656	chr5:14510204:+	chr5:14478812:+	ALE	1.1618001692085e-81	TRUE	chr5:14441043:+;chr5:14474012:+;chr5:14488448:+;chr5:14492370:+;chr5:14498139:+;chr5:14498516:+	chr5:14478812:+;chr5:14509349:+;chr5:14510204:+
PRR14L	5.83790712821392e-82	TSS01-PA01	chr22:31703718:-|chr22:31681347:-	267.419208066896	chr22:31717029:-	chr22:31715697:-	ALE	3.56673672044916e-80	TRUE	chr22:31703718:-;chr22:31713845:-;chr22:31750072:-;chr22:31750132:-	chr22:31681347:-;chr22:31713609:-;chr22:31714340:-;chr22:31715370:-;chr22:31715697:-;chr22:31717029:-
PCLO	1.6642798918944e-81	TSS02-PA01	chr7:82879462:-|chr7:82820477:-	342.604838709677	chr7:82966312:-	chr7:82965834:-	ALE	9.97625889914815e-80	TRUE	chr7:82879462:-;chr7:83162884:-	chr7:82820477:-;chr7:82965834:-;chr7:82966312:-
REV3L	3.74042974766946e-80	TSS03-PA01	chr6:111351733:-|chr6:111299038:-	124.084148329258	chr6:111375456:-	chr6:111375222:-	ALE	2.20061950154553e-78	TRUE	chr6:111351733:-;chr6:111358901:-;chr6:111367358:-;chr6:111482919:-;chr6:111483218:-	chr6:111299038:-;chr6:111375222:-;chr6:111375456:-;chr6:111376531:-
ABCC5	1.8829581427894e-79	TSS01-PA01	chr3:183942780:-|chr3:183919934:-	177.553746781303	chr3:183983753:-	chr3:183919934:-	ALE	1.08766509448035e-77	TRUE	chr3:183942780:-;chr3:183971831:-;chr3:184017444:-;chr3:184017836:-	chr3:183919934:-;chr3:183983753:-
HERC1	2.68084873695447e-79	TSS10-PA02	chr15:63833885:-|chr15:63689595:-	110.267409159183	chr15:63608618:-	chr15:63689595:-	ALE	1.52090293523292e-77	TRUE	chr15:63630551:-;chr15:63633876:-;chr15:63634941:-;chr15:63637550:-;chr15:63723257:-;chr15:63833885:-	chr15:63608618:-;chr15:63689595:-
NBEA	2.075845225273e-78	TSS07-PA01	chr13:35069946:+|chr13:35195905:+	29.0458208072544	chr13:35672736:+	chr13:35195905:+	ALE	1.15701057556006e-76	TRUE	chr13:34942270:+;chr13:35048656:+;chr13:35056010:+;chr13:35069946:+;chr13:35098297:+;chr13:35118377:+;chr13:35159882:+;chr13:35171272:+;chr13:35195991:+;chr13:35196227:+;chr13:35208718:+;chr13:35349123:+;chr13:35472375:+;chr13:35550477:+;chr13:35646224:+;chr13:35665085:+	chr13:35195905:+;chr13:35672736:+
BAZ1B	6.58577895972445e-78	TSS01-PA01	chr7:73466387:-|chr7:73440406:-	397.429476282985	chr7:73477038:-	chr7:73440406:-	ALE	3.60741719914562e-76	TRUE	chr7:73466387:-;chr7:73522278:-	chr7:73440406:-;chr7:73477038:-
GNPTAB	3.28891129543935e-76	TSS02-PA01	chr12:101760090:-|chr12:101745499:-	97.9359864342112	chr12:101764363:-	chr12:101745499:-	ALE	1.77099511620523e-74	TRUE	chr12:101757657:-;chr12:101760090:-;chr12:101760144:-;chr12:101768103:-;chr12:101786216:-;chr12:101790054:-;chr12:101830663:-;chr12:101830818:-;chr12:101830959:-	chr12:101745499:-;chr12:101764363:-
DICER1	2.67968338343839e-74	TSS01-PA01	chr14:95091322:-|chr14:95086228:-	318.646551724138	chr14:95116494:-	chr14:95099798:-	ALE	1.41889235153063e-72	TRUE	chr14:95091322:-;chr14:95157292:-;chr14:95157420:-	chr14:95086228:-;chr14:95099798:-;chr14:95116494:-
PRRC2B	2.34689134105928e-73	TSS06-PA04	chr9:131475930:+|chr9:131498152:+	132.468753198021	chr9:131473602:+	chr9:131474636:+	ALE	1.22230717877792e-71	TRUE	chr9:131373636:+;chr9:131394053:+;chr9:131430090:+;chr9:131475930:+;chr9:131476190:+;chr9:131487292:+	chr9:131473602:+;chr9:131474636:+;chr9:131496344:+;chr9:131498152:+
SMC4	5.24324805312627e-73	TSS15-PA04	chr3:160428796:+|chr3:160434953:+	202.201790602362	chr3:160414516:+	chr3:160413613:+	ALE	2.68674178464228e-71	TRUE	chr3:160399638:+;chr3:160412335:+;chr3:160414438:+;chr3:160428796:+	chr3:160413613:+;chr3:160414516:+;chr3:160430650:+;chr3:160434953:+
CDC42BPA	3.26121619242894e-71	TSS01-PA01	chr1:227034717:-|chr1:226989865:-	329.142857142857	chr1:227129136:-	chr1:227119821:-	ALE	1.64458473703917e-69	TRUE	chr1:227034717:-;chr1:227317047:-;chr1:227317182:-;chr1:227317714:-;chr1:227318474:-	chr1:226989865:-;chr1:227129136:-;chr1:227119821:-
CYFIP2	3.89090631110034e-71	TSS11-PA02	chr5:157383232:+|chr5:157395591:+	321.08568906289	chr5:157393229:+	chr5:157395591:+	TUTR	1.93147021099466e-69	TRUE	chr5:157266079:+;chr5:157300818:+;chr5:157323921:+;chr5:157383232:+	chr5:157393229:+;chr5:157395591:+
BTBD8	3.61543057267138e-69	TSS01-PA01	chr1:92080305:+|chr1:92177066:+	114.957692307692	chr1:92181635:+	chr1:92177066:+	ALE	1.76711121990415e-67	TRUE	chr1:92080305:+;chr1:92168923:+	chr1:92177066:+;chr1:92177439:+;chr1:92181635:+;chr1:92182192:+;chr1:92183640:+;chr1:92184723:+
CADM1	2.56233002178932e-68	TSS11-PA06	chr11:115504389:-|chr11:115396514:-	242.211656441718	chr11:115211647:-	chr11:115176403:-	ALE	1.23341249685222e-66	TRUE	chr11:115240421:-;chr11:115504389:-	chr11:115173629:-;chr11:115176403:-;chr11:115176489:-;chr11:115195406:-;chr11:115211647:-;chr11:115396514:-
FUBP1	4.20369614476931e-66	TSS05-PA01	chr1:77949267:-|chr1:77944051:-	141.536957322348	chr1:77948393:-	chr1:77944051:-	ALE	1.9933048734227e-64	TRUE	chr1:77948333:-;chr1:77949267:-;chr1:77955282:-;chr1:77979072:-;chr1:77979205:-	chr1:77944051:-;chr1:77948393:-
ILF3	6.60476096385427e-66	TSS16-PA02	chr19:10687605:+|chr19:10692394:+	98.5376516060243	chr19:10689844:+	chr19:10692394:+	TUTR	3.0857831738478e-64	TRUE	chr19:10654261:+;chr19:10654938:+;chr19:10655024:+;chr19:10670512:+;chr19:10671037:+;chr19:10671170:+;chr19:10671481:+;chr19:10677205:+;chr19:10679185:+;chr19:10683518:+;chr19:10683756:+;chr19:10687605:+	chr19:10689844:+;chr19:10692394:+
LRRC7	2.31249090889316e-64	TSS08-PA04	chr1:70107750:+|chr1:70123488:+	293.317139096095	chr1:69875004:+	chr1:69874293:+	TUTR	1.06475124892081e-62	TRUE	chr1:69567334:+;chr1:69567922:+;chr1:69568398:+;chr1:69568450:+;chr1:69568753:+;chr1:69569341:+;chr1:69760175:+;chr1:70107750:+	chr1:69874293:+;chr1:69875004:+;chr1:70023044:+;chr1:70123488:+
MKI67	2.37606545998333e-64	TSS01-PA01	chr10:128103128:-|chr10:128096659:-	125.325938566553	chr10:128109018:-	chr10:128096659:-	ALE	1.07839428090958e-62	TRUE	chr10:128103128:-;chr10:128126423:-	chr10:128096659:-;chr10:128097892:-;chr10:128109018:-
