SE_id	p_value	dominant1_pas_id	dominant1_contrib_value	dominant2_pas_id	dominant2_contrib_value	annotation	FDR	exon	pas_id	sig	gene_id
ANKHD1:SE05	5.96401273061848e-149	chr5:140539853:+	669.271238021238	chr5:140496774:+	0.0734463840055512	ALE	3.8506359613977e-146	chr5:140486958-140487060:+	chr5:140496774:+;chr5:140510048:+;chr5:140524153:+;chr5:140539853:+	TRUE	ANKHD1
ZNF286A:SE02	9.33316299280522e-149	chr17:15709814:+	284.947873811888	chr17:15709521:+	257.951538796712	ALE	5.83760179065614e-146	chr17:15708155-15708247:+	chr17:15709521:+;chr17:15709814:+;chr17:15716422:+;chr17:15718406:+;chr17:15719164:+	TRUE	ZNF286A
UHRF1BP1L:SE07	1.05551873752045e-146	chr12:100058540:-	330.235187112078	chr12:100037072:-	52.4047329549872	ALE	6.40188107014298e-144	chr12:100058029-100059533:-	chr12:100037072:-;chr12:100037139:-;chr12:100058540:-	TRUE	UHRF1BP1L
GMPS:SE10	2.67663437082951e-144	chr3:155944020:+	610.346237261112	chr3:155937713:+	1.56901864114578	TUTR	1.57567167447508e-141	chr3:155934916-155935046:+	chr3:155937713:+;chr3:155944020:+	TRUE	GMPS
TCTN1:SE02	1.05702263429697e-142	chr12:110633669:+	520.6453991553	chr12:110649126:+	7.89107494215239	ALE	6.04465943584394e-140	chr12:110632472-110632559:+	chr12:110633669:+;chr12:110649126:+	TRUE	TCTN1
ANK2:SE28	2.5616613904066e-142	chr4:113383732:+	476.480531357227	chr4:113353763:+	10.948163603658	ALE	1.42421257580522e-139	chr4:113331972-113332070:+	chr4:113353763:+;chr4:113383732:+	TRUE	ANK2
ANK2:SE10	5.94748299736127e-141	chr4:113383732:+	601.674346201743	chr4:113353763:+	1.04838828673415	ALE	3.21726681600502e-138	chr4:113237599-113237622:+	chr4:113353763:+;chr4:113383732:+	TRUE	ANK2
GMPS:SE11	7.17300393033267e-130	chr3:155944020:+	545.742765136349	chr3:155937713:+	1.55861335821888	TUTR	3.77809667541075e-127	chr3:155936338-155936510:+	chr3:155937713:+;chr3:155944020:+	TRUE	GMPS
NR2F1-AS1:SE10	6.05887078120393e-127	chr5:93409820:-	98.9200789797363	chr5:93541872:-	73.9260832969837	ALE	3.10944355604607e-124	chr5:93553761-93553863:-	chr5:93409356:-;chr5:93409820:-;chr5:93411018:-;chr5:93541872:-;chr5:93541970:-	TRUE	NR2F1-AS1
SYT1:SE07	8.76126212764488e-127	chr12:79452008:+	525.092434827601	chr12:79450296:+	0.542054060426208	TUTR	4.38391653712031e-124	chr12:79299384-79299551:+	chr12:79450296:+;chr12:79452008:+	TRUE	SYT1
SYT1:SE08	1.28005978357589e-126	chr12:79452008:+	524.090628425158	chr12:79450296:+	0.558375511195336	TUTR	6.24887721177351e-124	chr12:79444073-79444206:+	chr12:79450296:+;chr12:79452008:+	TRUE	SYT1
PHC2:SE02	5.07078578930242e-125	chr1:33353213:-	322.42898924795	chr1:33323630:-	35.2107519682063	ALE	2.41647089459257e-122	chr1:33354401-33354566:-	chr1:33323630:-;chr1:33353213:-	TRUE	PHC2
KLHL24:SE06	3.37967201678751e-121	chr3:183684519:+	516.423914201787	chr3:183680312:+	0.464383748053808	TUTR	1.57311942827912e-118	chr3:183664921-183665039:+	chr3:183672518:+;chr3:183680312:+;chr3:183680945:+;chr3:183684519:+	TRUE	KLHL24
C1orf61:SE08	8.18330444056844e-118	chr1:156425637:-	439.634421071291	chr1:156404256:-	4.90885874170378	ALE	3.72247359949948e-115	chr1:156426798-156426872:-	chr1:156404256:-;chr1:156407365:-;chr1:156425637:-	TRUE	C1orf61
GMPS:SE09	7.44648084377003e-114	chr3:155944020:+	485.778202744241	chr3:155937713:+	1.07756913871408	TUTR	3.31202920195683e-111	chr3:155931765-155931880:+	chr3:155937713:+;chr3:155944020:+	TRUE	GMPS
TMLHE:SE02	7.73340828544699e-113	chrX:155504735:-	393.899704643183	chrX:155489011:-	6.69863556352341	ALE	3.36487319202655e-110	chrX:155506898-155507134:-	chrX:155489011:-;chrX:155490788:-;chrX:155491221:-;chrX:155504735:-	TRUE	TMLHE
ELP2:SE11	6.95316710760249e-112	chr18:36180557:+	474.509023668639	chr18:36174650:+	0.875551313948376	TUTR	2.96101360975881e-109	chr18:36170063-36170196:+	chr18:36174650:+;chr18:36175866:+;chr18:36176069:+;chr18:36177931:+;chr18:36180557:+	TRUE	ELP2
GMPS:SE08	7.92974736996067e-109	chr3:155944020:+	466.895537400362	chr3:155937713:+	0.93794548700659	TUTR	3.30653945020339e-106	chr3:155925241-155925366:+	chr3:155937713:+;chr3:155944020:+	TRUE	GMPS
SYNRG:SE05	3.44860786102025e-108	chr17:37514910:-	179.134117035957	chr17:37518461:-	69.396165573866	TUTR	1.40865074159838e-105	chr17:37539192-37539245:-	chr17:37514910:-;chr17:37518461:-	TRUE	SYNRG
MRTFB:SE04	1.42750610269813e-107	chr16:14260928:+	336.378787878788	chr16:14153234:+	10.8550532680679	ALE	5.71430692910063e-105	chr16:14148667-14148729:+	chr16:14152136:+;chr16:14153234:+;chr16:14260928:+	TRUE	MRTFB
SLC6A1:SE04	4.65596210146952e-107	chr3:11019770:+	405.399620896364	chr3:11039247:+	3.78589419899045	ALE	1.82723689139044e-104	chr3:11017843-11017974:+	chr3:11019770:+;chr3:11029804:+;chr3:11039247:+	TRUE	SLC6A1
SYNRG:SE02	4.79673365768389e-107	chr17:37514910:-	175.69800394953	chr17:37518461:-	70.1438310530173	TUTR	1.84628123381814e-104	chr17:37520538-37520648:-	chr17:37514910:-;chr17:37518461:-	TRUE	SYNRG
CALU:SE02	6.09797255117376e-107	chr7:128750245:+	432.81562961206	chr7:128771474:+	0.890352547351896	ALE	2.30284755871213e-104	chr7:128748573-128748804:+	chr7:128750245:+;chr7:128770129:+;chr7:128771474:+	TRUE	CALU
DNAJC19:SE01	4.13507494805629e-106	chr3:180986282:-	198.12050654902	chr3:180983709:-	46.7386670301213	ALE	1.53265787195087e-103	chr3:180988023-180988096:-	chr3:180983709:-;chr3:180984042:-;chr3:180984519:-;chr3:180986282:-	TRUE	DNAJC19
SLIT1:SE08	1.34675679650752e-105	chr10:97017839:-	370.18577984812	chr10:97000838:-	7.65800876113032	ALE	4.90097041492693e-103	chr10:97018586-97018683:-	chr10:97000838:-;chr10:97017839:-	TRUE	SLIT1
SYNRG:SE04	2.03676616596287e-103	chr17:37514910:-	168.829792475393	chr17:37518461:-	68.429400222549	TUTR	7.27962050209764e-101	chr17:37538324-37538420:-	chr17:37514910:-;chr17:37518461:-	TRUE	SYNRG
SIK2:SE10	1.27899700274232e-101	chr11:111730853:+	312.928307933562	chr11:111726052:+	9.78590967216546	TUTR	4.41364224308404e-99	chr11:111721830-111721940:+	chr11:111725436:+;chr11:111726052:+;chr11:111726578:+;chr11:111730853:+	TRUE	SIK2
SIK2:SE11	1.27899700274232e-101	chr11:111730853:+	312.928307933562	chr11:111726052:+	9.78590967216546	TUTR	4.41364224308404e-99	chr11:111722665-111722756:+	chr11:111725436:+;chr11:111726052:+;chr11:111726578:+;chr11:111730853:+	TRUE	SIK2
MIPEP:SE14	5.13943340210452e-100	chr13:23882713:-	398.735649965366	chr13:23730189:-	2.29682519631992	ALE	1.74348744988342e-97	chr13:23886333-23886506:-	chr13:23730189:-;chr13:23882713:-	TRUE	MIPEP
DHRS1:SE01	4.69645378816433e-99	chr14:24295022:-	294.9058774571	chr14:24290598:-	16.8259840623881	ALE	1.56665870950182e-96	chr14:24296509-24296588:-	chr14:24290598:-;chr14:24295022:-	TRUE	DHRS1
ATF7IP:SE04	8.47971969233507e-97	chr12:14502930:+	425.257867930979	chr12:14498552:+	0.064000882660117	TUTR	2.78232114167355e-94	chr12:14496231-14496343:+	chr12:14498248:+;chr12:14498552:+;chr12:14502930:+	TRUE	ATF7IP
GMPS:SE07	9.76915528579976e-96	chr3:155944020:+	413.187085738013	chr3:155937713:+	0.744212324155079	TUTR	3.1537039200852e-93	chr3:155922187-155922302:+	chr3:155937713:+;chr3:155944020:+	TRUE	GMPS
LRRC27:SE03	6.6380474561964e-94	chr10:132353396:+	267.555959762348	chr10:132375457:+	18.1299777671973	ALE	2.10889714025033e-91	chr10:132348963-132349057:+	chr10:132353396:+;chr10:132375457:+	TRUE	LRRC27
GMPS:SE06	2.12138979907305e-91	chr3:155944020:+	395.299426138892	chr3:155937713:+	0.684758115687213	TUTR	6.63431512944484e-89	chr3:155919233-155919338:+	chr3:155937713:+;chr3:155944020:+	TRUE	GMPS
NASP:SE03	1.19632152261726e-90	chr1:45609537:+	251.41551552449	chr1:45618247:+	14.2987154645393	ALE	3.68375004233606e-88	chr1:45607321-45608337:+	chr1:45609537:+;chr1:45618247:+;chr1:45618891:+	TRUE	NASP
ASPH:SE22	2.53365325027561e-89	chr8:61675259:-	180.884120860099	chr8:61624548:-	21.3911224935197	ALE	7.68349542488884e-87	chr8:61682439-61682483:-	chr8:61501229:-;chr8:61624548:-;chr8:61675259:-	TRUE	ASPH
FSD1L:SE07	6.62092535781039e-89	chr9:105517116:+	370.282136871508	chr9:105549100:+	0.408462414663014	ALE	1.97787792591903e-86	chr9:105512807-105512936:+	chr9:105517116:+;chr9:105532507:+;chr9:105547783:+;chr9:105549100:+;chr9:105550763:+	TRUE	FSD1L
PHC3:SE01	5.84683502133308e-88	chr3:170096891:-	153.701603665521	chr3:170095221:-	121.531500572738	TUTR	1.72094710223502e-85	chr3:170106832-170106946:-	chr3:170087584:-;chr3:170095221:-;chr3:170096891:-	TRUE	PHC3
TOP2A:SE10	3.47476650642899e-87	chr17:40388525:-	384.276571182914	chr17:40396288:-	0.0472530024973063	ALE	1.00793408153879e-84	chr17:40400850-40401081:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
KLHL24:SE03	2.03050922902961e-86	chr3:183684519:+	321.840283648519	chr3:183672518:+	20.1030530788367	ALE	5.80580603128967e-84	chr3:183644086-183645886:+	chr3:183680312:+;chr3:183680945:+	TRUE	KLHL24
ANKHD1:SE08	2.58826723972935e-86	chr5:140539853:+	373.389597834493	chr5:140524153:+	0.16309800022097	ALE	7.09646147988807e-84	chr5:140505122-140505233:+	chr5:140510048:+;chr5:140524153:+;chr5:140539853:+	TRUE	ANKHD1
ANKHD1:SE09	2.58826723972935e-86	chr5:140539853:+	373.389597834493	chr5:140524153:+	0.16309800022097	ALE	7.09646147988807e-84	chr5:140505724-140505869:+	chr5:140510048:+;chr5:140524153:+;chr5:140539853:+	TRUE	ANKHD1
ANKHD1:SE10	2.58826723972935e-86	chr5:140539853:+	373.389597834493	chr5:140524153:+	0.16309800022097	ALE	7.09646147988807e-84	chr5:140506835-140506977:+	chr5:140510048:+;chr5:140524153:+;chr5:140539853:+	TRUE	ANKHD1
PHC3:SE02	1.24559461658543e-85	chr3:170096891:-	148.841483639623	chr3:170095221:-	117.688614970865	TUTR	3.36899679066991e-83	chr3:170113360-170113519:-	chr3:170087584:-;chr3:170095221:-;chr3:170096891:-	TRUE	PHC3
RNF40:SE03	7.6184650975262e-85	chr16:30767299:+	349.931099231144	chr16:30775189:+	0.763234317080061	ALE	2.03311438569316e-82	chr16:30765425-30765499:+	chr16:30767299:+;chr16:30775189:+;chr16:30776303:+	TRUE	RNF40
PHC3:SE03	1.66743504122367e-84	chr3:170096891:-	146.492672652699	chr3:170095221:-	115.831415585855	TUTR	4.39127794080154e-82	chr3:170122591-170122744:-	chr3:170087584:-;chr3:170095221:-;chr3:170096891:-	TRUE	PHC3
TOP2A:SE09	1.8658355935075e-83	chr17:40388525:-	367.462654687119	chr17:40396288:-	0.0558584706393504	ALE	4.84996096156528e-81	chr17:40400529-40400663:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
TOP2A:SE08	7.75027267669121e-83	chr17:40388525:-	365.079216387592	chr17:40396288:-	0.0459045544419467	ALE	1.98873984133301e-80	chr17:40400209-40400409:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
UTP6:SE02	1.62190477270282e-80	chr17:31860904:-	337.081738035264	chr17:31863173:-	0.790608867899766	TUTR	4.10916759818315e-78	chr17:31875234-31875413:-	chr17:31860904:-;chr17:31863173:-	TRUE	UTP6
GRIA2:SE03	2.43091211417473e-79	chr4:157334631:+	317.575803987758	chr4:157364287:+	0.900457107845444	ALE	6.0818382456509e-77	chr4:157332819-157332986:+	chr4:157333307:+;chr4:157334631:+;chr4:157360954:+;chr4:157364287:+;chr4:157366075:+	TRUE	GRIA2
ANKHD1:SE07	5.66571598874635e-79	chr5:140539853:+	340.493828950761	chr5:140524153:+	0.141499845360296	ALE	1.39999142610813e-76	chr5:140504821-140504966:+	chr5:140510048:+;chr5:140524153:+;chr5:140539853:+	TRUE	ANKHD1
TOP2A:SE11	6.34640765151331e-79	chr17:40388525:-	347.5551093615	chr17:40396288:-	0.0507591260243696	ALE	1.54906523347608e-76	chr17:40402906-40403054:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
TOP2A:SE18	6.48871364294158e-79	chr17:40388525:-	347.5551093615	chr17:40396288:-	0.0507591260243696	ALE	1.5647181152226e-76	chr17:40407549-40407674:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
SEMA6A:SE02	1.19001791765267e-78	chr5:116471898:-	170.539976879094	chr5:116445748:-	34.3681798670005	ALE	2.83550102640693e-76	chr5:116473073-116473093:-	chr5:116443555:-;chr5:116445748:-;chr5:116471898:-	TRUE	SEMA6A
PDE6D:SE02	1.70773520429967e-78	chr2:231736968:-	310.674497204373	chr2:231732433:-	2.03452927849973	ALE	4.02121413106565e-76	chr2:231738013-231738138:-	chr2:231732433:-;chr2:231736968:-	TRUE	PDE6D
RNF40:SE04	1.74506130346729e-77	chr16:30767299:+	317.704829782394	chr16:30775189:+	0.817160217864296	ALE	4.06132581266255e-75	chr16:30766163-30766282:+	chr16:30767299:+;chr16:30775189:+;chr16:30776303:+	TRUE	RNF40
RSBN1L:SE01	6.86487589206503e-77	chr7:77738046:+	277.493333333333	chr7:77749497:+	2.49503614457832	ALE	1.5793159882722e-74	chr7:77736410-77736526:+	chr7:77738046:+;chr7:77749497:+;chr7:77779241:+;chr7:77783022:+	TRUE	RSBN1L
GRIA2:SE04	3.54816172203993e-76	chr4:157334631:+	293.339814181919	chr4:157364287:+	1.08407225691347	ALE	8.0700519166624e-74	chr4:157333249-157333353:+	chr4:157334631:+;chr4:157360954:+;chr4:157364287:+;chr4:157366075:+	TRUE	GRIA2
UTP6:SE03	4.72630420976558e-76	chr17:31860904:-	319.753828863245	chr17:31863173:-	0.681839529243292	TUTR	1.06288740178043e-73	chr17:31878250-31878327:-	chr17:31860904:-;chr17:31863173:-	TRUE	UTP6
VCAN:SE04	4.96042008954901e-76	chr5:83581446:+	210.138083468862	chr5:83580635:+	28.6815619570832	TUTR	1.10314231213693e-73	chr5:83519349-83522309:+	chr5:83537169:+;chr5:83539490:+;chr5:83580635:+;chr5:83581446:+	TRUE	VCAN
ATF7IP:SE02	8.7653523300424e-76	chr12:14502930:+	332.165269082642	chr12:14498552:+	0.0643226475718909	TUTR	1.92789589984394e-73	chr12:14456561-14456634:+	chr12:14498248:+;chr12:14498552:+;chr12:14502930:+	TRUE	ATF7IP
TOP2A:SE12	2.86100792332426e-75	chr17:40388525:-	331.495094133485	chr17:40396288:-	0.0493612499575208	ALE	6.22424712884077e-73	chr17:40404152-40404273:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
SRSF10:SE01	5.77250318398472e-75	chr1:23966445:-	179.6866355157	chr1:23969089:-	16.9086101255579	TUTR	1.24232958309091e-72	chr1:23977911-23978273:-	chr1:23964804:-;chr1:23964925:-;chr1:23966445:-;chr1:23969089:-	TRUE	SRSF10
MTF2:SE05	1.92152577149339e-74	chr1:93122621:+	111.444278251719	chr1:93139076:+	27.8227467811159	ALE	4.09141896983406e-72	chr1:93120549-93120672:+	chr1:93122621:+;chr1:93129301:+;chr1:93137566:+;chr1:93139076:+	TRUE	MTF2
MTSS1:SE05	7.77160401274435e-74	chr8:124589020:-	278.101550931338	chr8:124552888:-	1.6667774822695	ALE	1.63735425594819e-71	chr8:124591151-124591235:-	chr8:124550776:-;chr8:124550963:-;chr8:124552888:-;chr8:124589020:-;chr8:124589621:-	TRUE	MTSS1
PLEKHA1:SE05	2.02357765160499e-73	chr10:122429039:+	179.400330464379	chr10:122432345:+	23.5828846712856	ALE	4.21894861425769e-71	chr10:122426942-122427031:+	chr10:122429039:+;chr10:122430145:+;chr10:122430566:+;chr10:122432345:+	TRUE	PLEKHA1
ICE1:SE07	5.1255085613941e-73	chr5:5449479:+	251.149240121581	chr5:5462958:+	4.91311475409836	ALE	1.05759849336395e-70	chr5:5447841-5447897:+	chr5:5449479:+;chr5:5462958:+;chr5:5490220:+	TRUE	ICE1
MFSD13A:SE03	6.49674364319975e-73	chr10:102472250:+	305.926248491294	chr10:102477045:+	0.881360213860264	ALE	1.32686044916983e-70	chr10:102471273-102471396:+	chr10:102472250:+;chr10:102477045:+	TRUE	MFSD13A
SMG6:SE03	7.89182947239334e-73	chr17:2171726:-	233.372822299652	chr17:2059845:-	8.55074684029107	ALE	1.59550471606013e-70	chr17:2172658-2172859:-	chr17:2059845:-;chr17:2171726:-	TRUE	SMG6
TOP2A:SE13	6.49981804330069e-72	chr17:40388525:-	316.723479687779	chr17:40396288:-	0.0479826786238374	ALE	1.30093858136663e-69	chr17:40404377-40404491:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
MBD1:SE01	8.56891526690567e-72	chr18:50271042:-	270.271403165706	chr18:50268846:-	1.98212702859233	TUTR	1.69808751551601e-69	chr18:50272677-50272738:-	chr18:50268846:-;chr18:50269031:-;chr18:50271042:-	TRUE	MBD1
ANKRD10:SE02	2.07282318528204e-71	chr13:110892710:-	275.404165954606	chr13:110878540:-	1.86604674060257	ALE	4.06740745621765e-69	chr13:110894285-110894393:-	chr13:110878540:-;chr13:110892710:-	TRUE	ANKRD10
ANKHD1:SE04	3.24509356087858e-71	chr5:140539853:+	322.232744107744	chr5:140496774:+	0.0220297340013644	ALE	6.30587840980434e-69	chr5:140485589-140485732:+	chr5:140496774:+;chr5:140510048:+;chr5:140524153:+;chr5:140539853:+	TRUE	ANKHD1
NOL9:SE02	3.78452096317249e-71	chr1:6521351:-	145.534835176751	chr1:6525145:-	20.1929445149249	TUTR	7.28338337287474e-69	chr1:6528994-6529171:-	chr1:6521351:-;chr1:6525145:-;chr1:6525567:-	TRUE	NOL9
TOP2A:SE24	7.23551441632847e-69	chr17:40388525:-	304.04862068464	chr17:40396288:-	0.0273278351849992	ALE	1.37922686707442e-66	chr17:40412759-40412971:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
PRIMPOL:SE05	1.31272625106889e-68	chr4:184679215:+	251.171910398753	chr4:184694952:+	3.24740252423801	ALE	2.47869961463621e-66	chr4:184678232-184678394:+	chr4:184679215:+;chr4:184694952:+	TRUE	PRIMPOL
SLC4A8:SE23	1.47057454229296e-68	chr12:51515763:+	221.529525137681	chr12:51509191:+	7.785320520575	TUTR	2.7507990153265e-66	chr12:51504029-51504120:+	chr12:51509191:+;chr12:51515763:+	TRUE	SLC4A8
ITCH:SE05	7.98312581789519e-68	chr20:34410076:+	244.557035401284	chr20:34509431:+	2.62887962146123	ALE	1.47946540041826e-65	chr20:34417117-34417239:+	chr20:34481192:+;chr20:34507933:+;chr20:34509431:+;chr20:34510508:+	TRUE	ITCH
TOP2A:SE20	9.61103958529294e-68	chr17:40388525:-	297.37960970442	chr17:40396288:-	0.0493612499575208	ALE	1.76481612201503e-65	chr17:40408492-40408630:-	chr17:40388525:-;chr17:40395446:-;chr17:40396288:-;chr17:40398773:-	TRUE	TOP2A
SLC4A8:SE22	3.82064259357676e-67	chr12:51515763:+	217.547619002329	chr12:51509191:+	7.4917237455884	TUTR	6.95183286458535e-65	chr12:51496987-51497124:+	chr12:51509191:+;chr12:51515763:+	TRUE	SLC4A8
