ID	bc01	bc02	bc05	bc06	iNGN_D12_rep1	iNGN_D12_rep2	iNGN_D12_rep3	PAS_ID	UTR_id	Feature	gene_name
chr10:662669:-	0	1	0	3	0	0	0	chr10:662669:-	.	intron	DIP2C
chr10:788693:-	0	0	1	1	1	0	0	chr10:788693:-	.	intergenic	intergenic:chr10:788693
chr10:803921:-	0	0	0	0	1	1	1	chr10:803921:-	.	intergenic	intergenic:chr10:803930
chr10:807087:-	1	2	1	2	0	0	0	chr10:807087:-	LARP4B:chr10:806914:812925:u1	3UTR	LARP4B
chr10:808853:-	0	0	1	2	2	0	0	chr10:808853:-	LARP4B:chr10:806914:812925:u1	3UTR	LARP4B
chr10:809499:-	4	2	3	4	5	2	0	chr10:809499:-	LARP4B:chr10:806914:812925:u1	3UTR	LARP4B
chr10:809542:-	18	5	7	15	17	10	4	chr10:809542:-	LARP4B:chr10:806914:812925:u1	3UTR	LARP4B
chr10:810015:-	3	2	0	4	2	8	1	chr10:810015:-	LARP4B:chr10:806914:812925:u1	3UTR	LARP4B
chr10:811083:-	1	1	1	1	2	1	0	chr10:811083:-	LARP4B:chr10:806914:812925:u1	3UTR	LARP4B
chr10:811210:-	16	17	7	5	17	4	3	chr10:811210:-	LARP4B:chr10:806914:812925:u1	3UTR	LARP4B
chr10:811340:-	0	1	0	1	3	0	0	chr10:811340:-	LARP4B:chr10:806914:812925:u1	3UTR	LARP4B
chr10:811617:-	0	0	2	0	0	0	0	chr10:811617:-	LARP4B:chr10:806914:812925:u1	3UTR	LARP4B
chr10:811652:-	0	0	2	0	1	0	0	chr10:811652:-	LARP4B:chr10:806914:812925:u1	3UTR	LARP4B
chr10:811736:-	5	1	0	1	2	0	0	chr10:811736:-	LARP4B:chr10:806914:812925:u1	3UTR	LARP4B
chr10:811806:-	40	29	11	20	10	14	3	chr10:811806:-	LARP4B:chr10:806914:812925:u1	3UTR	LARP4B
chr10:813133:-	2	2	3	4	2	4	1	chr10:813133:-	.	exon	LARP4B
chr10:832026:-	0	0	3	1	0	0	0	chr10:832026:-	.	intron	LARP4B
chr10:842627:-	3	1	2	0	1	0	0	chr10:842627:-	.	intron	LARP4B
chr10:907524:-	0	0	1	2	0	0	0	chr10:907524:-	.	intron	LARP4B
chr10:968372:-	0	0	0	1	0	3	0	chr10:968372:-	.	intergenic	intergenic:chr10:968389
chr10:1008459:+	0	2	0	0	1	0	0	chr10:1008459:+	.	intron	GTPBP4
chr10:1009684:+	6	7	4	5	3	0	3	chr10:1009684:+	.	intron	GTPBP4
chr10:1010451:+	1	0	0	1	0	0	0	chr10:1010451:+	.	exon	GTPBP4
chr10:1010519:+	213	211	139	129	82	86	93	chr10:1010519:+	.	exon	GTPBP4
chr10:1012485:+	138	146	63	70	70	60	54	chr10:1012485:+	.	exon	GTPBP4
chr10:1017115:+	3	2	0	2	0	0	1	chr10:1017115:+	.	exon	GTPBP4
chr10:1017365:+	26	28	4	4	4	7	5	chr10:1017365:+	GTPBP4:chr10:1017228:1019930:u1	3UTR	GTPBP4
chr10:1017692:+	1459	1600	448	467	512	489	488	chr10:1017692:+	GTPBP4:chr10:1017228:1019930:u1	3UTR	GTPBP4
chr10:1017768:+	311	325	121	116	85	135	105	chr10:1017768:+	GTPBP4:chr10:1017228:1019930:u1	3UTR	GTPBP4
chr10:1017860:+	10	12	1	3	4	1	2	chr10:1017860:+	GTPBP4:chr10:1017228:1019930:u1	3UTR	GTPBP4
chr10:1018267:+	6	7	4	9	9	4	4	chr10:1018267:+	GTPBP4:chr10:1017228:1019930:u1	3UTR	GTPBP4
chr10:1018491:+	2	2	0	0	1	0	0	chr10:1018491:+	GTPBP4:chr10:1017228:1019930:u1	3UTR	GTPBP4
chr10:1018910:-	0	0	0	0	1	2	1	chr10:1018910:-	IDI2:chr10:1018911:1019516:u1	3UTR	IDI2
chr10:1018918:+	0	0	0	0	0	0	2	chr10:1018918:+	GTPBP4:chr10:1017228:1019930:u1	3UTR	GTPBP4
chr10:1018974:+	0	0	1	3	0	0	0	chr10:1018974:+	GTPBP4:chr10:1017228:1019930:u1	3UTR	GTPBP4
chr10:1019268:+	0	0	0	0	0	2	0	chr10:1019268:+	GTPBP4:chr10:1017228:1019930:u1	3UTR	GTPBP4
chr10:1019927:+	14	9	6	12	15	23	15	chr10:1019927:+	GTPBP4:chr10:1017228:1019930:u1	3UTR	GTPBP4
chr10:1020000:+	0	0	0	1	1	0	0	chr10:1020000:+	.	intergenic	intergenic:chr10:1020003
chr10:1037728:-	0	1	2	4	12	17	12	chr10:1037728:-	.	intergenic	intergenic:chr10:1037745
chr10:1039419:-	0	0	0	1	1	6	3	chr10:1039419:-	IDI1:chr10:1039152:1041186:u1	3UTR	IDI1
chr10:1039471:-	0	1	0	1	1	1	2	chr10:1039471:-	IDI1:chr10:1039152:1041186:u1	3UTR	IDI1
chr10:1039908:-	34	63	42	55	110	77	78	chr10:1039908:-	IDI1:chr10:1039152:1041186:u1	3UTR	IDI1
chr10:1040023:-	2204	2053	1317	1798	3226	2928	2283	chr10:1040023:-	IDI1:chr10:1039152:1041186:u1	3UTR	IDI1
chr10:1040109:-	3	1	2	1	8	5	1	chr10:1040109:-	IDI1:chr10:1039152:1041186:u1	3UTR	IDI1
chr10:1040644:-	44	43	19	25	37	40	44	chr10:1040644:-	IDI1:chr10:1039152:1041186:u1	3UTR	IDI1
chr10:1040757:-	8	10	3	2	6	3	3	chr10:1040757:-	IDI1:chr10:1039152:1041186:u1	3UTR	IDI1
chr10:1040902:-	71	82	29	14	26	30	45	chr10:1040902:-	IDI1:chr10:1039152:1041186:u1	3UTR	IDI1
chr10:1041076:-	1	1	0	1	1	0	0	chr10:1041076:-	IDI1:chr10:1039152:1041186:u1	3UTR	IDI1
chr10:1041344:-	1	1	1	0	0	0	0	chr10:1041344:-	.	exon	IDI1
chr10:1042112:-	2	0	2	3	1	0	0	chr10:1042112:-	.	intron	IDI1
chr10:1042469:-	1	1	0	3	0	0	1	chr10:1042469:-	.	intron	IDI1
chr10:1042549:-	2	0	4	0	1	0	0	chr10:1042549:-	.	intron	IDI1
chr10:1044188:+	0	3	0	1	0	3	0	chr10:1044188:+	.	exon	IDI2-AS1
chr10:1044831:-	0	0	0	0	0	2	0	chr10:1044831:-	.	intron	IDI1
chr10:1045359:-	52	34	74	49	12	14	11	chr10:1045359:-	.	intron	IDI1
chr10:1045634:-	0	0	0	2	0	0	0	chr10:1045634:-	.	intron	IDI1
chr10:1050224:-	0	0	0	1	4	1	3	chr10:1050224:-	.	intron	IDI1
chr10:1051309:-	0	1	2	3	2	1	1	chr10:1051309:-	.	intron	IDI1
chr10:1058860:+	0	0	0	0	1	1	1	chr10:1058860:+	.	intron	WDR37
chr10:1064130:+	0	0	0	0	0	2	0	chr10:1064130:+	.	intron	WDR37
chr10:1066081:+	2	1	0	2	0	1	0	chr10:1066081:+	.	intron	WDR37
chr10:1086739:+	0	2	1	1	2	0	1	chr10:1086739:+	.	intron	WDR37
chr10:1088713:+	9	10	4	6	2	3	1	chr10:1088713:+	.	intron	WDR37
chr10:1096632:+	2	1	1	0	0	0	0	chr10:1096632:+	.	intron	WDR37
chr10:1103349:+	0	0	0	0	0	1	0	chr10:1103349:+	.	intron	WDR37
chr10:1129341:+	0	0	1	0	0	3	6	chr10:1129341:+	.	exon	WDR37
chr10:1129687:+	10	4	3	4	4	4	4	chr10:1129687:+	WDR37:chr10:1129345:1132372:u1	3UTR	WDR37
chr10:1130608:+	1	1	0	1	2	0	1	chr10:1130608:+	WDR37:chr10:1129345:1132372:u1	3UTR	WDR37
chr10:1131038:+	1	1	3	1	1	3	1	chr10:1131038:+	WDR37:chr10:1129345:1132372:u1	3UTR	WDR37
chr10:1132153:+	45	39	52	116	226	218	161	chr10:1132153:+	WDR37:chr10:1129345:1132372:u1	3UTR	WDR37
chr10:1132302:+	2	1	3	10	7	13	9	chr10:1132302:+	WDR37:chr10:1129345:1132372:u1	3UTR	WDR37
chr10:1132372:+	0	0	2	3	2	3	2	chr10:1132372:+	WDR37:chr10:1129345:1132372:u1	3UTR	WDR37
chr10:1132476:+	2	4	0	9	18	16	12	chr10:1132476:+	.	intergenic	intergenic:chr10:1132485
chr10:1177307:-	0	0	0	0	0	2	0	chr10:1177307:-	ADARB2:chr10:1177313:1183192:u1	3UTR	ADARB2
chr10:1181343:-	0	0	11	9	6	2	5	chr10:1181343:-	ADARB2:chr10:1177313:1183192:u1	3UTR	ADARB2
chr10:1182133:-	0	1	6	4	7	5	7	chr10:1182133:-	ADARB2:chr10:1177313:1183192:u1	3UTR	ADARB2
chr10:1198753:-	0	0	2	0	1	0	0	chr10:1198753:-	.	intron	ADARB2
chr10:1201088:-	1	0	1	5	0	5	2	chr10:1201088:-	.	intron	ADARB2
chr10:1201174:-	0	0	0	1	1	0	0	chr10:1201174:-	.	intron	ADARB2
chr10:1210244:-	0	0	0	3	0	0	0	chr10:1210244:-	.	intron	ADARB2
chr10:1212189:-	0	0	0	0	0	0	1	chr10:1212189:-	.	intron	ADARB2
chr10:1213753:-	0	0	0	0	0	1	0	chr10:1213753:-	.	intron	ADARB2
chr10:1218041:-	0	0	0	1	1	0	0	chr10:1218041:-	.	intron	ADARB2
chr10:1222285:-	0	0	0	0	0	0	1	chr10:1222285:-	.	intron	ADARB2
chr10:1224326:-	2	0	0	0	0	0	2	chr10:1224326:-	.	intron	ADARB2
chr10:1241927:-	0	0	1	0	0	0	0	chr10:1241927:-	.	intron	ADARB2
chr10:1268484:-	1	0	0	0	1	0	0	chr10:1268484:-	.	intron	ADARB2
chr10:1358873:+	2	1	0	0	0	0	0	chr10:1358873:+	.	intergenic	intergenic:chr10:1358881
chr10:1493361:-	0	0	0	2	0	0	0	chr10:1493361:-	.	intron	ADARB2
chr10:1503100:-	0	0	0	1	0	1	0	chr10:1503100:-	.	intron	ADARB2
chr10:1505377:-	0	0	0	1	0	0	0	chr10:1505377:-	.	intron	ADARB2
chr10:1509987:-	0	0	1	0	0	0	1	chr10:1509987:-	.	intron	ADARB2
chr10:1510043:-	0	0	0	2	0	0	0	chr10:1510043:-	.	intron	ADARB2
chr10:1510096:-	0	1	0	1	0	0	0	chr10:1510096:-	.	intron	ADARB2
chr10:1539936:-	0	0	1	0	0	0	0	chr10:1539936:-	.	intron	ADARB2
chr10:1540146:-	0	0	0	1	0	0	0	chr10:1540146:-	.	intron	ADARB2
chr10:1630634:-	1	0	0	3	1	1	1	chr10:1630634:-	.	intron	ADARB2
chr10:1673492:-	1	0	0	0	0	0	0	chr10:1673492:-	.	intron	ADARB2
chr10:1705090:-	1	0	0	1	0	0	0	chr10:1705090:-	.	intron	ADARB2
chr10:1711962:-	0	0	0	2	0	0	0	chr10:1711962:-	.	intron	ADARB2
chr10:1717478:-	2	0	0	3	0	0	0	chr10:1717478:-	.	intron	ADARB2
chr10:1801053:+	0	3	0	0	0	0	0	chr10:1801053:+	.	intergenic	intergenic:chr10:1801053
chr10:1871296:+	0	0	1	0	3	3	5	chr10:1871296:+	.	intergenic	intergenic:chr10:1871296
chr10:2305254:+	0	0	0	0	3	5	1	chr10:2305254:+	.	intergenic	intergenic:chr10:2305256
chr10:2319227:+	0	0	0	0	2	0	0	chr10:2319227:+	.	intergenic	intergenic:chr10:2319227
chr10:2325541:+	0	0	0	0	1	0	1	chr10:2325541:+	.	intergenic	intergenic:chr10:2325541
chr10:2441437:+	0	0	0	4	0	0	0	chr10:2441437:+	.	intergenic	intergenic:chr10:2441442
chr10:2603279:-	0	0	0	0	0	4	1	chr10:2603279:-	.	intergenic	intergenic:chr10:2603281
chr10:2603621:-	0	0	0	1	3	2	0	chr10:2603621:-	.	intergenic	intergenic:chr10:2603621
chr10:2603799:-	0	0	1	0	1	0	0	chr10:2603799:-	.	intergenic	intergenic:chr10:2603813
chr10:2603898:-	0	0	0	0	1	1	0	chr10:2603898:-	.	intergenic	intergenic:chr10:2603898
chr10:2604037:-	0	0	3	0	3	1	0	chr10:2604037:-	.	intergenic	intergenic:chr10:2604041
chr10:2604325:-	0	0	8	14	28	38	8	chr10:2604325:-	.	intergenic	intergenic:chr10:2604348
chr10:2604714:-	0	0	28	34	55	66	15	chr10:2604714:-	.	intergenic	intergenic:chr10:2604728
chr10:2605016:-	0	0	5	1	5	5	1	chr10:2605016:-	.	intergenic	intergenic:chr10:2605019
chr10:2605089:-	0	0	1	0	0	3	0	chr10:2605089:-	.	intergenic	intergenic:chr10:2605103
chr10:2605256:-	0	0	96	92	165	126	119	chr10:2605256:-	.	intergenic	intergenic:chr10:2605270
chr10:2605484:-	0	0	3	2	3	1	1	chr10:2605484:-	.	intergenic	intergenic:chr10:2605494
chr10:2691911:+	0	0	0	0	0	0	2	chr10:2691911:+	.	intergenic	intergenic:chr10:2691911
chr10:3042535:-	1	1	2	0	1	0	0	chr10:3042535:-	.	intergenic	intergenic:chr10:3042542
chr10:3065424:-	4	3	0	1	1	2	2	chr10:3065424:-	.	exon	LOC101927824
chr10:3071365:+	0	1	0	0	2	0	0	chr10:3071365:+	.	intron	PFKP
chr10:3120381:+	2	0	4	9	1	1	2	chr10:3120381:+	.	intron	PFKP
chr10:3120654:+	0	0	2	0	0	0	0	chr10:3120654:+	.	intron	PFKP
chr10:3121082:+	2	3	7	10	2	1	5	chr10:3121082:+	.	intron	PFKP
chr10:3127886:-	0	0	0	0	6	2	2	chr10:3127886:-	.	intergenic	intergenic:chr10:3127886
chr10:3132955:-	0	0	1	1	1	1	1	chr10:3132955:-	.	intergenic	intergenic:chr10:3132955
chr10:3134253:-	0	0	2	3	3	0	1	chr10:3134253:-	.	intergenic	intergenic:chr10:3134256
chr10:3136802:+	1300	1440	497	674	249	330	354	chr10:3136802:+	PFKP:chr10:3136580:3136805:u1	3UTR	PFKP
chr10:3137099:+	0	1	0	0	0	0	1	chr10:3137099:+	.	intergenic	intergenic:chr10:3137099
chr10:3137709:+	47	47	3	3	5	2	3	chr10:3137709:+	.	intergenic	intergenic:chr10:3137723
chr10:3137728:-	339	389	520	626	457	456	454	chr10:3137728:-	PITRM1:chr10:3137727:3138030:u1	3UTR	PITRM1
chr10:3139084:+	0	1	1	1	0	0	0	chr10:3139084:+	.	intergenic	intergenic:chr10:3139088
chr10:3140710:+	1	1	0	0	0	0	0	chr10:3140710:+	.	intergenic	intergenic:chr10:3140711
chr10:3140939:+	8	8	1	4	1	1	0	chr10:3140939:+	.	intergenic	intergenic:chr10:3140941
chr10:3141412:-	0	2	2	0	1	0	1	chr10:3141412:-	.	intron	PITRM1
chr10:3142223:+	2	1	0	0	0	0	1	chr10:3142223:+	.	intron	PITRM1-AS1
chr10:3149465:-	1	0	0	1	0	0	1	chr10:3149465:-	.	intron	PITRM1
chr10:3151179:-	18	22	4	5	2	6	5	chr10:3151179:-	.	intron	PITRM1
chr10:3156948:-	2	2	1	6	3	8	1	chr10:3156948:-	.	exon	PITRM1
chr10:3161354:-	0	0	0	0	1	0	1	chr10:3161354:-	.	intron	PITRM1
chr10:3162926:-	5	6	0	1	0	0	2	chr10:3162926:-	.	intron	PITRM1
chr10:3163032:-	1	1	0	0	0	0	0	chr10:3163032:-	.	intron	PITRM1
chr10:3253354:+	4	0	0	0	0	0	0	chr10:3253354:+	.	exon	LOC105376353
chr10:3775996:-	1	2	2	2	0	0	0	chr10:3775996:-	KLF6:chr10:3775996:3779552:u1	3UTR	KLF6
chr10:3781399:-	0	0	0	1	2	0	1	chr10:3781399:-	.	intron	KLF6
chr10:3949349:+	0	1	0	0	0	1	0	chr10:3949349:+	.	intergenic	intergenic:chr10:3949354
chr10:4773133:+	0	0	0	0	0	1	1	chr10:4773133:+	.	intergenic	intergenic:chr10:4773137
chr10:4827366:+	0	0	1	0	0	1	0	chr10:4827366:+	.	intron	AKR1E2
chr10:4828743:+	1	0	3	4	10	7	3	chr10:4828743:+	.	intron	AKR1E2
chr10:4828804:+	0	0	0	2	2	0	2	chr10:4828804:+	.	intron	AKR1E2
chr10:4836162:+	0	0	2	5	0	1	0	chr10:4836162:+	.	intron	AKR1E2
chr10:4847128:+	6	1	6	17	11	4	12	chr10:4847128:+	.	intron	AKR1E2
chr10:4847281:+	1	1	0	3	0	1	0	chr10:4847281:+	.	exon	AKR1E2
chr10:4847345:+	0	1	0	3	0	0	1	chr10:4847345:+	.	intron	AKR1E2
chr10:4847458:+	0	1	0	0	0	1	0	chr10:4847458:+	.	intron	AKR1E2
chr10:4848062:+	13	11	17	12	17	11	12	chr10:4848062:+	AKR1E2:chr10:4847531:4848059:u1	3UTR	AKR1E2
chr10:4854429:+	2	3	9	16	3	4	4	chr10:4854429:+	.	intergenic	intergenic:chr10:4854429
chr10:4911808:+	0	0	1	2	0	0	0	chr10:4911808:+	.	intergenic	intergenic:chr10:4911808
chr10:4930922:+	0	0	0	2	0	0	0	chr10:4930922:+	.	intergenic	intergenic:chr10:4930922
chr10:4935245:+	0	0	0	0	0	0	1	chr10:4935245:+	.	intergenic	intergenic:chr10:4935249
chr10:4946878:+	0	0	1	0	0	0	1	chr10:4946878:+	.	intergenic	intergenic:chr10:4946878
chr10:4953113:+	1	0	2	2	2	0	1	chr10:4953113:+	.	intergenic	intergenic:chr10:4953119
chr10:4970987:+	0	0	0	3	1	0	1	chr10:4970987:+	.	intron	AKR1C1
chr10:4974960:+	0	0	1	0	0	0	1	chr10:4974960:+	.	intron	AKR1C1
chr10:4975081:+	0	0	1	0	0	2	0	chr10:4975081:+	.	intron	AKR1C1
chr10:4975186:+	0	0	0	0	2	5	0	chr10:4975186:+	.	intron	AKR1C1
chr10:4977168:+	0	0	1	1	0	0	0	chr10:4977168:+	.	intron	AKR1C1
chr10:4977966:+	24	20	634	658	728	782	907	chr10:4977966:+	AKR1C1:chr10:4977743:4983282:u1	3UTR	AKR1C1
chr10:4979967:+	0	0	1	4	21	15	14	chr10:4979967:+	AKR1C1:chr10:4977743:4983282:u1	3UTR	AKR1C1
chr10:4980194:+	1	0	0	0	1	0	0	chr10:4980194:+	AKR1C1:chr10:4977743:4983282:u1	3UTR	AKR1C1
chr10:4980588:+	0	0	0	0	1	1	0	chr10:4980588:+	AKR1C1:chr10:4977743:4983282:u1	3UTR	AKR1C1
chr10:4987779:-	0	0	0	0	8	8	7	chr10:4987779:-	AKR1C2:chr10:4987776:4989995:u2	3UTR	AKR1C2
chr10:4988952:-	0	0	0	0	0	2	0	chr10:4988952:-	AKR1C2:chr10:4987776:4989995:u2	3UTR	AKR1C2
chr10:4989773:-	10	6	406	378	619	649	646	chr10:4989773:-	AKR1C2:chr10:4987776:4989995:u2	3UTR	AKR1C2
chr10:4997613:+	0	0	0	0	1	3	0	chr10:4997613:+	.	intergenic	intergenic:chr10:4997613
chr10:4997680:+	0	0	1	1	1	0	0	chr10:4997680:+	.	intergenic	intergenic:chr10:4997690
chr10:4999514:+	0	0	1	1	1	3	5	chr10:4999514:+	.	intergenic	intergenic:chr10:4999517
chr10:5098135:-	0	0	1	1	0	0	0	chr10:5098135:-	.	intergenic	intergenic:chr10:5098138
chr10:5107683:+	63	72	26	27	50	62	40	chr10:5107683:+	AKR1C3:chr10:5107504:5107686:u2	3UTR	AKR1C3
chr10:5277394:-	3	0	1	0	0	0	0	chr10:5277394:-	.	intergenic	intergenic:chr10:5277408
chr10:5279872:-	0	2	0	0	0	0	0	chr10:5279872:-	.	intergenic	intergenic:chr10:5279872
chr10:5393105:-	0	1	2	1	0	0	0	chr10:5393105:-	TUBAL3:chr10:5393101:5393516:u1	3UTR	TUBAL3
chr10:5399609:-	0	0	0	2	0	0	0	chr10:5399609:-	.	intron	TUBAL3
chr10:5433703:+	0	2	0	0	0	0	0	chr10:5433703:+	.	intron	NET1
chr10:5457217:+	1	1	0	0	0	0	0	chr10:5457217:+	NET1:chr10:5456995:5459056:u1	3UTR	NET1
chr10:5457499:+	0	0	0	1	0	0	0	chr10:5457499:+	NET1:chr10:5456995:5459056:u1	3UTR	NET1
chr10:5457712:+	135	174	118	164	62	57	75	chr10:5457712:+	NET1:chr10:5456995:5459056:u1	3UTR	NET1
chr10:5457968:+	12	15	6	6	2	5	7	chr10:5457968:+	NET1:chr10:5456995:5459056:u1	3UTR	NET1
chr10:5458209:+	14	8	6	9	4	2	3	chr10:5458209:+	NET1:chr10:5456995:5459056:u1	3UTR	NET1
chr10:5458327:+	0	0	3	2	0	1	0	chr10:5458327:+	NET1:chr10:5456995:5459056:u1	3UTR	NET1
chr10:5458458:+	125	104	41	85	56	64	33	chr10:5458458:+	NET1:chr10:5456995:5459056:u1	3UTR	NET1
chr10:5459054:+	1	2	1	2	1	0	0	chr10:5459054:+	NET1:chr10:5456995:5459056:u1	3UTR	NET1
chr10:5554538:+	0	0	0	1	0	1	0	chr10:5554538:+	.	intergenic	intergenic:chr10:5554538
chr10:5638867:-	30	38	88	123	133	141	147	chr10:5638867:-	ASB13:chr10:5638867:5640702:u1	3UTR	ASB13
chr10:5638988:-	1	0	0	3	2	0	1	chr10:5638988:-	ASB13:chr10:5638867:5640702:u1	3UTR	ASB13
chr10:5639763:-	0	1	0	0	3	0	0	chr10:5639763:-	ASB13:chr10:5638867:5640702:u1	3UTR	ASB13
chr10:5661495:-	0	1	1	1	0	0	2	chr10:5661495:-	.	intron	ASB13
chr10:5686408:+	0	0	0	0	0	1	0	chr10:5686408:+	.	exon	TASOR2
chr10:5686905:+	0	2	0	1	2	1	0	chr10:5686905:+	.	exon	TASOR2
chr10:5686969:+	0	0	0	1	0	1	1	chr10:5686969:+	.	exon	TASOR2
chr10:5687210:+	1	0	0	0	0	1	0	chr10:5687210:+	.	exon	TASOR2
chr10:5687415:+	3	1	6	8	5	9	6	chr10:5687415:+	.	exon	TASOR2
chr10:5689722:+	0	0	2	1	5	2	2	chr10:5689722:+	.	intron	TASOR2
chr10:5689783:+	0	0	3	0	5	4	2	chr10:5689783:+	.	intron	TASOR2
chr10:5697126:+	1	0	0	0	0	0	0	chr10:5697126:+	.	intron	TASOR2
chr10:5698438:+	0	2	0	0	0	1	2	chr10:5698438:+	.	intron	TASOR2
chr10:5714628:+	1	0	1	2	0	0	0	chr10:5714628:+	.	intron	TASOR2
chr10:5726856:-	0	0	0	1	1	0	0	chr10:5726856:-	.	intergenic	intergenic:chr10:5726856
