gene_id	p_value	dominant_pair	dominant_pair_coor	contribution	residual	FDR	sig	tss	pas
KMT2E	0	P13-PA04	chr7:105109040:+|chr7:105114085:+	857.36150422987	29.2807360602474	0	TRUE	chr7:105014164:+;chr7:105014432:+;chr7:105062198:+;chr7:105077116:+;chr7:105101471:+;chr7:105107900:+;chr7:105109040:+	chr7:105074765:+;chr7:105090156:+;chr7:105091296:+;chr7:105114085:+
LUC7L3	0	P08-PA03	chr17:50746575:+|chr17:50752640:+	173.65450623677	13.1778035437159	0	TRUE	chr17:50719565:+;chr17:50719802:+;chr17:50740267:+;chr17:50743672:+;chr17:50744661:+;chr17:50745906:+;chr17:50746575:+	chr17:50745811:+;chr17:50752550:+;chr17:50752640:+;chr17:50752711:+
MAP3K13	0	P05-PA03	chr3:185363242:+|chr3:185482831:+	1054.51102801369	32.4732355642873	0	TRUE	chr3:185282941:+;chr3:185363136:+;chr3:185363242:+	chr3:185293011:+;chr3:185293079:+;chr3:185482831:+
MAP4	0	P01-PA02	chr3:47857478:-|chr3:47851558:-	1625.05283080079	40.3119440216023	0	TRUE	chr3:47857478:-;chr3:47928302:-;chr3:48088801:-;chr3:48089203:-;chr3:48089272:-	chr3:47850695:-;chr3:47851558:-;chr3:47973079:-
NAA15	0	P08-PA02	chr4:139386168:+|chr4:139389321:+	631.024992155692	25.1202108302397	0	TRUE	chr4:139301505:+;chr4:139301588:+;chr4:139336873:+;chr4:139351535:+;chr4:139376377:+;chr4:139384836:+;chr4:139386168:+	chr4:139370284:+;chr4:139389321:+
NCOR1	0	P04-PA01	chr17:16047035:-|chr17:16031406:-	1992.97300588827	44.6427262371852	0	TRUE	chr17:16039466:-;chr17:16047035:-;chr17:16057723:-;chr17:16057935:-;chr17:16080513:-;chr17:16091918:-;chr17:16194611:-;chr17:16215401:-;chr17:16215529:-	chr17:16031406:-;chr17:16126117:-;chr17:16126177:-;chr17:16137369:-;chr17:16149462:-
OXR1	0	P01-PA01	chr8:106270178:+|chr8:106272774:+	935.625914178424	30.588002781784	0	TRUE	chr8:106270178:+;chr8:106726107:+	chr8:106272774:+;chr8:106272897:+;chr8:106752694:+
PPP1R12A	0	P04-PA01	chr12:79788752:-|chr12:79773826:-	1650.08746819338	40.6212686679452	0	TRUE	chr12:79788752:-;chr12:79796790:-;chr12:79797237:-;chr12:79798498:-;chr12:79809815:-;chr12:79817443:-;chr12:79817518:-;chr12:79821118:-;chr12:79872872:-;chr12:79934715:-;chr12:79934931:-;chr12:79935097:-;chr12:79935455:-	chr12:79773826:-;chr12:79797316:-
PRPF40A	0	P01-PA01	chr2:152659104:-|chr2:152655332:-	3249.06579924148	57.0005771834065	0	TRUE	chr2:152659104:-;chr2:152659377:-;chr2:152663855:-;chr2:152693111:-;chr2:152716130:-;chr2:152717435:-;chr2:152717625:-;chr2:152717932:-	chr2:152655332:-;chr2:152672560:-
PSIP1	0	P02-PA01	chr9:15474201:-|chr9:15464066:-	504.677299424096	22.4650239132767	0	TRUE	chr9:15472750:-;chr9:15474201:-;chr9:15510289:-;chr9:15510946:-	chr9:15464066:-;chr9:15464584:-;chr9:15474086:-
RBMX	0	P01-PA01	chrX:136873425:-|chrX:136869192:-	763.749679256867	27.6360214078812	0	TRUE	chrX:136873425:-;chrX:136873982:-;chrX:136879431:-;chrX:136880722:-	chrX:136869192:-;chrX:136873461:-;chrX:136873958:-
SFPQ	0	P03-PA01	chr1:35179105:-|chr1:35176380:-	1654.25429611905	40.6725250767523	0	TRUE	chr1:35179105:-;chr1:35179246:-;chr1:35180645:-;chr1:35181344:-;chr1:35181606:-;chr1:35188042:-;chr1:35190574:-;chr1:35193145:-	chr1:35176380:-;chr1:35183600:-;chr1:35184123:-
TPR	0	P02-PA01	chr1:186326220:-|chr1:186313826:-	3104.00274188465	55.7135777157117	0	TRUE	chr1:186326220:-;chr1:186344090:-;chr1:186375253:-;chr1:186375325:-;chr1:186375693:-	chr1:186313826:-;chr1:186355523:-
TUT4	0	P01-PA01	chr1:52431081:-|chr1:52423283:-	326.639755819013	18.0731778007912	0	TRUE	chr1:52431081:-;chr1:52431227:-;chr1:52431438:-;chr1:52437255:-;chr1:52446628:-;chr1:52461716:-;chr1:52552994:-;chr1:52553069:-;chr1:52553458:-	chr1:52423283:-;chr1:52423404:-;chr1:52475386:-;chr1:52509603:-
ZNF638	0	P11-PA02	chr2:71426846:+|chr2:71435056:+	615.297013149176	24.8051811754959	0	TRUE	chr2:71276561:+;chr2:71276645:+;chr2:71331728:+;chr2:71365429:+;chr2:71403850:+;chr2:71418222:+;chr2:71426846:+;chr2:71427283:+;chr2:71427350:+	chr2:71369987:+;chr2:71435056:+
EIF4A1	3.34247761052749e-318	P10-PA02	chr17:7577148:+|chr17:7579001:+	298.610785391716	17.2803583698868	3.71779008239342e-316	TRUE	chr17:7572824:+;chr17:7573316:+;chr17:7573433:+;chr17:7573844:+;chr17:7574259:+;chr17:7575188:+;chr17:7576532:+;chr17:7577148:+;chr17:7577566:+;chr17:7577635:+;chr17:7577687:+	chr17:7578627:+;chr17:7579001:+
GCC2	4.09408436151076e-317	P09-PA03	chr2:108483124:+|chr2:108509398:+	432.834799271219	20.8046821478056	4.42729733665289e-315	TRUE	chr2:108449185:+;chr2:108471814:+;chr2:108475562:+;chr2:108481697:+;chr2:108483124:+	chr2:108470685:+;chr2:108484262:+;chr2:108509398:+
BPTF	2.34385238430001e-309	P15-PA07	chr17:67975802:+|chr17:67983153:+	383.959516963772	19.5948849693937	2.46611279245404e-307	TRUE	chr17:67825503:+;chr17:67826033:+;chr17:67826142:+;chr17:67920100:+;chr17:67940528:+;chr17:67944270:+;chr17:67947754:+;chr17:67964344:+;chr17:67975802:+	chr17:67866481:+;chr17:67911432:+;chr17:67960063:+;chr17:67982566:+;chr17:67959791:+;chr17:67981762:+;chr17:67983153:+
MALAT1	3.92180336612222e-297	P04-PA04	chr11:65501848:+|chr11:65503630:+	489.541451016355	22.1255836310899	4.01778434324048e-295	TRUE	chr11:65497688:+;chr11:65499042:+;chr11:65500223:+;chr11:65501848:+;chr11:65501960:+	chr11:65499859:+;chr11:65502913:+;chr11:65502995:+;chr11:65503630:+
BRD4	8.04895958856554e-296	P02-PA01	chr19:15255366:-|chr19:15247047:-	1320.61030478955	36.3402023218026	8.03451273802196e-294	TRUE	chr19:15255366:-;chr19:15258201:-;chr19:15264620:-;chr19:15272981:-;chr19:15331906:-;chr19:15332539:-	chr19:15247047:-;chr19:15256187:-
BCLAF1	4.42770679879554e-283	P04-PA01	chr6:136269520:-|chr6:136258589:-	416.057040399051	20.3974763242674	4.30926564192776e-281	TRUE	chr6:136268322:-;chr6:136269520:-;chr6:136273144:-;chr6:136278103:-;chr6:136279866:-;chr6:136289781:-	chr6:136258589:-;chr6:136271996:-
HNRNPK	7.45989083349177e-275	P01-PA01	chr9:83970786:-|chr9:83968178:-	682.878856452503	26.1319508734519	7.08325732067889e-273	TRUE	chr9:83970786:-;chr9:83971146:-;chr9:83971294:-;chr9:83978452:-;chr9:83980190:-;chr9:83980595:-	chr9:83968178:-;chr9:83968909:-
SECISBP2	2.83100533572204e-274	P07-PA02	chr9:89348148:+|chr9:89359642:+	876.208493840693	29.6008191413801	2.62407232665855e-272	TRUE	chr9:89318500:+;chr9:89318851:+;chr9:89325960:+;chr9:89332588:+;chr9:89332917:+;chr9:89348148:+	chr9:89338503:+;chr9:89359642:+
HECTD1	3.80792296551814e-273	P04-PA01	chr14:31105627:-|chr14:31100117:-	371.023768953401	19.2619772856631	3.44749862901445e-271	TRUE	chr14:31105627:-;chr14:31112443:-;chr14:31128701:-;chr14:31207103:-;chr14:31207474:-;chr14:31207679:-;chr14:31207793:-	chr14:31100117:-;chr14:31168430:-
PDE4DIP	2.5113630111633e-268	P14-PA01	chr1:148951937:+|chr1:148981776:+	142.458590579089	11.9356018105116	2.2219855005588e-266	TRUE	chr1:148808434:+;chr1:148844382:+;chr1:148844519:+;chr1:148844592:+;chr1:148868544:+;chr1:148951937:+;chr1:148952124:+;chr1:148952341:+;chr1:148952457:+;chr1:148962410:+;chr1:148962572:+;chr1:148979760:+;chr1:149003014:+;chr1:149008449:+;chr1:149016491:+;chr1:149017760:+;chr1:149027427:+;chr1:149027559:+;chr1:149030246:+	chr1:148993879:+;chr1:149033016:+;chr1:148981776:+
NIPBL	1.29282620589434e-264	P08-PA03	chr5:37058903:+|chr5:37065233:+	564.454423562538	23.758249589617	1.11843831545481e-262	TRUE	chr5:36876769:+;chr5:36876841:+;chr5:36961506:+;chr5:37058903:+	chr5:36975884:+;chr5:37000845:+;chr5:37065233:+;chr5:37065504:+
ZFC3H1	3.00035309940601e-262	P04-PA02	chr12:71619965:-|chr12:71609690:-	584.035709823421	24.1668307773986	2.53921187304078e-260	TRUE	chr12:71611254:-;chr12:71619965:-;chr12:71663360:-;chr12:71663819:-	chr12:71609690:-;chr12:71609599:-;chr12:71644260:-;chr12:71644940:-;chr12:71647784:-
SMARCA5	7.30399610788459e-256	P03-PA02	chr4:143547432:+|chr4:143554372:+	638.112931958407	25.2608972912366	6.04988443574355e-254	TRUE	chr4:143513702:+;chr4:143543633:+;chr4:143547432:+	chr4:143553414:+;chr4:143554372:+
RABGEF1	3.84695246250675e-255	P01-PA01	chr7:66682164:+|chr7:66716639:+	888.602570955504	29.8094376155523	3.12003873677891e-253	TRUE	chr7:66682164:+;chr7:66740733:+;chr7:66771900:+;chr7:66797372:+	chr7:66716639:+;chr7:66809494:+;chr7:66809666:+;chr7:66811193:+;chr7:66811464:+
ITSN1	4.12237249461902e-255	P12-PA03	chr21:33818383:+|chr21:33838494:+	546.103896103896	23.368865956736	3.27518288194936e-253	TRUE	chr21:33642400:+;chr21:33642452:+;chr21:33718797:+;chr21:33735041:+;chr21:33750107:+;chr21:33797554:+;chr21:33811204:+;chr21:33818383:+;chr21:33818452:+	chr21:33794454:+;chr21:33774839:+;chr21:33838494:+
MACF1	1.98764567429436e-249	P09-PA01	chr1:39158864:+|chr1:39284395:+	163.31162663576	12.7793437482431	1.54758092200559e-247	TRUE	chr1:39081316:+;chr1:39081417:+;chr1:39105411:+;chr1:39105505:+;chr1:39158864:+;chr1:39434485:+;chr1:39435626:+;chr1:39437807:+;chr1:39453837:+;chr1:39459123:+;chr1:39460747:+;chr1:39462020:+;chr1:39468593:+	chr1:39284395:+;chr1:39486222:+;chr1:39486985:+;chr1:39486038:+
HNRNPU	4.05937353771357e-245	P04-PA01	chr1:244855597:-|chr1:244853388:-	113.833420087277	10.6692745811173	3.09865513378803e-243	TRUE	chr1:244855597:-;chr1:244856057:-;chr1:244856850:-;chr1:244858080:-;chr1:244859374:-;chr1:244860461:-;chr1:244860536:-;chr1:244861034:-;chr1:244862950:-;chr1:244863106:-;chr1:244863653:-;chr1:244864007:-;chr1:244864091:-;chr1:244864488:-	chr1:244853388:-;chr1:244853658:-;chr1:244854133:-
BAZ2B	3.6145692726575e-232	P02-PA01	chr2:159347593:-|chr2:159318979:-	395.278984281013	19.8816242867884	2.70606118816455e-230	TRUE	chr2:159332996:-;chr2:159347593:-;chr2:159400650:-;chr2:159432950:-;chr2:159615424:-;chr2:159615560:-;chr2:159616450:-;chr2:159616505:-;chr2:159712430:-	chr2:159318979:-;chr2:159319051:-;chr2:159350338:-;chr2:159389459:-;chr2:159404850:-
GGNBP2	5.06672613605477e-230	P04-PA04	chr17:36585893:+|chr17:36589848:+	452.074150811949	21.2620354343593	3.72165374484174e-228	TRUE	chr17:36544912:+;chr17:36545504:+;chr17:36585893:+;chr17:36586134:+	chr17:36581451:+;chr17:36586158:+;chr17:36589448:+;chr17:36589848:+
ABCC5	6.03050902657132e-222	P01-PA01	chr3:183942780:-|chr3:183919934:-	809.790110553388	28.4568113209015	4.34755030378559e-220	TRUE	chr3:183942780:-;chr3:183971831:-;chr3:184017444:-;chr3:184017836:-	chr3:183919934:-;chr3:183983753:-
SMC4	2.47974585330482e-219	P15-PA06	chr3:160428796:+|chr3:160434953:+	431.99481768035	20.7844850232174	1.75520920125739e-217	TRUE	chr3:160399274:+;chr3:160399638:+;chr3:160402809:+;chr3:160414438:+;chr3:160428796:+	chr3:160414505:+;chr3:160413571:+;chr3:160416330:+;chr3:160433909:+;chr3:160434953:+;chr3:160433976:+
KIF5C	3.0408004012945e-206	P12-PA02	chr2:148978930:+|chr2:149026754:+	467.150565000509	21.613666162882	2.11389927897134e-204	TRUE	chr2:148875227:+;chr2:148949875:+;chr2:148978930:+	chr2:148962046:+;chr2:149026754:+
AP3D1	8.62339292503856e-202	P01-PA01	chr19:2110805:-|chr19:2100994:-	145.270222367842	12.0528097291811	5.88962608020616e-200	TRUE	chr19:2110805:-;chr19:2111329:-;chr19:2114239:-;chr19:2118626:-;chr19:2120867:-;chr19:2129121:-;chr19:2130478:-;chr19:2151557:-	chr19:2100994:-;chr19:2101048:-;chr19:2114192:-
CYHR1	2.52170671899949e-200	P04-PA02	chr8:144462851:-|chr8:144451125:-	310.597092744904	17.6237649991398	1.69258694087328e-198	TRUE	chr8:144462415:-;chr8:144462851:-;chr8:144465035:-;chr8:144465428:-;chr8:144465489:-;chr8:144465648:-	chr8:144449931:-;chr8:144451125:-;chr8:144463825:-
ING5	2.85984412597106e-200	P02-PA01	chr2:241687085:+|chr2:241690263:+	660.855104126291	25.7071022117681	1.88701240379751e-198	TRUE	chr2:241687020:+;chr2:241687085:+;chr2:241702035:+	chr2:241690263:+;chr2:241712550:+;chr2:241724026:+;chr2:241726000:+;chr2:241726410:+;chr2:241729478:+
WAPL	3.78026613635732e-199	P02-PA01	chr10:86467506:-|chr10:86435256:-	438.682586537963	20.9447508110735	2.45276267813984e-197	TRUE	chr10:86467506:-;chr10:86472287:-;chr10:86521784:-	chr10:86435256:-;chr10:86437010:-;chr10:86467347:-
CCAR1	9.00933016998678e-192	P07-PA05	chr10:68773059:+|chr10:68791552:+	340.044679048795	18.4403004056006	5.74972497569812e-190	TRUE	chr10:68721144:+;chr10:68721216:+;chr10:68755476:+;chr10:68757350:+;chr10:68773059:+	chr10:68761114:+;chr10:68771435:+;chr10:68771338:+;chr10:68791479:+;chr10:68791552:+;chr10:68792377:+
BAZ1A	3.07587024965542e-191	P02-PA01	chr14:34761936:-|chr14:34752734:-	332.456084656085	18.2333783116592	1.93134885192073e-189	TRUE	chr14:34761776:-;chr14:34761936:-;chr14:34771659:-;chr14:34773726:-;chr14:34862107:-;chr14:34862311:-;chr14:34874932:-;chr14:34875360:-	chr14:34752734:-;chr14:34800239:-;chr14:34800326:-;chr14:34801113:-
CHD2	1.46145814329051e-181	P20-PA04	chr15:93012428:+|chr15:93027942:+	457.73717948718	21.3947932798422	9.03088341560309e-180	TRUE	chr15:92900189:+;chr15:92900321:+;chr15:92924278:+;chr15:92939654:+;chr15:92945840:+;chr15:92956552:+;chr15:92971883:+;chr15:92984459:+;chr15:92996954:+;chr15:92997302:+;chr15:93012428:+	chr15:92949234:+;chr15:93002272:+;chr15:92902303:+;chr15:93027942:+
SON	5.33633158309934e-174	P04-PA05	chr21:33567160:+|chr21:33577505:+	110.671169816195	10.5200365881586	3.24599044578214e-172	TRUE	chr21:33543038:+;chr21:33555049:+;chr21:33567160:+;chr21:33572527:+;chr21:33573214:+	chr21:33549584:+;chr21:33559062:+;chr21:33577346:+;chr21:33560662:+;chr21:33577505:+
SCAF11	6.047851223208e-173	P01-PA02	chr12:45923100:-|chr12:45921158:-	164.764107557927	12.8360471936623	3.62219766337673e-171	TRUE	chr12:45923100:-;chr12:45924788:-;chr12:45926710:-;chr12:45933172:-;chr12:45990565:-	chr12:45919139:-;chr12:45921158:-;chr12:45921409:-;chr12:45922356:-;chr12:45926717:-;chr12:45960455:-
DNAJA1	1.48399457792534e-172	P03-PA02	chr9:33034260:+|chr9:33039900:+	503.820636289584	22.445949217834	8.75331953312631e-171	TRUE	chr9:33025203:+;chr9:33025273:+;chr9:33034260:+	chr9:33039069:+;chr9:33039900:+
TLE1	3.95425444058474e-168	P02-PA01	chr9:81620539:-|chr9:81583686:-	303.63467488565	17.4251162086699	2.29759888614871e-166	TRUE	chr9:81613521:-;chr9:81620539:-;chr9:81685896:-;chr9:81687368:-;chr9:81688448:-;chr9:81689535:-	chr9:81583686:-;chr9:81633472:-
MIS18BP1	2.71453944745471e-167	P03-PA01	chr14:45224045:-|chr14:45203195:-	283.301924601899	16.8315752263981	1.55407383366782e-165	TRUE	chr14:45206274:-;chr14:45224045:-;chr14:45224124:-;chr14:45242386:-;chr14:45242480:-;chr14:45253177:-;chr14:45253540:-	chr14:45203195:-;chr14:45203586:-;chr14:45224253:-;chr14:45224337:-;chr14:45226779:-;chr14:45231262:-
ACSF3	1.49096458686249e-166	P13-PA01	chr16:89150600:+|chr16:89152903:+	769.04609475032	27.7316803448749	8.41206541544301e-165	TRUE	chr16:89093852:+;chr16:89100662:+;chr16:89102613:+;chr16:89102696:+;chr16:89112201:+;chr16:89150600:+	chr16:89154588:+;chr16:89152903:+
POLR1D	1.43137514680078e-163	P01-PA01	chr13:27620742:+|chr13:27623449:+	299.413312908084	17.3035635898529	7.96049063785061e-162	TRUE	chr13:27620742:+;chr13:27620919:+;chr13:27621193:+;chr13:27621779:+;chr13:27621870:+;chr13:27648387:+	chr13:27623449:+;chr13:27667411:+
PGK1	1.54124328639124e-162	P04-PA02	chrX:78124944:+|chrX:78126827:+	635.969376741535	25.2184332729362	8.45078889284662e-161	TRUE	chrX:78104248:+;chrX:78122839:+;chrX:78124944:+	chrX:78126273:+;chrX:78126827:+
HUWE1	3.87312672412425e-162	P13-PA03	chrX:53686719:-|chrX:53584223:-	649.073906485671	25.4769289060843	2.09417810236329e-160	TRUE	chrX:53534659:-;chrX:53536651:-;chrX:53538467:-;chrX:53547809:-;chrX:53548052:-;chrX:53549505:-;chrX:53686719:-	chrX:53532794:-;chrX:53533194:-;chrX:53584223:-
PHIP	4.44818986829997e-160	P01-PA01	chr6:78982943:-|chr6:78946763:-	692.778378378378	26.3206834709583	2.37216481606737e-158	TRUE	chr6:78982943:-;chr6:79078254:-	chr6:78946763:-;chr6:78982911:-;chr6:78982965:-;chr6:78990895:-
RB1CC1	2.0985110235583e-158	P01-PA02	chr8:52636034:-|chr8:52622887:-	260.765673605687	16.1482405730682	1.10398694793412e-156	TRUE	chr8:52636034:-;chr8:52661570:-;chr8:52714423:-	chr8:52622458:-;chr8:52622887:-;chr8:52657160:-;chr8:52657243:-
MTDH	7.11317150924136e-157	P04-PA03	chr8:97691019:+|chr8:97726314:+	317.461271676301	17.8174429050944	3.69221022473021e-155	TRUE	chr8:97644184:+;chr8:97644546:+;chr8:97644793:+;chr8:97691019:+;chr8:97691131:+	chr8:97661166:+;chr8:97713735:+;chr8:97726314:+
RDX	1.19164094875818e-156	P01-PA02	chr11:110233466:-|chr11:110229450:-	659.54079660156	25.6815263682196	6.10402396515211e-155	TRUE	chr11:110233466:-;chr11:110258208:-;chr11:110264824:-;chr11:110296504:-;chr11:110296597:-;chr11:110296712:-	chr11:110229450:-;chr11:110247813:-;chr11:110195561:-
DST	1.59023819918029e-155	P19-PA05	chr6:56598513:-|chr6:56572105:-	387.758052085896	19.6915731236968	8.03999650572579e-154	TRUE	chr6:56464316:-;chr6:56466113:-;chr6:56469956:-;chr6:56472099:-;chr6:56473990:-;chr6:56482089:-;chr6:56492243:-;chr6:56506743:-;chr6:56598513:-;chr6:56628018:-;chr6:56843647:-	chr6:56458238:-;chr6:56458878:-;chr6:56553327:-;chr6:56572105:-
RBM25	5.45979071770822e-149	P05-PA03	chr14:73106280:+|chr14:73120129:+	461.474885663247	21.4819665222541	2.72499554667155e-147	TRUE	chr14:73058532:+;chr14:73058668:+;chr14:73071637:+;chr14:73097036:+;chr14:73106280:+	chr14:73106259:+;chr14:73110917:+;chr14:73120129:+;chr14:73121368:+
NBEA	2.22927015127436e-147	P11-PA01	chr13:35159882:+|chr13:35195901:+	195.631602370412	13.9868367535484	1.09855046821659e-145	TRUE	chr13:35048656:+;chr13:35056010:+;chr13:35069946:+;chr13:35098297:+;chr13:35118377:+;chr13:35159882:+;chr13:35171272:+;chr13:35171441:+;chr13:35470796:+;chr13:35471216:+;chr13:35471846:+;chr13:35471996:+;chr13:35472079:+;chr13:35472375:+;chr13:35476675:+;chr13:35476749:+;chr13:35550477:+;chr13:35646224:+;chr13:35665085:+	chr13:35195901:+;chr13:35672736:+
