SE_id	p_value	max_contrib_value	max_contrib_pas_id	min_contrib_value	min_contrib_pas_id	FDR	exon	pas_id	sig	gene_id
POLI:SE05	3.8587776016493e-242	894.672986628002	chr18:54321266:+	0.764338987734747	chr18:54294637:+	3.93957075768383e-239	chr18:54291833-54292038:+	chr18:54294637:+;chr18:54294724:+;chr18:54321266:+	TRUE	POLI
AP3D1:SE03	1.57617946076039e-240	490.241730227785	chr19:2100994:-	33.9292925680911	chr19:2101048:-	1.514523028913e-237	chr19:2114748-2114821:-	chr19:2100994:-;chr19:2101048:-;chr19:2114192:-	TRUE	AP3D1
AP3D1:SE04	1.97531563490877e-238	485.014131635322	chr19:2100994:-	33.8409755256122	chr19:2101048:-	1.69825162611762e-235	chr19:2115538-2115613:-	chr19:2100994:-;chr19:2101048:-;chr19:2114192:-	TRUE	AP3D1
AP3D1:SE05	1.97531563490877e-238	485.014131635322	chr19:2100994:-	33.8409755256122	chr19:2101048:-	1.69825162611762e-235	chr19:2116207-2116278:-	chr19:2100994:-;chr19:2101048:-;chr19:2114192:-	TRUE	AP3D1
AP3D1:SE06	5.72795328361705e-231	451.317939097194	chr19:2100994:-	34.4451981499208	chr19:2101048:-	4.67830584439422e-228	chr19:2121734-2121879:-	chr19:2100994:-;chr19:2101048:-;chr19:2114192:-	TRUE	AP3D1
AP3D1:SE07	4.79465148636128e-229	446.760092032531	chr19:2100994:-	34.4451981499208	chr19:2101048:-	3.56002872862325e-226	chr19:2123358-2123406:-	chr19:2100994:-;chr19:2101048:-;chr19:2114192:-	TRUE	AP3D1
AP3D1:SE08	4.79465148636128e-229	446.760092032531	chr19:2100994:-	34.4451981499208	chr19:2101048:-	3.56002872862325e-226	chr19:2123830-2123879:-	chr19:2100994:-;chr19:2101048:-;chr19:2114192:-	TRUE	AP3D1
ASPH:SE22	1.30871849365938e-227	367.083328190535	chr8:61675259:-	5.34214405571736	chr8:61501229:-	9.29474634518522e-225	chr8:61682439-61682483:-	chr8:61501229:-;chr8:61618985:-;chr8:61624548:-;chr8:61675259:-	TRUE	ASPH
AP3D1:SE09	2.74103544886525e-220	425.641890405642	chr19:2100994:-	34.1184166894033	chr19:2101048:-	1.86561725238391e-217	chr19:2127152-2127201:-	chr19:2100994:-;chr19:2101048:-;chr19:2114192:-	TRUE	AP3D1
METTL6:SE02	2.90516209608911e-218	297.647427598027	chr3:15413671:-	39.4107326202768	chr3:15410104:-	1.89823291358463e-215	chr3:15414021-15414162:-	chr3:15410104:-;chr3:15411336:-;chr3:15413671:-	TRUE	METTL6
C9orf85:SE03	5.17293007205456e-215	773.046812116315	chr9:71983949:+	2.69232371590362	chr9:71973399:+	3.24999279719274e-212	chr9:71971505-71971618:+	chr9:71973399:+;chr9:71973457:+;chr9:71983949:+	TRUE	C9orf85
PDLIM7:SE05	7.22937080894207e-211	410.937687197405	chr5:177483400:-	83.8200120391667	chr5:177490246:-	4.37376933940995e-208	chr5:177491404-177491420:-	chr5:177483400:-;chr5:177490246:-	TRUE	PDLIM7
KIF3A:SE07	4.23403180821648e-182	692.851421033697	chr5:132692631:-	0.584971603058913	chr5:132696590:-	2.47010391382915e-179	chr5:132716245-132716442:-	chr5:132692631:-;chr5:132696590:-;chr5:132702642:-;chr5:132703493:-;chr5:132715795:-	TRUE	KIF3A
STK4:SE08	8.50391528169376e-177	877.711408199644	chr20:45079953:+	0.0442640635647122	chr20:45025031:+	4.7900502112575e-174	chr20:45001167-45001353:+	chr20:45025031:+;chr20:45079953:+	TRUE	STK4
CENPN:SE03	9.53334080369316e-167	226.468571797711	chr16:81029314:+	42.247858117326	chr16:81031482:+	5.19090406761093e-164	chr16:81022597-81022698:+	chr16:81022874:+;chr16:81029314:+;chr16:81031482:+	TRUE	CENPN
KIF3A:SE10	1.27187433905783e-166	638.510133109486	chr5:132692631:-	0.493632751791132	chr5:132696590:-	6.70195720274507e-164	chr5:132726354-132726498:-	chr5:132692631:-;chr5:132696590:-;chr5:132702642:-;chr5:132703493:-;chr5:132715795:-	TRUE	KIF3A
KIF3A:SE09	2.09754970283112e-164	628.536270387683	chr5:132692631:-	0.526907587455914	chr5:132696590:-	1.07073357486707e-161	chr5:132720609-132720714:-	chr5:132692631:-;chr5:132696590:-;chr5:132702642:-;chr5:132703493:-;chr5:132715795:-	TRUE	KIF3A
KIF3A:SE08	2.46393352881825e-164	627.197778238071	chr5:132692631:-	0.448201554545213	chr5:132702642:-	1.21964709676503e-161	chr5:132716845-132716984:-	chr5:132692631:-;chr5:132696590:-;chr5:132702642:-;chr5:132703493:-;chr5:132715795:-	TRUE	KIF3A
KIF3A:SE06	9.62558093676477e-163	591.424531782859	chr5:132692631:-	0.873318163176207	chr5:132696590:-	4.62452542947213e-160	chr5:132715757-132715931:-	chr5:132692631:-;chr5:132696590:-;chr5:132702642:-;chr5:132703493:-	TRUE	KIF3A
NAF1:SE04	2.02506497874348e-158	302.780627648021	chr4:163157163:-	15.2157161218683	chr4:163128669:-	9.45126755079277e-156	chr4:163158225-163158327:-	chr4:163128669:-;chr4:163156958:-;chr4:163157163:-	TRUE	NAF1
METTL6:SE03	3.06809855933148e-142	192.409696354356	chr3:15413671:-	57.7197133501441	chr3:15410104:-	1.39214972129666e-139	chr3:15415498-15415583:-	chr3:15410104:-;chr3:15411336:-;chr3:15413671:-	TRUE	METTL6
DNAJB6:SE04	6.34837817805932e-140	426.9363236015	chr7:157417439:+	2.66335031847565	chr7:157386302:+	2.80272317671889e-137	chr7:157384867-157385008:+	chr7:157386302:+;chr7:157417439:+	TRUE	DNAJB6
STK4:SE05	5.03847180462138e-138	702.169126559715	chr20:45079953:+	0.0283036616825952	chr20:45025031:+	2.11034453662795e-135	chr20:44995090-44995257:+	chr20:45025031:+;chr20:45079953:+	TRUE	STK4
STK4:SE07	5.03847180462138e-138	702.169126559715	chr20:45079953:+	0.0283036616825952	chr20:45025031:+	2.11034453662795e-135	chr20:45000392-45000520:+	chr20:45025031:+;chr20:45079953:+	TRUE	STK4
LRRFIP1:SE10	2.54126660009073e-137	224.970604443367	chr2:237763440:+	98.4745736758006	chr2:237780315:+	1.03778974781205e-134	chr2:237739232-237739309:+	chr2:237763440:+;chr2:237780315:+	TRUE	LRRFIP1
TCOF1:SE11	1.06359684819951e-132	502.341657715718	chr5:150400288:+	0.282128552355521	chr5:150398441:+	4.23752549154611e-130	chr5:150393372-150393552:+	chr5:150396840:+;chr5:150398441:+;chr5:150400288:+	TRUE	TCOF1
TCOF1:SE10	5.55496720654883e-132	502.341657715718	chr5:150400288:+	0.185139974993112	chr5:150398441:+	2.1604854599756e-129	chr5:150391957-150392176:+	chr5:150396840:+;chr5:150398441:+;chr5:150400288:+	TRUE	TCOF1
FAM228B:SE02	5.72752503598964e-131	346.256574711773	chr2:24096588:+	33.8954757180064	chr2:24169638:+	2.17579352239281e-128	chr2:24095141-24095229:+	chr2:24096588:+;chr2:24169638:+	TRUE	FAM228B
DNAJB6:SE03	5.01572144909521e-128	388.844658386964	chr7:157417439:+	2.98399621043369	chr7:157386302:+	1.8620865879766e-125	chr7:157382246-157382377:+	chr7:157386302:+;chr7:157417439:+	TRUE	DNAJB6
TBCK:SE02	1.81029692476102e-122	491.760667817489	chr4:106161858:-	2.79603098810972	chr4:106046091:-	6.57137783688251e-120	chr4:106254947-106255047:-	chr4:106045690:-;chr4:106046091:-;chr4:106161858:-	TRUE	TBCK
XPR1:SE08	1.52970492643599e-121	456.309633095515	chr1:180826070:+	0.584009726744892	chr1:180886123:+	5.43211521159389e-119	chr1:180825165-180825344:+	chr1:180826070:+;chr1:180886123:+;chr1:180886348:+	TRUE	XPR1
SENP7:SE20	8.69556538574737e-120	456.003921568628	chr3:101456972:-	0.482915586286373	chr3:101372060:-	3.02217150162092e-117	chr3:101458955-101459052:-	chr3:101361715:-;chr3:101372060:-;chr3:101456972:-	TRUE	SENP7
NXPE3:SE03	7.1930605654316e-115	435.492653140661	chr3:101827392:+	1.07940306767216	chr3:101822934:+	2.44788842367344e-112	chr3:101816795-101817001:+	chr3:101822620:+;chr3:101822826:+;chr3:101822934:+;chr3:101827392:+	TRUE	NXPE3
ZNF286A:SE02	4.00349874725685e-114	211.230090689672	chr17:15709814:+	11.8235085368814	chr17:15716422:+	1.33463575584573e-111	chr17:15708155-15708247:+	chr17:15709507:+;chr17:15709814:+;chr17:15716422:+	TRUE	ZNF286A
TCOF1:SE07	1.38215828995592e-111	414.324068743372	chr5:150400288:+	0.149465150812688	chr5:150398441:+	4.51551113328598e-109	chr5:150387902-150388088:+	chr5:150396840:+;chr5:150398441:+;chr5:150400288:+	TRUE	TCOF1
GTF2IRD2B:SE07	6.84987921549224e-110	411.391048516814	chr7:75127132:+	4.87014037329847	chr7:75149817:+	2.19397601931501e-107	chr7:75126342-75126385:+	chr7:75127132:+;chr7:75149817:+	TRUE	GTF2IRD2B
KLHL24:SE05	3.37515023399635e-108	425.073520421607	chr3:183684519:+	0.41052896363375	chr3:183672514:+	1.06025152062174e-105	chr3:183663458-183663642:+	chr3:183672514:+;chr3:183680312:+;chr3:183680945:+;chr3:183684519:+	TRUE	KLHL24
TCOF1:SE06	5.5329248050943e-107	405.901136086812	chr5:150400288:+	0.244844426253492	chr5:150398441:+	1.70528918285312e-104	chr5:150378905-150379042:+	chr5:150384253:+;chr5:150396840:+;chr5:150398441:+;chr5:150400288:+	TRUE	TCOF1
CACFD1:SE02	3.00308179896884e-106	164.594356428519	chr9:133466593:+	24.1642672502729	chr9:133470763:+	9.08432244188075e-104	chr9:133465322-133465447:+	chr9:133466593:+;chr9:133466685:+;chr9:133470763:+	TRUE	CACFD1
TCOF1:SE05	1.08152658557185e-104	394.758609515186	chr5:150400288:+	0.388812559300832	chr5:150398441:+	3.21213395914838e-102	chr5:150376423-150376620:+	chr5:150384253:+;chr5:150396840:+;chr5:150398441:+;chr5:150400288:+	TRUE	TCOF1
NMT2:SE08	5.42318194363761e-104	404.504052571815	chr10:15140515:-	0.409528410668472	chr10:15108362:-	1.58192280445215e-101	chr10:15141422-15141557:-	chr10:15106389:-;chr10:15108072:-;chr10:15108362:-;chr10:15108561:-;chr10:15140515:-	TRUE	NMT2
MTF2:SE05	1.74503816480874e-102	369.27045421384	chr1:93122621:+	0.58359240956283	chr1:93139074:+	5.00091200388611e-100	chr1:93120549-93120672:+	chr1:93122621:+;chr1:93129293:+;chr1:93133779:+;chr1:93137304:+;chr1:93137562:+;chr1:93139074:+	TRUE	MTF2
NXPE3:SE02	4.08393006648927e-100	373.261817617866	chr3:101827392:+	0.920611517312224	chr3:101822934:+	1.15018961441555e-97	chr3:101807053-101807126:+	chr3:101822620:+;chr3:101822826:+;chr3:101822934:+;chr3:101827392:+	TRUE	NXPE3
KLHL24:SE06	6.99685221087751e-97	375.55033126294	chr3:183684519:+	0.311176470588235	chr3:183672514:+	1.93717933668956e-94	chr3:183664921-183665039:+	chr3:183672514:+;chr3:183680312:+;chr3:183680945:+;chr3:183684519:+	TRUE	KLHL24
CAMKK2:SE01	8.62351340521988e-90	350.871325074797	chr12:121243588:-	0.658078675098596	chr12:121237770:-	2.34775152457111e-87	chr12:121244573-121244615:-	chr12:121237692:-;chr12:121237770:-;chr12:121243588:-	TRUE	CAMKK2
LRRFIP1:SE15	5.09824964489552e-89	146.876871971134	chr2:237763440:+	61.8462330753191	chr2:237780315:+	1.3652443926126e-86	chr2:237758729-237758821:+	chr2:237763440:+;chr2:237780315:+	TRUE	LRRFIP1
TCOF1:SE04	2.456940900652e-87	340.636792576706	chr5:150400288:+	0.00341716785128486	chr5:150398441:+	6.47324671163716e-85	chr5:150374174-150374386:+	chr5:150384253:+;chr5:150396840:+;chr5:150398441:+;chr5:150400288:+	TRUE	TCOF1
CREM:SE01	1.97554339057725e-86	106.510103413748	chr10:35179847:+	9.84438179417636	chr10:35211873:+	5.12230179128243e-84	chr10:35148368-35148491:+	chr10:35179847:+;chr10:35211873:+;chr10:35212125:+;chr10:35212462:+;chr10:35212953:+	TRUE	CREM
GFPT1:SE03	5.02676303687349e-85	360.607426991948	chr2:69319780:-	0.0540814724858939	chr2:69324953:-	1.22555483891535e-82	chr2:69329297-69329424:-	chr2:69319780:-;chr2:69324953:-;chr2:69325276:-;chr2:69326058:-	TRUE	GFPT1
GFPT1:SE04	5.02676303687349e-85	360.607426991948	chr2:69319780:-	0.0540814724858939	chr2:69324953:-	1.22555483891535e-82	chr2:69329684-69329798:-	chr2:69319780:-;chr2:69324953:-;chr2:69325276:-;chr2:69326058:-	TRUE	GFPT1
GFPT1:SE07	5.02676303687349e-85	360.607426991948	chr2:69319780:-	0.0540814724858939	chr2:69324953:-	1.22555483891535e-82	chr2:69342152-69342249:-	chr2:69319780:-;chr2:69324953:-;chr2:69325276:-;chr2:69326058:-	TRUE	GFPT1
GFPT1:SE08	5.02676303687349e-85	360.607426991948	chr2:69319780:-	0.0540814724858939	chr2:69324953:-	1.22555483891535e-82	chr2:69345904-69345999:-	chr2:69319780:-;chr2:69324953:-;chr2:69325276:-;chr2:69326058:-	TRUE	GFPT1
ANKRD10:SE01	6.2483736756997e-85	166.494015071529	chr13:110892710:-	36.5180769757213	chr13:110878540:-	1.50098799989051e-82	chr13:110894109-110894202:-	chr13:110878540:-;chr13:110892710:-	TRUE	ANKRD10
GFPT1:SE09	1.02297242902045e-81	346.374357359237	chr2:69319780:-	0.0580510628800062	chr2:69324953:-	2.38717923257844e-79	chr2:69348171-69348334:-	chr2:69319780:-;chr2:69324953:-;chr2:69325276:-;chr2:69326058:-	TRUE	GFPT1
GFPT1:SE10	1.02297242902045e-81	346.374357359237	chr2:69319780:-	0.0580510628800062	chr2:69324953:-	2.38717923257844e-79	chr2:69350078-69350183:-	chr2:69319780:-;chr2:69324953:-;chr2:69325276:-;chr2:69326058:-	TRUE	GFPT1
GFM2:SE08	5.1722755786659e-81	206.865964912281	chr5:74744403:-	2.59944009489917	chr5:74721274:-	1.18998762785222e-78	chr5:74745678-74745857:-	chr5:74721206:-;chr5:74721274:-;chr5:74744403:-	TRUE	GFM2
BBIP1:SE01	8.97883831642253e-80	219.692803094428	chr10:110900229:-	0.984019092361424	chr10:110899891:-	2.03707394303836e-77	chr10:110901538-110901612:-	chr10:110898730:-;chr10:110899891:-;chr10:110900091:-;chr10:110900229:-	TRUE	BBIP1
MTERF4:SE04	3.63260373671111e-79	127.53210974043	chr2:241087152:-	8.17579307934443	chr2:241087806:-	8.1285728820789e-77	chr2:241099396-241099894:-	chr2:241087152:-;chr2:241087806:-;chr2:241095571:-	TRUE	MTERF4
CCDC144NL-AS1:SE02	9.36582445552946e-79	120.719623662717	chr17:20903413:+	25.4114433054553	chr17:20930041:+	2.06744246596046e-76	chr17:20892230-20892432:+	chr17:20903413:+;chr17:20904723:+;chr17:20930041:+	TRUE	CCDC144NL-AS1
GFPT1:SE01	1.22966549908739e-78	333.094660096943	chr2:69319780:-	0.062163950698983	chr2:69324953:-	2.67821145701233e-76	chr2:69326914-69327075:-	chr2:69319780:-;chr2:69324953:-;chr2:69325276:-;chr2:69326058:-	TRUE	GFPT1
GFPT1:SE12	1.27034446367084e-78	333.513761223754	chr2:69319780:-	0.0540814724858939	chr2:69324953:-	2.73040484395568e-76	chr2:69354489-69354568:-	chr2:69319780:-;chr2:69324953:-;chr2:69325276:-;chr2:69326058:-	TRUE	GFPT1
IKBIP:SE01	3.2591577225766e-78	121.565076329373	chr12:98613404:-	5.4006399403165	chr12:98624249:-	6.91407031146607e-76	chr12:98634296-98634413:-	chr12:98613404:-;chr12:98624249:-;chr12:98625569:-;chr12:98625929:-	TRUE	IKBIP
CYHR1:SE01	1.25506425685109e-76	102.378571632525	chr8:144449931:-	72.3956640495954	chr8:144451125:-	2.6258196780503e-74	chr8:144452359-144452570:-	chr8:144449931:-;chr8:144451125:-	TRUE	CYHR1
LRRFIP1:SE14	1.26990973104361e-76	144.881350154405	chr2:237763440:+	38.8537334211096	chr2:237780315:+	2.6258196780503e-74	chr2:237757456-237757548:+	chr2:237763440:+;chr2:237780315:+	TRUE	LRRFIP1
GFPT1:SE13	1.48027996246439e-75	320.283921445118	chr2:69319780:-	0.0580510628800062	chr2:69324953:-	3.02254664835697e-73	chr2:69356496-69356557:-	chr2:69319780:-;chr2:69324953:-;chr2:69325276:-;chr2:69326058:-	TRUE	GFPT1
MRE11:SE01	8.05041632343944e-74	318.308313155771	chr11:94415578:-	0.045099484156227	chr11:94419729:-	1.62350062522695e-71	chr11:94429911-94429986:-	chr11:94415578:-;chr11:94419729:-;chr11:94419861:-	TRUE	MRE11
EXOC7:SE07	3.71065334235162e-70	102.771626825779	chr17:76083577:-	54.8029034079511	chr17:76081016:-	7.39189296918461e-68	chr17:76086854-76086892:-	chr17:76081016:-;chr17:76083577:-	TRUE	EXOC7
GFPT1:SE14	2.27948657774799e-69	294.940728277851	chr2:69319780:-	0.0430297033784762	chr2:69324953:-	4.4861943671703e-67	chr2:69358329-69358463:-	chr2:69319780:-;chr2:69324953:-;chr2:69325276:-;chr2:69326058:-	TRUE	GFPT1
SYNRG:SE04	3.68606991407316e-69	117.272444858652	chr17:37514910:-	46.1409260158653	chr17:37518461:-	7.16808952933156e-67	chr17:37538324-37538420:-	chr17:37514910:-;chr17:37518461:-	TRUE	SYNRG
SYNRG:SE02	8.56546297364302e-68	115.719167443305	chr17:37514910:-	44.6125713367093	chr17:37518461:-	1.64608044322893e-65	chr17:37520538-37520648:-	chr17:37514910:-;chr17:37518461:-	TRUE	SYNRG
LHPP:SE03	1.45195494864313e-66	274.091181002447	chr10:124498515:+	0.129513342408395	chr10:124511320:+	2.75787024256808e-64	chr10:124498036-124498128:+	chr10:124498515:+;chr10:124511320:+;chr10:124614141:+	TRUE	LHPP
MRE11:SE02	1.90052087860642e-66	286.819777679947	chr11:94415578:-	0.0378138902165519	chr11:94419729:-	3.52784188091316e-64	chr11:94435832-94435899:-	chr11:94415578:-;chr11:94419729:-;chr11:94419861:-	TRUE	MRE11
MRE11:SE03	1.90052087860642e-66	286.819777679947	chr11:94415578:-	0.0378138902165519	chr11:94419729:-	3.52784188091316e-64	chr11:94437177-94437235:-	chr11:94415578:-;chr11:94419729:-;chr11:94419861:-	TRUE	MRE11
NOL9:SE02	3.83153431356792e-66	191.955257071695	chr1:6521351:-	2.43796068796069	chr1:6525145:-	7.03237224855415e-64	chr1:6528994-6529171:-	chr1:6521351:-;chr1:6525145:-;chr1:6525571:-;chr1:6525667:-	TRUE	NOL9
DERL2:SE02	4.11780769174086e-66	257.073174041944	chr17:5471259:-	1.46123249889303	chr17:5474290:-	7.47382096050966e-64	chr17:5481296-5481389:-	chr17:5471259:-;chr17:5474290:-	TRUE	DERL2
SYNRG:SE05	2.11481372351785e-65	111.153103448276	chr17:37514910:-	43.2912087114337	chr17:37518461:-	3.79620683227077e-63	chr17:37539192-37539245:-	chr17:37514910:-;chr17:37518461:-	TRUE	SYNRG
GFPT1:SE06	6.52682182507196e-65	272.363519693357	chr2:69319780:-	0.0066633359480504	chr2:69324953:-	1.15886559252772e-62	chr2:69338445-69338565:-	chr2:69319780:-;chr2:69324953:-;chr2:69325276:-;chr2:69326058:-	TRUE	GFPT1
ZNF254:SE05	2.51939950021131e-64	91.7722183180932	chr19:24107352:+	55.4520323940661	chr19:24128383:+	4.42520331569374e-62	chr19:24106548-24106643:+	chr19:24107352:+;chr19:24128383:+	TRUE	ZNF254
NOL9:SE01	1.78111768710755e-63	179.573891130814	chr1:6521351:-	2.77907282509272	chr1:6525145:-	3.09516568286189e-61	chr1:6526696-6526829:-	chr1:6521351:-;chr1:6525145:-;chr1:6525571:-;chr1:6525667:-	TRUE	NOL9
LRRFIP1:SE12	2.84145410897185e-63	121.789785202204	chr2:237763440:+	29.8056511486923	chr2:237780315:+	4.88580556526897e-61	chr2:237751200-237751271:+	chr2:237763440:+;chr2:237780315:+	TRUE	LRRFIP1
GFPT1:SE05	5.76321385414323e-63	264.025960883646	chr2:69319780:-	0.00809841706876941	chr2:69324953:-	9.80646857369059e-61	chr2:69337898-69338055:-	chr2:69319780:-;chr2:69324953:-;chr2:69325276:-;chr2:69326058:-	TRUE	GFPT1
POFUT2:SE04	8.6507309398841e-63	255.347614820694	chr21:45280288:-	1.0899133398706	chr21:45263935:-	1.45680092683512e-60	chr21:45282349-45282459:-	chr21:45263935:-;chr21:45280288:-	TRUE	POFUT2
LRRC27:SE03	1.98954999569992e-62	221.399318827406	chr10:132353396:+	1.03683356991294	chr10:132367001:+	3.31625501834267e-60	chr10:132348963-132349057:+	chr10:132353396:+;chr10:132367001:+;chr10:132375457:+	TRUE	LRRC27
GFPT1:SE02	4.98683113559909e-62	260.337966785437	chr2:69319780:-	0.0242685109601708	chr2:69326058:-	8.22827137373851e-60	chr2:69328271-69328438:-	chr2:69319780:-;chr2:69324953:-;chr2:69325276:-;chr2:69326058:-	TRUE	GFPT1
MRE11:SE04	1.04790081950705e-61	267.011755485893	chr11:94415578:-	0.0379938342087235	chr11:94419729:-	1.71174598866476e-59	chr11:94456276-94456338:-	chr11:94415578:-;chr11:94419729:-;chr11:94419861:-	TRUE	MRE11
KIF1B:SE02	3.69817274397715e-61	272.132732414281	chr1:10381600:+	0.390873218355616	chr1:10273030:+	5.80862036277565e-59	chr1:10267380-10267558:+	chr1:10273030:+;chr1:10381600:+	TRUE	KIF1B
KIF1B:SE03	3.69817274397715e-61	272.132732414281	chr1:10381600:+	0.390873218355616	chr1:10273030:+	5.80862036277565e-59	chr1:10268152-10268263:+	chr1:10273030:+;chr1:10381600:+	TRUE	KIF1B
KIF1B:SE04	3.69817274397715e-61	272.132732414281	chr1:10381600:+	0.390873218355616	chr1:10273030:+	5.80862036277565e-59	chr1:10271502-10271579:+	chr1:10273030:+;chr1:10381600:+	TRUE	KIF1B
KIF1B:SE05	3.69817274397715e-61	272.132732414281	chr1:10381600:+	0.390873218355616	chr1:10273030:+	5.80862036277565e-59	chr1:10272241-10272306:+	chr1:10273030:+;chr1:10381600:+	TRUE	KIF1B
ATG13:SE10	3.09556664501481e-60	111.855224389239	chr11:46674518:+	33.0827982654808	chr11:46673036:+	4.81581725203018e-58	chr11:46664849-46664959:+	chr11:46673036:+;chr11:46674518:+	TRUE	ATG13
EIF4E2:SE03	9.61137790712014e-60	207.741651957426	chr2:232583641:+	0.117426862436797	chr2:232581424:+	1.48114960483781e-57	chr2:232564247-232564351:+	chr2:232569210:+;chr2:232581424:+;chr2:232583641:+	TRUE	EIF4E2
RNF144A:SE04	1.14797071931318e-59	152.363648569834	chr2:6998157:+	2.4591018181257	chr2:7044179:+	1.75253286915709e-57	chr2:7014454-7014558:+	chr2:7040514:+;chr2:7044094:+;chr2:7044179:+	TRUE	RNF144A
MRE11:SE05	1.18831140048852e-59	259.195721583653	chr11:94415578:-	0.0253220917014023	chr11:94419729:-	1.78083180981467e-57	chr11:94459408-94459581:-	chr11:94415578:-;chr11:94419729:-;chr11:94419861:-	TRUE	MRE11
MRE11:SE06	1.18831140048852e-59	259.195721583653	chr11:94415578:-	0.0253220917014023	chr11:94419729:-	1.78083180981467e-57	chr11:94460936-94461036:-	chr11:94415578:-;chr11:94419729:-;chr11:94419861:-	TRUE	MRE11
BAZ1B:SE09	4.43830975863128e-59	244.081761006289	chr7:73440413:-	1.05815792343767	chr7:73477047:-	6.59088999156744e-57	chr7:73476868-73478569:-	chr7:73440413:-;chr7:73477047:-	TRUE	BAZ1B
SRSF3:SE01	1.33994325224899e-58	232.203681056256	chr6:36602293:+	0.00434035022223861	chr6:36603429:+	1.97188946175561e-56	chr6:36599821-36600276:+	chr6:36602293:+;chr6:36602784:+;chr6:36602929:+;chr6:36603429:+	TRUE	SRSF3
EFCAB2:SE02	2.91450313057436e-57	77.3743077157147	chr1:245122990:+	0.0113071151546545	chr1:245090079:+	4.25075077124394e-55	chr1:245017242-245017326:+	chr1:245087653:+;chr1:245087847:+;chr1:245090079:+;chr1:245090442:+;chr1:245091789:+;chr1:245122990:+	TRUE	EFCAB2
COX20:SE02	4.13846311198817e-57	68.2307607220377	chr1:244843566:+	20.0872496903395	chr1:244845057:+	5.98245972870149e-55	chr1:244841944-244842058:+	chr1:244843284:+;chr1:244843566:+;chr1:244845057:+	TRUE	COX20
