gene	codingLen	codingLenInTarget	set_FMRPTargets	set_PSD	set_Embryonic	set_ChromatinModifiers	set_EssentialGenes	set_MendelianDiseaseGenes	set_DeNovoLGDsInSchizoprenia	set_DeNovoLGDsInID	dnv_LGDs_prb	dnv_LGDs_prbM	dnv_LGDs_prbML	dnv_LGDs_prbMH	dnv_LGDs_prbF	dnv_LGDs_sib	dnv_missense_prb	dnv_missense_prbM	dnv_missense_prbML	dnv_missense_prbMH	dnv_missense_prbF	dnv_missense_sib	dnv_synonymous_prb	dnv_synonymous_prbM	dnv_synonymous_prbML	dnv_synonymous_prbMH	dnv_synonymous_prbF	dnv_synonymous_sib
ANKRD11	7992	7992	1	0	0	0	1	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DIP2A	4825	4825	1	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCKAP1	3405	3405	1	1	0	0	1	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TNRC6B	5615	5615	1	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHF2	3291	3291	0	0	1	1	0	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WAC	1944	1944	0	0	0	1	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
KDM5B	4635	4635	0	0	1	0	0	0	0	0	2	2	1	1	0	2	2	2	2	0	0	2	0	0	0	0	0	0
POGZ	4233	4233	0	0	1	0	0	0	1	0	2	2	2	0	0	0	2	2	1	1	0	1	1	1	1	0	0	0
TBR1	2049	2049	0	0	0	0	0	0	0	0	2	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0
FOXP1	2555	2199	0	0	0	0	1	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIGYF1	3108	3108	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KATNAL2	1401	1401	0	0	0	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
KMT2E	5577	5577	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
RIMS1	5234	5234	0	1	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCF7L2	2096	2089	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASH1L	8895	8895	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOT1L	4614	4614	1	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPEN	10995	10995	1	0	1	0	1	0	0	0	1	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0
AKAP9	11724	11724	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0
DIP2C	4671	4671	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GPRIN1	3027	3027	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBD5	4485	4485	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MED13	6525	6525	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NBEA	8841	8841	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
UBAP2L	3314	3314	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBR5	8400	8400	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYH10	6024	5931	1	1	0	0	1	0	0	0	1	1	1	0	0	1	2	2	1	1	0	0	0	0	0	0	0	0
SYNGAP1	8064	4032	1	1	0	0	0	0	1	1	1	1	1	0	0	0	2	2	2	0	0	0	1	1	0	1	0	1
TRIP12	5979	5979	1	0	0	0	1	0	0	0	1	0	0	0	1	0	2	2	2	0	0	0	0	0	0	0	0	0
AHDC1	4812	4812	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
CIC	4827	4827	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0
CTNNB1	2346	2346	1	1	0	0	1	0	0	1	1	0	0	0	1	0	1	1	1	0	0	0	1	1	1	0	0	0
DST	21921	21921	1	1	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
KIAA0100	6708	6708	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0
KIF21A	5025	4986	1	1	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0
NF1	8581	8581	1	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
SPAG9	4178	3966	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0
SPTBN1	7291	7291	1	1	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
TANC2	5973	5973	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
ZC3H4	3912	3912	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0
APBB1	2279	2153	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARVCF	2889	2889	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP1A1	3084	3084	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP1B1	912	912	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAI1	4755	4755	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC42BPB	5136	5136	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSCAML1	6342	6342	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1
FAM91A1	2517	2517	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIVEP3	7221	7221	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LMTK3	4470	4470	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NRXN1	4903	4903	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PINK1	1746	1746	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SHANK2	5448	5448	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
TNRC18	8907	8907	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRPM3	5239	5239	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
UBR3	5667	5667	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0	1	0
DNMT3A	2864	2864	0	0	1	1	1	0	0	0	1	1	1	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0
SRCAP	9693	9693	0	0	1	1	0	0	0	0	1	0	0	0	1	0	2	2	1	1	0	1	0	0	0	0	0	0
SUV420H1	2666	2666	0	0	1	1	1	0	0	0	1	0	0	0	1	0	2	2	2	0	0	0	0	0	0	0	0	0
PHF3	6120	6120	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0
SETD2	7695	7695	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0
BRCA1	5658	5592	0	0	1	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1
CHD1	5133	5133	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0
KAT6A	6015	6015	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MSL2	1734	1734	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BAZ2B	6507	6507	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1
BRWD1	7216	7216	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBX4	1683	1683	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KAT2B	2499	2499	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPHOSPH8	2583	2583	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHF21A	2069	2069	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PHF7	1146	1146	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAI1	5721	5721	0	0	0	1	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ZMYND11	1830	1830	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTCF	2184	2184	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0
FBXO11	2784	2552	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
PAFAH1B2	894	690	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0
SETBP1	4980	4980	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
ZFYVE26	7620	7620	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1
BCL11A	2610	2610	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTAF1	5550	5550	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CASP8AP2	5901	5901	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNOT3	2262	2262	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
CSDE1	2535	2535	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
CSTF2T	1851	1851	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTTNBP2	4992	4992	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUL3	2391	2307	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DHX29	4110	4110	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLL1	2172	2172	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DVL3	2151	2151	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPHB2	2964	2964	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FARP1	3357	3357	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIGYF2	3966	3966	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLTSCR2	1437	1437	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOPC	1389	1389	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGSF3	3645	3645	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILF2	1173	1173	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
IQGAP2	4728	4728	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
L1CAM	3774	3774	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LIG3	3084	3084	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LRP6	4842	4842	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NARG2	2976	2969	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NFIA	1727	1727	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NFIB	1593	1263	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OSBPL8	2670	2670	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPM1D	1818	1818	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF38	1548	1548	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKIDA1	2727	2727	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPAST	1851	1851	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SUFU	1461	1455	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM39B	1479	1479	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TROVE2	1666	1652	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
UPF3B	1452	1452	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF614	1758	1758	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZWILCH	1776	1776	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MUC5B	17289	17289	0	0	0	0	0	0	0	0	1	1	1	0	0	0	4	3	1	2	1	1	2	2	2	0	0	2
KMT2C	14736	14736	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	2	1	1	0	0	0	0	0	0	0	1
MFRP	1740	1740	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	1	0	1	1	0	0	0	0	0	0	0
MYO1E	3327	3327	0	1	0	0	1	0	0	0	1	1	0	1	0	0	2	1	1	0	1	0	0	0	0	0	0	0
NR3C2	2955	2955	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0
PTK7	3316	3213	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	2	1	1	0	0	0	0	0	0	0	0
ACACB	7377	7377	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
CARKD	1236	1180	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0
DNAH5	13875	13875	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	1	2	2	1	1	0	0
FBXO18	3337	3286	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0
GIMAP8	1998	1998	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0
INTS6	2673	2673	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
IRF2BPL	2391	2391	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
LRFN2	2370	2370	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
LRP2	13968	13968	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0
MDN1	16791	16791	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1
MPP6	1623	1623	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0
MTUS1	4124	4124	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0
NOTCH1	7668	7668	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	1	0	0
NUAK1	1986	1986	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0
OR10Z1	942	942	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0
PDCD1	867	867	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
PNPLA7	4029	4029	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PPP2R5D	1809	1809	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0
RANBP2	9675	8549	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0
RP1L1	7203	7203	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
SCUBE2	3087	3087	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
STARD9	14103	14103	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	2	0	0	0	0	0	1
TBL1XR1	1545	1545	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
TECTA	6468	6468	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
TERF2	1629	1523	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
TLK2	2253	2253	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
TSPAN4	717	717	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0
UNC80	9777	9777	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0
URB1	6816	6816	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1
USP45	2445	2445	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0
ZFHX3	11112	11112	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0
ACOX2	2046	2046	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM33	2442	2442	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS9	5808	5808	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0
ADCY9	4062	4062	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFM	1800	1800	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMBP	1059	1059	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMOTL1	2871	2871	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0
ANKFN1	2292	2292	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANO5	2742	2742	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANO9	2349	2349	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ARHGAP30	3306	3306	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP5	4509	4509	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASAH2	2343	2343	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP10D	4281	4281	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B4GALNT1	1877	1622	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BNIP1	816	816	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRF2	1260	1260	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BST2	543	543	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTBD9	1934	1847	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTN1A1	1581	1581	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10orf90	2100	2100	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C11orf24	1350	1350	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C16orf13	686	686	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
C21orf2	1131	793	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA2D3	3276	3276	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAPN8	1786	1786	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0
CC2D1A	2856	2856	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC171	3981	3981	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC66	2847	2847	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC87	2550	2550	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCPG1	2464	2274	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDAN1	3684	3684	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC23	1794	1794	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMPK2	1463	1354	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL25A1	2226	2049	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
COL5A3	5238	5238	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL6A6	6792	6792	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPD	4148	4143	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSMD2	11089	10484	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0
CTNNA3	2688	2688	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CUBN	10872	10872	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CYP27C1	1119	1119	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
DDX3X	1989	1989	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX60	5139	5139	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
